LB;1;2;3;4;5;6;7;8;9;10;11;12
Plate1-A;atoS;kdpD;phoR;barA;cusA;yfdV;potH;zntA;yifK;arnE;ydhK;hcaT
Plate1-B;ygaH;ydcZ;yddG;ynfA;dtpD;ybjL;yadS;nupX;yedA;psuT;ybbY;dtpA
Plate1-C;eamB;yfcC;yphF;ygaZ;yfcJ;mltF;mdtD;leuE;yfbS;ygdQ;mdtH;ydcU
Plate1-D;ydhC;lplT;mdtK;tqsA;yqcE;ydeE;ydiM;rhtA;ydhJ;ydiN;yoaE;ybhG
Plate1-E;ybhI;ybjJ;ybhN;yaaJ;thiP;ybaL;ybhS;ycaD;yehY;murP;yejB;rcnA
Plate1-F;fryC;yadI;yejE;yehW;ynfM;mdtJ;zitB;ydhP;macB;lsrC;ttdT;zupT
Plate1-G;yraQ;argO;sstT;mscS;ygjI;yggT;yhjE;yhbE;mlaC;mdtF;mlaE;yhjV
Plate1-H;BLANK;yiaM;yrbG;tsgA;dtpB;aaeA;setC;hsrA;ghxP;yjeH;mdtL;wt
Plate 2-A;yjcE;adiC;actP;adeP;mscM;yihN;yidK;fieF;mdtN;dtpC;hofC;betT
Plate 2-B;ettA;wt;codB;dinF;aroP;cynX;yaaU;araJ;kefC;brnQ;mdlA;ytfL
Plate 2-C;setA;amtB;acrB;mscK;copA;ybaT;fetA;ybbA;ccmC;ygiS;oppB;idnT
Plate 2-D;phnK;caiT;wzxE;uidB;gltK;wt;xapB;torT;nagE;fepD;potE;araE
Plate 2-E;citT;kdpA;gsiC;focA;ydcV;sotB;chbC;sbp;modB;mdfA;sapB;ydgI
Plate 2-F;mglC;pstC;glpF;uup;nhaB;sapA;malX;ydjE;frwC;chaA;ycjO;tyrP
Plate 2-G;putP;ycjP;ddpB;lysP;glnP;artQ;mdtG;gadC;btuC;shiA;wt;rbsC
Plate 2-H;artI;ptsG;kch;ydjN;glvB;corA;xylE;ybiT;lsrA;znuB;yegT;bglF
Plate 3 -A;wt;rhaT;malF;proP;dsdX;yphE;sdaC;exbD;melB;gabP;fucP;exbB
Plate 3 -B;dcuB;fruA;cysP;ptsP;exuT;gltP;cadB;acrD;proW;yqeG;alsC;cycA
Plate 3 -C;gntP;yojI;focB;xanQ;ytfF;atoE;perM;ascF;cmtA;phnD;treB;ptsI
Plate 3 -D;uraA;ygbN;cmtB;mgtA;wt;crr;yphD;gudP;agaC;nikC;dppB;mtr
Plate 3 -E;mscL;ugpA;ybbW;potB;lptB;kefB;pitA;xylH;cysW;ptsN;yheS;dctA
Plate 3 -F;mtlA;araH;livH;gltS;modF;rhmT;dcuD;feoB;livK;xanP;puuP;gntT
Plate 3 -G;uhpT;artJ;agaV;panF;tolQ;tatC;tolR;nupG;nirC;wt;frlA;ampG
Plate 3 -H;nanT;fsr;mngA;livJ;acrF;arsB;yidE;tehA;emrB;emrY;yicG;mdtO
Plate 4-A;galP;glvC;garP;tdcC;wt;yihP;yicL;pheP;ydjK;yeaV;uhpC;mdlB
Plate 4-B;ybhF;yddA;yebQ;ssuC;mhpT;ynjD;guaB;wt;yhdY;yijE;kdgT;uacT
Plate 4-C;frvB;alx;plaP;bcr;dlsT;yhdX;adeQ;yhhT;yiaN;yhhS;dcuA;kup
Plate 4-D;rbbA;yhfK;atpI;emrD;yhhJ;rarD;gdx;yjeM;trkH;ytfT;clcA;yjfF
Plate 4-E;ulaA;rhtB;yjjP;srlA;rhtC;ghxQ;yajR;yccS;fetB;ydcO;ybiO;dhaM
Plate 4-F;rutG;ycaM;eamA;arnF;ynjB;ynjC;rcnB;yneE;sufB;yegH;yfjD;clcB
Plate 4-G;narU;metI;ybhR;nimT;mdtB;yadH;yahN;setB;ybiR;ydiK;yfdC;yeeO
Plate 4-H;mdtI;aqpZ;yjbB;nlpA;phnL;hisM;wt;ansP;argT;narK;manY;lacY
Plate 5-A;glpT;lldP;kgtP;cvrA;dauA;yihO;mepM;ygcS;tnaB;nepI;ybbP;yhjX
Plate 5-B;dgoT;gntU;yicJ;proY;yfeH;dcuC;entS;cydD;atpB;soxR;hcaT;yeeA
Plate 5-C;ycfT;yeeE;yohK;yfeO;ydcS;ydcU;zntB;ycjN;ybaE;corC;ydjX;yqgA
Plate 5-D;yghD;yibH;yhjV;yhgE;yiaV;frvA;yadG;yjhF;sapF;eutH;sapC;ddpF
Plate 5-E;ydgI;ddpD;frwB;yccA;ddpC;frwD;yddB;sapD;ydcT;fryA;sgcA;yggR
Plate 5-F;sgcB;yhdW;sgcC;mdlB;ycjV;yghE;yghF;yhiD;yjhB;ykgG;fryB;ypjA
Plate 5-G;yhdP;ygaY;ydfJ;yjiJ;yhdZ;yhjX;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK
Plate 5-H;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK;BLANK
