File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220321_143622
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,33.602,34.414,34.561,34.462,34.624,34.532,35.704,35.624,35.475,36.245,36.567,33.971,32.025,34.134,34.169,34.379,34.873,35.245,34.857,35.022,34.783,35.258,36.191,32.271,31.608,33.618,34.274,33.908,33.459,33.427,33.946,33.806,34.834,35.968,34.914,31.930,31.510,33.497,34.175,34.105,33.433,33.707,34.029,32.990,33.968,34.592,34.806,31.920,30.793,33.105,34.494,34.061,33.707,33.398,33.487,33.573,34.548,35.013,34.841,32.099,30.064,31.726,32.949,33.885,33.449,33.341,33.519,33.615,35.768,35.653,35.720,33.252,191.748,160.790,117.971,33.707,33.917,34.449,33.774,34.102,34.962,36.080,35.828,33.172,251.000,255.000,180.659,36.242,35.889,36.245,35.650,36.175,35.411,36.064,36.503,32.395,,mtp01_20220321_143622.bmp
20,33.232,33.605,34.334,34.137,34.503,34.404,35.328,35.236,35.102,35.866,36.019,33.436,31.376,33.768,33.634,33.860,34.280,34.468,34.561,34.430,34.210,34.662,35.318,32.086,31.073,32.570,33.401,33.404,32.809,33.283,33.538,33.484,34.309,35.105,34.213,31.124,30.564,32.809,33.506,33.239,32.758,33.102,33.296,32.296,33.245,33.529,34.166,31.201,30.487,32.592,33.809,33.433,33.414,32.990,33.255,33.169,33.551,34.554,34.226,31.146,29.768,31.427,32.529,33.274,32.889,32.596,32.889,33.226,35.121,34.726,34.704,32.083,192.761,160.653,117.799,33.032,33.599,33.672,33.338,33.608,34.105,35.369,34.799,31.955,251.000,255.000,180.535,35.360,35.121,34.987,34.780,35.309,34.258,34.646,35.882,31.898,,mtp01_20220321_145625.bmp
40,33.748,34.137,34.666,34.436,34.831,34.646,35.713,35.678,35.490,36.045,36.554,33.723,31.640,34.248,34.153,34.156,34.866,34.646,35.096,34.739,34.548,34.971,35.818,32.618,31.303,33.070,33.796,33.675,33.045,33.309,33.713,33.752,34.611,36.869,34.395,31.557,30.908,32.936,33.659,33.758,32.917,33.490,33.697,32.516,33.535,33.774,34.312,31.459,30.939,32.990,34.035,33.717,33.389,33.175,33.621,33.395,33.748,34.720,34.599,31.274,30.086,31.596,32.758,33.395,32.959,32.717,33.204,33.312,35.436,34.876,35.054,32.360,193.290,161.624,112.322,33.191,33.710,34.054,33.707,33.834,34.318,35.567,35.086,32.309,251.000,255.000,170.022,35.487,35.392,35.175,35.022,35.631,34.369,34.911,35.933,32.092,,mtp01_20220321_151624.bmp
60,33.436,33.904,34.315,34.204,34.510,34.490,35.519,35.312,35.420,35.933,35.987,33.697,31.596,34.229,34.013,33.943,34.500,34.726,34.962,34.729,34.379,34.955,35.924,32.172,31.232,32.713,33.478,33.213,32.911,33.159,33.605,33.589,34.490,35.576,34.414,31.360,30.602,32.589,33.389,33.487,32.914,33.016,33.315,32.331,33.213,33.822,34.268,31.490,30.605,32.933,33.831,33.519,33.468,33.118,33.401,33.551,33.758,34.627,34.376,31.236,29.809,31.296,32.506,33.185,32.885,32.624,33.025,33.121,35.283,34.885,34.841,32.245,191.990,160.229,117.283,33.054,33.599,33.713,33.398,33.567,34.041,35.334,34.946,32.054,251.000,255.000,180.436,35.236,35.121,35.016,34.685,35.548,34.271,34.793,35.838,31.691,,mtp01_20220321_153625.bmp
80,34.245,34.494,34.889,34.793,35.096,34.666,36.073,35.850,36.143,36.468,36.764,34.376,32.280,34.825,35.029,34.357,35.054,35.271,35.682,35.334,34.812,35.334,36.379,32.605,31.927,33.376,34.143,33.678,33.462,33.780,34.328,34.003,34.927,36.076,34.825,31.984,31.360,33.115,34.032,33.908,33.646,33.535,34.045,33.083,33.885,34.567,35.436,31.857,31.134,33.459,34.596,34.029,33.997,33.576,33.688,34.293,34.271,35.172,34.764,31.682,29.768,31.573,33.038,33.908,33.401,33.220,33.815,33.688,35.672,35.481,35.538,32.729,191.803,161.350,114.930,33.589,34.048,34.443,33.965,34.006,34.541,35.968,35.500,32.541,251.000,255.000,175.640,35.803,35.481,35.927,35.334,36.054,34.914,35.551,36.210,31.981,,mtp01_20220321_155624.bmp
100,34.780,35.146,35.115,35.124,35.561,35.182,36.634,36.032,36.914,36.863,37.296,34.841,32.815,34.306,35.758,34.904,35.545,35.771,36.283,35.780,35.315,35.873,37.111,32.204,32.452,34.102,34.468,33.908,33.917,34.420,34.777,34.430,35.462,37.255,35.156,32.379,31.882,33.519,34.185,34.325,34.108,33.573,34.481,33.755,34.334,35.210,35.682,31.949,31.471,33.736,35.459,34.682,34.096,33.825,33.873,34.844,34.898,35.529,35.188,32.006,29.981,31.596,33.395,34.401,33.892,33.672,34.283,33.793,36.217,36.089,36.220,33.354,190.723,161.844,110.338,33.866,34.500,34.761,34.322,34.057,35.182,36.124,35.774,33.029,251.000,255.000,168.904,36.255,35.818,36.615,35.748,36.481,35.360,35.955,36.538,31.952,,mtp01_20220321_161625.bmp
120,35.548,35.946,35.561,35.662,36.242,35.631,37.659,36.605,37.981,37.424,38.140,35.742,33.576,35.096,37.232,35.220,35.898,36.519,37.022,36.478,35.637,36.650,37.771,32.564,33.299,34.844,35.099,34.197,34.777,35.076,35.341,34.739,35.752,37.347,35.908,33.226,32.506,33.844,34.653,34.650,34.917,33.764,35.255,34.344,34.847,36.207,36.720,32.439,31.952,34.274,36.245,35.478,34.815,34.369,34.162,35.688,35.717,35.994,35.780,32.656,30.124,31.920,33.637,34.975,34.777,34.213,35.312,34.127,37.006,36.866,37.013,33.997,192.994,161.389,113.742,34.503,34.860,35.513,34.825,34.369,35.666,36.589,36.134,33.573,251.000,255.000,174.296,36.752,36.331,37.455,36.344,37.067,36.146,36.694,36.908,32.070,,mtp01_20220321_163626.bmp
140,36.255,37.092,36.347,36.338,37.242,36.175,38.634,36.981,39.092,38.220,39.226,36.866,34.478,36.430,39.064,35.796,36.662,37.382,38.096,37.236,36.277,37.191,38.930,32.917,34.271,36.064,36.096,34.889,35.404,35.975,36.188,35.099,36.309,38.150,36.748,34.127,33.363,34.519,35.150,35.258,35.729,34.127,36.035,35.669,35.723,37.439,37.933,33.115,32.360,34.787,37.646,36.369,36.153,35.070,35.102,36.475,36.646,36.656,36.554,33.360,30.166,32.175,34.191,35.793,35.331,35.166,36.341,34.752,37.701,37.532,38.019,35.032,191.927,162.236,118.513,35.118,35.764,36.242,35.497,35.032,36.204,37.105,36.634,34.252,251.000,255.000,181.156,37.420,36.895,38.742,36.879,38.258,37.299,37.427,37.726,32.146,,mtp01_20220321_165626.bmp
160,37.424,38.102,37.115,36.971,38.322,36.857,39.876,37.554,40.299,38.952,40.242,37.497,35.487,37.694,40.946,36.162,37.169,38.166,38.933,37.971,36.662,37.653,39.796,32.981,35.175,37.140,36.927,35.245,36.350,36.752,36.739,35.557,36.748,38.920,37.277,35.070,34.255,34.796,35.433,35.697,36.462,34.207,36.834,36.854,36.487,38.545,38.631,33.583,33.003,34.828,39.057,37.401,37.051,35.570,35.650,37.529,37.494,37.099,37.261,33.933,30.290,32.459,34.656,36.596,35.850,35.892,37.131,35.000,38.471,38.322,38.854,36.264,191.949,159.739,109.108,35.908,36.331,37.213,36.175,35.229,36.812,37.162,37.003,34.812,251.000,255.000,167.697,38.255,37.548,39.704,37.261,38.882,38.242,38.236,38.232,31.920,,mtp01_20220321_171626.bmp
180.25,38.828,39.876,38.408,38.156,40.153,38.236,41.783,38.446,42.150,40.070,41.825,39.070,36.876,39.599,44.303,37.070,38.497,39.481,40.720,38.834,37.745,38.764,41.640,33.790,36.554,38.965,38.650,36.354,37.758,37.971,37.984,36.653,37.637,40.780,38.576,36.959,35.780,36.016,36.299,36.503,37.615,35.118,38.389,38.611,38.102,40.713,40.115,34.618,34.022,35.748,41.194,39.245,38.866,36.952,37.045,39.497,38.978,38.264,38.627,35.175,30.659,32.933,35.490,37.924,37.191,37.373,38.490,36.150,39.911,39.640,40.197,38.255,189.513,161.401,111.169,37.102,37.650,39.083,37.357,36.162,37.589,37.911,37.809,35.984,251.000,255.000,169.624,39.732,38.768,41.484,38.439,40.226,39.761,39.838,39.366,32.099,,mtp01_20220321_173633.bmp
