File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220321_143622
MTP,2
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,27.150,26.729,28.506,27.869,27.223,26.682,26.838,27.576,25.459,29.220,27.841,26.334,26.653,25.561,27.328,26.904,26.822,26.146,26.615,26.443,27.140,28.143,28.067,25.589,24.602,25.554,25.790,26.185,25.363,25.134,25.268,25.850,27.159,27.146,27.051,25.551,25.108,26.146,25.226,26.611,25.726,23.099,26.309,27.194,26.946,27.538,27.280,25.169,25.465,25.627,25.529,26.366,26.159,25.659,25.682,27.334,27.468,26.939,26.920,25.236,25.513,26.513,26.525,26.624,26.646,26.061,25.736,26.554,27.901,26.834,28.732,25.538,25.847,26.016,26.573,26.611,26.939,26.809,26.879,26.634,27.911,29.694,28.013,27.299,26.850,26.930,27.035,27.057,28.624,28.586,26.885,26.971,26.927,28.306,29.768,27.150,,mtp02_20220321_143622.bmp
20,26.169,26.554,26.952,27.621,26.924,26.908,26.427,27.096,25.299,28.000,27.299,25.828,25.306,25.494,26.557,26.510,25.889,26.003,25.860,25.643,26.312,27.602,27.191,24.904,24.185,24.863,25.309,25.417,24.468,24.650,24.573,25.322,26.449,26.325,26.608,24.201,24.143,25.481,24.713,25.694,24.742,22.854,24.975,26.035,25.443,26.510,26.666,24.713,24.350,25.057,24.771,25.022,24.898,24.532,24.930,26.761,26.118,26.169,26.287,24.697,23.936,25.487,25.723,25.838,25.869,25.045,25.232,26.697,27.328,27.092,28.334,24.892,25.092,25.411,26.166,25.834,25.688,26.430,26.455,26.315,27.780,27.927,27.274,25.768,26.232,26.223,26.452,26.541,28.430,28.159,26.366,26.729,27.035,27.688,29.086,26.363,,mtp02_20220321_145625.bmp
40,26.207,26.490,26.901,27.720,26.933,27.070,26.666,27.354,25.389,28.271,27.608,26.038,25.627,25.732,26.548,26.828,26.513,26.092,26.194,26.041,26.589,27.732,27.411,25.010,24.061,25.038,25.535,25.656,24.720,24.866,24.869,25.439,26.487,26.646,26.729,24.427,24.411,25.726,25.041,25.901,24.968,22.959,25.236,26.516,25.803,26.882,27.016,25.061,24.608,25.143,25.092,25.354,25.013,24.732,25.274,27.099,26.404,26.443,26.732,24.994,24.261,25.809,26.131,26.092,25.554,25.080,25.414,26.892,27.713,27.156,28.309,25.111,24.936,25.640,26.685,25.930,25.828,26.153,26.659,26.640,27.984,28.646,27.583,25.981,26.487,26.525,26.879,26.739,28.554,28.389,26.605,26.981,27.334,28.169,29.513,26.561,,mtp02_20220321_151624.bmp
60,26.108,26.455,26.962,27.707,27.057,27.041,26.650,27.363,25.204,28.303,27.815,26.022,25.506,25.596,26.392,26.812,26.245,26.137,26.398,26.010,26.828,27.828,27.439,24.866,24.073,25.217,25.350,25.675,24.697,24.854,24.990,25.252,26.656,26.567,26.796,24.522,24.156,25.809,25.038,25.809,25.000,22.920,25.449,26.475,25.818,26.729,27.210,24.946,24.685,25.111,25.032,25.334,24.847,24.761,25.169,27.029,26.344,26.430,26.646,24.939,24.242,25.812,26.137,26.025,25.650,25.175,25.392,26.863,27.357,27.105,28.322,25.038,24.984,25.494,26.210,25.761,25.783,26.331,26.672,26.427,27.838,28.455,27.761,26.048,26.172,26.462,26.857,26.650,28.605,28.350,26.347,27.092,27.357,28.025,29.567,26.417,,mtp02_20220321_153625.bmp
80,26.156,26.850,27.191,28.092,27.312,27.583,27.150,28.111,25.459,29.054,28.503,26.449,25.889,25.812,26.669,27.631,26.573,26.685,26.898,26.551,27.197,28.159,28.115,25.178,24.197,25.707,25.446,26.277,25.099,25.293,25.395,25.605,27.070,26.854,27.019,25.038,24.656,26.239,25.264,26.146,25.707,22.949,26.191,26.959,26.411,27.025,27.608,25.000,24.583,25.290,25.366,25.904,25.143,25.210,25.672,27.618,26.666,26.850,26.981,25.258,24.245,26.086,26.611,26.213,26.092,25.369,25.656,27.076,27.917,27.465,28.525,25.443,25.025,26.064,26.465,26.175,26.137,26.268,27.013,26.920,28.188,28.863,28.363,26.901,26.758,26.825,27.385,27.003,28.971,28.475,26.799,27.522,27.774,28.338,29.984,26.736,,mtp02_20220321_155624.bmp
100,26.605,27.258,27.513,28.513,27.729,28.115,27.532,28.987,25.576,29.825,29.245,26.732,26.516,25.892,27.092,28.232,26.901,27.433,27.529,27.261,27.879,28.678,28.968,25.178,24.748,26.309,25.793,26.901,25.831,26.019,25.949,25.882,27.589,27.213,27.471,25.809,24.809,26.968,25.774,26.850,26.529,23.013,27.239,27.694,27.175,27.487,28.338,25.334,24.838,25.758,25.946,26.656,25.207,25.755,26.032,27.866,27.073,27.341,27.449,25.682,24.376,26.468,27.334,26.290,26.726,25.742,25.997,27.701,28.404,27.904,28.962,26.207,25.478,26.519,26.650,26.369,26.806,26.229,27.398,27.045,28.487,29.570,29.096,27.694,27.073,27.194,27.978,27.513,29.191,28.277,27.306,28.252,28.478,28.943,30.682,27.459,,mtp02_20220321_161625.bmp
120,26.850,27.631,27.911,28.828,28.245,28.796,28.185,30.293,25.532,30.943,30.459,27.401,27.092,26.223,27.688,29.210,27.675,28.599,28.554,28.131,28.841,29.334,30.315,25.293,25.201,27.280,25.892,27.946,26.809,26.857,26.771,26.309,28.315,27.659,28.115,26.828,24.901,27.694,26.331,27.545,27.717,23.127,28.955,28.809,28.500,28.025,29.420,25.513,25.086,26.064,26.618,27.818,25.494,26.538,26.777,28.475,27.866,27.984,27.924,26.108,24.602,26.841,28.404,26.360,27.898,26.137,26.436,28.344,29.459,28.424,29.169,27.137,26.076,27.325,26.994,26.873,27.497,26.455,27.936,27.465,29.092,30.217,30.073,29.290,27.809,27.930,29.061,28.000,29.299,28.414,28.035,29.210,29.328,29.863,31.844,28.258,,mtp02_20220321_163626.bmp
140,27.599,28.264,28.389,29.433,29.076,29.510,28.994,31.732,25.363,32.261,31.710,27.838,28.070,26.303,28.108,30.236,28.226,29.726,29.631,29.207,29.682,29.990,31.446,25.041,25.828,28.420,26.191,28.930,27.739,27.898,27.975,26.822,29.436,28.070,28.908,27.831,25.182,28.685,26.710,28.232,29.146,23.035,30.904,29.971,30.080,28.780,30.841,26.121,25.532,26.592,27.602,29.061,25.927,27.580,27.433,29.369,28.764,28.621,28.627,26.704,24.971,27.296,29.459,26.303,29.293,26.876,26.930,28.997,30.500,29.051,29.551,28.468,26.803,28.185,27.166,27.204,28.659,26.834,28.694,27.965,29.605,31.420,31.182,30.672,28.669,28.704,30.229,28.596,29.987,28.350,29.073,30.395,30.366,30.783,33.092,29.535,,mtp02_20220321_165626.bmp
160,28.459,28.850,28.955,29.898,29.889,30.455,30.140,33.656,25.252,33.952,32.901,28.487,28.850,26.436,28.815,31.443,28.774,31.137,30.854,30.296,30.838,30.685,31.318,25.041,26.694,29.752,26.430,30.099,28.678,29.131,29.076,27.357,30.449,28.564,29.720,28.806,25.643,29.968,27.468,29.376,30.911,22.920,33.054,31.401,31.605,29.596,32.121,26.338,26.185,27.080,28.570,30.634,26.392,28.834,28.318,30.433,29.869,29.490,29.529,27.589,25.232,27.803,30.621,26.369,30.627,27.726,27.545,29.592,31.519,29.828,30.153,29.917,27.678,29.309,27.682,27.838,29.799,26.927,29.376,28.385,30.159,32.828,32.360,28.223,29.411,29.586,31.551,29.261,30.787,28.338,30.099,31.678,31.427,32.086,34.213,30.376,,mtp02_20220321_171626.bmp
180.25,29.818,30.220,30.134,31.045,31.433,31.446,31.611,36.032,25.510,36.010,34.697,29.516,30.312,27.191,30.000,33.054,29.656,32.854,32.455,31.968,32.204,31.627,26.634,25.169,27.761,31.541,26.997,31.831,30.309,30.809,30.739,28.471,31.971,29.688,30.879,28.124,26.643,31.414,28.232,30.806,33.086,23.134,35.755,33.334,34.054,30.191,31.242,27.389,26.994,28.207,30.080,32.732,27.513,30.586,29.643,31.713,31.522,30.599,30.433,28.742,26.242,28.685,32.484,26.758,33.013,28.984,28.452,30.828,33.092,30.901,31.010,32.076,28.987,30.787,28.634,28.847,31.487,27.545,30.624,29.092,31.538,34.720,34.054,24.796,27.955,31.086,32.736,30.322,32.083,28.911,31.557,33.529,33.127,33.828,36.166,26.443,,mtp02_20220321_173633.bmp
