File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220321_143622
MTP,9
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,GP1_LB_Flux
a,0.0158
b,0.9854
c,0
d,2.3337
e,0
f,2.0044
GBlank,26.717
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.175,0.156,0.185,0.174,0.152,0.123,0.125,0.126,0.145,3.332,3.332,3.291,0.037,0.050,0.049,0.050,0.052,0.044,0.043,0.041,0.063,3.275,2.123,1.911,0.023,0.048,0.051,0.052,0.053,0.066,0.064,0.058,0.058,0.042,0.036,0.026,0.022,0.033,0.050,0.048,0.044,0.054,0.054,0.064,0.060,0.058,0.064,0.047,0.009,0.030,0.024,0.033,0.056,0.046,0.047,0.037,0.057,0.059,0.050,0.040,0.018,0.050,0.043,0.047,0.041,0.059,0.061,0.053,0.054,0.063,0.074,0.053,0.027,0.042,0.043,0.048,0.047,0.064,0.047,0.054,0.068,0.062,0.068,0.056,0.070,0.068,0.074,0.080,0.084,0.073,0.095,0.080,0.085,0.082,0.082,0.083,,mtp09_20220321_143622.bmp
20,0.160,0.140,0.174,0.163,0.129,0.110,0.111,0.115,0.134,3.332,3.332,3.290,0.034,0.041,0.042,0.042,0.041,0.038,0.036,0.035,0.054,3.275,2.173,1.933,0.006,0.029,0.030,0.034,0.026,0.041,0.052,0.043,0.050,0.034,0.021,0.014,0.004,0.023,0.038,0.029,0.028,0.047,0.045,0.048,0.049,0.048,0.056,0.036,0.004,0.024,0.012,0.029,0.041,0.037,0.052,0.034,0.045,0.045,0.042,0.026,0.003,0.038,0.033,0.029,0.028,0.043,0.051,0.043,0.048,0.054,0.059,0.039,0.016,0.030,0.031,0.038,0.036,0.050,0.041,0.044,0.052,0.054,0.053,0.034,0.063,0.060,0.064,0.074,0.077,0.063,0.083,0.068,0.071,0.074,0.066,0.071,,mtp09_20220321_145625.bmp
40,0.165,0.145,0.181,0.166,0.133,0.113,0.114,0.118,0.136,3.332,3.332,3.291,0.039,0.046,0.047,0.048,0.044,0.043,0.038,0.038,0.056,3.275,2.158,1.953,0.010,0.028,0.036,0.038,0.032,0.045,0.048,0.047,0.053,0.035,0.029,0.016,0.008,0.028,0.040,0.033,0.033,0.050,0.048,0.054,0.053,0.052,0.059,0.038,0.005,0.028,0.018,0.035,0.045,0.041,0.058,0.038,0.048,0.050,0.048,0.029,0.006,0.044,0.037,0.034,0.033,0.046,0.054,0.045,0.049,0.055,0.063,0.040,0.019,0.035,0.037,0.042,0.040,0.054,0.043,0.046,0.055,0.058,0.055,0.037,0.063,0.062,0.068,0.076,0.078,0.068,0.087,0.070,0.077,0.079,0.068,0.078,,mtp09_20220321_151624.bmp
60,0.161,0.140,0.175,0.159,0.130,0.112,0.114,0.116,0.131,3.332,3.332,3.290,0.034,0.045,0.044,0.044,0.043,0.041,0.036,0.035,0.056,3.275,2.114,1.970,0.007,0.026,0.035,0.028,0.032,0.039,0.047,0.043,0.049,0.032,0.026,0.012,0.006,0.022,0.036,0.031,0.032,0.047,0.044,0.048,0.050,0.049,0.057,0.036,0.005,0.026,0.015,0.033,0.042,0.041,0.057,0.034,0.044,0.043,0.044,0.026,0.007,0.041,0.035,0.034,0.030,0.045,0.052,0.044,0.047,0.054,0.060,0.035,0.016,0.031,0.034,0.040,0.037,0.050,0.042,0.046,0.053,0.056,0.053,0.033,0.059,0.057,0.065,0.076,0.076,0.065,0.085,0.069,0.071,0.076,0.067,0.073,,mtp09_20220321_153625.bmp
80,0.168,0.148,0.181,0.169,0.137,0.119,0.120,0.122,0.138,3.332,3.332,3.290,0.041,0.050,0.049,0.050,0.047,0.045,0.041,0.043,0.061,3.275,2.177,1.982,0.011,0.031,0.042,0.033,0.035,0.044,0.054,0.050,0.053,0.036,0.033,0.018,0.009,0.026,0.043,0.037,0.038,0.050,0.053,0.054,0.054,0.055,0.065,0.044,-0.004,0.032,0.023,0.038,0.048,0.048,0.060,0.040,0.049,0.052,0.049,0.035,0.014,0.046,0.041,0.033,0.034,0.051,0.058,0.048,0.052,0.061,0.066,0.043,0.023,0.036,0.041,0.045,0.042,0.057,0.049,0.052,0.060,0.062,0.062,0.041,0.066,0.062,0.073,0.089,0.080,0.071,0.089,0.073,0.081,0.083,0.073,0.084,,mtp09_20220321_155624.bmp
100,0.171,0.152,0.186,0.168,0.140,0.120,0.125,0.126,0.139,3.332,3.332,3.290,0.043,0.053,0.051,0.052,0.050,0.047,0.044,0.045,0.065,3.275,2.132,1.961,0.011,0.033,0.047,0.036,0.038,0.049,0.060,0.054,0.055,0.038,0.037,0.019,0.012,0.027,0.044,0.040,0.041,0.052,0.055,0.057,0.056,0.058,0.066,0.044,-0.001,0.036,0.023,0.041,0.051,0.048,0.066,0.042,0.052,0.054,0.052,0.039,0.019,0.048,0.040,0.039,0.038,0.059,0.059,0.051,0.056,0.064,0.069,0.044,0.025,0.038,0.042,0.051,0.046,0.058,0.055,0.054,0.063,0.065,0.071,0.043,0.068,0.065,0.074,0.094,0.086,0.076,0.092,0.074,0.082,0.089,0.077,0.088,,mtp09_20220321_161625.bmp
120,0.172,0.152,0.185,0.169,0.142,0.125,0.125,0.126,0.143,3.332,3.332,3.290,0.045,0.052,0.051,0.055,0.052,0.052,0.052,0.048,0.068,3.275,2.185,1.943,0.016,0.035,0.054,0.039,0.042,0.054,0.063,0.056,0.057,0.042,0.040,0.021,0.016,0.029,0.051,0.044,0.045,0.053,0.057,0.058,0.060,0.061,0.066,0.047,0.001,0.037,0.029,0.043,0.053,0.051,0.066,0.045,0.055,0.057,0.054,0.046,0.028,0.052,0.041,0.042,0.044,0.061,0.068,0.055,0.058,0.066,0.073,0.048,0.026,0.039,0.043,0.057,0.050,0.061,0.059,0.059,0.065,0.067,0.083,0.046,0.068,0.065,0.076,0.098,0.088,0.082,0.095,0.080,0.085,0.095,0.080,0.094,,mtp09_20220321_163626.bmp
140,0.177,0.156,0.190,0.174,0.147,0.121,0.131,0.128,0.142,3.332,3.332,3.290,0.046,0.055,0.056,0.058,0.054,0.054,0.057,0.053,0.072,3.275,2.134,1.967,0.019,0.037,0.064,0.044,0.048,0.058,0.066,0.062,0.060,0.046,0.045,0.024,0.021,0.030,0.053,0.048,0.048,0.057,0.061,0.062,0.066,0.066,0.069,0.046,0.003,0.042,0.034,0.048,0.056,0.054,0.071,0.047,0.059,0.061,0.056,0.053,0.037,0.060,0.042,0.051,0.048,0.067,0.072,0.055,0.059,0.070,0.079,0.049,0.031,0.042,0.047,0.061,0.052,0.064,0.068,0.059,0.070,0.074,0.103,0.047,0.070,0.069,0.079,0.106,0.093,0.087,0.099,0.082,0.091,0.103,0.085,0.102,,mtp09_20220321_165626.bmp
160,0.177,0.153,0.185,0.171,0.151,0.120,0.131,0.128,0.142,3.332,3.332,3.290,0.045,0.055,0.058,0.059,0.053,0.055,0.059,0.055,0.072,3.275,2.125,1.939,0.016,0.038,0.074,0.046,0.051,0.061,0.067,0.065,0.057,0.049,0.051,0.025,0.019,0.031,0.056,0.050,0.051,0.057,0.061,0.062,0.068,0.070,0.070,0.046,0.003,0.044,0.038,0.050,0.058,0.056,0.074,0.047,0.063,0.065,0.056,0.060,0.042,0.063,0.042,0.057,0.050,0.067,0.075,0.053,0.061,0.073,0.083,0.052,0.031,0.043,0.045,0.063,0.054,0.065,0.073,0.064,0.071,0.078,0.121,0.049,0.066,0.066,0.075,0.108,0.093,0.089,0.099,0.081,0.092,0.108,0.085,0.106,,mtp09_20220321_171626.bmp
180.25,0.185,0.162,0.192,0.177,0.161,0.129,0.144,0.136,0.152,3.332,3.332,3.290,0.057,0.064,0.068,0.070,0.064,0.062,0.074,0.067,0.084,3.275,2.164,1.952,0.025,0.044,0.098,0.060,0.064,0.074,0.076,0.077,0.065,0.062,0.064,0.031,0.032,0.040,0.068,0.063,0.062,0.065,0.073,0.073,0.081,0.080,0.081,0.052,0.010,0.056,0.049,0.058,0.068,0.067,0.086,0.055,0.075,0.074,0.068,0.083,0.060,0.078,0.050,0.075,0.061,0.082,0.090,0.059,0.068,0.083,0.099,0.060,0.040,0.053,0.053,0.077,0.068,0.074,0.089,0.078,0.084,0.095,0.154,0.058,0.072,0.071,0.084,0.121,0.106,0.105,0.109,0.089,0.104,0.122,0.102,0.123,,mtp09_20220321_173633.bmp
