File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201209_143618
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,429","27,594","27,394","28,176","31,278","31,506","30,025","30,827","30,971","34,453","34,002","39,163","28,186","26,496","28,071","33,614","29,400","28,633","28,908","29,543","30,159","29,504","29,278","29,365","29,896","27,698","29,120","27,069","27,727","30,147","27,120","26,678","33,716","28,759","29,335","30,375","30,363","29,916","29,702","27,884","26,937","29,706","27,529","27,588","27,978","30,145","28,804","29,594","28,855","29,014","28,739","29,547","30,057","28,053","29,063","27,025","29,855","29,486","26,557","28,824","28,676","28,606","28,480","28,137","28,880","27,816","27,014","29,153","28,661","29,294","29,804","30,239","31,816","28,994","30,918","28,718","30,229","29,676","29,275","29,453","30,790","30,029","32,047","30,931","28,635","29,637","31,902","32,304","32,180","33,412","29,606","33,982","30,882","31,147","33,176","30,749"
20,"28,714","26,875","27,545","28,471","31,963","31,341","29,633","30,694","30,661","35,365","33,825","39,241","27,559","25,951","27,873","31,975","28,041","28,192","27,769","29,267","30,271","29,725","28,914","29,051","30,035","26,422","28,269","26,137","27,614","28,361","27,035","26,663","34,741","29,176","29,539","30,125","29,975","30,278","30,296","27,880","27,304","29,018","26,759","27,465","27,702","30,537","28,196","28,929","28,106","28,622","28,543","27,849","28,300","28,720","27,008","26,986","29,292","30,510","26,465","28,273","28,325","27,808","28,347","27,627","29,541","27,949","27,006","28,798","27,810","29,057","28,137","29,380","31,496","28,543","30,278","28,331","29,402","30,292","28,645","29,524","30,198","29,604","31,300","30,602","29,169","29,539","30,959","32,649","32,337","34,041","30,708","34,141","30,047","30,884","31,945","30,643"
40,"29,637","27,047","27,937","28,704","32,059","32,043","30,602","31,220","30,947","36,806","35,110","41,076","28,041","26,147","28,184","32,724","28,778","29,022","28,449","29,957","30,763","30,269","29,745","29,851","30,910","27,116","29,067","26,325","27,694","28,818","27,129","26,522","35,790","29,204","30,233","30,925","30,820","31,004","30,216","28,390","27,325","28,675","27,151","27,263","28,124","31,510","28,853","29,743","29,502","29,859","29,302","28,020","28,325","28,741","27,441","26,916","29,180","30,190","26,441","29,082","29,076","28,573","28,933","28,094","29,637","27,676","26,994","29,018","28,435","29,325","28,502","29,918","32,082","29,161","31,198","28,706","30,175","30,204","29,129","30,084","30,710","30,022","31,682","31,276","29,090","29,982","31,882","32,971","32,686","35,180","29,565","34,900","30,598","31,433","32,357","31,251"
60,"30,824","27,775","28,514","29,606","33,792","33,610","31,567","32,424","32,286","37,767","36,994","42,651","28,845","26,582","28,900","32,724","30,022","30,153","29,275","31,161","31,390","31,298","30,955","30,543","31,853","28,475","30,504","26,702","28,775","29,876","27,712","27,037","37,618","30,300","31,182","32,329","32,253","31,947","30,876","28,906","27,975","29,502","27,802","28,202","29,204","33,304","29,861","31,314","31,002","32,045","30,788","29,218","29,476","29,922","28,447","27,484","30,461","30,561","26,680","29,988","30,675","30,290","30,271","28,886","30,406","28,492","27,437","30,157","29,298","29,924","29,412","30,831","33,055","29,902","32,812","29,657","30,998","31,216","30,208","30,561","31,751","30,745","32,653","32,357","29,094","30,639","33,322","34,833","33,767","35,173","30,043","36,627","31,490","32,345","33,616","32,239"
80,"32,967","28,504","30,000","31,116","37,245","37,282","33,318","34,882","35,124","40,075","40,131","46,027","30,514","27,384","29,998","34,008","32,267","32,202","31,533","33,327","33,157","33,337","33,082","32,171","33,876","30,859","32,506","27,671","30,657","31,910","29,202","28,139","39,553","32,539","32,106","34,457","34,465","33,882","32,412","30,682","29,563","31,255","29,384","29,196","31,069","35,288","31,900","33,712","33,855","34,957","32,941","31,531","31,863","30,986","30,473","28,571","32,831","31,614","27,553","32,271","33,327","33,055","32,294","31,206","32,045","29,937","28,725","32,316","31,459","31,590","31,227","32,924","35,178","32,078","35,396","31,127","33,188","33,590","32,657","32,008","34,076","32,353","34,575","33,892","29,033","32,063","36,371","38,227","35,761","36,086","31,212","39,969","33,263","34,106","35,627","33,576"
100,"35,955","29,841","31,929","32,627","43,520","40,125","36,641","38,047","39,908","43,629","44,349","49,163","33,004","28,582","31,357","35,018","36,076","35,198","34,237","35,914","35,088","35,806","35,684","33,565","36,188","35,153","35,818","28,959","33,941","34,202","31,124","29,325","42,290","35,882","33,078","37,798","38,394","35,557","33,973","32,884","31,743","34,104","31,269","31,233","33,661","38,873","34,567","37,635","37,010","37,520","36,882","35,618","35,212","32,816","33,273","30,575","35,951","32,833","28,739","35,325","37,894","37,647","35,184","34,678","33,771","32,253","30,094","36,700","34,953","33,584","33,918","36,031","37,837","35,153","40,251","33,312","36,357","37,171","35,996","34,353","37,002","34,633","36,945","36,475","28,931","34,263","40,894","43,194","37,610","37,384","32,818","44,129","35,859","36,984","38,676","36,463"
120,"39,835","31,675","33,257","36,220","47,816","42,837","40,471","41,208","43,992","48,259","48,492","52,594","36,641","30,682","34,390","37,425","38,943","40,033","39,092","42,243","38,004","40,431","37,814","34,627","40,327","38,578","38,131","31,912","36,014","40,235","35,539","31,822","47,498","38,878","34,649","41,698","40,794","37,920","36,739","36,998","36,706","39,529","35,337","34,396","39,549","44,239","39,355","41,308","38,418","38,392","38,433","37,627","40,453","36,333","34,712","34,090","41,316","35,986","30,122","36,394","42,351","44,941","41,027","37,798","38,382","36,137","33,431","38,904","38,271","37,420","39,292","39,135","39,951","38,235","46,359","37,286","41,943","41,994","41,069","38,100","37,894","38,653","41,935","39,363","29,039","36,325","44,441","48,129","38,190","39,549","35,343","45,982","38,124","39,804","42,847","37,271"
140,"42,371","31,994","34,604","36,604","46,663","39,878","43,278","43,422","44,492","46,280","47,767","58,051","39,449","33,065","37,508","37,943","40,071","43,341","41,124","44,767","43,071","43,622","41,355","35,031","45,165","40,359","40,678","36,914","39,320","42,594","39,222","32,208","50,139","40,408","35,978","43,378","41,686","39,831","38,400","42,847","39,863","42,367","37,098","37,390","43,800","45,455","41,373","41,745","40,331","35,945","40,829","40,955","42,965","39,706","36,790","36,376","43,694","38,976","30,710","38,114","43,049","46,418","44,620","40,320","42,182","39,188","36,361","41,580","40,765","40,143","43,745","41,696","42,212","38,080","44,133","38,200","44,410","44,782","43,024","39,331","41,035","41,522","47,120","38,800","28,986","38,122","43,700","47,906","39,012","41,933","35,624","47,259","40,188","40,412","44,510","39,235"
160,"41,227","32,214","34,704","36,951","48,682","38,912","42,118","45,386","43,829","46,406","53,539","58,153","38,920","34,473","37,929","40,471","38,894","43,482","40,418","47,545","43,284","45,643","41,394","35,498","42,582","41,035","39,631","41,400","37,943","43,708","39,557","34,412","55,594","39,402","39,222","41,325","42,122","35,737","39,931","43,612","40,506","40,871","36,975","38,694","43,320","45,314","42,794","40,124","38,331","37,325","39,120","41,178","44,324","41,186","36,655","38,553","46,265","41,629","31,557","37,978","42,404","47,098","46,661","39,904","41,804","38,914","39,408","41,057","41,057","37,280","43,598","41,022","40,416","38,257","46,816","38,704","44,957","43,529","44,141","39,882","42,329","40,678","51,935","39,976","28,725","38,120","43,078","50,194","38,661","44,073","35,618","47,843","39,253","40,576","44,212","38,686"
"180,25","42,755","32,245","34,771","39,673","55,267","42,059","45,984","51,629","48,504","52,947","59,086","63,461","41,798","35,075","39,153","41,231","41,127","49,610","43,006","55,088","48,529","53,876","46,849","36,010","49,453","44,890","41,965","42,765","39,306","50,894","45,759","35,735","59,061","41,690","41,586","43,018","48,212","41,104","40,520","51,347","47,227","47,563","39,327","38,682","45,469","49,975","49,682","42,384","40,453","43,269","40,998","43,663","50,041","41,631","36,125","38,459","53,604","41,635","31,473","38,282","46,110","53,937","54,543","43,069","49,412","39,290","42,441","43,906","44,429","43,447","47,916","44,388","42,708","38,892","52,753","40,112","51,625","46,606","49,486","41,359","49,345","47,037","61,643","40,475","28,724","37,657","46,990","54,216","40,857","44,973","34,465","50,888","39,349","43,810","46,906","39,867"
