File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201209_143618
MTP,4
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"26,555","25,859","25,773","25,018","25,322","28,263","26,551","27,788","27,131","27,108","26,625","28,135","26,178","23,584","23,714","26,702","24,580","23,794","31,984","30,076","24,165","25,886","24,610","31,676","23,790","23,253","27,582","25,002","23,655","27,455","23,451","27,878","24,341","25,594","26,557","24,251","23,594","23,257","28,561","27,249","26,341","25,322","24,088","38,722","27,245","26,018","24,453","23,569","23,449","23,698","24,194","23,569","24,820","23,563","24,018","24,306","24,010","26,273","25,782","24,471","34,022","26,024","24,816","23,308","23,308","23,714","23,869","24,524","24,788","25,953","28,686","24,790","28,202","23,596","24,780","25,361","26,196","28,071","27,098","28,553","31,873","29,773","37,345","31,825","25,692","25,086","28,357","26,271","25,425","26,137","34,708","40,404","30,931","25,963","28,778","26,722"
20,"26,631","25,571","25,984","24,727","25,002","27,759","26,433","26,745","26,994","26,520","26,351","27,510","26,949","23,543","23,663","26,180","23,949","23,586","28,312","28,847","23,769","25,043","24,790","30,292","23,447","22,929","26,451","24,818","23,027","26,663","23,375","27,386","24,518","25,792","26,657","24,551","23,502","22,825","30,798","26,798","26,239","26,080","24,125","39,841","25,349","25,375","24,425","23,724","23,373","23,208","24,012","23,282","24,810","23,118","23,776","23,227","24,096","25,653","26,229","24,333","30,727","25,861","25,098","23,504","23,304","23,776","23,935","24,316","24,600","24,953","27,733","24,490","26,231","23,722","24,688","25,451","24,725","28,702","26,020","28,251","31,024","28,822","33,549","28,857","25,810","25,102","29,169","26,437","25,233","26,120","32,229","36,341","29,861","26,273","28,082","26,212"
40,"26,798","25,678","25,935","24,733","25,247","28,125","26,790","26,882","27,124","26,794","26,629","27,790","27,539","23,716","23,684","26,549","24,041","23,676","29,049","28,982","23,984","25,169","24,708","31,467","23,557","22,882","26,886","25,037","23,127","25,584","23,486","28,080","24,525","26,080","27,122","24,839","23,673","22,786","29,218","26,259","26,431","26,361","24,080","38,327","25,447","25,380","24,588","23,820","23,202","23,388","24,302","23,247","23,488","23,039","23,745","23,165","24,225","25,573","26,661","24,363","32,606","26,465","25,137","23,388","23,041","23,865","23,947","24,145","24,769","25,024","28,235","24,545","26,618","23,798","24,927","25,618","24,967","29,835","26,341","28,902","32,245","29,718","35,286","30,082","26,035","25,133","29,551","26,625","25,249","26,296","33,008","38,625","30,700","26,286","28,480","26,273"
60,"27,167","25,780","26,163","24,810","25,308","29,071","26,631","27,429","27,396","27,133","26,694","28,339","28,396","23,892","23,776","26,565","24,251","23,598","30,098","30,204","23,971","25,825","24,822","33,908","23,643","23,020","27,802","25,455","23,163","26,382","23,410","27,165","24,282","26,494","28,147","25,149","23,706","23,002","27,522","27,282","27,261","26,612","23,973","40,427","26,018","25,624","24,612","23,816","23,231","23,502","24,306","23,092","23,739","23,373","23,796","22,959","24,208","26,163","26,986","24,565","35,757","27,478","25,165","23,290","22,927","23,659","23,902","24,286","24,853","25,129","29,555","24,580","27,522","23,725","24,859","25,561","25,165","29,720","27,014","30,173","34,153","31,290","38,741","32,384","25,845","25,098","29,614","26,514","25,047","26,471","35,059","42,449","31,778","25,978","29,129","26,396"
80,"27,841","26,324","26,551","25,375","25,696","29,943","27,671","28,745","28,194","27,667","27,376","29,261","28,482","24,482","24,061","26,980","24,767","23,929","32,210","32,553","24,422","27,145","25,194","38,484","24,143","23,627","29,125","25,649","23,667","27,541","23,806","28,743","24,529","26,822","29,947","25,218","23,941","23,349","27,620","28,635","27,300","27,498","24,412","43,124","27,473","26,375","24,680","23,696","23,469","23,904","24,635","23,308","24,565","24,098","24,612","23,014","24,684","27,159","27,304","24,776","41,845","29,612","25,025","23,598","23,335","24,231","24,302","24,924","25,651","25,906","32,059","25,029","29,184","23,841","24,990","26,055","26,208","30,525","28,498","32,867","38,435","34,580","44,296","36,627","26,137","25,516","29,582","26,741","25,388","27,147","39,000","48,414","34,627","26,216","30,710","26,731"
100,"28,575","27,161","27,261","25,859","26,131","32,125","28,606","30,486","29,412","29,155","28,145","30,563","29,186","25,320","24,392","28,090","25,682","24,173","35,506","36,120","24,773","28,908","25,435","44,822","24,551","23,908","31,614","26,184","24,010","29,116","24,084","30,869","24,610","27,235","32,537","25,627","24,184","23,745","28,255","30,496","28,435","28,167","24,465","47,743","28,755","27,182","25,086","23,739","23,325","24,425","24,906","23,316","25,349","24,982","25,475","23,124","24,816","28,020","27,937","25,110","49,582","32,206","24,908","23,590","23,375","24,347","24,278","25,129","26,388","26,533","36,163","25,447","31,476","23,824","25,035","26,371","25,625","31,537","30,847","36,492","43,831","39,116","51,900","45,041","26,145","25,741","30,057","26,663","25,382","27,737","44,486","53,804","38,490","26,029","32,898","27,098"
120,"30,043","28,396","28,269","26,841","27,747","35,118","31,024","34,408","31,996","31,620","29,667","33,043","30,247","26,771","25,392","29,420","27,698","24,694","38,886","43,629","25,839","32,602","26,233","51,396","25,951","25,002","35,871","27,729","25,727","32,590","24,786","34,976","25,186","26,286","38,137","26,163","24,551","24,782","29,800","34,643","31,300","28,890","24,888","53,002","32,508","28,869","25,873","23,892","23,818","25,531","25,824","23,935","27,847","26,461","27,159","23,569","25,110","30,027","28,241","25,484","58,192","38,322","24,929","24,375","24,224","25,371","24,824","26,298","28,333","28,667","43,955","26,355","36,696","24,267","25,480","27,457","24,994","34,180","34,978","44,720","50,927","45,645","52,537","49,841","26,625","26,818","29,604","27,043","25,994","29,133","52,829","57,382","45,833","26,461","37,212","28,120"
140,"31,980","31,086","30,575","28,200","29,055","41,776","34,839","41,376","33,937","35,769","32,261","37,255","32,084","29,463","26,561","33,214","30,759","25,733","41,341","48,269","27,604","38,041","27,280","57,880","27,141","26,280","44,325","30,145","28,504","38,337","26,004","39,414","25,908","27,629","44,627","27,425","25,176","26,561","32,145","41,976","36,202","30,818","25,906","58,039","37,967","31,845","27,104","23,988","24,261","26,573","27,498","24,463","28,908","27,757","29,139","24,047","25,998","32,071","27,571","25,457","62,745","43,947","25,133","25,124","24,920","26,376","25,588","27,455","31,800","32,008","47,024","27,496","44,373","24,545","25,896","28,343","24,673","37,776","37,406","48,178","53,402","49,157","59,076","46,529","27,231","28,210","30,116","27,518","26,539","31,618","54,780","61,075","52,108","26,867","42,431","29,614"
160,"33,759","33,184","31,569","28,484","29,751","42,255","37,082","42,327","36,467","40,084","36,008","40,514","34,733","30,871","26,927","36,951","35,018","26,853","41,394","47,608","30,178","40,433","29,088","62,694","27,155","27,749","47,125","33,061","29,490","42,339","26,512","40,596","26,900","28,900","42,235","28,167","25,318","26,822","36,912","41,114","43,084","32,794","27,149","66,822","44,816","36,769","28,476","24,178","24,594","26,349","27,498","24,937","29,692","29,325","31,108","24,524","27,110","32,916","28,031","25,145","64,122","42,425","23,904","25,851","25,590","27,990","26,212","29,471","32,114","32,947","45,820","29,002","45,253","25,039","26,537","29,963","25,376","41,829","38,033","46,929","56,763","49,431","64,880","50,194","27,980","28,357","30,302","27,825","27,114","33,290","59,088","64,314","55,600","27,404","42,324","29,843"
"180,25","36,875","36,659","33,573","29,502","28,992","42,492","35,841","43,002","38,367","41,457","38,971","39,378","36,871","32,678","28,151","40,792","36,725","27,459","44,745","51,769","30,894","41,049","29,659","65,165","27,408","28,692","46,133","35,453","29,927","40,814","27,498","39,810","27,863","29,824","46,167","28,802","25,457","27,608","38,935","43,173","43,090","29,673","28,225","75,151","44,308","37,757","29,625","24,710","24,820","26,614","29,069","25,012","30,792","31,037","32,857","24,937","28,165","34,965","29,339","25,084","69,239","44,761","24,014","26,657","26,792","29,031","27,037","31,271","35,296","36,176","50,700","31,665","47,473","25,698","26,780","32,400","25,575","41,206","37,976","54,392","61,567","56,216","70,455","53,522","29,210","28,931","30,847","28,833","28,153","34,851","65,720","71,180","57,322","28,376","44,249","30,027"
200,"37,125","36,641","33,492","30,222","28,851","43,300","36,086","45,369","37,833","41,194","38,875","40,080","38,029","34,633","29,547","41,608","36,976","28,884","48,718","54,910","33,924","42,186","29,925","70,422","27,096","29,663","48,988","37,341","30,159","43,178","27,796","41,645","27,698","30,614","50,629","29,084","25,186","28,129","37,127","44,622","47,086","29,724","29,165","71,361","47,425","39,453","31,218","24,753","24,476","26,290","30,639","24,880","31,339","32,267","32,698","25,151","29,224","35,212","29,712","24,725","72,176","47,978","23,843","26,824","28,773","29,380","27,443","32,841","36,533","37,769","52,700","33,345","52,688","26,163","26,390","34,686","25,651","42,243","40,025","56,306","64,263","57,237","71,406","54,206","28,955","29,249","30,984","29,535","28,541","34,827","67,657","71,286","59,086","29,400","47,937","29,847"
220,"37,555","37,788","34,204","30,239","28,510","44,173","36,629","47,990","39,086","43,363","39,418","41,529","38,069","35,498","30,851","41,110","37,461","29,061","52,624","57,676","34,220","44,827","30,627","72,249","26,522","30,249","51,508","37,927","30,794","44,690","28,224","44,602","28,231","31,576","53,900","28,473","25,576","28,020","37,355","47,324","49,798","30,167","30,447","73,990","49,280","40,867","31,847","24,843","24,675","25,659","30,967","24,808","31,578","32,837","33,459","25,373","29,675","37,018","29,865","24,720","79,173","50,602","23,837","27,143","30,016","29,580","27,849","34,976","36,418","37,857","54,794","33,978","55,445","26,620","26,049","34,863","25,559","44,759","42,469","57,075","66,035","58,969","73,076","55,961","29,059","28,575","31,275","29,704","28,849","34,965","70,214","71,549","61,206","30,278","50,396","29,692"
240,"37,682","37,124","32,929","29,496","27,863","44,588","36,433","49,112","39,745","44,131","40,314","42,131","38,147","33,871","31,153","40,406","38,275","28,545","53,851","60,290","34,673","46,006","29,978","74,831","25,980","30,035","52,237","37,559","30,414","46,663","28,139","45,996","28,116","31,318","56,455","28,184","25,429","27,390","36,792","48,396","51,598","29,592","30,822","75,310","51,286","41,355","32,692","24,871","24,586","25,239","29,992","24,441","30,724","33,008","32,745","25,118","29,692","36,265","29,978","24,753","81,114","52,249","23,655","26,414","29,604","29,771","27,612","36,369","34,871","36,563","55,445","33,539","57,218","26,308","26,004","34,078","25,271","46,373","42,857","58,427","67,629","60,059","74,975","57,076","28,810","28,196","31,455","29,461","29,316","34,139","72,612","73,484","62,153","30,639","51,169","29,033"
260,"36,190","35,882","32,108","28,851","27,651","44,818","34,708","50,773","38,555","44,547","38,912","41,051","38,239","32,737","30,775","40,461","36,545","28,231","52,120","63,633","34,508","47,761","29,302","76,029","25,727","29,043","53,335","35,949","29,565","48,206","27,645","45,282","27,694","30,604","58,086","27,729","25,233","26,978","35,671","49,773","53,547","28,865","30,257","76,308","53,353","40,055","31,749","24,735","24,373","25,078","29,433","24,284","29,706","31,529","32,102","24,829","28,894","35,010","29,506","24,545","82,876","52,682","23,643","26,039","29,014","28,845","27,592","36,335","33,520","35,349","57,261","32,912","58,127","26,206","25,892","33,673","25,259","44,845","41,398","60,016","70,275","62,131","80,112","59,424","28,592","27,861","31,192","29,237","29,071","33,022","78,686","78,459","62,873","30,457","52,225","28,647"
280,"35,092","35,082","31,704","28,510","26,886","43,092","34,090","51,824","36,520","42,624","37,959","39,375","37,337","31,725","30,902","39,831","34,692","27,318","51,698","66,839","32,857","49,020","29,000","76,914","25,524","28,606","55,200","35,255","28,675","47,633","27,069","44,090","27,569","30,025","59,688","27,722","25,129","26,625","35,116","51,139","55,208","28,229","29,714","78,492","55,639","38,810","31,157","24,669","24,261","25,069","29,271","24,161","28,918","30,153","31,037","24,449","27,967","33,629","28,837","24,694","84,765","53,337","23,647","25,753","28,859","28,433","27,284","35,967","32,941","34,700","58,514","32,635","58,959","25,914","25,590","33,114","25,118","43,784","40,663","62,812","74,196","65,288","86,996","57,869","28,361","27,690","30,561","29,053","28,629","32,345","83,522","82,075","63,008","29,945","52,112","28,404"
300,"34,645","34,622","31,090","28,278","26,990","42,204","33,769","52,641","35,829","41,908","37,039","38,853","36,455","31,214","29,984","38,508","34,280","26,971","52,210","67,073","31,873","49,914","28,329","76,455","25,243","28,216","56,308","34,518","28,390","47,006","26,935","43,433","27,257","29,555","60,235","27,380","24,957","26,445","34,369","51,806","55,963","27,773","29,418","80,667","57,039","37,861","30,890","24,520","24,239","24,945","28,812","24,045","28,692","29,473","30,382","24,159","27,433","33,259","28,239","24,661","87,112","53,296","23,769","25,576","28,384","28,184","27,157","35,784","32,306","34,190","59,137","32,637","60,267","25,882","25,553","32,969","24,957","43,700","40,622","65,031","76,233","67,027","84,843","54,031","28,161","27,582","30,071","28,600","28,333","31,984","82,963","82,765","65,345","29,610","51,816","28,492"
320,"34,157","33,629","30,698","28,014","26,612","40,639","33,365","51,241","35,167","40,925","36,259","38,110","35,314","30,537","28,910","37,955","33,512","26,522","51,945","65,076","31,059","48,227","27,818","75,388","24,990","27,894","56,453","33,533","27,769","46,208","26,633","42,500","26,910","29,031","58,349","27,053","24,780","25,969","33,665","49,839","58,010","27,484","28,802","83,700","58,273","37,182","30,239","24,284","23,973","24,645","28,384","23,894","28,106","28,906","29,778","24,008","26,804","32,345","27,598","24,233","90,912","52,633","23,553","25,341","27,398","27,635","26,929","35,251","31,649","33,565","58,082","31,694","60,578","25,616","25,369","32,545","24,725","42,822","39,973","64,773","76,569","67,227","84,037","52,339","27,692","27,171","29,616","28,218","27,843","31,522","82,245","83,337","68,004","29,282","49,539","28,108"
