File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220601_140545
MTP,4
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,37.606,32.945,29.984,37.261,30.498,31.122,30.839,33.898,32.208,29.384,30.420,32.069,35.575,33.890,33.147,32.204,31.398,31.265,33.151,34.080,31.104,29.692,30.024,31.082,112.524,33.049,32.359,33.020,33.759,30.916,30.898,30.033,30.492,30.159,34.857,30.398,35.531,36.767,33.212,31.061,30.939,29.569,29.971,28.539,29.522,29.643,29.071,28.673,70.188,33.914,33.363,34.751,32.286,30.720,30.790,29.906,33.233,29.961,29.143,29.414,35.190,33.700,34.155,33.914,30.175,32.284,31.725,29.498,31.473,29.802,29.165,28.831,35.743,33.169,38.665,35.769,32.920,33.459,32.398,30.780,30.431,34.033,30.369,30.369,46.510,64.880,39.631,34.325,32.743,34.618,32.810,31.308,30.751,30.935,31.737,32.069,,mtp04_20220601_140545.bmp
20,37.963,33.629,30.122,36.808,30.182,31.057,30.963,33.575,32.112,28.953,30.031,31.808,35.112,34.073,33.541,31.922,30.765,30.994,32.561,33.727,31.431,29.184,30.471,31.084,116.671,32.976,33.210,33.118,33.902,31.414,32.096,29.522,30.771,30.124,37.414,30.194,35.890,34.810,32.743,31.518,31.935,29.888,29.582,28.959,29.573,30.498,28.569,28.871,76.086,34.590,32.927,34.773,31.947,31.098,30.092,28.724,33.629,29.878,29.912,28.890,34.739,32.994,33.718,33.508,30.469,30.882,32.061,29.273,31.276,28.576,29.265,29.114,36.284,33.606,38.755,33.749,33.118,33.498,32.416,30.994,30.335,33.700,29.635,30.231,46.873,67.894,39.718,34.347,32.747,34.418,33.029,31.625,30.806,30.710,31.829,32.133,,mtp04_20220601_142548.bmp
40,38.355,33.820,29.831,36.894,30.616,31.522,31.225,34.357,31.910,29.098,29.716,32.341,35.537,34.129,34.596,32.239,30.980,31.027,32.963,34.553,31.649,29.425,30.190,31.443,118.812,33.702,33.257,32.535,34.716,31.825,31.157,29.243,30.788,30.318,38.249,30.273,35.278,35.722,33.698,31.496,30.773,30.065,29.908,28.527,29.661,30.461,29.055,28.957,77.043,34.590,33.645,33.978,31.429,31.439,30.831,28.692,32.149,30.176,29.825,29.408,35.529,33.804,34.473,34.294,30.751,31.002,32.543,29.882,31.778,28.953,28.925,28.763,35.929,34.155,40.041,33.443,33.363,33.243,32.584,30.935,30.727,34.155,29.727,30.625,47.500,69.516,40.471,33.447,32.992,34.888,33.429,31.945,31.178,31.075,32.222,32.512,,mtp04_20220601_144549.bmp
60,39.829,34.922,29.939,36.990,31.408,32.490,31.904,35.067,32.996,29.959,30.020,32.880,36.127,34.902,34.416,33.378,31.953,31.520,33.861,35.627,32.198,30.161,31.369,31.298,120.665,34.078,33.992,33.339,33.829,32.771,31.616,30.175,31.531,30.961,38.778,30.812,36.457,36.506,34.690,32.486,32.312,30.775,30.861,28.973,30.306,31.047,29.847,29.506,77.843,35.190,34.365,35.116,32.551,32.459,31.488,29.437,33.024,30.825,30.355,30.051,36.443,34.380,35.269,35.282,31.318,31.704,33.247,30.290,32.537,29.796,29.937,29.414,36.692,35.049,41.182,34.308,34.682,34.486,33.635,32.014,31.490,35.029,30.461,31.410,47.945,71.914,41.322,34.033,33.639,35.402,34.169,32.727,31.722,31.724,32.808,33.294,,mtp04_20220601_150548.bmp
81,64.657,36.200,29.906,38.698,33.212,34.437,35.833,36.302,32.690,31.092,30.392,34.296,35.945,35.608,35.431,34.939,33.339,33.349,38.514,37.037,33.412,31.331,31.245,31.920,38.000,36.016,35.778,34.516,34.765,33.931,31.324,32.076,33.800,32.516,39.557,31.602,35.843,35.224,35.798,33.565,32.437,31.737,32.120,30.224,31.524,31.827,31.202,30.114,38.057,35.073,34.739,34.982,33.520,32.724,31.982,30.508,32.878,31.678,32.141,31.029,37.276,34.653,35.184,34.598,32.573,32.353,33.194,31.224,33.647,30.904,31.698,30.702,37.037,34.616,36.214,34.984,33.304,35.235,34.288,33.575,34.827,36.220,30.788,32.606,48.639,69.006,42.635,38.827,38.771,36.378,36.133,34.867,32.900,32.804,33.965,34.004,,mtp04_20220601_152643.bmp
101,67.392,38.388,29.786,39.137,35.518,36.175,37.555,37.551,34.306,32.606,30.720,36.649,33.853,37.318,37.298,37.647,34.990,34.890,39.802,39.733,35.125,33.227,32.071,33.261,40.035,38.382,37.390,36.155,36.484,35.808,32.563,33.535,34.520,34.200,38.237,32.943,37.514,37.086,37.822,35.180,34.243,32.153,34.157,31.975,32.655,33.235,32.416,31.218,39.710,36.847,35.908,37.190,35.182,34.629,33.929,32.282,34.092,33.412,33.775,32.667,39.553,36.349,37.218,35.994,33.941,33.786,34.684,31.669,34.798,32.220,33.867,31.867,38.565,35.600,38.739,36.498,34.255,37.965,36.610,35.643,36.635,37.880,32.024,34.039,50.896,69.861,43.402,39.357,39.694,37.498,38.149,36.669,34.351,34.039,35.098,35.698,,mtp04_20220601_154642.bmp
121,71.471,42.918,29.967,41.745,40.139,40.716,40.682,41.018,37.296,35.833,31.657,40.790,34.369,40.610,40.759,42.725,39.151,37.925,43.739,46.080,39.088,36.967,34.839,35.714,44.231,43.100,41.402,39.776,40.380,39.508,34.806,36.661,36.039,38.027,40.888,35.484,41.465,40.698,42.688,38.335,37.963,34.075,38.200,35.565,36.063,35.998,35.469,33.947,43.161,40.984,38.345,41.831,39.567,38.622,37.655,36.637,37.214,36.655,38.498,35.735,43.429,39.002,41.433,40.498,37.469,37.416,37.941,33.433,37.839,35.465,38.912,34.373,41.994,37.484,44.378,39.661,36.684,43.555,41.996,40.131,40.853,41.500,34.302,37.459,54.224,73.586,45.720,40.724,42.106,39.510,42.304,40.082,37.069,36.702,37.973,39.663,,mtp04_20220601_160642.bmp
141,77.292,49.000,29.900,46.163,43.937,46.986,46.425,45.233,42.061,40.802,33.157,43.453,34.573,46.357,44.547,48.018,46.051,42.331,48.855,48.937,43.806,42.296,39.633,39.661,50.769,50.331,48.102,45.643,43.310,41.765,39.647,41.602,37.437,43.551,45.853,38.710,48.347,45.525,48.900,41.290,44.943,35.349,43.618,41.669,39.949,41.245,40.551,38.051,49.594,48.231,43.392,48.271,45.304,45.247,43.016,41.980,41.290,41.375,43.922,36.459,47.914,44.192,47.731,45.537,43.212,42.857,43.880,36.090,42.265,40.941,44.518,38.461,47.016,39.998,49.037,45.480,38.690,50.198,45.255,45.967,47.039,46.002,38.165,40.773,60.467,77.994,48.333,42.557,45.776,42.580,48.580,44.286,41.835,40.257,42.729,44.249,,mtp04_20220601_162643.bmp
161,81.910,51.514,29.845,53.176,44.512,50.284,50.833,49.253,45.173,44.563,35.188,51.506,33.598,50.229,49.775,53.476,48.808,46.073,50.461,50.586,47.406,45.476,42.888,43.576,55.735,52.188,52.294,49.343,42.947,33.922,41.116,46.247,37.798,44.331,53.167,40.935,50.582,49.649,49.649,41.069,48.139,35.973,48.965,44.888,41.855,45.188,43.739,42.914,49.841,51.963,47.996,53.475,47.763,47.475,48.759,42.967,44.759,45.245,50.147,37.108,52.200,49.731,50.616,46.522,45.776,47.112,48.204,39.392,45.816,43.800,42.920,43.155,49.382,42.480,49.725,48.873,39.904,48.914,45.439,47.608,47.453,49.771,43.839,44.996,63.810,79.614,49.959,44.833,48.982,44.914,49.822,48.000,45.433,45.000,43.798,46.127,,mtp04_20220601_164643.bmp
181,88.680,55.480,29.839,65.447,46.069,53.075,52.924,50.345,48.429,46.696,38.284,65.469,33.876,54.918,53.727,60.018,51.522,51.753,49.780,54.325,49.622,48.451,47.731,46.427,58.331,54.980,55.388,51.492,44.459,31.441,42.722,48.096,38.580,45.980,65.108,42.876,53.404,53.167,51.747,42.190,52.237,37.676,52.949,46.849,42.531,47.684,47.280,44.475,52.588,55.029,51.043,57.371,51.827,51.012,51.427,45.110,45.088,46.998,58.800,37.851,57.171,51.292,53.239,49.108,48.035,48.794,51.939,43.541,46.712,46.186,44.488,45.118,46.822,46.175,51.896,51.916,41.271,52.663,47.618,49.063,49.522,52.137,44.914,45.576,67.980,83.602,53.606,46.039,51.196,47.088,52.386,50.073,48.402,43.667,46.259,47.414,,mtp04_20220601_170642.bmp
