File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220601_140545
MTP,10
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,Ecoli_LB_GP2_Flux
a,0.0146
b,0.9471
c,0.0001
d,2.1939
e,0
f,2.004
GBlank,28.547
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.163,0.158,0.121,0.121,0.128,0.136,0.113,0.090,0.096,0.114,0.133,0.204,0.171,0.136,0.129,0.115,0.105,0.126,0.121,0.082,0.142,0.064,0.053,0.199,0.148,0.119,0.081,0.080,0.093,0.081,0.062,0.105,0.076,0.051,0.060,0.084,0.098,0.118,0.126,0.128,0.100,0.113,0.031,0.035,0.042,0.042,0.054,0.058,0.084,0.075,0.075,0.143,0.137,0.124,0.086,0.019,0.075,0.453,0.054,0.052,0.122,0.077,0.106,0.144,0.104,0.099,0.103,0.039,0.048,0.053,0.052,0.157,0.149,0.073,0.120,0.132,0.165,0.088,0.061,0.043,0.067,0.032,0.059,0.082,0.085,0.168,0.110,0.112,0.075,0.075,0.045,0.057,0.085,0.064,0.102,0.085,,mtp10_20220601_140545.bmp
20,0.158,0.155,0.122,0.117,0.131,0.115,0.118,0.094,0.103,0.105,0.137,0.199,0.131,0.112,0.143,0.098,0.108,0.101,0.126,0.099,0.145,0.066,0.055,0.156,0.153,0.097,0.066,0.079,0.094,0.082,0.063,0.107,0.081,0.059,0.059,0.113,0.076,0.088,0.083,0.081,0.079,0.140,0.033,0.043,0.046,0.045,0.050,0.053,0.087,0.073,0.076,0.095,0.064,0.074,0.095,0.025,0.079,0.421,0.054,0.053,0.121,0.075,0.097,0.150,0.100,0.088,0.101,0.040,0.038,0.055,0.038,0.149,0.141,0.071,0.126,0.102,0.162,0.064,0.055,0.033,0.061,0.030,0.044,0.054,0.091,0.191,0.093,0.109,0.079,0.077,0.038,0.075,0.094,0.059,0.065,0.110,,mtp10_20220601_142548.bmp
40,0.154,0.134,0.124,0.119,0.134,0.115,0.118,0.084,0.108,0.098,0.133,0.194,0.130,0.117,0.135,0.102,0.115,0.098,0.137,0.089,0.156,0.071,0.063,0.144,0.156,0.101,0.066,0.084,0.089,0.077,0.067,0.111,0.085,0.058,0.060,0.111,0.080,0.082,0.084,0.080,0.080,0.076,0.032,0.041,0.049,0.041,0.051,0.052,0.089,0.072,0.064,0.090,0.059,0.064,0.090,0.026,0.069,0.383,0.048,0.053,0.120,0.071,0.089,0.142,0.097,0.085,0.100,0.042,0.028,0.051,0.036,0.143,0.146,0.071,0.125,0.088,0.123,0.065,0.045,0.026,0.048,0.024,0.037,0.045,0.083,0.167,0.091,0.085,0.074,0.072,0.038,0.068,0.066,0.028,0.058,0.076,,mtp10_20220601_144549.bmp
60,0.157,0.138,0.124,0.124,0.144,0.123,0.122,0.083,0.113,0.101,0.133,0.198,0.131,0.128,0.129,0.103,0.120,0.104,0.149,0.101,0.172,0.076,0.063,0.151,0.153,0.097,0.066,0.091,0.091,0.079,0.072,0.112,0.090,0.066,0.063,0.104,0.088,0.084,0.093,0.087,0.081,0.076,0.035,0.043,0.053,0.045,0.051,0.057,0.094,0.075,0.065,0.087,0.061,0.067,0.094,0.025,0.049,0.365,0.050,0.054,0.123,0.082,0.093,0.153,0.098,0.087,0.102,0.042,0.028,0.053,0.033,0.143,0.154,0.071,0.125,0.090,0.124,0.070,0.040,0.019,0.051,0.022,0.035,0.044,0.082,0.179,0.090,0.085,0.073,0.067,0.036,0.063,0.053,0.045,0.056,0.070,,mtp10_20220601_150548.bmp
81,0.165,0.154,0.127,0.135,0.162,0.142,0.138,0.086,0.133,0.112,0.154,0.223,0.138,0.135,0.154,0.117,0.137,0.117,0.176,0.133,0.200,0.081,0.075,0.162,0.167,0.096,0.069,0.103,0.096,0.087,0.084,0.120,0.102,0.071,0.074,0.098,0.104,0.086,0.115,0.102,0.088,0.072,0.044,0.044,0.063,0.048,0.060,0.070,0.106,0.079,0.075,0.098,0.070,0.072,0.104,0.022,0.053,0.383,0.060,0.060,0.130,0.086,0.101,0.177,0.106,0.098,0.111,0.050,0.036,0.056,0.040,0.151,0.175,0.071,0.131,0.100,0.137,0.081,0.043,0.021,0.047,0.022,0.044,0.048,0.089,0.190,0.101,0.078,0.081,0.073,0.037,0.048,0.057,0.042,0.066,0.078,,mtp10_20220601_152643.bmp
101,0.178,0.169,0.129,0.145,0.184,0.169,0.148,0.081,0.153,0.118,0.152,0.267,0.145,0.143,0.147,0.144,0.170,0.133,0.234,0.193,0.242,0.092,0.089,0.190,0.201,0.107,0.071,0.121,0.108,0.097,0.102,0.145,0.121,0.079,0.089,0.104,0.131,0.090,0.143,0.122,0.093,0.073,0.057,0.059,0.079,0.055,0.068,0.080,0.118,0.082,0.086,0.112,0.077,0.081,0.118,0.034,0.063,0.381,0.070,0.069,0.140,0.101,0.108,0.199,0.110,0.103,0.118,0.057,0.044,0.059,0.043,0.156,0.200,0.069,0.135,0.106,0.144,0.091,0.040,0.019,0.046,0.020,0.036,0.049,0.085,0.178,0.093,0.075,0.076,0.064,0.034,0.047,0.054,0.054,0.063,0.073,,mtp10_20220601_154642.bmp
121,0.202,0.207,0.146,0.177,0.241,0.239,0.181,0.084,0.204,0.147,0.176,0.411,0.162,0.188,0.174,0.208,0.266,0.178,0.368,0.328,0.349,0.120,0.125,0.274,0.303,0.142,0.086,0.157,0.135,0.127,0.154,0.209,0.177,0.113,0.118,0.124,0.194,0.107,0.207,0.179,0.118,0.090,0.090,0.116,0.111,0.075,0.086,0.111,0.143,0.101,0.116,0.146,0.095,0.102,0.161,0.066,0.087,0.396,0.095,0.092,0.169,0.135,0.138,0.236,0.124,0.119,0.143,0.082,0.062,0.070,0.056,0.176,0.260,0.076,0.159,0.132,0.168,0.118,0.041,0.023,0.053,0.021,0.039,0.055,0.083,0.174,0.101,0.083,0.083,0.075,0.033,0.052,0.069,0.053,0.058,0.067,,mtp10_20220601_160642.bmp
141,0.243,0.282,0.175,0.232,0.341,0.369,0.260,0.092,0.313,0.203,0.235,0.754,0.198,0.284,0.227,0.337,0.467,0.263,0.523,0.501,0.484,0.177,0.202,0.447,0.491,0.226,0.110,0.230,0.210,0.178,0.257,0.368,0.291,0.198,0.183,0.190,0.316,0.140,0.338,0.291,0.165,0.125,0.158,0.237,0.183,0.115,0.121,0.175,0.183,0.136,0.176,0.211,0.125,0.146,0.255,0.126,0.149,0.435,0.156,0.139,0.226,0.184,0.187,0.314,0.156,0.162,0.192,0.137,0.111,0.090,0.079,0.209,0.383,0.084,0.199,0.183,0.210,0.182,0.042,0.033,0.075,0.023,0.055,0.078,0.085,0.189,0.121,0.100,0.103,0.095,0.040,0.078,0.080,0.072,0.062,0.073,,mtp10_20220601_162643.bmp
161,0.310,0.413,0.213,0.318,0.454,0.445,0.357,0.102,0.332,0.307,0.331,1.258,0.256,0.437,0.324,0.422,0.703,0.370,0.634,0.692,0.599,0.245,0.283,0.708,0.889,0.359,0.144,0.325,0.330,0.264,0.349,0.626,0.435,0.324,0.283,0.287,0.433,0.190,0.468,0.414,0.241,0.188,0.266,0.442,0.275,0.178,0.175,0.289,0.226,0.183,0.273,0.305,0.155,0.215,0.406,0.231,0.222,0.499,0.244,0.205,0.319,0.292,0.278,0.480,0.198,0.224,0.284,0.229,0.186,0.119,0.120,0.262,0.498,0.091,0.254,0.266,0.277,0.289,0.042,0.050,0.124,0.021,0.082,0.116,0.087,0.239,0.168,0.134,0.148,0.149,0.046,0.103,0.104,0.109,0.072,0.076,,mtp10_20220601_164643.bmp
181,0.430,0.517,0.288,0.427,0.526,0.554,0.390,0.139,0.369,0.398,0.455,2.093,0.357,0.711,0.484,0.492,1.278,0.456,0.860,1.098,0.711,0.334,0.357,1.312,1.856,0.609,0.214,0.381,0.601,0.413,0.467,1.184,0.695,0.492,0.357,0.418,0.523,0.289,0.587,0.586,0.402,0.322,0.397,0.949,0.380,0.307,0.284,0.324,0.255,0.295,0.393,0.431,0.220,0.350,0.633,0.512,0.306,0.645,0.324,0.323,0.436,0.425,0.416,0.543,0.298,0.348,0.468,0.392,0.350,0.186,0.210,0.366,0.664,0.110,0.374,0.436,0.419,0.367,0.043,0.101,0.224,0.021,0.146,0.190,0.085,0.310,0.252,0.212,0.237,0.255,0.070,0.175,0.167,0.219,0.062,0.071,,mtp10_20220601_170642.bmp
