File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210126_104027
MTP,2
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,129","31,988","27,731","31,704","28,198","27,367","28,098","27,506","27,722","28,210","27,235","30,853","29,104","28,888","31,718","34,106","27,143","25,720","25,596","25,557","29,422","26,935","25,967","25,943","27,194","32,953","31,659","29,573","27,796","27,671","25,845","23,980","25,016","25,818","26,110","28,837","24,906","24,512","25,927","25,271","28,090","27,298","23,778","24,163","24,584","25,186","26,165","25,782","26,414","25,688","25,333","25,720","24,424","26,059","26,771","27,476","26,280","26,676","26,453","26,814","29,525","26,976","27,065","27,741","31,924","26,545","31,837","26,616","26,002","38,249","25,657","26,641","26,792","26,988","32,324","26,412","27,484","25,245","27,253","25,498","26,308","26,261","29,071","28,731","33,775","32,529","38,925","32,676","28,263","29,145","26,939","27,129","26,698","26,871","28,802","28,700"
20,"29,459","32,616","28,186","29,818","27,522","27,327","27,541","27,406","27,527","28,175","26,694","31,371","30,412","29,782","31,559","36,778","25,457","25,176","24,794","24,618","31,220","26,431","26,151","25,473","28,225","36,353","33,282","31,580","28,167","25,175","24,798","23,633","25,002","24,676","24,784","29,620","24,739","24,390","26,478","25,308","29,371","29,676","23,598","23,929","24,006","24,888","26,569","26,110","26,351","26,102","24,863","25,247","24,508","26,759","27,837","27,765","25,829","26,269","25,637","27,143","30,569","27,212","27,684","27,847","33,029","26,955","32,992","26,112","26,222","42,545","25,437","27,243","27,133","27,371","33,353","26,484","27,955","24,833","27,796","25,141","26,165","25,988","29,520","29,778","34,857","33,576","39,065","32,173","28,043","28,602","26,776","26,798","26,457","26,475","28,551","28,437"
40,"29,855","33,820","28,876","30,490","27,122","27,029","27,757","26,325","27,022","28,324","26,833","32,090","31,016","30,335","32,720","38,549","25,069","25,171","24,778","24,714","28,729","26,865","26,312","25,598","29,086","38,388","33,553","33,335","28,688","24,469","25,053","23,561","24,912","24,712","24,822","30,433","24,839","24,659","26,720","25,590","30,867","31,143","23,622","24,102","24,039","24,892","27,022","26,447","26,982","26,584","24,927","25,380","24,816","26,445","26,353","28,533","26,041","26,343","24,698","27,524","31,694","27,900","28,147","28,571","33,186","27,549","33,439","26,524","26,361","45,582","25,551","27,902","27,733","27,935","34,529","26,800","28,620","24,971","28,204","25,212","26,225","26,198","29,869","30,657","36,178","32,753","39,418","33,247","28,420","28,676","26,747","27,129","26,537","26,543","28,653","28,578"
60,"30,227","32,592","28,275","27,884","27,278","27,047","27,861","26,449","26,712","28,412","26,624","32,151","30,763","29,824","33,469","35,957","25,073","25,200","24,722","24,624","25,847","26,976","26,325","25,367","29,284","38,008","32,804","29,275","28,606","24,014","24,580","23,669","24,937","24,673","24,843","31,116","24,953","24,600","26,861","25,714","30,002","29,306","23,529","24,175","24,000","24,927","27,008","26,455","27,041","26,982","24,902","25,361","24,792","26,345","26,673","28,965","26,271","25,600","24,641","27,584","32,271","28,086","28,353","28,529","33,429","27,325","34,110","26,580","27,024","45,671","25,575","28,165","28,151","28,129","34,422","26,686","28,692","24,902","28,476","25,145","26,175","26,073","30,114","31,088","36,118","31,680","40,061","33,422","28,624","28,816","26,790","26,988","26,420","26,420","28,475","28,382"
80,"30,510","32,931","28,273","28,355","27,549","27,380","28,216","26,647","27,163","28,671","26,859","32,492","31,816","31,135","33,727","30,024","25,139","25,373","24,853","24,824","26,094","27,275","26,633","25,808","29,933","37,684","33,363","30,173","26,575","24,129","24,676","23,845","25,084","24,949","25,282","31,569","25,135","24,843","27,371","25,906","30,731","29,855","23,702","24,290","24,351","25,269","27,290","26,957","27,390","27,267","24,604","25,594","24,192","27,069","26,924","29,339","26,533","25,978","25,027","28,055","32,841","28,680","29,314","29,149","30,780","28,443","32,376","26,988","27,276","44,682","25,820","28,265","28,725","28,494","35,892","27,088","29,588","25,288","28,655","25,520","26,571","26,437","30,559","31,610","36,786","32,039","40,453","32,276","28,373","28,861","26,894","27,176","26,996","26,761","28,973","28,929"
100,"30,733","33,273","28,427","28,708","27,780","27,529","28,314","26,659","27,231","28,659","27,047","32,692","31,231","31,578","33,882","30,343","25,241","25,337","24,973","24,763","26,149","27,373","26,753","25,639","30,384","37,735","33,796","28,365","26,624","24,110","24,410","23,884","25,084","25,137","25,408","31,888","25,618","24,867","27,322","25,957","30,837","30,069","23,745","24,296","24,271","25,418","27,616","27,247","27,522","27,445","24,578","25,794","24,253","27,371","27,088","29,845","26,716","25,986","25,039","28,104","32,882","28,916","29,218","29,271","30,945","28,586","32,773","26,767","27,471","45,024","25,949","28,512","29,271","28,798","36,076","27,253","29,733","25,361","28,876","25,557","26,735","26,467","30,755","32,041","36,288","32,227","40,992","32,486","28,475","28,963","27,137","27,214","27,202","26,900","29,053","29,116"
120,"31,386","33,827","29,196","29,620","28,280","28,012","28,665","27,147","27,731","29,245","27,345","33,135","31,137","31,516","34,939","30,280","25,435","25,937","25,422","24,971","26,625","27,749","27,184","25,806","30,935","38,620","34,339","28,310","27,043","24,304","24,782","24,324","25,333","25,435","25,698","32,565","25,978","25,269","27,561","26,361","31,292","30,261","23,798","24,545","24,620","25,822","28,088","27,478","28,163","25,841","24,676","25,769","24,359","27,322","27,841","30,194","26,980","26,088","25,071","28,439","33,522","29,106","28,531","29,039","32,033","28,539","33,435","27,010","28,122","45,982","26,304","29,800","30,153","29,369","35,916","27,529","30,108","25,718","29,402","25,853","26,986","26,863","31,508","32,890","36,380","32,861","41,651","32,951","29,255","29,451","27,571","27,520","27,790","27,027","29,471","29,102"
140,"31,886","34,029","29,463","30,314","29,055","28,712","29,208","27,594","28,237","29,810","27,782","33,288","31,510","32,431","35,286","30,686","25,639","26,178","25,935","25,059","27,014","28,078","27,641","25,980","31,396","38,884","34,688","28,676","27,265","24,492","25,029","24,896","25,714","26,051","26,353","32,873","26,341","25,698","27,810","26,529","31,441","29,188","23,845","24,645","24,929","26,406","28,645","27,878","28,776","26,018","24,659","25,961","24,412","27,506","28,067","27,837","27,508","26,210","25,376","28,596","31,759","29,622","28,878","29,247","32,112","28,761","33,529","26,998","28,712","46,120","26,800","29,980","31,437","29,810","36,688","28,278","30,804","26,412","29,853","26,355","27,651","27,306","32,590","33,561","37,382","33,357","41,455","33,731","29,384","29,804","28,149","27,941","28,845","27,584","30,033","29,659"
160,"32,171","34,451","29,865","32,102","30,294","28,743","29,922","28,618","29,149","31,096","28,669","33,922","32,124","33,641","35,145","31,402","26,014","26,784","26,733","25,469","27,747","28,524","28,667","26,665","32,004","38,671","35,108","29,310","27,629","24,949","25,396","25,712","26,275","26,969","27,363","32,576","26,935","26,569","28,214","26,669","32,173","29,257","24,210","25,141","25,567","26,973","29,878","28,718","29,835","26,459","24,892","26,339","24,555","28,204","28,253","28,067","28,145","26,435","25,547","28,902","31,629","30,371","29,824","29,690","32,004","29,541","33,602","26,990","29,425","46,345","27,865","30,112","33,712","30,753","37,965","29,363","31,841","27,816","30,220","27,231","28,669","27,886","33,975","34,010","38,329","34,253","41,431","34,416","29,520","30,412","29,043","28,761","30,524","28,508","31,151","30,437"
180,"32,135","35,245","30,945","34,743","31,739","28,271","30,835","29,182","30,257","32,712","29,439","34,127","32,547","35,488","35,575","31,943","26,343","27,839","27,955","25,784","28,443","29,204","29,949","27,269","32,575","39,055","36,175","29,976","28,069","25,443","26,182","27,451","27,110","28,569","28,880","32,008","27,859","27,541","28,588","27,014","32,506","29,263","24,555","25,853","26,159","27,590","31,804","29,961","30,971","27,414","25,198","26,722","24,455","28,627","28,935","28,604","29,116","26,667","25,716","29,029","32,047","31,333","30,635","29,963","32,461","29,886","33,765","27,104","30,922","46,735","29,033","30,790","33,175","31,571","39,131","30,847","33,159","29,465","31,059","28,010","30,143","28,478","36,288","33,135","39,967","35,743","42,112","35,506","30,345","31,492","30,157","29,539","31,847","29,341","32,408","30,971"
