File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220316_153054
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,31.751,31.571,30.247,28.639,28.947,29.416,30.408,29.582,28.969,27.982,29.363,27.845,36.643,32.643,32.459,31.833,30.890,30.745,30.873,30.975,28.910,27.694,28.557,26.906,32.924,33.251,31.578,30.165,29.880,29.527,28.680,28.131,29.253,28.796,27.247,27.286,32.157,30.763,32.784,30.224,29.382,28.524,29.198,28.414,29.514,28.378,27.069,27.631,32.127,31.941,33.280,30.784,29.763,28.686,27.920,27.320,28.461,28.122,26.416,27.647,31.843,30.518,32.612,30.884,29.696,30.357,29.314,28.259,29.202,28.861,28.804,28.478,32.333,32.859,33.563,32.486,31.825,31.429,29.512,29.637,30.353,28.692,28.676,28.559,30.757,32.451,31.376,31.843,30.682,31.324,30.033,30.927,29.363,29.306,30.127,26.747,,mtp01_20220316_153054.bmp
20,31.531,30.543,29.773,28.241,28.318,29.008,29.584,28.959,28.675,27.473,28.963,27.484,36.078,32.345,31.843,31.245,30.037,30.327,30.565,30.686,28.969,27.706,28.484,26.847,31.200,31.875,30.398,29.508,28.737,28.439,28.245,27.710,28.806,28.229,26.959,27.180,30.771,30.249,32.027,29.737,29.063,28.200,28.018,27.325,28.422,27.643,26.535,27.447,31.835,30.463,31.624,30.331,29.382,28.365,27.967,27.394,27.980,28.075,26.400,27.173,31.286,29.912,32.892,30.359,28.739,29.122,28.433,27.729,28.710,28.008,27.559,27.576,31.371,31.380,31.816,31.188,30.737,29.810,28.996,28.902,29.514,27.922,28.263,28.041,30.986,31.073,30.516,31.618,30.443,30.380,29.614,30.698,28.806,28.675,29.673,26.747,,mtp01_20220316_155058.bmp
40,32.418,31.653,30.502,28.600,28.910,29.504,30.298,29.541,29.204,27.757,29.586,27.996,37.933,33.294,32.741,31.808,30.724,31.175,31.125,31.441,29.155,27.961,29.029,27.071,31.843,32.776,30.822,29.784,29.035,28.790,28.802,28.000,29.000,28.635,27.324,27.553,31.208,30.478,32.475,29.996,29.578,28.251,28.431,27.767,28.875,27.967,26.931,27.747,31.941,30.788,32.167,30.696,29.871,28.688,28.159,27.810,28.122,28.231,26.614,27.535,31.549,30.063,33.653,30.937,28.951,29.700,28.808,27.994,29.076,28.394,27.910,27.951,31.635,31.731,32.473,31.645,30.998,30.055,29.063,29.133,29.776,28.178,28.318,28.616,31.175,31.496,30.857,31.888,30.522,30.722,29.982,31.020,29.025,28.984,29.884,26.657,,mtp01_20220316_161058.bmp
60,33.610,32.851,31.714,29.147,30.100,30.522,31.553,30.690,30.610,28.786,30.498,28.876,39.224,34.631,33.739,32.718,31.602,32.227,32.410,32.582,30.055,28.839,30.112,27.867,33.396,34.449,32.033,30.873,30.414,29.675,29.700,28.888,29.855,29.761,28.263,28.435,32.665,31.669,33.567,31.137,30.847,29.027,29.271,28.865,29.880,29.041,27.980,28.696,32.941,31.529,33.912,32.069,31.208,29.671,29.288,28.894,28.988,29.194,27.414,28.712,32.149,30.808,34.684,32.188,29.945,30.702,29.627,28.951,30.206,29.429,28.925,28.973,33.002,32.884,34.227,32.914,32.284,30.931,30.151,30.102,30.727,29.333,29.320,29.790,31.378,32.829,32.100,33.137,31.735,32.151,30.978,32.522,30.206,29.945,30.976,27.086,,mtp01_20220316_163059.bmp
80,34.949,34.714,33.106,29.920,31.776,31.743,33.451,32.294,32.257,29.824,32.027,30.076,40.927,36.751,35.131,33.786,33.057,33.651,33.912,33.896,31.175,29.886,31.796,28.682,35.306,36.751,33.767,32.261,32.339,30.610,30.998,30.006,30.747,30.906,29.292,29.865,34.698,32.912,35.022,32.447,32.616,29.912,30.453,30.388,31.359,30.686,29.467,29.896,34.508,32.512,36.147,34.069,33.229,30.753,30.694,30.537,30.382,30.229,28.706,29.988,32.837,32.037,35.975,34.284,31.188,32.212,31.261,30.308,31.588,30.937,30.235,30.206,34.557,34.237,36.402,34.671,33.743,32.280,31.365,31.347,32.139,30.812,30.406,31.486,31.467,34.565,33.806,34.806,33.302,33.753,32.376,34.257,31.549,31.473,32.586,27.241,,mtp01_20220316_165059.bmp
100,37.124,37.788,35.422,30.902,34.076,33.716,36.357,34.867,35.043,31.625,33.812,31.896,43.708,39.547,37.292,35.092,34.996,35.863,36.145,35.824,32.498,31.433,33.988,30.108,37.978,40.431,36.212,34.220,35.059,32.227,32.696,31.786,32.035,32.831,30.469,31.692,37.518,34.486,36.659,34.067,34.849,31.006,32.047,32.714,33.333,32.843,31.447,31.704,36.604,33.469,39.918,36.941,35.931,32.492,32.637,32.680,31.873,31.676,30.388,32.286,33.931,33.276,37.300,37.098,32.722,34.245,33.027,32.125,33.594,32.684,32.071,31.925,36.847,36.067,39.498,36.884,35.545,33.980,32.922,32.849,33.759,32.469,31.753,34.137,31.202,37.265,35.943,36.729,34.631,35.963,33.955,36.722,33.576,33.414,34.216,27.278,,mtp01_20220316_171059.bmp
120,41.412,43.378,40.267,32.745,38.731,37.827,42.045,39.633,40.225,35.161,37.680,35.273,48.714,44.778,40.896,38.122,39.135,39.533,40.524,39.220,35.420,34.388,38.822,33.429,43.618,46.975,41.512,38.145,40.933,35.369,35.996,35.125,34.657,37.300,32.806,35.490,43.824,37.933,40.041,37.718,39.157,33.659,35.463,37.633,37.129,37.269,35.557,35.173,40.790,35.824,47.394,42.982,40.986,35.939,36.710,36.867,35.104,34.747,33.933,36.463,36.331,36.218,41.859,42.927,35.884,38.345,37.102,35.908,37.957,36.420,36.006,35.739,41.727,39.469,46.355,41.735,39.914,38.304,36.312,36.408,37.200,36.065,34.575,39.753,31.414,42.106,40.727,40.957,37.439,40.498,37.722,41.357,37.825,38.278,38.235,28.194,,mtp01_20220316_173058.bmp
140,47.253,46.241,44.778,34.988,42.669,39.473,44.335,44.545,41.329,39.349,41.669,39.151,58.251,55.161,46.043,38.192,45.949,44.847,46.676,44.759,39.861,39.025,40.096,34.976,48.684,50.273,46.904,44.871,43.649,41.400,41.910,39.951,38.776,39.559,35.218,39.384,47.239,42.184,45.708,43.333,46.747,37.782,40.471,40.992,42.678,44.090,40.894,39.320,46.790,38.635,47.737,46.649,48.865,41.986,41.678,42.510,40.863,39.529,37.986,40.204,39.467,40.851,46.818,46.110,41.769,44.788,41.904,39.869,42.692,42.335,40.369,40.955,46.624,44.290,48.661,46.308,42.578,39.600,41.275,40.663,42.812,42.220,38.441,39.741,31.386,47.378,43.927,45.778,39.953,45.973,42.192,47.606,39.275,39.794,41.137,28.418,,mtp01_20220316_175059.bmp
160,47.949,43.114,41.610,36.339,40.114,39.339,41.184,42.531,39.433,40.118,40.400,39.380,52.743,51.559,40.055,34.571,43.845,48.208,44.161,46.582,42.894,39.855,39.873,36.924,49.210,45.931,45.394,46.880,38.135,43.922,43.104,42.353,44.022,37.502,36.041,36.118,44.531,42.492,52.324,49.678,48.255,41.012,42.741,40.724,45.094,41.933,39.925,40.496,46.706,38.269,40.704,42.459,44.525,43.682,40.325,38.925,42.735,45.812,37.831,39.565,44.261,47.610,52.355,41.475,44.494,42.886,44.541,41.494,39.837,43.545,39.759,42.367,46.714,42.282,43.355,44.912,46.057,42.802,42.975,41.861,44.118,42.357,42.829,34.318,31.437,46.402,43.602,42.684,39.776,45.071,41.696,45.016,36.975,38.806,38.645,28.280,,mtp01_20220316_181058.bmp
180,44.480,37.857,35.914,37.010,34.363,33.814,36.500,39.941,37.655,38.239,40.173,41.088,49.780,45.392,34.416,32.116,42.773,46.531,39.333,47.386,41.659,40.200,38.204,35.192,51.618,41.294,41.912,45.271,33.153,43.757,43.918,42.594,42.767,33.498,36.937,33.659,40.753,40.229,49.537,49.190,46.524,41.210,41.559,38.469,37.804,35.424,41.716,36.614,42.565,37.882,35.418,36.108,41.710,40.641,34.820,32.267,43.653,40.841,34.410,35.357,46.998,49.276,52.539,36.229,44.210,37.963,43.580,35.488,35.137,44.288,39.992,40.329,42.739,34.882,37.655,37.639,44.769,36.629,40.847,38.745,43.478,43.575,43.408,31.616,31.457,42.363,40.569,39.255,38.467,46.620,40.104,44.994,33.771,36.990,34.912,28.137,,mtp01_20220316_183059.bmp
