File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220316_153054
MTP,5
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,36.680,32.373,32.663,32.045,34.551,32.006,32.810,31.749,31.725,29.063,32.716,32.153,33.824,33.347,36.994,34.535,34.906,34.029,33.290,32.688,32.169,28.986,30.300,30.902,33.351,34.980,34.714,33.049,29.867,30.237,30.220,29.447,31.002,29.761,30.612,30.871,35.425,33.553,35.508,32.710,31.910,30.418,30.310,31.586,30.686,28.931,28.722,30.518,36.314,37.039,36.106,34.047,31.004,30.076,30.841,29.480,31.876,29.316,28.729,34.992,36.080,38.741,34.488,34.084,33.502,34.543,31.233,31.949,31.251,29.810,30.616,30.847,39.935,36.514,34.127,35.488,34.110,34.651,31.478,31.024,30.220,28.245,30.459,29.373,42.520,33.112,31.673,38.857,35.296,34.214,31.478,31.820,30.147,30.431,33.690,31.353,,mtp05_20220316_153054.bmp
20,36.478,32.675,32.884,32.314,33.231,31.790,32.280,31.420,31.065,28.753,31.888,32.288,34.118,33.416,36.320,34.473,34.480,34.188,32.545,32.765,32.425,28.873,29.967,30.857,32.898,34.969,35.151,33.241,29.743,30.659,30.008,29.310,30.916,29.876,30.965,30.714,35.547,33.741,35.749,32.741,31.012,29.941,31.080,31.306,30.678,29.082,28.751,30.600,36.941,37.135,35.745,33.718,31.067,29.971,30.429,29.225,31.967,29.333,28.653,34.888,36.667,39.388,34.986,33.869,32.663,34.424,31.851,32.451,31.273,29.880,31.120,31.004,39.865,37.149,34.749,35.935,33.943,34.404,31.061,30.880,30.037,28.173,30.812,29.447,43.257,32.800,31.465,38.980,34.976,33.961,31.278,31.912,29.704,30.371,33.698,30.818,,mtp05_20220316_155058.bmp
40,36.943,33.331,33.808,33.294,33.018,32.655,33.037,31.859,32.318,29.067,32.355,32.382,34.959,34.447,37.327,35.459,35.257,35.220,34.149,34.488,34.098,29.324,30.729,31.469,33.375,36.278,36.825,34.449,29.902,31.353,31.082,29.986,31.222,31.002,31.592,31.227,36.641,34.763,36.763,33.959,31.390,30.808,31.700,31.620,31.557,29.451,29.180,31.614,38.137,37.665,36.798,34.480,32.429,30.433,31.100,30.543,33.573,29.692,29.471,35.549,38.367,40.714,36.594,35.206,32.980,34.924,32.920,33.447,32.104,30.775,31.871,32.071,41.137,39.190,36.582,37.184,34.586,35.706,31.527,31.016,30.402,28.286,30.580,29.569,45.873,32.892,31.465,38.610,35.033,33.710,31.486,32.222,29.957,30.429,33.804,30.904,,mtp05_20220316_161058.bmp
60,38.443,34.873,35.514,35.427,34.835,34.278,34.700,32.927,34.376,29.871,33.949,33.876,36.447,35.855,38.651,37.096,36.555,36.535,36.988,37.584,36.508,29.898,32.092,32.975,33.984,37.835,39.422,36.341,30.212,33.075,32.871,31.457,32.302,32.551,33.243,31.745,38.139,36.637,38.476,36.214,32.765,32.484,33.608,31.869,33.004,30.171,29.953,33.231,40.886,39.875,38.894,36.600,34.822,31.704,32.873,32.100,36.008,30.949,30.624,36.955,41.106,42.810,39.102,37.780,34.612,35.843,35.286,35.692,33.727,33.151,34.337,33.096,45.600,43.008,40.110,39.925,36.382,38.763,32.235,31.388,30.682,28.847,30.945,29.537,50.790,33.122,31.780,39.116,35.453,33.833,31.955,32.904,30.427,30.878,34.171,31.186,,mtp05_20220316_163059.bmp
80,41.394,37.145,39.218,38.653,38.716,36.676,37.231,34.680,37.743,30.971,36.286,35.812,39.059,38.269,41.653,39.367,38.798,38.729,42.022,42.584,40.871,30.869,34.322,35.351,35.088,40.269,43.118,40.357,30.884,36.075,35.933,33.388,33.702,35.210,35.698,33.284,40.459,39.318,41.390,40.255,35.429,34.653,36.167,32.780,34.955,31.094,30.537,36.255,45.094,43.055,41.951,39.682,38.798,34.222,35.900,34.543,40.610,32.286,32.449,38.898,46.531,47.325,43.714,42.124,36.498,38.002,39.055,38.927,36.388,36.669,37.637,34.596,52.149,49.222,45.935,44.502,39.045,42.429,33.188,31.984,31.710,30.212,31.188,29.657,58.947,33.141,31.743,39.224,35.318,34.022,32.024,33.331,30.551,30.865,34.143,31.071,,mtp05_20220316_165059.bmp
100,44.316,40.857,42.682,43.284,43.641,40.575,40.816,37.194,42.537,32.278,39.955,38.418,42.422,41.751,45.616,43.361,41.786,41.955,52.841,50.359,47.133,31.955,37.465,38.275,36.416,43.939,49.090,46.525,31.649,39.965,40.769,36.169,35.586,39.388,39.384,35.388,44.051,44.045,46.120,44.869,38.418,38.145,40.745,33.151,37.684,32.331,31.435,40.378,50.359,48.537,45.386,44.992,44.447,38.004,40.620,37.453,46.529,34.535,35.114,41.669,55.616,53.798,52.239,49.663,39.078,40.127,44.820,44.002,40.582,41.408,42.486,37.065,61.071,59.418,55.100,51.751,42.573,50.745,34.584,32.920,33.245,31.480,30.875,29.247,65.871,32.733,31.486,38.714,34.976,33.351,32.031,34.208,30.804,30.561,33.714,30.812,,mtp05_20220316_171059.bmp
120,46.516,50.188,51.204,52.359,52.194,45.971,46.986,43.133,52.318,35.047,41.759,46.106,50.439,51.437,55.529,51.390,49.153,48.845,47.659,52.549,55.092,34.798,41.720,44.845,40.108,51.282,59.482,57.688,34.004,47.271,51.225,41.963,41.112,47.549,49.339,40.386,53.406,55.351,56.884,56.418,44.692,46.178,48.549,35.573,43.855,35.778,33.731,50.088,57.945,58.829,42.502,55.184,56.818,47.129,51.369,41.535,54.963,37.902,41.720,48.935,58.020,63.847,57.149,59.504,44.822,46.304,54.325,52.363,46.373,47.273,51.031,42.192,66.729,58.396,58.176,61.386,49.096,52.149,36.418,35.127,35.524,33.639,31.314,29.676,59.902,32.925,31.733,39.133,35.322,33.878,33.345,35.920,31.918,30.973,34.112,31.353,,mtp05_20220316_173058.bmp
140,47.218,52.800,55.753,55.394,51.767,46.937,49.227,47.337,49.110,37.688,43.559,48.563,57.698,53.978,54.145,54.776,54.563,56.737,37.653,50.555,47.275,37.594,44.745,52.055,45.018,60.220,58.016,57.851,37.351,55.529,50.588,50.041,47.161,54.537,50.578,42.665,56.131,54.096,60.202,59.659,53.296,56.537,52.671,39.792,49.812,40.349,37.541,51.245,60.282,59.155,44.610,60.451,58.494,57.118,58.688,46.857,61.153,41.655,46.175,52.782,54.092,61.094,53.292,58.045,49.002,53.682,57.092,50.943,45.482,54.518,54.606,48.178,66.386,56.220,58.208,63.831,53.102,45.796,37.173,36.329,35.049,34.057,31.318,29.743,53.302,32.916,31.673,39.208,35.245,33.939,34.480,36.604,32.861,30.902,33.976,31.094,,mtp05_20220316_175059.bmp
160,43.139,49.814,52.549,52.602,44.537,42.967,49.388,45.314,46.888,40.339,40.186,46.571,56.775,51.351,48.769,53.000,52.524,50.598,35.806,47.310,41.633,37.159,44.325,53.049,47.847,61.563,59.647,61.102,42.512,54.255,48.614,55.186,47.047,54.169,46.290,44.639,56.073,51.276,60.180,58.247,60.480,61.771,57.624,45.641,47.141,44.220,40.625,45.953,60.606,59.696,53.933,61.090,59.871,57.753,64.261,54.929,64.198,43.961,45.180,52.629,51.839,55.729,51.622,61.382,48.263,54.204,62.016,52.478,42.137,61.871,55.873,48.449,69.473,61.139,55.406,68.327,52.355,43.488,39.386,35.898,34.941,36.306,31.463,29.702,50.488,32.980,31.775,39.137,35.331,34.165,34.933,36.210,35.776,31.145,34.086,31.278,,mtp05_20220316_181058.bmp
180,40.039,47.365,50.582,52.294,40.084,39.443,49.525,42.845,44.518,40.631,37.551,45.990,55.767,48.871,45.565,53.669,52.584,48.837,37.078,46.859,38.578,36.102,42.961,55.329,48.753,59.855,65.225,62.959,44.827,57.853,50.416,59.769,46.665,54.671,42.829,45.678,54.045,47.751,60.112,61.175,70.045,64.578,62.831,49.918,46.533,45.216,39.700,41.880,59.388,61.749,69.247,63.124,64.224,59.337,69.737,72.208,67.412,47.455,44.553,52.018,53.235,53.553,50.645,65.651,49.653,55.882,66.208,54.504,46.196,70.514,54.698,48.116,75.678,65.873,53.231,72.649,52.143,44.233,44.110,36.833,35.139,41.835,31.678,29.494,48.929,32.914,31.629,38.994,35.249,34.106,35.671,35.804,34.471,30.761,33.822,30.937,,mtp05_20220316_183059.bmp
