File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220316_153054
MTP,10
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,Ecoli_LB_GP2_Flux
a,0.0146
b,0.9471
c,0.0001
d,2.1939
e,0
f,2.004
GBlank,28.547
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.167,0.166,0.193,0.191,0.142,0.124,0.102,0.099,0.169,0.089,0.130,0.107,0.158,0.134,0.139,0.265,0.177,0.128,0.162,0.208,0.200,0.104,0.088,0.112,0.130,0.131,0.136,0.407,0.070,0.142,0.114,0.386,0.099,0.073,0.109,0.072,0.077,0.066,0.100,0.107,0.084,0.103,0.092,0.108,0.072,0.049,0.195,0.235,0.099,0.067,0.167,0.098,0.173,0.058,0.065,0.042,0.079,0.034,0.053,0.063,0.128,0.110,0.136,0.108,0.051,0.059,0.069,0.052,0.076,0.048,0.068,0.059,0.146,0.147,0.096,0.104,0.071,0.100,0.019,0.029,0.028,0.003,0.024,0.087,0.141,0.053,0.060,0.030,0.057,0.028,0.032,0.024,0.041,0.018,0.058,0.084,,mtp10_20220316_153054.bmp
20,0.164,0.164,0.184,0.205,0.144,0.118,0.111,0.105,0.156,0.084,0.122,0.095,0.155,0.129,0.130,0.231,0.162,0.109,0.135,0.190,0.198,0.065,0.074,0.098,0.124,0.115,0.126,0.392,0.057,0.143,0.094,0.378,0.089,0.076,0.099,0.052,0.075,0.070,0.098,0.092,0.066,0.083,0.087,0.092,0.049,0.041,0.167,0.231,0.095,0.067,0.160,0.090,0.159,0.049,0.057,0.033,0.059,0.028,0.059,0.056,0.132,0.097,0.114,0.109,0.052,0.053,0.067,0.048,0.065,0.035,0.061,0.052,0.137,0.138,0.095,0.106,0.063,0.089,0.012,0.030,0.021,0.006,0.026,0.081,0.140,0.043,0.055,0.028,0.056,0.027,0.016,0.016,0.038,0.018,0.057,0.084,,mtp10_20220316_155058.bmp
40,0.184,0.189,0.214,0.224,0.170,0.144,0.124,0.119,0.196,0.094,0.142,0.112,0.170,0.153,0.154,0.267,0.181,0.130,0.178,0.233,0.253,0.081,0.095,0.121,0.132,0.137,0.154,0.434,0.065,0.155,0.116,0.406,0.108,0.109,0.122,0.066,0.089,0.083,0.113,0.117,0.073,0.094,0.100,0.095,0.064,0.048,0.181,0.242,0.117,0.076,0.172,0.102,0.179,0.059,0.063,0.045,0.078,0.033,0.066,0.064,0.138,0.108,0.138,0.120,0.056,0.048,0.081,0.062,0.073,0.042,0.077,0.055,0.165,0.161,0.110,0.116,0.073,0.101,0.015,0.023,0.022,0.004,0.024,0.083,0.163,0.046,0.056,0.025,0.054,0.030,0.017,0.019,0.034,0.021,0.057,0.089,,mtp10_20220316_161058.bmp
60,0.223,0.228,0.266,0.284,0.222,0.185,0.166,0.151,0.249,0.110,0.180,0.141,0.223,0.187,0.194,0.317,0.222,0.169,0.260,0.318,0.343,0.094,0.123,0.155,0.139,0.168,0.195,0.500,0.070,0.197,0.151,0.450,0.125,0.145,0.158,0.078,0.117,0.115,0.142,0.157,0.086,0.112,0.121,0.100,0.088,0.059,0.192,0.274,0.150,0.104,0.195,0.132,0.214,0.070,0.082,0.043,0.113,0.039,0.086,0.086,0.182,0.151,0.176,0.153,0.062,0.055,0.107,0.087,0.089,0.055,0.105,0.070,0.208,0.207,0.152,0.145,0.086,0.131,0.014,0.025,0.022,0.007,0.028,0.084,0.222,0.045,0.061,0.025,0.057,0.029,0.019,0.018,0.037,0.021,0.062,0.089,,mtp10_20220316_163059.bmp
80,0.297,0.309,0.372,0.389,0.324,0.265,0.231,0.200,0.336,0.137,0.246,0.181,0.298,0.255,0.270,0.411,0.284,0.227,0.436,0.478,0.497,0.122,0.170,0.208,0.170,0.227,0.264,0.606,0.077,0.258,0.217,0.503,0.162,0.213,0.217,0.106,0.157,0.166,0.193,0.230,0.109,0.141,0.157,0.105,0.127,0.073,0.210,0.333,0.193,0.152,0.232,0.166,0.267,0.092,0.109,0.052,0.177,0.050,0.118,0.121,0.269,0.227,0.240,0.202,0.087,0.068,0.148,0.127,0.119,0.081,0.149,0.094,0.286,0.298,0.221,0.196,0.109,0.183,0.018,0.027,0.025,0.008,0.029,0.084,0.330,0.048,0.063,0.027,0.060,0.030,0.021,0.020,0.040,0.028,0.065,0.093,,mtp10_20220316_165059.bmp
100,0.383,0.460,0.564,0.627,0.490,0.438,0.429,0.308,0.522,0.188,0.339,0.240,0.466,0.444,0.466,0.650,0.438,0.348,0.447,0.615,0.593,0.173,0.274,0.309,0.196,0.329,0.427,0.855,0.081,0.369,0.392,0.581,0.220,0.347,0.331,0.149,0.245,0.289,0.298,0.389,0.143,0.182,0.229,0.116,0.190,0.101,0.239,0.432,0.268,0.234,0.288,0.232,0.335,0.128,0.144,0.061,0.328,0.066,0.173,0.185,0.459,0.398,0.413,0.289,0.112,0.085,0.210,0.190,0.159,0.115,0.221,0.124,0.490,0.504,0.379,0.278,0.144,0.280,0.013,0.023,0.028,0.005,0.024,0.081,0.576,0.045,0.061,0.024,0.055,0.025,0.020,0.017,0.036,0.025,0.062,0.091,,mtp10_20220316_171059.bmp
120,0.426,0.533,0.612,0.555,0.570,0.427,0.461,0.489,0.540,0.270,0.377,0.359,0.540,0.491,0.488,0.655,0.539,0.524,0.190,0.581,0.402,0.201,0.385,0.436,0.286,0.588,0.504,0.830,0.096,0.529,0.385,0.774,0.332,0.483,0.495,0.261,0.382,0.414,0.463,0.515,0.245,0.289,0.325,0.137,0.356,0.163,0.303,0.624,0.332,0.361,0.446,0.448,0.544,0.218,0.210,0.091,0.359,0.111,0.318,0.289,0.395,0.466,0.452,0.465,0.169,0.136,0.381,0.299,0.274,0.231,0.426,0.211,0.488,0.424,0.417,0.434,0.225,0.394,0.016,0.026,0.025,0.007,0.026,0.085,0.413,0.043,0.062,0.026,0.055,0.028,0.025,0.020,0.040,0.028,0.063,0.090,,mtp10_20220316_173058.bmp
140,0.320,0.445,0.547,0.475,0.319,0.308,0.472,0.397,0.459,0.351,0.306,0.532,0.528,0.412,0.388,0.566,0.481,0.386,0.128,0.512,0.300,0.199,0.341,0.448,0.334,0.662,0.359,0.857,0.093,0.473,0.267,0.896,0.373,0.572,0.458,0.321,0.417,0.311,0.442,0.407,0.283,0.472,0.381,0.169,0.314,0.215,0.428,0.544,0.353,0.405,0.504,0.585,0.498,0.274,0.305,0.130,0.348,0.139,0.402,0.336,0.316,0.379,0.356,0.429,0.272,0.223,0.557,0.325,0.328,0.278,0.403,0.249,0.331,0.314,0.426,0.477,0.343,0.296,0.017,0.027,0.027,0.008,0.026,0.086,0.251,0.053,0.064,0.025,0.056,0.029,0.036,0.021,0.047,0.032,0.066,0.098,,mtp10_20220316_175059.bmp
160,0.274,0.376,0.488,0.495,0.255,0.248,0.507,0.340,0.415,0.365,0.265,0.658,0.490,0.378,0.333,0.528,0.421,0.318,0.119,0.508,0.251,0.204,0.326,0.506,0.391,0.631,0.318,0.915,0.092,0.431,0.203,0.999,0.354,0.655,0.501,0.353,0.375,0.247,0.317,0.329,0.310,0.507,0.409,0.187,0.260,0.262,0.559,0.494,0.319,0.323,0.520,0.502,0.459,0.306,0.426,0.194,0.347,0.155,0.405,0.308,0.314,0.273,0.341,0.319,0.311,0.285,0.532,0.266,0.331,0.312,0.364,0.267,0.258,0.253,0.383,0.459,0.369,0.203,0.027,0.028,0.034,0.010,0.028,0.088,0.211,0.062,0.065,0.030,0.058,0.031,0.064,0.022,0.055,0.039,0.076,0.108,,mtp10_20220316_181058.bmp
180,0.256,0.335,0.476,0.527,0.213,0.224,0.592,0.306,0.408,0.365,0.227,0.818,0.467,0.393,0.296,0.532,0.355,0.328,0.122,0.528,0.256,0.236,0.321,0.582,0.426,0.673,0.306,0.975,0.095,0.514,0.178,1.095,0.323,0.679,0.727,0.382,0.345,0.204,0.271,0.364,0.322,0.571,0.457,0.204,0.235,0.276,0.722,0.508,0.267,0.245,0.507,0.477,0.436,0.345,0.568,0.291,0.339,0.177,0.422,0.288,0.369,0.212,0.361,0.254,0.320,0.372,0.668,0.215,0.338,0.329,0.343,0.269,0.221,0.233,0.345,0.470,0.343,0.158,0.029,0.025,0.043,0.012,0.028,0.092,0.235,0.078,0.065,0.031,0.059,0.032,0.099,0.021,0.061,0.046,0.080,0.118,,mtp10_20220316_183059.bmp
200,0.233,0.303,0.470,0.564,0.194,0.210,0.620,0.270,0.410,0.328,0.197,0.935,0.442,0.490,0.264,0.619,0.305,0.311,0.107,0.528,0.253,0.260,0.310,0.634,0.391,0.681,0.291,1.046,0.093,0.570,0.162,1.089,0.272,0.687,1.184,0.383,0.315,0.178,0.228,0.357,0.306,0.587,0.488,0.221,0.215,0.270,1.138,0.627,0.226,0.187,0.450,0.494,0.414,0.343,0.766,0.332,0.345,0.209,0.432,0.275,0.443,0.188,0.397,0.211,0.350,0.516,0.664,0.180,0.345,0.325,0.354,0.249,0.209,0.234,0.315,0.487,0.325,0.138,0.018,0.028,0.052,0.017,0.027,0.093,0.280,0.081,0.065,0.034,0.059,0.028,0.150,0.022,0.067,0.053,0.082,0.123,,mtp10_20220316_185058.bmp
220,0.227,0.296,0.499,0.585,0.187,0.196,0.611,0.259,0.343,0.299,0.188,1.233,0.491,0.703,0.268,0.671,0.337,0.316,0.108,0.502,0.241,0.302,0.340,0.685,0.362,0.792,0.285,1.111,0.099,0.651,0.152,1.193,0.255,0.717,2.038,0.406,0.358,0.178,0.219,0.393,0.275,0.682,0.597,0.255,0.233,0.254,1.892,0.967,0.229,0.171,0.432,0.528,0.454,0.360,0.866,0.325,0.399,0.207,0.494,0.315,0.679,0.199,0.463,0.203,0.423,0.880,0.734,0.202,0.379,0.352,0.462,0.230,0.197,0.243,0.352,0.517,0.338,0.140,0.019,0.029,0.059,0.032,0.032,0.101,0.361,0.092,0.070,0.050,0.064,0.034,0.278,0.024,0.075,0.071,0.071,0.149,,mtp10_20220316_191058.bmp
240,0.232,0.264,0.472,0.566,0.172,0.183,0.575,0.245,0.337,0.280,0.173,1.631,0.509,1.320,0.233,0.797,0.339,0.299,0.119,0.459,0.233,0.336,0.327,0.685,0.321,0.833,0.255,1.016,0.091,0.694,0.137,1.290,0.238,0.693,2.917,0.423,0.417,0.157,0.183,0.469,0.241,0.751,0.643,0.241,0.241,0.228,2.765,1.531,0.210,0.168,0.425,0.570,0.477,0.400,0.935,0.359,0.442,0.183,0.620,0.336,1.161,0.191,0.496,0.187,0.552,1.443,0.816,0.247,0.407,0.402,0.631,0.208,0.179,0.215,0.330,0.553,0.425,0.125,0.019,0.030,0.070,0.053,0.032,0.109,0.525,0.098,0.074,0.067,0.066,0.033,0.585,0.025,0.088,0.104,0.048,0.162,,mtp10_20220316_193100.bmp
