File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210208_132706
MTP,6
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"28,463","27,667","28,800","30,492","29,531","32,884","31,739","28,118","29,773","30,649","31,016","30,918","27,094","26,031","27,343","28,476","27,851","31,347","29,339","27,514","28,065","29,965","30,669","29,463","27,425","24,731","25,886","27,749","27,090","28,035","27,490","26,667","26,998","29,878","28,539","28,337","26,182","23,778","25,631","28,004","25,286","26,702","28,567","26,273","27,659","29,310","29,327","27,767","26,773","24,537","24,602","26,122","28,869","25,831","27,790","29,445","26,520","28,606","31,222","26,341","26,467","24,347","24,722","28,000","25,498","25,129","26,575","28,837","28,020","26,947","29,441","30,775","28,133","27,186","26,024","25,143","26,014","26,796","25,998","26,594","27,135","27,463","27,482","27,261","29,831","27,182","27,880","27,782","28,069","27,800","29,322","27,355","29,333","29,578","27,286","27,180"
20,"28,173","27,710","28,524","30,167","29,843","33,227","31,231","28,624","30,325","30,645","31,176","31,167","27,147","25,757","27,200","28,018","28,127","30,200","28,822","27,629","27,914","29,202","31,022","28,780","26,737","24,902","25,720","27,400","27,351","27,561","27,157","26,943","27,484","29,451","28,829","28,012","25,727","23,841","25,404","27,535","25,131","26,765","28,916","26,822","27,933","29,190","28,965","27,402","26,635","24,065","24,939","26,137","27,716","25,543","27,349","27,957","26,829","28,608","29,924","26,569","26,082","24,657","24,876","25,786","24,920","25,022","27,231","26,937","28,804","28,027","29,963","30,120","27,931","27,249","26,153","25,069","25,704","25,808","26,112","26,610","28,035","27,824","28,220","27,324","28,855","27,767","27,322","27,453","27,922","27,775","28,931","27,547","28,767","29,922","28,080","27,522"
40,"28,333","27,749","28,853","30,371","29,820","33,912","31,425","28,692","30,414","30,733","31,229","31,202","27,365","26,010","27,414","27,992","28,065","30,522","28,994","27,867","28,031","29,125","30,739","28,910","26,761","25,133","25,794","27,673","27,504","27,812","27,367","27,204","27,649","29,600","28,982","27,925","26,239","23,975","25,516","27,465","25,076","26,990","28,808","26,994","28,112","29,306","29,186","27,555","27,163","23,955","25,175","26,286","27,231","25,496","26,351","27,914","26,608","28,867","30,010","26,706","26,229","25,369","25,108","25,871","24,955","25,151","27,018","26,094","29,241","28,227","29,786","30,198","28,035","27,327","26,269","25,110","25,769","25,582","26,120","26,906","28,243","27,912","28,390","27,457","28,549","27,504","27,559","27,763","28,049","27,845","29,116","27,751","28,827","29,833","28,184","27,408"
60,"28,004","27,510","28,227","29,445","29,573","32,853","31,218","28,455","30,090","30,441","30,580","31,180","26,539","25,590","27,151","27,861","28,057","30,394","28,855","27,800","28,084","29,075","30,812","28,763","26,510","25,059","25,624","27,804","27,373","27,392","27,153","26,761","27,490","29,478","28,759","27,633","25,839","24,082","25,396","27,378","24,967","26,702","28,718","26,757","28,033","29,276","29,090","27,406","27,047","23,700","25,378","26,414","26,851","25,463","25,771","26,949","26,080","28,976","29,396","26,947","26,192","25,229","24,982","25,898","24,924","25,127","27,190","26,114","29,314","27,882","29,278","30,059","28,114","27,055","26,335","25,335","25,773","25,614","26,222","26,657","28,298","27,916","28,537","27,373","28,673","27,669","27,504","28,155","28,280","27,996","29,118","27,918","28,571","30,071","28,227","27,759"
80,"28,384","27,816","28,451","29,904","29,914","33,125","31,782","29,122","30,680","30,992","31,237","31,410","26,894","25,875","27,810","28,151","28,127","30,884","29,204","28,192","28,247","29,447","31,320","28,994","27,316","25,110","25,973","27,831","27,782","27,949","27,524","26,986","27,847","29,855","29,200","28,218","26,310","23,949","25,631","27,673","25,188","27,002","29,004","27,198","28,220","29,876","29,722","27,731","27,051","23,773","25,327","26,369","26,755","25,767","25,835","26,212","26,124","29,090","29,422","26,971","26,355","25,145","25,157","25,741","25,031","25,163","27,459","26,086","29,400","28,124","29,647","30,392","28,188","27,163","26,202","25,441","25,943","25,580","26,247","26,735","28,502","27,692","28,598","27,392","28,325","27,573","27,520","27,837","28,543","27,947","29,288","28,045","28,529","30,524","28,257","27,465"
100,"28,582","28,010","28,990","30,455","30,553","33,671","31,590","29,018","30,735","31,206","31,612","32,184","27,331","26,065","28,365","28,190","28,237","31,165","29,449","27,976","29,084","29,927","31,998","29,106","27,914","25,153","26,051","28,363","27,906","28,373","27,618","27,029","27,990","30,182","29,463","28,261","26,076","23,994","25,402","27,961","25,075","27,037","29,116","26,992","28,286","30,333","30,292","27,988","27,312","23,898","25,486","26,529","26,698","25,814","25,684","26,141","26,237","29,476","29,510","27,057","26,176","25,039","25,122","25,953","25,061","25,157","27,680","26,184","29,480","28,604","30,106","30,351","28,637","27,257","26,408","25,506","26,110","25,565","26,500","26,814","28,465","28,122","28,296","27,639","28,451","27,312","27,731","27,957","28,545","27,947","29,545","28,314","28,661","31,190","28,196","27,635"
120,"28,886","28,049","28,608","30,229","29,818","33,416","31,810","28,782","30,747","31,184","32,114","32,975","27,914","26,002","28,792","28,225","27,951","31,637","29,735","27,955","28,253","30,367","32,206","29,427","28,698","25,214","26,014","28,145","27,610","28,682","27,784","26,924","28,333","30,251","29,629","28,425","26,480","24,080","25,498","28,388","25,080","26,906","28,912","26,833","28,143","30,739","30,927","27,861","27,396","23,604","25,194","26,031","25,951","25,669","25,573","25,976","26,275","29,482","29,629","26,898","26,214","25,090","25,022","25,937","25,041","25,145","26,759","26,127","29,559","28,522","30,396","30,327","29,018","27,143","26,335","25,104","25,951","25,504","26,073","26,563","28,341","28,378","28,078","27,451","28,500","27,531","27,820","27,873","28,224","28,008","29,635","27,992","28,543","31,582","28,431","27,498"
140,"29,122","28,278","29,180","30,743","29,998","33,851","32,922","29,184","31,055","31,976","33,863","34,361","28,761","26,506","29,584","28,488","28,139","32,676","30,373","28,329","28,380","31,280","33,502","29,749","29,824","25,241","26,212","28,808","27,747","29,425","28,059","27,100","28,400","30,757","30,324","29,459","27,243","24,133","25,624","28,733","25,343","27,161","29,290","27,012","28,265","31,782","31,975","28,008","27,959","23,729","25,494","26,384","26,029","25,669","25,749","26,135","26,561","29,882","29,937","27,200","26,241","25,002","25,127","26,071","25,410","25,243","27,176","26,255","28,508","28,857","31,410","30,524","29,925","27,396","26,453","25,388","26,280","25,610","26,345","26,833","28,529","29,008","28,296","27,671","28,465","27,875","28,104","28,261","28,567","28,292","30,406","28,267","28,747","32,612","28,724","27,698"
160,"29,331","28,308","29,008","31,069","29,812","34,110","33,396","29,006","31,135","32,488","34,663","35,920","29,586","26,378","30,239","28,627","28,084","33,825","30,914","28,202","28,502","32,222","34,582","30,165","31,037","25,371","26,245","29,249","27,669","30,214","28,276","26,975","28,263","31,375","30,398","29,731","27,743","24,098","25,365","29,196","25,476","27,357","29,494","26,973","28,390","32,520","33,063","28,259","28,425","23,886","25,667","26,747","26,133","25,833","25,824","26,275","26,837","30,620","30,178","27,337","26,563","25,159","25,318","25,529","25,698","25,496","27,673","26,443","28,563","29,273","32,337","30,490","31,118","27,404","27,059","25,588","26,802","25,873","26,414","27,178","28,741","29,845","28,563","28,041","28,818","28,382","28,776","29,029","28,731","28,890","31,173","28,680","29,090","34,004","29,041","27,918"
180,"30,112","28,976","29,649","31,963","30,008","34,933","34,535","29,661","31,784","33,475","36,461","38,188","30,776","26,835","31,673","28,973","28,114","35,092","31,884","28,829","28,820","33,543","36,371","30,645","33,149","25,588","26,551","29,573","27,796","31,288","28,806","27,025","28,320","32,308","31,078","30,463","28,494","24,214","25,412","30,076","25,545","27,690","29,798","27,031","28,418","34,100","34,639","28,700","28,680","23,739","25,586","26,998","26,284","25,957","25,769","26,186","27,020","31,216","30,190","27,302","26,380","25,016","25,251","25,449","25,859","25,439","27,822","26,196","28,306","29,749","33,580","30,863","32,122","27,216","26,861","25,429","26,892","25,755","26,437","27,151","28,651","30,671","28,525","28,004","28,380","28,100","28,965","28,943","28,657","28,747","31,553","28,631","29,078","35,382","28,976","27,825"
