File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210128_121107
MTP,2
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"36,496","31,933","27,161","28,608","26,492","26,108","25,059","25,082","25,902","33,069","29,661","29,551","33,420","30,198","30,533","28,276","29,465","24,318","25,153","24,027","24,588","25,453","24,986","25,637","24,265","23,365","24,633","27,273","23,292","23,247","23,141","23,992","26,125","25,247","25,914","26,141","26,273","25,829","30,604","27,302","33,878","24,747","26,124","23,955","27,855","25,035","24,273","24,096","26,614","22,927","24,188","23,455","22,259","23,733","23,490","26,008","24,388","25,731","25,255","26,063","24,392","24,565","23,725","24,824","25,606","23,610","23,551","26,933","24,255","26,247","26,555","25,533","30,482","35,373","25,208","28,006","26,925","25,984","29,410","25,680","25,924","26,216","25,741","26,141","36,627","31,825","33,267","32,888","27,647","29,445","25,704","30,041","25,990","26,076","28,788","28,663"
20,"35,308","33,737","28,151","29,300","27,131","25,375","24,982","24,969","25,586","32,871","31,147","32,124","36,235","32,735","31,802","27,122","27,894","24,629","24,955","23,839","24,598","24,694","25,116","25,831","24,649","23,573","25,384","29,655","23,559","23,427","23,325","23,751","25,739","25,702","25,206","26,494","26,600","25,235","29,659","29,351","36,447","24,431","25,973","23,302","27,494","25,355","24,275","24,020","25,608","22,882","24,408","23,984","22,508","23,182","23,190","24,357","24,816","23,825","23,910","24,604","24,994","26,439","23,824","25,745","26,896","22,855","23,290","24,667","23,437","27,141","24,994","25,773","33,637","38,341","25,831","27,737","27,392","24,600","26,269","24,798","25,494","26,669","26,237","26,061","39,859","33,804","37,073","35,686","29,529","29,076","26,082","30,669","26,098","26,124","29,173","28,769"
40,"35,106","31,106","26,580","29,120","26,216","25,569","25,022","25,022","25,745","29,192","32,108","33,465","34,024","30,831","34,033","26,637","28,247","24,745","25,090","23,651","24,718","24,873","25,208","26,014","24,706","23,586","24,714","31,076","23,753","23,449","23,176","23,141","24,112","24,584","24,527","26,484","25,431","24,035","29,647","28,045","34,733","24,100","25,908","23,006","28,339","25,580","23,894","24,353","24,751","22,543","23,345","23,931","22,606","22,884","22,788","24,251","23,998","23,688","24,059","24,247","25,578","25,816","24,047","24,829","24,671","23,031","23,406","24,022","23,569","26,759","25,380","26,165","32,839","38,782","25,845","27,478","24,073","24,971","25,867","24,225","25,180","25,575","26,578","26,529","41,924","36,229","35,994","37,514","30,657","28,075","25,588","29,871","25,876","26,267","28,969","29,120"
60,"36,590","30,782","26,284","28,863","26,182","25,253","24,737","24,778","25,467","28,706","31,898","33,088","34,935","29,067","32,827","26,300","28,906","23,710","25,102","23,386","24,537","24,608","25,088","25,929","24,694","23,578","24,353","29,853","23,259","22,739","22,808","23,122","23,667","24,025","24,647","26,022","25,222","24,200","29,741","28,276","28,161","23,875","23,271","22,590","25,884","25,214","23,776","24,047","24,882","22,296","23,155","23,588","22,363","22,880","22,520","24,120","23,820","23,663","23,776","24,125","25,296","25,014","23,780","23,716","22,990","22,353","23,055","23,524","23,322","25,769","24,716","26,096","28,424","39,533","25,822","23,782","23,727","23,716","24,847","24,186","25,031","25,396","26,378","26,198","41,984","36,482","36,822","38,439","30,280","27,575","25,551","29,469","26,006","26,014","28,792","28,898"
80,"37,124","30,124","26,618","30,320","26,576","25,663","25,167","25,025","25,733","27,767","32,359","33,716","35,075","29,908","33,602","25,306","29,127","23,908","25,335","23,720","24,618","24,865","25,375","26,263","25,222","24,018","24,765","29,988","23,322","22,380","22,933","23,404","23,973","24,239","24,782","26,959","24,776","24,394","30,675","26,851","29,088","24,437","22,169","22,965","26,553","26,184","24,167","24,451","25,092","22,535","23,073","23,802","22,082","22,935","22,729","24,398","24,061","23,961","24,161","24,380","25,810","25,533","23,116","23,937","23,208","22,453","23,106","23,753","23,710","26,094","25,139","26,627","29,404","41,024","26,169","23,967","23,786","23,820","24,382","23,680","25,294","25,837","26,778","27,051","43,749","38,741","37,598","38,204","31,155","27,912","25,600","30,351","26,106","26,263","29,151","29,153"
100,"37,653","30,712","26,710","29,994","26,796","26,143","25,124","25,118","25,820","27,822","32,449","33,690","34,841","30,163","33,535","25,390","26,547","24,006","25,322","23,729","24,508","24,998","25,731","26,186","25,425","24,135","23,925","30,018","23,327","22,361","22,994","23,443","24,053","24,512","24,908","27,447","24,608","24,631","28,984","27,216","28,810","24,245","22,114","22,975","26,916","26,288","24,329","24,429","25,261","22,435","22,914","23,337","21,967","22,635","22,708","24,522","23,996","23,980","24,104","24,610","25,890","23,816","23,063","23,814","22,992","22,318","23,102","23,716","23,653","26,324","25,198","26,276","29,773","41,516","26,245","24,051","23,749","23,743","24,102","23,773","25,375","25,808","27,153","27,614","43,663","38,920","37,286","38,320","31,298","27,990","25,743","28,480","26,282","26,276","29,396","29,145"
120,"37,406","30,500","27,224","31,053","27,335","27,022","25,616","25,653","26,229","28,292","33,822","34,641","36,400","30,641","34,578","26,055","27,029","24,369","26,127","24,373","24,837","25,655","26,253","26,453","25,990","24,661","24,439","31,180","23,604","22,708","23,071","24,241","24,067","25,182","25,365","27,961","25,010","25,067","29,371","26,898","28,237","24,284","22,188","23,514","27,598","27,180","24,910","24,529","25,939","22,918","23,282","23,184","22,271","23,076","22,657","24,678","24,571","24,727","24,420","24,984","25,847","23,784","23,310","24,047","23,357","22,833","23,376","23,657","24,292","26,629","25,729","26,710","29,976","40,745","26,371","24,318","24,039","24,141","24,688","24,263","25,741","26,324","27,794","28,561","43,798","38,433","38,753","39,210","31,255","28,551","26,167","28,837","26,537","26,731","29,586","29,431"
140,"38,020","30,739","27,941","32,988","28,159","28,600","26,471","26,637","26,945","29,206","35,327","34,737","37,137","31,818","34,129","27,182","27,412","24,896","27,084","25,400","25,680","26,378","27,112","27,004","26,920","25,755","25,447","32,547","24,243","22,973","23,588","25,496","24,706","25,918","25,986","27,618","25,620","25,731","29,737","27,237","28,406","24,218","22,443","24,067","28,896","28,441","26,114","25,212","26,814","23,290","23,614","23,522","22,569","23,433","23,116","25,171","25,298","25,663","25,031","25,761","26,455","24,290","23,955","24,180","23,975","23,090","23,696","24,102","24,920","27,404","26,778","27,439","30,598","43,329","27,002","24,820","24,429","24,853","25,012","25,147","26,161","26,967","29,122","30,312","45,537","39,986","39,835","40,453","30,624","28,700","26,971","29,508","27,361","27,498","30,245","30,071"
160,"39,439","31,867","29,075","35,278","29,510","30,767","27,602","28,133","27,996","30,602","36,124","35,822","37,014","33,139","36,102","28,445","28,157","25,955","28,467","26,586","26,820","27,845","28,822","27,355","28,049","27,410","26,949","32,602","24,861","23,461","24,190","27,243","25,514","27,382","27,153","29,341","26,555","26,837","31,400","28,288","29,724","24,300","22,843","25,037","30,118","30,490","27,853","25,941","28,200","23,922","24,180","24,043","22,820","23,576","23,747","26,145","24,998","26,959","25,847","26,947","27,076","25,329","24,747","24,537","24,347","23,647","24,284","24,382","25,939","26,716","28,457","28,865","32,341","39,786","27,747","25,433","25,212","25,678","25,539","26,286","27,280","28,084","31,602","33,463","44,275","39,492","39,535","40,159","31,853","29,573","27,975","30,273","28,755","28,461","31,218","30,773"
180,"41,014","33,608","30,824","38,986","31,796","34,318","30,110","30,408","29,798","33,341","38,163","36,837","37,722","35,853","38,673","30,957","29,108","27,584","30,600","28,329","28,884","30,165","31,339","28,096","30,149","29,855","29,278","33,831","25,975","24,478","25,396","30,382","26,851","29,639","29,200","32,441","27,967","28,400","33,575","29,378","30,743","24,125","23,406","26,767","31,973","33,763","30,910","27,220","30,761","25,133","24,875","24,837","23,543","24,100","24,900","27,308","26,627","29,141","26,880","28,908","28,212","26,739","26,251","25,114","25,414","24,822","25,014","24,763","27,567","27,767","30,975","31,524","35,051","40,576","29,418","26,676","26,529","27,588","26,598","28,312","28,682","30,151","35,424","38,529","44,561","40,022","40,155","40,680","32,516","30,733","29,967","31,845","31,241","30,159","32,867","32,296"
