File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210204_100739
MTP,3
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"24,355","24,004","24,506","23,173","23,855","25,488","24,200","24,053","22,971","24,561","24,843","26,773","22,212","23,492","22,284","23,318","24,196","25,222","25,298","24,825","25,135","22,625","23,092","24,453","21,578","22,267","23,159","23,061","23,125","23,414","22,216","24,614","22,206","23,692","24,410","24,575","24,210","21,445","24,182","22,345","22,567","22,822","25,337","25,173","24,139","24,712","25,008","22,839","21,812","21,616","21,780","21,616","20,469","22,155","24,329","24,722","22,171","22,424","23,002","23,594","22,000","21,500","22,745","21,645","21,641","23,271","25,031","23,302","22,235","22,941","23,278","23,357","23,320","22,059","23,624","23,698","23,367","23,643","23,357","22,535","22,818","25,065","24,018","25,143","24,676","24,006","25,308","30,408","33,759","28,561","32,320","25,412","24,063","24,769","24,418","26,429"
20,"23,461","24,008","24,606","23,904","24,325","25,492","24,945","24,773","23,739","25,076","25,973","26,494","21,678","22,618","22,367","23,614","24,427","25,688","25,871","24,975","24,739","23,284","23,380","24,286","21,080","21,396","22,461","23,010","23,153","23,033","21,582","24,316","22,618","23,388","24,051","24,067","23,557","21,120","23,237","22,559","22,388","22,998","25,916","25,592","23,943","24,008","24,706","23,457","21,408","21,600","21,827","21,629","20,773","22,539","24,378","25,229","22,288","22,918","23,427","23,310","21,776","21,227","22,425","21,967","22,173","23,092","24,649","23,182","22,553","22,988","23,545","23,102","22,227","21,927","23,294","23,218","22,882","23,520","23,398","22,555","22,910","24,518","24,298","24,835","24,600","24,000","25,084","30,516","33,351","28,573","32,422","26,147","24,443","24,953","25,253","26,124"
40,"23,425","23,900","24,404","23,898","24,573","25,531","25,067","24,908","23,745","25,206","26,061","26,729","21,551","22,486","22,382","23,516","24,516","25,576","25,890","25,188","24,698","23,488","23,645","24,510","21,143","21,384","22,508","22,863","23,071","22,947","21,653","24,412","22,798","23,492","24,269","24,014","23,196","21,067","23,014","22,525","22,449","23,088","25,757","25,549","24,247","23,855","25,029","23,651","21,575","21,573","21,802","21,533","20,720","22,975","24,486","25,204","22,396","23,065","23,575","23,575","21,827","21,171","22,498","21,988","22,245","23,027","24,614","23,218","22,592","23,118","23,675","23,292","22,149","21,967","23,200","23,145","22,792","23,547","23,504","22,757","22,975","24,529","24,618","24,892","24,225","23,912","25,145","30,184","33,298","28,533","32,847","26,671","24,471","25,004","25,412","26,312"
60,"23,320","23,671","24,406","23,802","24,425","25,388","24,937","24,712","23,633","25,118","26,084","26,729","21,418","22,394","22,273","23,359","24,288","25,659","25,725","24,812","24,567","23,447","23,696","24,639","21,047","21,488","22,459","22,790","22,947","22,875","21,553","24,180","22,720","23,453","24,225","24,086","23,257","20,924","23,033","22,375","22,245","22,924","25,680","25,341","23,929","23,959","25,000","23,494","21,363","21,541","21,855","21,431","20,714","22,365","24,233","24,931","22,175","22,890","23,455","23,612","21,773","20,927","22,378","21,843","22,161","22,910","24,314","22,973","22,555","22,949","23,527","23,192","22,139","21,892","23,016","23,065","22,598","23,329","23,320","22,494","22,896","24,451","24,598","24,914","24,139","23,786","24,994","30,386","32,949","28,237","32,098","26,339","24,343","25,002","25,259","26,075"
80,"23,524","23,765","24,576","24,090","24,606","25,473","25,120","24,751","23,931","25,116","26,396","27,271","21,576","22,755","22,478","23,055","24,386","25,920","25,898","25,027","24,688","23,573","23,688","25,322","21,224","21,504","22,725","22,961","22,965","23,106","21,722","24,382","22,839","23,661","24,655","24,288","23,482","21,106","23,400","22,543","22,590","23,029","25,710","25,461","24,375","24,212","25,486","23,767","21,420","21,639","21,875","21,494","20,743","22,329","24,271","25,065","22,331","23,010","23,629","23,824","21,933","21,127","22,545","22,002","22,239","22,990","24,600","23,092","22,478","23,200","23,651","23,588","22,392","22,159","23,145","23,422","22,635","23,488","23,606","22,578","22,933","24,690","24,945","25,225","24,341","24,008","25,061","30,455","33,180","28,522","32,445","26,733","24,488","25,284","25,506","26,531"
100,"23,514","23,757","24,727","24,214","24,665","25,459","25,255","24,694","23,961","25,247","26,696","27,622","21,639","22,939","22,594","22,976","24,482","26,153","25,847","25,118","24,424","23,625","23,855","25,939","21,229","21,741","23,153","22,790","23,041","23,200","21,725","24,349","22,957","23,735","24,990","24,639","23,757","21,229","23,704","22,653","22,475","23,139","25,520","25,416","24,259","24,353","25,937","23,873","21,392","21,580","21,920","21,459","20,743","22,349","24,269","24,847","22,343","22,973","23,641","23,898","21,869","21,110","22,537","22,024","22,269","22,971","24,273","23,020","22,500","23,104","23,643","23,737","22,590","22,392","23,220","23,645","22,567","23,494","23,633","22,625","23,002","24,718","25,208","25,586","24,478","24,069","25,124","30,459","33,169","28,561","32,333","26,918","24,629","25,629","25,633","26,825"
120,"23,820","24,047","25,020","24,539","25,031","25,641","25,706","25,041","24,196","25,429","27,224","28,796","21,733","23,371","22,931","23,182","24,745","26,669","26,100","25,404","24,669","23,892","24,141","26,931","21,588","22,004","23,802","23,035","23,339","23,743","21,918","24,682","23,059","24,392","25,616","25,190","24,255","21,412","24,349","22,941","22,686","23,592","25,767","25,696","24,765","25,018","27,024","24,292","21,610","21,786","22,043","21,578","21,020","22,492","24,235","25,143","22,335","23,143","24,061","24,473","22,218","21,365","22,753","22,400","22,576","23,165","24,612","23,316","22,780","23,492","23,841","24,361","23,024","22,727","23,435","24,194","22,747","23,594","23,894","22,882","23,169","25,116","26,020","26,471","24,859","24,422","25,600","30,694","33,747","28,959","33,216","27,506","24,925","26,084","26,178","27,429"
140,"23,939","24,247","25,196","25,043","25,376","25,745","26,063","25,086","24,333","25,529","27,857","29,582","21,902","23,920","23,278","23,171","24,941","27,151","26,182","25,620","24,604","24,180","24,296","28,041","21,825","22,324","24,404","23,200","23,425","24,157","22,043","24,969","23,294","24,978","26,294","25,894","24,667","21,600","24,769","23,171","22,890","24,029","25,763","25,537","24,953","25,273","27,916","24,780","21,663","21,918","22,137","21,571","21,090","22,659","24,543","25,188","22,512","23,055","24,324","24,929","22,302","21,429","22,831","22,522","22,641","23,339","24,690","23,302","22,806","23,737","23,876","24,802","23,318","23,137","23,547","24,592","22,792","23,618","23,984","23,096","23,249","25,516","26,469","27,276","25,018","24,673","25,914","31,047","33,843","29,133","33,239","27,778","25,192","26,537","26,278","27,814"
160,"24,122","24,365","25,524","25,547","25,663","25,959","26,510","25,237","24,494","25,680","28,327","30,563","22,131","24,376","23,722","23,327","25,292","27,708","26,343","25,939","24,702","24,394","24,618","29,239","22,069","22,692","24,961","23,312","23,616","24,704","22,241","25,233","23,357","25,624","27,096","26,722","25,163","21,780","25,343","23,382","23,208","24,508","25,853","25,710","25,239","25,796","28,761","25,190","21,829","22,067","22,263","21,733","21,278","22,855","24,614","25,161","22,486","23,133","24,596","25,500","22,475","21,518","22,833","22,867","22,957","23,502","24,725","23,259","23,002","23,975","24,025","25,318","23,810","23,696","23,690","25,371","22,716","23,688","23,998","23,229","23,302","25,931","27,096","28,261","25,337","25,100","26,288","31,739","34,108","29,447","33,410","28,192","25,612","26,982","26,647","28,382"
200,"24,578","24,931","26,459","26,900","26,557","26,308","27,390","25,669","25,076","26,127","29,633","32,671","22,508","25,343","24,645","23,618","25,892","29,106","26,575","26,716","24,575","24,951","25,345","32,059","22,659","23,235","26,794","23,516","23,996","26,216","22,794","25,949","23,749","27,418","29,080","28,749","26,043","22,204","27,175","24,047","23,771","25,663","26,049","26,190","26,129","27,039","31,320","26,408","22,133","22,284","22,382","21,916","21,490","23,180","24,416","25,184","22,614","23,224","25,967","26,792","22,861","21,796","23,090","23,512","23,475","23,671","24,943","23,557","23,216","24,804","24,280","26,671","24,998","25,253","24,029","26,937","22,575","23,627","24,049","23,892","23,631","26,824","29,084","30,327","25,865","25,978","27,231","32,833","35,108","30,531","34,351","29,278","26,384","28,104","27,457","29,441"
