File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220225_133809
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,29.561,30.631,28.465,26.996,30.880,32.778,32.825,31.498,31.690,27.375,35.876,30.653,33.188,30.829,32.198,30.702,33.316,34.782,33.586,32.357,32.014,30.492,29.171,31.104,33.449,31.608,31.659,29.392,36.524,33.727,31.182,30.222,31.622,31.808,35.437,30.590,33.825,32.843,33.025,31.116,35.047,35.575,30.431,30.459,31.359,28.480,31.100,33.539,36.092,33.514,34.271,35.749,40.902,43.837,29.763,28.314,30.651,27.606,35.039,38.833,37.288,34.773,35.175,35.453,39.551,39.665,31.188,30.480,32.737,31.753,37.890,41.341,35.839,35.980,35.778,34.759,41.355,42.441,32.231,32.145,32.200,33.576,40.698,44.459,39.237,36.525,36.792,34.808,35.869,38.876,33.618,35.633,34.402,33.873,37.667,30.837,,mtp01_20220225_133809.bmp
20,27.855,29.659,27.002,26.137,31.347,33.029,33.053,31.006,30.947,27.522,35.820,30.949,30.735,29.304,30.480,29.551,33.880,35.969,32.833,32.606,31.388,29.522,29.865,31.265,31.273,29.933,29.555,28.588,38.906,35.318,31.088,30.576,31.035,30.580,36.200,31.194,32.314,31.116,31.810,30.404,36.127,38.759,29.486,30.231,30.124,27.078,32.784,34.553,33.471,32.296,33.525,35.188,40.449,43.004,29.314,29.451,31.071,27.014,36.251,40.667,35.204,33.094,33.831,34.798,41.447,38.012,31.449,29.871,31.378,31.298,38.769,46.525,35.012,34.580,34.600,33.855,41.853,43.584,32.133,32.308,31.382,33.375,41.831,46.443,39.553,36.004,36.478,33.573,37.349,39.951,34.392,36.690,34.820,32.598,38.112,30.710,,mtp01_20220225_135810.bmp
40,27.616,29.996,26.912,25.971,30.427,32.433,33.925,31.476,31.180,27.398,34.343,29.575,30.614,29.141,30.116,29.406,33.053,34.645,32.898,32.914,31.400,29.655,29.100,30.698,31.784,29.702,29.396,28.337,37.606,34.484,30.810,30.886,30.786,30.575,34.688,29.694,32.131,31.108,31.855,30.102,34.571,37.898,29.414,30.316,30.167,26.886,31.745,33.476,33.465,32.202,33.706,34.822,38.318,39.529,29.261,29.525,31.141,26.790,35.394,39.518,35.216,32.835,33.498,34.533,39.614,37.365,31.259,29.724,31.251,31.106,37.810,45.971,35.249,34.912,34.592,33.771,41.337,43.259,32.051,32.124,31.200,33.214,40.716,45.641,39.294,35.749,36.782,33.394,36.300,39.198,34.076,36.349,34.186,32.708,36.839,30.288,,mtp01_20220225_141811.bmp
60,27.678,29.324,26.741,25.835,30.445,32.216,33.941,31.461,31.157,27.492,35.963,30.543,30.592,28.843,30.127,29.416,32.925,34.671,33.176,33.133,31.369,29.747,29.359,30.673,31.047,29.704,29.437,28.427,36.800,34.473,30.655,30.775,30.731,30.571,34.441,29.776,32.480,31.284,32.120,30.041,34.029,37.198,29.547,30.610,30.204,27.043,32.192,34.410,33.704,32.265,33.910,34.727,38.094,39.276,29.445,29.784,31.220,26.855,36.135,40.357,35.249,32.824,33.520,34.541,38.735,36.824,31.339,29.845,31.414,31.302,38.533,48.806,35.284,34.806,34.871,33.912,40.020,41.992,32.163,32.292,31.310,33.441,41.129,47.329,38.986,35.657,37.006,33.508,35.933,38.222,33.702,36.086,34.104,33.118,35.982,29.884,,mtp01_20220225_143811.bmp
80,27.745,29.853,26.957,25.916,29.739,31.486,34.837,31.675,31.455,27.618,34.406,29.086,30.694,29.014,30.202,29.476,31.894,33.796,33.392,33.433,31.494,29.902,28.916,30.386,30.829,29.965,29.620,28.494,35.602,33.659,30.837,31.037,30.855,30.784,33.975,29.437,32.218,31.604,31.886,30.157,33.616,35.739,29.678,30.686,30.380,27.082,31.108,33.565,33.888,32.563,34.329,34.922,36.931,37.549,29.643,29.957,31.435,27.016,35.414,39.251,34.675,32.810,33.682,34.843,37.249,36.835,31.518,29.980,31.373,30.635,37.876,47.122,35.549,34.931,34.953,33.920,39.235,41.398,32.222,32.335,31.375,33.500,40.137,45.586,38.847,35.731,37.482,33.631,34.894,37.659,33.404,35.710,33.571,33.316,34.588,29.827,,mtp01_20220225_145812.bmp
100,27.788,30.106,26.967,26.075,29.563,31.437,35.520,31.876,31.814,27.771,34.794,28.961,30.875,29.269,30.580,29.718,31.506,33.378,33.751,34.043,31.959,30.151,28.878,30.235,31.151,30.212,30.086,28.818,34.967,33.473,31.135,31.186,31.116,30.888,33.692,29.014,32.539,32.002,32.300,30.498,33.118,34.878,29.802,31.157,30.653,27.276,30.676,33.104,34.390,32.724,34.722,35.357,36.265,37.004,29.920,30.325,31.757,27.127,34.859,38.245,35.065,33.102,33.990,35.080,36.371,36.459,31.798,30.235,31.700,30.663,37.639,46.288,35.984,35.422,35.249,34.322,38.688,40.006,32.708,32.643,31.675,33.741,39.704,45.410,39.229,36.120,37.833,33.849,34.382,36.843,33.604,36.027,33.829,33.963,33.396,29.578,,mtp01_20220225_151811.bmp
120,27.653,29.918,26.853,25.880,29.176,30.867,35.478,31.900,31.567,27.596,34.382,28.578,30.718,29.218,30.341,29.461,30.884,32.718,33.590,33.896,31.392,29.963,28.663,29.939,30.780,30.027,29.849,28.439,33.896,32.986,30.904,31.118,30.782,30.702,33.396,28.959,32.343,31.914,31.976,30.590,32.863,33.829,29.727,30.955,30.584,27.253,30.700,33.008,34.082,32.761,34.688,35.322,35.349,35.780,29.867,30.314,31.675,27.137,34.631,38.382,35.059,33.004,33.865,35.284,35.155,35.690,31.845,30.367,31.737,30.471,37.908,46.118,36.000,35.376,34.900,34.214,38.110,39.249,32.575,32.641,31.586,33.733,39.622,45.743,38.929,36.059,37.945,33.849,34.027,36.059,33.496,35.737,33.598,34.300,32.222,29.280,,mtp01_20220225_153813.bmp
140,27.973,30.661,27.141,26.012,29.149,30.596,36.304,32.184,32.037,27.590,33.886,28.008,30.976,29.163,30.680,29.896,30.404,31.431,34.071,34.269,31.980,30.335,28.292,29.473,31.261,30.361,30.208,28.798,32.355,32.384,31.306,31.408,31.012,31.045,32.129,27.800,33.482,32.322,32.155,30.625,32.100,32.680,30.067,31.400,30.847,27.461,29.576,30.820,34.708,33.151,34.988,36.194,33.920,34.857,30.231,30.733,32.049,27.416,33.025,35.769,35.618,33.235,34.188,35.339,34.224,35.496,32.241,30.624,32.265,30.933,36.804,43.357,36.475,35.951,35.122,34.490,37.331,38.088,33.180,33.010,32.012,34.076,37.896,42.725,39.310,36.529,38.504,34.418,33.459,35.222,33.696,36.039,33.973,34.931,31.620,29.365,,mtp01_20220225_155812.bmp
160,27.818,30.433,27.088,25.924,28.890,30.149,36.182,32.206,32.024,27.631,33.980,27.984,30.894,28.890,30.624,29.761,29.976,30.786,33.963,34.204,31.647,30.225,27.894,29.002,31.282,30.271,30.096,28.678,31.173,32.184,31.159,31.235,30.863,30.796,31.684,27.478,32.676,32.057,32.069,30.614,31.339,31.667,29.920,31.437,30.782,27.318,29.043,30.018,34.678,32.798,34.820,36.037,32.831,34.071,30.275,30.816,32.169,27.469,32.312,34.635,35.582,33.178,34.147,35.125,33.667,34.724,32.375,30.802,32.263,30.869,36.169,42.396,36.359,35.808,35.088,34.520,35.773,36.782,33.278,33.231,32.027,34.229,36.875,40.978,39.065,36.661,38.576,34.576,32.853,33.902,33.873,35.894,34.002,35.365,31.024,29.016,,mtp01_20220225_161811.bmp
180,27.843,30.622,26.998,26.004,28.910,30.269,36.773,32.400,32.214,27.741,34.204,28.020,31.018,29.002,30.737,29.837,30.088,30.892,34.157,34.439,31.720,30.414,27.947,29.143,31.394,30.549,30.386,28.920,31.053,32.296,31.151,31.339,30.916,30.947,32.039,27.784,32.727,32.478,32.288,30.737,31.590,31.502,30.200,31.759,30.980,27.508,29.551,30.688,35.000,33.441,35.400,36.412,32.761,33.724,30.675,31.298,32.657,27.888,32.739,35.082,35.884,33.549,34.473,35.543,33.037,34.688,32.937,31.294,32.863,31.257,36.998,44.104,36.820,36.504,35.427,34.863,35.269,36.676,33.943,33.908,32.541,34.880,37.241,41.690,39.873,37.588,39.298,35.186,33.125,33.702,34.198,36.704,34.643,36.257,31.145,29.043,,mtp01_20220225_163811.bmp
