File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210223_150133
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,922","29,322","28,327","27,241","28,888","28,082","29,216","28,680","28,127","29,308","28,708","28,782","29,894","28,235","27,561","25,565","31,133","31,402","25,373","27,102","27,447","26,127","30,190","27,678","26,637","27,418","28,294","25,237","25,096","26,967","25,614","25,347","26,098","27,994","26,459","32,951","28,825","25,980","27,755","27,039","25,320","25,188","26,994","26,888","25,475","28,049","27,118","27,675","26,137","29,171","28,065","27,882","26,824","26,153","26,263","26,071","26,853","26,622","27,075","30,737","26,731","25,761","26,873","25,635","26,778","26,971","27,386","26,480","29,212","28,410","27,314","30,318","31,278","28,408","31,955","28,731","27,796","29,596","27,406","29,157","30,747","32,039","32,651","32,294","29,571","36,069","37,927","30,257","29,306","31,739","29,333","30,429","32,702","33,139","33,345","30,239"
20,"30,012","28,904","28,114","27,710","29,249","28,033","28,784","28,422","27,833","28,947","28,657","28,627","29,043","27,253","27,371","25,961","31,129","31,308","25,427","27,194","27,578","26,245","31,027","27,835","26,008","26,678","27,794","25,365","24,473","26,800","25,231","25,292","25,612","27,888","26,208","33,090","29,341","25,878","27,349","27,222","25,302","28,406","26,263","26,018","25,125","28,041","27,569","27,420","26,225","27,525","27,951","26,788","26,218","25,490","25,094","26,516","26,947","26,496","26,751","30,980","26,641","25,492","25,973","24,869","25,841","26,245","25,898","26,463","27,896","28,008","27,088","30,625","30,818","27,869","31,178","28,800","27,737","28,822","27,357","28,884","29,955","30,265","31,641","32,186","28,988","34,453","36,290","29,818","30,318","30,933","29,216","30,112","31,445","32,420","32,510","30,145"
40,"29,288","29,186","28,239","27,355","28,935","27,827","29,116","28,604","28,018","29,341","28,694","28,935","28,871","27,151","26,959","25,302","31,531","31,741","25,535","27,320","27,302","26,196","31,098","28,063","25,882","27,108","27,582","25,518","24,578","26,659","25,545","25,018","25,794","28,176","26,494","33,084","27,276","25,271","27,353","26,298","24,867","26,106","26,963","25,869","25,284","27,339","27,804","27,786","26,633","27,720","27,557","26,969","26,394","25,520","25,335","26,767","26,767","25,980","26,865","31,084","26,692","25,763","26,159","25,106","25,741","26,318","26,035","26,729","28,151","27,902","26,814","29,704","30,671","28,102","31,075","28,696","27,367","28,765","27,637","29,018","30,004","30,322","31,435","32,308","29,198","34,773","36,957","30,153","30,553","30,931","29,288","30,310","31,680","32,537","33,145","29,931"
60,"29,875","29,571","28,420","27,433","29,084","28,112","29,616","28,775","28,345","29,747","28,957","29,253","29,329","27,816","27,388","25,427","32,688","32,863","25,661","27,802","27,424","26,539","31,722","28,400","26,057","27,673","27,982","25,178","24,657","26,935","25,516","25,202","25,867","28,837","26,818","33,310","27,975","25,661","27,529","26,290","25,051","25,792","26,875","25,931","25,486","27,490","28,110","27,912","27,076","27,753","27,894","27,592","27,075","25,847","24,975","26,922","26,900","26,135","27,196","31,324","27,012","25,306","26,024","24,755","25,963","26,686","26,212","26,847","28,822","28,349","26,896","29,631","30,918","28,429","31,647","29,065","27,571","29,447","27,690","29,641","30,596","31,029","31,671","33,008","28,929","36,022","38,333","30,600","30,539","31,588","29,404","30,465","32,212","33,108","33,765","29,635"
80,"30,163","30,157","28,755","27,635","29,347","28,459","30,261","29,188","28,822","30,327","29,173","29,763","29,890","28,473","27,853","25,541","34,408","34,857","25,902","28,180","27,610","26,692","32,229","28,947","26,400","28,604","28,778","25,294","24,992","27,455","25,953","25,553","26,225","29,478","27,386","33,600","28,361","26,116","27,886","26,643","25,647","27,059","27,531","26,394","25,849","28,059","28,571","28,241","27,300","29,065","28,624","28,478","27,675","26,437","25,237","27,055","27,414","26,255","27,720","31,822","27,212","25,471","25,469","25,173","26,339","27,522","26,759","27,141","29,578","28,700","27,257","30,222","31,612","29,182","32,686","29,982","27,908","30,571","28,288","30,616","31,757","31,727","32,216","34,124","28,975","37,986","40,647","31,547","31,171","32,363","29,810","31,149","33,110","34,080","35,096","29,894"
100,"30,196","30,396","28,594","27,543","29,671","28,580","31,047","29,804","28,994","30,710","29,088","29,931","30,190","29,116","28,190","25,627","36,241","37,135","26,063","28,676","27,776","26,637","31,973","29,094","26,522","29,649","29,237","25,443","25,469","27,914","26,237","25,747","26,475","30,243","27,520","33,304","28,649","26,900","28,078","27,022","25,994","26,355","28,227","26,794","26,076","28,404","28,739","28,298","27,390","30,690","29,404","29,882","28,773","27,075","25,412","26,794","27,980","26,541","28,475","31,878","27,484","25,531","25,602","25,120","26,747","28,178","27,280","27,535","30,753","29,192","27,624","30,478","32,084","29,853","33,725","30,498","28,378","31,755","28,727","31,898","32,565","32,551","32,767","35,300","28,657","40,206","43,059","32,418","31,133","33,598","30,606","31,786","34,175","35,055","36,478","29,698"
120,"30,976","31,496","29,222","28,253","30,398","29,271","32,622","30,325","29,975","31,700","29,845","30,710","31,688","30,725","28,994","26,008","39,510","40,384","26,590","29,931","28,369","27,231","33,229","29,778","27,090","31,145","30,457","25,941","25,820","28,880","27,141","26,443","27,149","31,675","28,359","34,353","29,604","27,629","28,631","28,365","26,994","26,873","29,520","27,831","26,863","29,504","29,396","29,080","27,878","32,410","30,822","31,716","30,580","27,994","26,131","27,300","28,992","27,194","29,763","33,441","28,067","25,945","25,975","25,551","27,475","29,667","28,676","28,347","32,667","30,139","28,482","31,263","33,404","31,298","35,216","31,592","29,202","33,622","30,080","33,712","33,963","34,347","33,876","37,135","28,859","43,659","46,631","34,169","31,614","35,367","31,684","33,124","35,786","36,629","38,714","29,659"
140,"31,608","32,382","29,473","28,371","30,996","29,661","33,771","30,886","30,492","32,608","30,094","31,637","32,625","31,969","29,592","26,029","42,292","43,790","27,082","30,724","28,937","27,292","33,976","30,363","27,433","32,410","31,388","26,047","26,202","29,814","27,837","26,759","27,669","32,839","28,837","34,808","30,175","28,400","28,998","28,982","27,782","27,759","30,706","28,561","27,439","30,218","29,953","29,543","28,029","33,347","31,753","33,561","32,471","28,990","26,529","27,369","30,024","27,580","30,998","34,351","28,398","26,084","26,149","25,737","27,912","31,057","29,371","28,824","34,459","30,780","29,218","31,808","34,178","32,508","36,622","32,608","29,688","35,076","31,171","35,567","35,065","35,884","34,775","38,367","28,776","46,804","49,833","35,624","32,324","36,945","32,524","34,153","37,214","38,202","40,822","29,355"
160,"32,420","33,535","30,037","28,616","31,824","30,429","35,729","31,741","31,649","34,276","30,839","32,637","34,343","33,975","30,612","26,449","46,706","48,325","27,655","32,131","29,547","27,682","34,908","31,282","28,247","34,692","33,178","26,710","27,061","31,143","29,133","27,571","28,649","34,665","29,606","35,571","31,278","29,729","29,967","30,143","28,945","29,194","32,496","29,749","28,257","31,465","30,937","30,153","28,686","35,386","33,675","36,114","35,192","30,482","27,284","27,698","31,545","28,518","32,880","35,739","29,110","26,433","26,753","26,116","28,759","32,804","30,743","29,798","36,945","31,908","30,237","32,984","35,845","34,622","40,012","34,006","30,678","37,680","33,031","38,004","36,775","38,149","36,027","40,437","28,761","51,349","54,486","38,098","33,082","39,171","34,078","35,784","39,633","40,314","44,249","29,361"
180,"33,431","35,157","30,702","29,031","32,843","31,225","38,016","32,778","32,898","36,155","31,582","33,945","36,253","36,114","31,806","26,761","50,765","51,739","28,471","33,737","30,527","28,161","35,835","32,271","29,176","37,057","35,075","27,175","27,990","32,773","30,380","28,439","29,482","36,675","30,580","36,345","32,286","31,271","31,090","31,229","30,243","30,480","34,500","31,092","29,325","32,790","32,008","30,994","29,355","37,765","35,731","39,310","37,922","32,196","28,269","28,216","33,341","29,429","34,996","37,488","29,910","26,937","27,294","26,729","29,751","35,143","32,408","30,708","39,618","33,163","31,620","34,147","37,525","36,549","43,010","35,843","31,939","40,606","35,141","40,382","38,316","40,586","37,300","42,869","28,914","55,633","59,637","40,663","33,851","41,569","35,745","37,776","42,667","42,533","47,267","29,610"
