File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210223_150133
MTP,9
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,041","31,984","31,763","30,829","35,965","36,737","33,757","35,469","29,525","32,933","28,629","33,004","26,839","28,188","26,737","29,759","32,663","30,084","42,339","31,312","27,294","26,669","28,863","28,498","26,659","27,043","28,414","25,727","26,651","24,859","24,867","26,161","27,063","25,906","37,231","25,933","24,476","30,212","25,849","26,339","29,876","25,055","27,673","28,327","25,888","28,094","28,631","33,545","25,257","24,720","26,876","27,788","26,502","25,745","28,855","26,337","28,884","29,539","29,441","31,353","25,382","24,692","26,294","26,545","27,471","28,816","26,969","25,022","29,467","30,753","32,900","28,722","30,380","29,239","27,324","28,378","29,063","30,051","27,094","26,798","28,867","27,761","39,288","31,276","32,543","27,010","28,010","27,696","31,341","28,763","33,875","32,237","28,698","28,576","30,716","37,339"
20,"29,892","31,155","30,708","31,484","35,659","35,769","31,418","34,610","29,512","33,102","30,871","31,561","26,324","26,302","25,237","28,361","31,486","27,127","41,484","30,816","26,649","26,375","29,069","28,294","26,959","26,363","27,265","25,420","26,051","24,535","25,398","25,518","26,776","26,116","30,147","26,102","24,890","26,353","24,739","25,131","25,347","23,743","25,337","27,014","25,835","25,335","26,196","27,894","24,235","24,369","25,804","25,714","26,741","26,147","28,145","25,737","26,082","27,786","24,255","30,559","25,484","24,563","24,424","25,933","27,078","26,843","25,598","25,057","28,747","27,816","31,541","26,190","27,488","27,382","25,104","28,000","28,222","27,584","27,196","27,227","27,582","26,290","36,637","29,688","31,090","27,098","28,341","29,127","31,324","30,310","33,947","31,841","28,475","28,843","31,047","38,218"
40,"29,145","29,955","30,710","31,310","35,949","35,386","31,447","34,675","29,167","33,473","29,543","31,647","26,157","25,047","25,373","28,649","31,190","26,473","42,851","30,767","26,504","26,043","28,490","28,331","26,767","25,982","27,290","25,424","25,312","24,367","25,263","25,378","26,529","25,947","27,229","25,265","24,543","26,337","24,457","25,033","24,802","25,486","24,908","27,012","25,400","25,176","25,520","26,639","24,178","24,271","25,780","25,453","26,292","26,022","27,967","25,606","25,704","25,822","24,216","29,994","25,608","24,418","24,192","25,873","27,024","26,075","25,255","24,625","28,120","27,102","30,784","25,580","26,882","27,369","24,727","25,890","28,129","27,376","27,139","26,469","27,010","24,939","35,888","27,776","29,145","26,747","27,957","29,222","31,369","28,984","34,075","31,806","27,629","27,484","29,416","36,249"
60,"28,775","29,898","30,857","31,122","37,720","36,318","31,988","36,482","29,388","34,290","29,208","31,931","26,625","25,588","25,492","28,837","31,288","25,357","45,763","31,753","26,663","26,141","28,182","28,647","26,896","26,133","27,488","25,257","25,553","24,557","25,371","25,518","26,437","26,116","27,025","25,373","24,647","25,210","24,594","25,208","24,861","24,135","24,941","27,725","25,176","25,257","24,951","25,737","24,271","24,380","25,829","24,749","26,075","25,949","28,373","25,659","25,129","25,602","24,375","30,504","25,357","24,414","24,316","26,247","27,051","26,702","25,584","24,812","28,406","27,341","32,000","25,382","27,506","27,514","25,296","26,084","28,345","27,210","27,324","26,714","27,402","25,167","38,071","28,763","29,335","27,102","28,257","29,357","31,582","29,420","34,800","32,733","28,025","27,904","29,702","31,857"
80,"28,641","30,190","31,369","31,588","39,794","38,010","32,394","37,698","29,435","36,212","29,451","31,971","26,694","25,400","25,545","29,612","32,149","25,422","49,835","33,649","26,935","26,312","28,710","29,145","26,510","26,290","27,880","25,443","25,429","24,510","25,608","25,733","26,753","26,569","27,486","25,206","24,429","24,749","24,596","25,580","24,647","24,241","24,914","28,388","25,367","25,047","24,761","25,716","24,512","24,580","25,680","24,812","26,292","25,939","28,745","25,653","25,131","25,645","24,418","31,837","25,722","24,612","24,275","26,465","27,092","27,125","25,820","25,096","28,767","27,465","33,694","25,380","26,676","27,524","25,810","26,145","28,273","27,484","27,090","27,104","27,867","25,596","40,680","28,996","29,147","27,057","28,169","29,596","31,851","29,669","36,788","34,188","28,251","27,843","29,969","31,045"
100,"28,882","30,145","31,522","31,457","42,388","40,188","32,953","38,159","29,541","37,845","29,243","32,849","26,843","25,233","25,467","30,239","33,237","25,341","54,496","35,535","27,088","26,273","28,792","30,161","27,114","26,271","28,406","25,641","25,578","24,706","25,318","25,924","26,531","26,549","27,075","25,369","24,861","24,629","24,380","25,496","24,822","23,886","24,686","29,357","25,592","25,059","24,880","25,494","24,029","24,322","25,859","24,971","26,476","25,876","28,718","25,555","24,800","25,565","24,469","32,867","25,988","24,571","24,059","26,924","27,633","27,475","25,827","25,471","29,006","28,008","35,892","25,410","26,990","27,427","25,492","25,892","28,414","27,357","27,288","27,769","28,273","25,314","44,120","29,914","29,753","27,320","28,073","29,212","30,961","29,416","38,369","35,973","28,216","27,682","30,257","30,998"
120,"29,196","30,824","32,398","32,096","46,402","43,327","34,453","40,412","29,953","41,351","30,375","33,767","27,635","25,769","24,888","31,567","34,976","25,727","60,269","38,775","27,949","26,745","29,486","31,845","27,704","26,806","29,739","25,643","26,408","25,522","25,676","26,531","26,924","27,445","28,004","25,906","25,022","24,888","24,775","26,600","25,469","23,873","25,175","31,584","26,225","25,673","25,278","25,761","24,490","24,669","26,427","25,212","27,284","26,351","29,520","25,971","24,994","26,461","24,900","34,643","26,682","25,069","24,590","27,841","28,684","28,522","26,651","25,980","30,202","29,329","39,004","25,865","27,863","28,169","26,159","26,433","29,473","27,939","27,925","28,147","29,135","25,929","48,751","31,563","30,151","27,853","28,527","29,700","31,439","29,867","41,400","38,727","28,900","28,088","31,537","31,331"
140,"29,202","30,835","32,384","32,149","49,824","45,678","35,129","42,125","30,051","44,573","30,627","34,445","28,006","25,708","24,825","32,810","36,269","25,839","64,461","42,188","28,137","27,069","30,073","33,449","27,704","27,349","30,694","25,729","27,141","25,869","25,965","26,890","27,012","27,712","28,494","25,863","25,204","24,925","24,533","26,880","25,716","24,165","25,010","33,090","26,380","26,024","25,220","25,524","24,535","24,904","26,596","25,475","27,984","26,469","30,035","26,169","25,376","26,804","24,931","37,004","26,845","25,280","24,524","28,569","29,371","29,714","27,298","26,437","31,080","30,202","42,200","25,975","28,251","28,120","26,418","26,741","29,967","28,210","28,249","28,382","29,965","26,035","52,296","32,961","29,904","28,249","28,641","29,686","31,439","30,124","43,929","41,557","29,345","28,133","31,986","31,549"
160,"29,569","31,698","33,390","32,500","54,927","50,751","37,104","45,125","30,555","49,653","31,541","36,214","28,351","26,547","25,159","34,700","38,610","26,420","69,192","47,110","28,925","27,686","31,227","36,002","28,590","27,729","32,561","26,127","28,294","26,839","26,024","27,731","27,610","28,520","29,631","26,543","25,822","25,288","24,853","28,188","26,722","24,451","25,488","36,518","27,220","26,596","25,775","25,857","24,967","25,251","27,416","25,912","29,271","27,102","31,098","26,604","25,241","27,480","25,414","41,112","27,880","25,959","25,014","29,998","30,892","31,412","28,227","27,447","32,673","32,035","46,480","26,486","29,253","28,902","27,143","27,647","31,263","28,951","29,322","29,345","31,308","26,665","58,106","35,051","30,553","28,780","29,086","30,135","31,990","30,757","48,551","45,647","30,467","28,647","33,914","32,202"
180,"30,822","32,835","33,833","33,163","60,559","55,147","38,939","48,571","31,031","54,167","32,465","38,163","29,259","26,778","25,343","37,012","41,082","27,039","72,731","52,002","29,818","28,306","32,604","38,959","29,031","28,394","34,482","26,649","29,731","27,922","26,324","28,961","27,857","29,249","30,680","26,961","26,182","25,673","24,978","29,684","27,647","24,598","25,955","39,271","28,047","27,282","26,212","26,002","25,071","25,747","28,353","26,402","30,543","27,584","32,586","27,212","26,469","28,561","25,857","44,775","28,753","26,627","25,435","31,522","32,224","33,239","29,412","28,316","34,331","34,114","51,169","26,984","29,988","29,525","27,796","28,347","32,624","29,508","30,167","29,975","32,641","27,245","63,212","38,271","30,616","29,380","29,475","30,271","32,433","31,459","52,861","49,651","31,214","28,982","35,959","32,863"
