File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210216_105348
MTP,4
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"25,092","25,353","24,371","25,435","35,137","33,814","26,708","39,957","25,794","36,037","24,231","27,106","23,714","22,094","23,853","23,596","29,622","24,671","41,414","26,496","23,355","22,355","25,161","25,316","23,812","22,727","24,573","23,700","24,292","44,882","22,651","33,698","24,035","32,561","23,849","22,661","23,069","21,412","21,865","25,325","27,555","22,586","23,471","33,790","23,380","22,629","22,396","22,859","22,337","22,071","22,665","22,169","26,924","26,402","23,222","24,133","22,802","23,284","23,300","27,559","26,294","25,822","23,357","25,696","26,025","32,700","23,518","26,718","35,088","24,220","48,492","23,675","25,486","22,829","22,890","22,984","28,184","28,267","26,525","27,388","41,375","24,216","39,347","41,602","25,804","26,045","24,904","25,551","28,222","25,222","50,280","59,237","29,473","25,571","32,490","30,337"
"20,25","24,967","25,176","23,698","25,335","32,386","30,951","26,110","33,392","25,533","31,459","24,508","27,012","23,188","21,994","23,637","23,739","26,506","23,586","35,906","25,133","23,773","22,555","24,694","24,576","23,104","22,355","23,169","23,441","22,975","33,265","22,367","28,067","23,290","28,629","23,010","22,312","22,486","21,594","22,378","23,151","23,959","22,612","23,618","27,225","23,020","22,690","22,284","22,839","21,782","21,653","22,280","21,814","24,531","24,635","22,347","23,361","22,653","22,878","22,973","26,633","24,816","23,180","22,876","23,992","24,914","28,141","23,033","24,637","29,920","24,333","36,639","23,647","24,076","22,682","22,902","22,627","26,120","26,761","25,027","25,590","38,225","23,267","34,284","34,578","25,414","25,945","25,267","25,088","26,476","24,510","43,920","48,388","29,155","25,594","30,824","29,396"
"40,25","25,361","25,506","24,137","25,743","33,092","31,361","26,398","34,296","25,880","32,265","24,829","27,565","23,543","22,227","23,963","24,014","26,890","24,135","37,222","25,575","23,949","22,882","25,014","24,922","23,241","22,745","23,373","23,657","23,155","34,041","22,543","28,616","23,537","29,194","23,357","22,573","22,616","21,747","22,600","23,492","24,276","22,831","24,067","28,039","23,531","23,014","22,476","23,022","22,075","21,798","22,506","22,092","24,829","24,933","22,616","23,788","22,955","22,998","23,292","27,102","24,937","23,400","23,067","24,178","25,204","28,722","23,416","25,082","30,471","24,592","38,351","23,431","24,365","22,778","22,978","22,839","26,173","27,002","25,435","25,967","39,286","23,514","35,322","36,161","25,757","26,271","25,849","25,612","26,931","24,753","45,243","50,867","29,814","25,986","31,231","29,835"
"60,25","25,108","25,861","24,135","25,508","34,063","31,763","26,473","36,073","25,671","33,735","24,820","28,137","23,425","22,120","23,816","23,920","27,082","23,600","39,547","25,678","23,931","22,786","25,276","25,159","23,139","22,525","23,482","23,614","23,259","35,533","22,624","29,412","23,349","29,755","23,296","22,518","22,678","21,727","22,555","23,496","24,218","22,725","23,555","27,843","23,302","22,984","22,422","23,051","21,792","21,757","22,371","21,904","24,878","25,196","22,706","23,671","22,796","23,041","23,335","27,710","25,422","23,259","23,098","24,188","25,035","29,057","23,355","25,284","30,692","24,755","41,563","23,361","24,371","22,684","23,022","22,782","26,053","27,100","25,600","26,149","42,004","23,427","37,167","39,231","25,680","26,176","25,910","25,496","27,020","24,831","48,114","55,529","30,747","26,067","31,649","30,708"
"80,25","25,063","25,927","24,135","25,865","37,337","33,822","27,194","40,063","25,949","37,410","25,004","29,261","23,590","22,214","23,961","24,186","28,429","23,971","45,382","26,712","24,251","22,945","25,951","26,104","23,490","22,908","24,037","23,835","23,761","40,502","22,927","31,816","23,676","32,110","23,688","22,806","22,796","21,767","22,673","23,996","24,804","22,941","23,592","29,539","23,798","23,341","22,588","23,167","22,076","21,988","22,573","22,153","25,688","26,425","23,420","24,088","23,198","23,408","23,820","29,296","26,514","23,692","23,312","24,743","25,751","31,288","23,686","26,404","32,598","25,118","48,671","23,616","24,894","22,739","23,292","22,904","26,729","28,014","26,567","26,947","48,420","23,867","41,306","45,584","26,082","26,647","26,606","25,488","27,820","25,135","54,818","63,120","33,239","26,439","33,402","32,455"
"100,25","24,988","26,222","24,322","26,037","42,149","37,110","27,965","45,963","26,051","42,822","25,351","30,702","23,765","22,296","23,931","24,614","30,498","24,031","52,380","28,131","24,661","23,061","26,959","27,210","23,835","23,118","25,029","23,996","24,578","47,367","23,031","35,914","23,845","34,896","23,988","23,161","22,886","21,975","22,837","24,704","25,631","23,161","23,898","32,298","24,196","23,686","22,812","23,416","22,173","22,122","22,759","22,376","26,775","28,012","24,371","24,751","23,531","23,843","24,520","31,549","28,755","24,263","23,608","25,233","26,186","34,857","24,055","27,529","35,437","25,596","57,092","23,704","25,704","22,957","23,643","23,114","27,498","29,335","27,845","28,380","56,124","24,037","47,125","53,455","26,441","27,222","27,090","25,773","28,825","25,610","63,173","70,139","37,171","26,790","36,224","34,739"
"120,25","25,092","26,812","24,712","26,257","48,886","41,759","28,880","53,469","26,267","50,182","25,575","32,692","23,933","22,318","24,200","25,080","33,929","24,145","59,880","29,900","25,208","23,235","28,459","29,220","24,424","23,567","26,608","24,129","25,614","55,447","23,178","41,908","24,216","39,361","24,429","23,525","23,173","22,224","22,880","25,561","26,678","23,288","24,002","37,422","24,437","24,161","23,141","23,637","22,294","22,535","22,949","22,582","28,531","30,567","26,108","25,908","24,124","24,500","25,916","34,975","31,867","25,200","23,916","26,333","26,953","40,345","24,584","28,971","39,686","26,312","64,231","23,998","26,767","23,125","24,171","23,294","28,635","31,643","29,714","30,337","62,737","24,563","53,678","60,071","27,269","27,931","27,869","25,835","30,149","26,135","70,949","76,655","42,729","27,461","40,441","37,484"
"140,25","25,553","28,288","25,404","27,027","56,637","49,102","30,916","60,457","26,808","57,278","26,257","36,073","24,414","22,625","24,545","26,192","39,996","24,712","67,935","33,218","26,378","23,718","31,547","32,612","25,902","24,551","29,135","24,704","27,271","63,492","23,737","51,333","25,067","46,471","25,359","24,318","23,898","22,827","23,310","27,139","28,398","23,651","24,486","44,918","25,382","25,243","23,659","24,084","23,014","23,378","23,482","23,392","31,529","35,357","29,139","27,929","25,145","25,859","28,151","40,857","37,288","27,110","24,457","28,514","28,357","48,743","25,788","31,833","46,802","27,959","73,263","24,280","28,935","23,675","25,061","23,822","31,284","35,833","32,980","33,802","72,865","25,463","61,592","70,365","28,624","29,576","29,239","26,290","32,792","27,567","77,018","82,398","51,080","28,837","47,251","42,712"
"160,25","25,986","30,422","26,553","27,614","65,045","55,192","33,863","70,498","27,414","66,302","27,278","41,349","25,214","23,047","25,006","27,843","48,447","25,502","73,708","37,951","28,061","24,296","36,122","37,525","27,796","25,943","33,292","25,449","29,647","72,547","24,235","58,069","25,916","53,237","26,373","25,088","24,959","23,622","23,865","29,459","31,178","23,975","24,971","51,375","26,322","26,635","24,320","24,851","23,616","24,396","24,169","24,400","36,127","42,414","33,676","30,875","26,445","27,594","31,575","47,625","43,208","30,145","25,543","31,861","30,375","55,278","27,175","35,565","53,320","30,108","80,141","24,843","31,820","24,424","26,694","24,394","34,320","42,012","37,955","38,675","77,600","26,588","71,731","76,102","30,988","31,669","30,767","26,875","36,633","29,182","83,167","88,918","56,963","30,502","52,557","49,357"
"180,25","27,027","33,735","28,112","28,792","70,243","63,718","38,363","76,198","28,333","73,637","28,639","48,082","26,753","23,471","25,739","30,553","54,914","26,822","77,082","44,778","30,729","25,163","43,108","44,880","30,845","28,031","39,557","26,486","32,890","77,957","24,990","68,378","27,178","60,502","27,710","26,016","26,290","24,724","24,349","33,045","35,347","24,425","25,916","60,378","27,684","28,269","25,478","25,698","24,425","25,675","25,018","25,996","42,871","48,561","40,669","35,722","28,318","29,908","37,175","55,696","48,541","34,745","26,841","36,696","33,363","64,818","29,437","40,667","61,596","32,902","87,439","25,529","36,124","25,451","28,831","24,937","39,369","49,112","44,782","45,718","84,041","28,394","77,408","83,851","34,084","35,457","33,018","27,539","42,275","32,071","89,249","95,037","65,890","33,276","59,243","54,618"
