File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201208_133719
MTP,4
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"23,659","24,347","24,404","23,512","23,712","27,506","25,318","26,239","25,696","26,557","25,120","24,541","25,727","23,067","22,829","23,275","25,543","25,712","26,990","23,531","23,057","22,757","23,080","25,410","21,969","22,125","25,088","24,414","25,257","24,416","21,775","22,751","23,155","22,737","23,639","21,771","25,496","22,402","24,265","26,843","27,555","22,261","24,384","28,624","22,398","23,182","22,935","22,598","21,867","24,904","23,071","24,212","22,849","22,067","22,284","22,222","22,741","23,163","22,965","23,904","25,386","23,663","23,478","23,178","21,967","22,500","22,290","23,522","23,249","24,278","25,680","23,378","25,853","24,000","27,345","24,620","29,486","25,214","24,651","24,831","26,178","24,461","25,776","26,308","24,127","23,786","26,384","25,314","23,865","24,524","28,508","26,557","28,080","24,641","25,322","25,606"
20,"23,586","24,578","25,045","23,788","23,894","29,943","25,098","26,504","26,614","27,086","25,231","24,512","26,657","23,163","22,890","23,410","26,720","25,255","25,920","23,735","23,086","24,176","23,098","25,439","22,090","22,282","25,651","24,151","25,818","24,982","22,816","23,590","23,482","22,706","24,149","21,790","26,171","23,082","24,388","26,282","29,216","24,143","25,163","28,886","22,814","23,316","23,020","22,763","22,082","26,265","22,900","24,284","23,959","22,796","22,065","21,906","23,171","24,427","22,976","24,008","24,355","23,694","24,045","22,627","22,482","24,592","22,218","25,159","23,714","24,361","25,410","23,267","26,365","24,257","29,800","24,904","32,292","25,537","25,018","25,039","26,112","24,641","26,173","26,171","24,039","23,861","27,353","25,549","23,845","24,667","30,088","26,435","28,724","24,755","25,422","25,606"
40,"23,490","24,727","25,527","23,886","23,582","30,324","25,010","26,422","25,878","29,139","25,918","24,659","26,814","23,294","22,724","23,214","27,325","24,396","25,651","23,686","22,988","23,375","23,504","25,973","21,925","22,257","25,053","23,449","26,496","23,378","21,843","23,982","22,971","22,739","23,906","22,080","26,904","22,884","24,710","27,073","28,708","23,375","25,455","30,361","22,163","23,484","23,100","22,849","22,243","26,725","24,224","22,920","22,945","22,133","22,263","22,229","22,469","23,618","23,396","24,271","24,363","23,680","23,861","22,455","23,469","22,637","22,451","24,376","23,665","24,724","25,373","23,324","26,675","24,578","27,841","25,216","31,400","24,788","24,859","24,882","26,349","24,904","26,747","26,824","24,333","24,153","27,522","25,355","24,525","24,861","29,663","26,953","30,216","25,665","25,376","25,767"
60,"23,918","25,053","24,869","23,975","23,963","29,108","25,402","26,833","27,447","28,253","25,641","24,767","27,337","23,484","22,776","23,359","27,476","23,220","25,116","22,525","22,996","22,820","23,196","26,278","21,980","22,410","25,173","23,373","27,845","23,810","21,945","23,116","23,137","23,251","24,147","21,896","27,743","22,596","24,690","26,920","27,188","23,533","25,386","29,349","22,565","23,375","23,098","22,918","22,247","26,378","23,008","22,957","22,825","21,767","22,553","21,624","22,155","23,286","23,112","24,471","24,790","23,786","23,594","22,231","21,824","22,778","22,443","23,565","23,457","24,643","26,014","23,508","27,869","24,592","26,714","25,655","31,522","24,394","25,616","25,845","26,655","24,788","27,143","27,545","24,084","23,886","27,333","25,380","23,784","25,180","30,108","26,884","29,965","25,067","25,943","25,847"
80,"23,996","25,300","24,890","24,002","24,278","30,418","25,339","27,239","26,724","26,257","26,110","25,131","27,202","23,663","22,804","23,645","27,420","23,196","25,155","22,690","23,051","23,104","23,547","26,904","22,124","22,502","25,286","23,182","25,127","24,131","22,127","23,102","23,227","22,863","24,365","22,033","27,265","22,655","24,625","24,963","26,127","22,625","24,906","29,080","22,684","23,253","23,216","22,784","22,100","26,476","23,045","22,957","22,986","21,976","22,204","22,843","22,225","23,671","23,192","24,729","25,761","24,359","24,031","22,347","21,818","22,076","22,833","24,645","23,557","24,994","27,612","23,739","27,908","24,684","26,088","25,382","31,665","24,686","25,302","25,516","27,337","25,502","27,929","28,792","24,116","24,051","26,755","25,243","23,718","25,029","31,112","27,310","31,131","25,559","25,990","26,139"
100,"24,590","26,020","25,045","24,488","24,608","31,469","26,092","27,804","27,857","26,937","26,816","26,039","27,182","24,131","23,114","24,239","27,447","23,453","25,714","22,890","23,196","23,349","23,651","27,222","22,200","22,743","25,802","23,316","25,945","24,635","22,216","23,778","23,039","22,957","24,755","22,061","27,606","22,980","25,006","25,676","27,751","23,241","24,527","30,390","22,257","23,584","23,188","23,122","21,988","26,516","23,280","23,418","23,422","23,061","22,773","22,214","22,416","23,800","23,339","25,441","27,761","25,145","23,971","22,480","22,327","22,475","22,296","24,135","23,690","25,300","29,280","24,055","29,241","24,845","26,478","25,880","32,475","25,512","26,675","26,539","28,988","26,888","29,229","30,961","24,304","24,214","27,033","25,463","23,733","25,088","33,261","28,702","32,980","25,537","26,843","26,600"
120,"25,547","27,182","25,753","25,520","25,753","33,055","27,380","30,067","29,616","28,365","27,965","27,443","27,612","25,386","23,541","25,376","28,018","23,802","27,929","23,947","23,818","23,773","24,308","29,063","22,778","23,339","26,473","23,865","26,653","26,484","22,406","25,094","23,206","23,296","25,278","22,420","27,573","23,059","25,551","26,839","28,341","23,316","24,724","32,984","23,008","24,106","23,590","23,394","22,310","26,629","23,663","23,533","23,994","23,073","23,182","22,431","23,076","24,845","23,888","26,347","31,010","27,051","23,788","22,822","22,306","23,476","22,678","24,890","24,378","25,806","33,024","24,798","30,892","25,041","26,188","26,210","32,275","26,161","28,496","28,875","31,947","29,149","31,612","34,202","24,782","24,661","27,100","25,837","23,927","25,024","37,006","31,749","35,920","26,090","28,312","27,635"
140,"26,602","28,882","26,996","26,761","27,212","37,096","29,375","33,145","32,876","30,322","30,204","30,288","28,488","26,802","24,053","26,971","29,888","24,278","30,318","24,469","24,416","24,412","24,892","33,065","23,061","23,594","27,841","24,176","27,237","28,100","22,925","26,449","23,188","23,853","25,957","22,906","27,343","23,224","26,406","29,008","30,629","23,557","25,214","35,394","23,992","25,267","23,814","23,514","22,745","27,382","24,422","23,949","25,527","24,273","23,651","23,049","23,984","26,316","24,892","28,375","36,910","29,688","24,284","22,986","22,869","25,086","23,492","26,467","25,329","26,496","38,380","26,067","33,047","25,614","26,663","26,614","33,900","27,759","32,157","31,800","35,951","32,529","35,873","39,431","25,216","25,118","27,300","25,984","24,112","25,967","43,386","35,469","41,198","26,735","30,637","28,737"
160,"29,076","31,920","28,906","28,857","30,096","42,073","32,914","38,082","37,727","33,784","33,502","33,924","30,073","29,243","24,853","29,569","31,778","24,745","34,200","26,108","25,380","25,527","25,900","37,102","23,824","24,565","29,633","25,037","29,373","31,439","23,337","29,690","23,276","24,478","27,596","23,173","27,951","23,588","27,835","32,355","34,180","24,569","26,186","41,090","25,629","26,814","24,882","23,667","23,067","28,008","25,502","24,651","27,227","26,153","25,102","23,880","25,435","28,137","26,676","30,914","42,798","33,982","23,941","23,602","23,849","27,225","24,722","28,406","26,520","27,482","46,227","27,827","37,790","25,796","26,839","27,925","34,737","30,084","37,759","37,155","42,510","37,204","41,376","45,798","26,012","25,608","27,445","26,435","24,259","27,369","49,325","40,527","47,557","27,059","33,690","30,737"
180,"33,078","36,573","32,680","32,771","34,824","48,675","38,827","45,047","45,578","39,208","39,469","40,522","32,410","33,825","26,861","34,359","36,086","26,102","41,173","28,994","27,351","28,143","27,743","44,988","25,798","26,161","33,094","26,624","31,908","36,771","24,571","34,194","23,645","25,667","30,404","24,290","28,104","24,610","30,435","37,663","40,418","26,178","28,084","46,635","28,608","29,702","26,669","24,024","24,473","30,102","28,024","26,206","30,580","29,759","27,692","25,816","28,082","31,906","29,437","35,457","49,029","41,159","24,590","25,014","25,867","31,180","27,231","32,233","29,375","29,794","52,333","31,476","44,010","26,806","27,247","29,737","37,594","34,578","45,276","44,796","49,084","44,622","48,488","51,606","27,461","27,073","27,812","27,255","24,935","30,171","59,137","46,996","53,794","28,653","39,573","34,573"
200,"39,286","43,202","38,808","38,496","42,135","56,029","45,118","51,782","50,933","46,098","45,898","47,063","36,343","41,061","29,157","41,465","42,671","28,092","47,273","33,973","30,718","31,790","31,398","51,086","28,627","29,086","38,461","29,057","36,869","44,629","26,625","40,841","24,149","27,563","34,680","25,688","29,108","25,714","34,469","44,082","46,794","28,933","30,663","53,794","33,069","34,467","29,151","24,494","26,184","33,553","31,839","28,788","36,229","35,029","31,898","28,739","32,441","37,353","34,425","42,065","55,375","47,806","25,222","27,043","28,647","37,775","31,384","37,161","34,106","33,296","63,590","37,353","50,239","28,116","28,182","33,371","42,494","41,388","53,904","50,837","58,206","50,525","56,955","58,925","29,578","29,106","28,478","28,471","25,967","34,484","67,857","52,739","63,312","30,331","45,924","40,449"
220,"46,084","49,433","45,404","44,604","50,865","67,198","55,790","63,349","60,447","53,278","54,749","56,537","42,824","47,675","32,959","48,384","49,155","31,855","55,610","42,098","36,404","38,457","37,227","60,963","34,033","33,951","45,616","33,355","43,890","51,337","30,180","48,008","25,320","30,606","41,355","28,416","30,935","28,429","41,622","52,963","56,108","34,216","35,480","64,663","40,675","42,149","33,892","25,475","29,578","39,855","38,578","33,325","43,112","42,610","38,898","34,014","39,441","44,057","41,039","50,941","63,824","57,318","26,765","31,016","33,569","44,918","38,533","43,988","42,039","39,516","71,251","44,059","60,102","31,018","30,124","39,135","48,796","47,959","65,125","60,145","68,382","60,280","67,920","68,906","33,349","33,441","30,139","30,625","27,812","41,910","78,008","61,747","70,439","33,439","53,141","47,545"
240,"54,763","58,412","54,151","53,535","62,549","73,786","66,273","71,294","69,510","62,773","66,047","67,890","49,088","57,269","37,847","57,596","58,857","37,494","63,171","49,816","42,933","44,727","43,778","69,943","41,263","40,969","52,943","39,655","51,849","62,388","36,004","58,425","27,178","35,322","48,657","32,822","34,251","32,553","48,461","64,012","66,249","41,051","42,475","71,600","47,888","49,659","40,741","27,231","34,784","46,365","45,508","40,625","52,365","50,022","45,810","41,318","46,973","51,898","47,871","60,978","73,892","68,747","28,731","37,124","40,555","54,116","45,549","51,080","48,863","45,914","80,761","52,875","68,712","35,014","32,963","45,682","56,476","57,325","73,686","70,271","75,745","70,014","75,224","73,794","39,025","39,396","32,490","34,296","30,561","48,529","87,941","69,937","77,043","38,537","63,675","57,075"
260,"66,137","68,171","65,825","61,557","71,933","82,478","76,243","80,816","77,061","71,651","73,286","75,263","56,312","67,876","43,522","68,118","68,633","43,555","69,312","61,502","50,902","53,843","52,710","78,573","49,716","48,392","63,345","47,525","62,780","70,210","42,533","67,949","30,325","42,502","58,853","40,149","39,475","39,453","57,669","72,543","76,059","50,235","48,798","81,147","58,410","61,159","48,259","29,914","42,049","56,861","55,567","47,327","63,510","60,686","55,445","48,376","55,673","62,906","56,639","69,016","79,043","75,559","32,302","43,792","47,476","65,971","55,924","60,953","60,263","55,875","90,524","63,961","77,667","41,449","37,627","54,947","66,751","68,092","83,959","76,345","84,771","77,022","84,516","82,061","44,620","45,857","36,308","40,037","35,475","58,259","98,251","77,459","83,782","44,082","69,778","66,796"
280,"73,669","75,873","73,804","70,818","83,000","91,006","85,714","90,100","84,210","78,886","82,639","84,373","66,514","76,441","49,127","74,863","82,135","50,880","73,755","70,000","60,920","65,065","63,735","88,378","60,241","58,065","71,447","55,182","71,882","80,355","51,490","80,631","35,035","49,673","69,029","46,873","44,676","45,594","67,971","83,741","86,084","61,392","57,000","90,180","68,192","69,771","57,676","34,096","51,300","67,090","66,337","56,757","72,857","69,663","66,090","58,653","65,825","70,482","66,943","77,845","84,206","84,982","38,373","53,292","57,657","73,163","65,480","69,624","67,961","65,349","99,773","71,488","87,410","47,269","44,024","65,373","75,008","75,218","93,451","84,486","93,861","85,380","93,718","89,676","51,618","55,051","42,492","46,145","41,675","67,882","107,725","84,790","90,300","50,124","77,192","76,473"
300,"83,208","84,202","81,610","80,318","93,625","99,818","95,586","99,282","91,978","87,478","91,461","93,118","73,318","86,278","56,790","82,727","93,586","61,259","80,347","81,771","70,271","72,894","72,767","97,990","70,325","68,716","81,773","66,249","83,167","90,349","63,202","90,847","41,320","58,073","77,935","56,008","52,765","54,510","77,545","93,645","96,012","70,414","67,459","98,745","78,800","80,669","67,502","39,984","63,037","78,825","77,265","67,214","84,004","78,404","73,508","68,106","74,057","78,520","73,176","86,982","90,720","95,002","44,602","64,845","67,580","83,412","76,141","76,757","78,927","75,622","108,000","80,624","97,237","55,710","50,835","74,367","86,108","85,084","102,688","92,725","102,527","94,096","102,488","98,847","61,233","66,651","49,400","54,404","48,951","76,594","115,714","93,249","97,484","58,949","83,722","85,814"
320,"92,414","93,322","88,537","90,027","104,092","107,533","104,922","108,051","99,229","96,633","100,608","102,047","80,969","95,884","65,467","90,237","105,541","70,090","86,416","92,490","79,337","83,167","82,082","106,724","81,469","78,820","91,802","73,800","93,006","100,033","71,918","101,757","48,475","68,665","86,194","66,808","62,890","65,533","87,957","103,082","105,602","81,894","76,245","106,457","88,171","90,220","77,559","48,169","72,539","89,033","87,480","76,988","94,055","86,435","81,727","78,143","82,849","86,433","79,588","97,049","97,016","103,584","53,110","74,237","77,675","92,967","86,149","84,257","88,776","86,047","114,925","89,147","106,541","65,524","60,737","84,090","95,976","94,627","111,641","100,757","110,141","102,025","110,912","106,608","70,108","74,884","58,545","63,886","58,300","84,988","122,137","101,841","103,002","68,655","90,322","95,161"
340,"101,831","101,804","97,788","99,598","114,359","113,953","113,647","115,325","105,239","105,365","108,784","109,963","88,602","105,222","72,945","98,053","116,039","78,818","93,667","102,657","87,927","91,747","90,316","114,994","90,794","88,235","101,567","84,435","103,194","109,367","82,853","112,096","56,812","75,745","95,551","76,467","71,284","73,957","97,671","112,488","113,704","92,224","84,596","112,345","97,224","99,506","86,773","56,524","83,396","99,006","97,720","85,876","104,047","95,327","90,100","86,861","91,755","94,112","85,945","105,673","102,994","111,469","64,167","84,220","87,124","102,335","95,976","91,943","98,729","95,800","118,988","98,427","114,818","74,975","69,841","93,731","105,386","103,859","117,688","107,686","115,735","109,071","117,492","113,722","77,331","83,104","67,320","72,618","67,053","93,937","128,122","109,267","107,625","75,727","96,822","104,353"
360,"109,720","108,512","105,524","106,835","119,753","117,218","118,024","118,447","109,071","111,182","114,369","114,596","95,702","112,796","75,943","103,488","122,963","86,341","99,875","111,529","95,963","99,433","98,696","119,822","99,520","96,845","109,612","93,998","111,704","115,698","91,729","118,863","65,225","84,941","102,720","85,412","81,114","83,316","106,129","117,906","118,006","101,343","92,722","115,284","105,414","107,359","94,890","66,661","93,094","108,473","106,739","93,829","111,761","102,439","97,427","95,363","99,555","100,494","90,953","112,598","107,069","115,931","73,292","93,006","96,035","109,602","104,588","99,371","107,402","104,567","122,276","106,078","119,467","83,147","79,459","102,059","113,176","111,000","121,218","111,784","118,876","113,486","121,125","117,729","83,947","91,016","75,865","80,690","75,776","101,610","131,606","113,943","109,888","83,073","101,655","112,275"
