File_Type,GStdDev
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201208_133719
MTP,8
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"2,906","2,412","10,038","3,459","6,886","5,489","4,399","1,481","1,698","1,430","1,669","1,905","3,435","2,118","1,763","2,205","1,671","2,250","1,293","1,576","1,313","1,159","2,283","1,541","1,679","1,679","1,298","1,922","2,936","1,318","1,339","1,213","1,834","1,322","2,324","3,448","1,631","1,407","1,050","1,398","1,653","1,191","1,546","1,092","1,380","1,024","1,844","2,941","1,555","1,194","1,372","1,133","1,465","1,685","1,148","1,063","1,081","1,225","1,375","2,053","1,623","1,653","1,227","1,698","3,374","1,330","1,276","0,805","1,244","1,196","1,913","1,737","1,475","1,788","2,360","1,819","1,849","1,934","1,344","1,818","1,142","1,791","1,570","2,438","2,538","1,821","2,456","2,978","2,070","2,288","2,271","1,710","4,388","1,640","1,882","2,145"
20,"3,324","2,437","13,389","2,325","7,103","5,433","4,949","1,496","1,976","1,566","1,794","1,921","4,178","2,233","1,983","2,331","1,303","2,035","1,153","1,493","1,254","1,188","2,146","1,264","1,819","1,596","1,560","2,234","2,367","0,936","1,343","1,189","1,964","1,154","2,487","3,334","1,638","1,490","1,129","1,431","1,282","1,230","2,136","1,137","1,815","1,170","1,910","2,232","1,891","1,283","1,449","1,662","1,533","2,125","1,372","0,911","1,010","1,534","1,654","2,082","1,616","1,674","1,333","1,869","3,922","1,680","1,296","1,912","1,227","1,177","1,591","1,759","1,461","1,786","3,009","1,816","1,808","1,933","1,374","1,591","1,168","1,672","1,582","2,225","2,662","1,873","2,599","3,400","2,683","2,578","2,089","1,865","5,249","1,543","1,844","1,775"
40,"3,142","2,259","14,158","2,443","7,983","6,036","6,355","1,710","2,586","1,656","1,931","2,078","4,280","2,522","1,357","1,941","1,622","1,594","1,671","1,925","1,265","1,281","2,191","1,451","1,889","1,691","1,621","2,823","2,706","1,133","1,349","1,613","1,692","1,184","3,118","3,260","1,623","1,527","1,166","1,382","1,484","1,596","2,101","1,082","1,797","1,133","1,991","2,609","1,709","1,404","1,447","1,912","1,397","1,596","1,177","0,895","1,741","1,240","1,578","2,068","1,596","1,607","1,178","1,470","2,562","2,023","1,415","1,647","1,229","1,176","1,328","1,763","1,530","1,738","2,216","1,917","1,619","1,734","1,367","1,390","1,043","1,675","1,484","2,105","2,596","1,699","2,420","3,345","2,277","2,725","2,798","1,864","5,878","1,450","1,534","1,708"
60,"3,379","2,394","12,446","2,447","8,130","5,885","5,299","1,602","1,936","1,573","1,943","2,129","4,568","2,524","1,323","2,029","1,343","1,534","1,052","1,779","1,477","1,211","2,734","1,325","1,858","1,606","1,424","2,697","2,084","1,259","1,280","1,256","1,533","1,277","2,520","3,417","1,719","1,453","1,046","1,531","1,343","1,533","2,549","1,098","1,591","1,307","1,996","2,320","1,983","1,490","1,488","1,368","1,388","1,726","1,755","0,933","1,165","1,114","1,463","1,944","1,842","1,937","1,244","1,483","2,426","1,682","1,386","1,208","1,294","1,353","1,500","1,700","1,694","1,873","2,634","1,733","1,932","1,883","1,823","1,846","1,124","2,055","1,614","2,115","2,840","1,986","2,730","3,721","2,752","2,626","1,941","2,009","6,536","1,627","1,817","2,122"
80,"3,412","2,310","10,701","2,696","7,877","6,229","5,851","1,750","2,226","1,594","2,250","2,222","3,661","2,835","1,356","2,218","1,625","1,616","1,244","1,955","1,455","1,238","2,771","1,574","1,908","1,900","1,653","2,959","2,006","1,164","1,451","1,460","1,759","1,208","2,723","3,326","1,920","1,597","1,167","1,687","1,582","2,158","2,778","1,088","1,611","1,336","2,281","2,912","1,657","1,610","1,453","1,356","1,334","1,689","1,153","0,864","1,140","1,050","1,591","1,889","1,911","1,749","1,058","1,352","2,250","1,671","1,464","1,320","1,263","1,264","1,488","1,728","1,504","2,074","2,565","1,778","1,915","1,866","1,383","1,506","1,172","2,003","1,554","2,002","2,956","1,713","2,741","3,426","2,477","2,236","2,195","1,649","6,290","1,500","1,706","2,184"
100,"3,697","2,319","9,453","2,636","7,203","5,939","6,288","1,802","2,219","1,855","2,510","2,501","3,671","2,757","1,427","2,513","1,805","1,692","1,387","2,134","1,447","1,410","2,698","1,733","1,984","1,868","1,736","3,339","2,119","0,947","1,209","1,304","1,996","1,412","2,950","2,727","1,945","1,536","1,225","1,752","1,789","1,188","2,645","1,030","1,823","1,505","2,408","3,080","1,806","1,587","1,528","1,470","1,323","1,778","1,120","0,832","1,164","1,118","1,583","2,055","2,019","1,802","1,152","1,457","2,153","1,850","1,307","0,872","1,287","1,270","1,546","1,754","1,716","2,149","2,183","1,684","2,275","1,915","1,554","1,506","1,196","2,312","1,590","2,063","3,280","1,794","3,139","3,390","2,652","2,142","2,158","1,739","6,083","1,670","1,846","2,621"
120,"3,481","2,499","7,973","3,019","6,021","5,524","5,819","2,030","2,603","1,950","2,756","2,728","4,017","3,089","1,596","2,435","1,811","1,678","1,503","2,109","1,608","1,510","2,870","1,962","1,963","2,216","1,814","3,450","2,048","0,987","1,148","1,342","2,042","1,711","3,187","3,080","2,307","1,549","1,294","1,884","2,236","1,503","2,464","0,971","2,100","1,793","2,838","3,250","1,789","1,754","1,633","1,558","1,271","1,945","1,142","0,675","1,145","1,109","1,718","2,055","2,497","1,773","1,452","1,511","2,264","1,815","1,270","1,032","1,416","1,405","1,633","1,857","1,978","2,219","2,497","1,999","2,538","1,938","2,076","1,523","1,350","2,514","1,726","2,167","3,542","1,858","3,463","3,482","2,745","2,192","2,625","1,713","5,897","1,767","2,039","2,935"
140,"3,380","2,734","5,913","3,174","4,509","5,069","5,602","1,905","2,932","2,446","2,655","3,402","4,011","3,105","1,921","2,737","1,879","1,651","1,912","2,390","1,479","1,756","2,813","2,132","2,122","2,623","1,975","3,404","2,181","0,968","1,183","1,382","2,067","2,239","3,265","2,552","2,533","1,751","1,427","2,354","2,730","1,717","2,610","1,001","2,378","2,245","3,224","3,424","1,863","2,163","1,567","1,731","1,327","1,912","1,137","0,773","1,174","1,133","1,728","2,213","2,819","1,879","1,514","1,788","2,250","1,782","1,114","1,067","1,406","1,553","1,739","1,922","2,066","2,580","2,547","1,978","2,741","1,920","2,302","1,493","1,633","2,546","1,808","2,170","3,503","2,009","3,463","3,411","2,768","2,242","2,757","1,878","4,929","2,051","2,419","3,153"
160,"3,035","3,079","4,327","2,879","3,083","3,739","4,990","2,105","3,309","2,648","2,784","3,357","4,088","3,306","2,114","3,033","2,379","1,674","1,836","2,840","1,661","2,061","2,326","2,431","2,406","2,772","1,997","3,670","2,228","1,061","1,215","1,452","2,265","2,044","2,993","2,250","3,277","2,150","1,384","2,842","3,082","1,689","2,621","1,004","2,660","2,353","3,103","3,574","1,856","2,350","1,559","1,870","1,279","1,860","1,199","0,877","1,309","1,283","2,045","2,181","3,462","1,870","1,482","1,949","2,446","1,895","1,337","1,283","1,608","1,789","1,801","2,196","2,062","2,893","2,820","2,278","3,077","2,211","2,226","1,719","1,884","2,294","2,211","2,188","3,196","2,114","3,236","3,397","3,164","2,942","2,580","1,933","4,441","2,117","2,638","2,985"
180,"2,793","3,487","3,243","2,767","2,366","3,244","4,170","2,151","2,780","2,549","2,825","2,916","4,418","3,106","2,265","3,241","2,639","1,597","1,853","2,444","1,543","2,368","2,316","3,067","2,837","2,818","2,369","3,516","2,594","1,439","1,262","1,457","2,823","2,796","2,841","2,081","3,548","2,715","1,328","2,896","2,806","1,977","2,950","1,032","2,925","2,573","2,566","3,383","1,972","2,852","1,760","1,929","1,354","2,004","1,113","1,239","1,565","1,561","2,264","2,584","3,234","2,447","1,556","2,290","2,962","2,453","2,134","1,703","1,669","2,103","1,777","2,929","2,227","3,198","3,050","2,443","3,205","2,776","3,047","2,204","2,142","2,505","2,490","2,616","2,769","2,655","2,878","3,657","2,989","2,992","3,027","2,399","3,641","2,441","2,613","3,263"
