File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220525_124932
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,39.392,34.020,34.875,34.247,33.753,33.457,32.288,33.222,34.284,31.184,31.775,31.618,37.541,34.641,35.606,35.165,36.837,42.239,42.253,38.243,35.578,32.490,32.633,30.727,39.429,40.490,35.786,33.475,34.376,35.900,38.169,32.955,33.400,32.051,32.535,34.559,35.933,43.761,36.925,36.304,35.153,36.886,36.347,33.871,33.635,32.004,30.010,32.127,40.020,37.035,38.335,38.739,33.576,32.314,32.657,31.410,32.463,31.561,31.102,31.937,39.447,40.580,37.269,34.890,36.333,36.337,39.433,33.386,33.294,30.802,31.722,31.910,39.025,39.571,37.133,36.200,34.851,35.404,34.778,38.598,34.653,32.369,35.853,32.435,45.029,41.500,37.600,37.398,38.529,37.376,36.612,35.290,34.263,34.671,35.976,38.267,,mtp01_20220525_124932.bmp
20,39.531,34.367,35.029,33.657,33.643,34.449,31.684,32.959,32.553,31.518,31.904,31.467,37.657,36.500,34.147,35.202,36.561,40.059,40.516,37.222,35.253,33.714,31.645,30.502,39.288,41.510,34.906,33.206,32.912,36.067,37.906,32.151,34.196,31.733,31.571,33.963,36.349,44.065,36.569,37.137,35.541,37.396,36.088,33.039,32.102,31.210,29.355,31.153,39.110,36.994,37.649,36.980,32.306,32.167,32.504,30.884,32.194,30.996,30.767,31.439,39.275,38.024,35.473,35.580,35.120,35.810,36.937,33.012,33.522,30.690,30.667,31.939,37.602,38.649,37.531,37.027,34.975,34.557,34.669,38.649,34.612,32.739,35.031,31.620,45.045,41.567,37.576,39.147,39.222,38.622,36.420,34.843,33.653,35.184,33.751,34.520,,mtp01_20220525_130935.bmp
40,39.253,33.847,35.363,33.898,33.375,33.567,31.545,32.784,32.788,31.559,31.745,31.410,37.290,34.796,34.622,35.404,36.549,39.108,39.278,36.831,34.498,32.898,31.608,30.290,36.141,39.937,34.280,33.231,32.235,35.525,36.284,32.061,33.271,31.975,31.396,33.555,36.610,44.106,36.486,36.257,34.847,37.000,36.149,32.816,31.794,30.539,28.735,31.151,39.114,37.484,37.453,36.255,32.335,31.986,32.373,31.073,31.671,30.910,30.265,30.845,38.763,39.818,35.788,34.810,34.827,36.349,37.218,32.416,33.243,30.727,30.384,32.006,37.114,37.653,37.035,36.071,34.875,34.525,34.663,37.445,35.622,32.541,34.127,31.567,43.794,40.525,38.957,37.067,38.731,38.225,36.259,34.761,33.816,34.208,34.102,33.290,,mtp01_20220525_132935.bmp
60,39.235,34.345,35.365,33.767,33.716,33.567,31.347,33.008,33.696,31.645,31.994,31.567,37.431,33.937,34.122,35.157,35.880,39.184,38.900,36.592,34.582,32.916,31.775,30.622,36.239,40.143,33.875,33.525,33.025,35.006,35.673,32.233,33.431,31.910,31.529,34.075,35.867,43.947,36.239,36.171,34.451,36.873,35.916,32.775,31.718,30.912,29.006,31.131,39.314,36.904,36.212,34.359,32.529,32.137,32.025,31.153,31.502,31.073,30.518,30.704,39.053,36.684,35.706,34.890,35.002,36.031,35.873,32.529,33.143,31.367,31.533,31.857,37.041,37.459,36.737,36.420,34.659,34.365,34.816,35.235,35.349,32.271,34.320,31.673,43.475,40.525,38.643,37.733,39.145,37.986,36.390,34.963,34.284,34.265,34.145,33.055,,mtp01_20220525_134934.bmp
80,39.402,34.549,35.496,34.186,34.141,33.569,31.253,33.453,33.865,32.086,32.653,32.131,37.725,33.849,34.337,35.424,36.153,39.596,39.341,37.645,35.206,33.180,32.322,31.016,36.839,40.818,34.743,34.002,32.837,35.135,36.276,32.598,33.657,32.369,31.767,34.310,36.324,44.027,36.763,36.337,34.765,36.775,36.453,33.243,32.035,31.404,29.494,31.869,39.625,37.661,36.633,34.557,32.776,32.582,32.375,31.663,31.775,31.302,30.729,31.149,39.433,36.986,36.369,35.276,34.739,36.608,36.073,32.941,33.390,31.206,30.994,32.114,36.704,38.200,37.210,36.547,35.171,34.482,35.057,35.655,35.333,32.498,34.676,32.169,43.320,40.959,38.253,38.302,39.406,38.241,36.782,35.345,34.884,34.292,34.588,32.851,,mtp01_20220525_140935.bmp
100,40.333,35.390,36.267,34.698,34.945,34.312,31.373,34.182,34.573,32.680,33.275,32.973,38.545,33.945,34.959,35.661,37.133,40.484,40.149,37.978,36.037,34.086,33.033,31.847,37.804,41.992,35.076,35.049,33.647,36.312,36.865,33.327,34.639,32.996,32.527,35.582,37.127,45.167,37.469,37.263,35.453,37.647,37.063,33.941,33.092,32.139,30.051,32.533,40.418,38.414,37.671,35.147,33.908,33.469,33.035,32.047,32.502,32.084,31.447,32.076,40.245,37.933,36.578,35.965,36.002,36.718,36.731,33.455,34.212,32.078,31.988,32.649,37.239,38.878,37.998,37.494,35.676,35.290,35.855,36.414,35.986,33.259,35.502,32.678,44.071,41.814,39.988,39.033,39.537,39.225,37.547,36.320,35.302,35.080,35.186,33.663,,mtp01_20220525_142934.bmp
120,40.898,36.173,36.873,35.039,35.661,34.980,31.433,34.812,35.406,33.267,34.057,33.649,39.300,33.986,35.443,36.065,37.708,41.278,40.792,38.712,37.314,34.888,33.718,32.549,38.624,42.975,35.782,35.867,34.225,37.090,37.537,33.982,35.200,33.637,33.122,35.967,38.469,45.753,37.869,37.800,35.967,37.814,37.888,34.269,33.612,32.973,30.873,33.343,41.029,39.106,38.580,35.751,34.055,34.271,33.929,32.831,33.355,32.698,31.955,32.547,40.908,38.584,37.175,36.580,36.684,37.688,37.445,33.880,34.720,32.627,32.676,33.416,37.310,39.451,38.784,38.180,36.371,35.788,36.902,36.971,36.847,33.743,35.855,33.325,43.992,42.543,40.431,39.678,40.188,39.959,38.492,37.206,35.829,36.020,35.873,33.963,,mtp01_20220525_144934.bmp
140,41.147,36.637,37.482,35.420,36.276,35.339,31.324,35.124,36.096,33.729,34.663,34.212,39.855,33.890,35.980,36.412,38.435,42.124,41.563,39.429,37.718,35.680,34.153,33.012,39.422,43.975,36.429,36.594,34.700,37.831,38.431,34.563,35.927,34.245,33.704,36.510,38.578,46.294,38.153,38.531,36.535,38.208,38.669,34.947,34.194,33.567,31.492,34.045,41.529,39.937,39.190,36.339,34.641,34.788,34.612,33.522,33.857,33.441,32.280,33.286,41.555,39.257,37.706,37.206,37.124,38.369,37.937,34.506,35.055,33.451,33.184,34.041,37.261,40.118,39.143,38.727,37.351,36.273,37.094,37.486,37.473,34.478,36.651,33.863,43.563,43.220,40.812,39.951,40.500,40.773,38.908,38.033,36.094,36.278,36.192,34.314,,mtp01_20220525_150935.bmp
160,41.831,37.441,38.251,35.839,36.888,36.053,31.404,35.718,36.912,34.494,35.333,35.131,40.582,33.857,36.555,36.873,39.251,42.992,42.341,40.131,38.696,36.475,34.937,33.729,40.620,45.196,37.261,37.516,35.484,38.976,39.314,35.473,36.712,34.808,34.063,37.396,39.367,46.884,38.890,39.353,37.310,39.320,39.339,35.729,34.986,34.539,32.188,34.880,42.302,40.643,39.982,37.167,35.498,35.724,35.135,34.127,34.759,34.112,32.802,33.927,42.427,39.982,38.588,37.878,38.106,38.702,38.714,35.073,35.849,34.141,34.088,34.751,37.408,40.900,40.196,39.716,37.894,36.837,38.188,38.010,38.286,35.269,37.249,34.533,43.804,43.784,41.796,40.147,40.771,41.796,39.884,38.945,36.884,36.898,36.998,34.561,,mtp01_20220525_152936.bmp
180,42.259,38.010,38.867,36.145,37.765,36.459,31.443,36.192,37.563,34.824,35.784,35.667,41.008,33.975,36.882,37.173,39.608,43.602,43.080,40.661,39.408,37.102,35.159,34.133,41.392,45.998,37.812,38.220,35.818,39.855,40.078,35.704,37.390,35.384,34.522,38.122,39.957,47.494,39.376,40.035,37.775,39.473,39.794,36.149,35.663,35.175,32.625,35.539,42.788,41.565,40.667,37.606,36.100,36.284,35.627,34.825,35.353,34.692,33.304,34.663,42.957,40.445,39.069,38.422,38.573,39.376,39.165,35.496,36.167,34.710,34.659,35.424,37.463,41.245,40.608,40.625,38.416,37.406,38.863,38.288,38.716,35.631,38.457,35.086,43.816,44.688,42.073,41.025,41.304,42.643,40.712,39.953,37.380,37.535,37.371,35.324,,mtp01_20220525_154935.bmp
200,42.620,38.457,39.302,36.624,38.218,36.965,31.335,36.753,38.231,35.425,36.371,36.361,41.812,33.820,37.561,37.529,40.312,44.655,43.467,41.175,40.053,37.876,35.810,34.588,42.124,46.945,38.151,38.939,36.255,40.757,40.545,36.380,38.063,36.202,34.949,38.714,40.786,48.014,39.696,40.692,38.220,40.202,40.376,36.869,36.312,35.676,33.312,36.155,43.300,42.392,41.676,38.200,36.710,37.204,36.214,35.306,35.996,35.410,33.890,35.304,43.765,41.131,39.584,38.900,39.759,39.612,39.882,36.098,36.563,35.224,35.302,36.078,37.708,41.731,41.145,41.133,39.169,37.988,39.545,38.729,39.516,36.251,38.786,35.510,43.955,45.204,42.520,41.163,41.816,43.296,41.188,40.716,37.600,37.951,37.969,35.676,,mtp01_20220525_160936.bmp
220,43.306,38.896,39.994,37.047,38.743,37.251,31.500,37.124,38.696,35.788,36.853,36.941,42.229,33.971,37.875,37.824,40.631,45.263,43.861,41.476,40.659,38.425,36.286,34.892,42.931,47.831,38.871,39.508,36.667,41.298,40.957,36.839,38.651,36.625,35.192,39.431,41.308,48.784,39.965,40.973,38.694,40.420,40.827,37.076,36.731,36.153,33.569,36.845,43.824,43.559,42.494,38.757,37.096,37.925,36.778,35.761,36.669,35.753,34.378,35.590,44.333,41.808,40.008,39.345,39.778,40.298,40.231,36.482,36.855,35.498,35.727,36.524,37.765,42.431,41.873,41.420,39.478,38.833,39.835,38.918,39.965,36.563,39.408,35.869,43.876,45.890,43.475,41.982,42.510,44.022,41.771,41.673,38.186,38.227,38.394,36.112,,mtp01_20220525_162934.bmp
240,43.788,39.433,40.198,37.318,39.341,37.753,31.571,37.424,39.071,36.261,37.055,37.112,42.447,33.896,38.147,37.996,41.463,45.286,44.292,41.557,40.869,38.643,36.449,35.390,43.288,48.278,39.361,40.367,37.204,41.565,41.288,37.198,38.520,37.076,35.237,39.859,41.892,49.059,40.041,41.259,39.100,40.673,41.045,37.412,37.206,36.808,33.884,37.161,44.418,43.941,42.853,39.139,37.629,38.604,37.276,36.159,36.859,35.890,34.824,35.708,44.884,42.369,40.404,39.663,40.308,40.327,40.400,36.941,37.249,35.751,35.686,36.886,37.967,42.716,42.359,41.963,39.706,38.920,40.335,38.990,40.196,36.810,39.927,36.100,43.931,46.275,43.667,42.233,42.988,44.220,42.353,42.151,38.725,38.702,38.743,36.455,,mtp01_20220525_164936.bmp
