File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220525_124932
MTP,3
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,LB_LJM_2022
a,0.0076
b,1.0609
c,5.658E-07
d,3.1835868977
e,2E-13
f,2.004426462
GBlank,29.84011111
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.117,0.017,0.033,0.034,0.093,0.052,0.091,0.227,0.155,0.048,0.005,0.010,0.190,0.046,0.035,0.073,0.051,0.069,0.051,0.035,0.029,0.002,-0.010,0.019,0.047,0.059,0.054,0.051,0.044,0.044,0.045,0.047,0.027,0.032,0.030,0.030,0.052,0.038,0.054,0.025,0.046,0.053,0.015,0.036,0.035,0.009,0.005,-0.002,0.065,0.036,0.050,0.059,0.063,0.069,0.059,0.043,0.016,0.020,0.016,0.005,0.077,0.052,0.047,0.023,0.034,0.036,0.040,0.013,0.010,-0.003,0.001,-0.006,0.117,0.129,0.073,0.096,0.129,0.080,0.095,0.042,0.019,0.034,0.024,0.005,0.062,0.061,0.063,0.050,0.204,0.094,0.129,0.049,0.047,0.041,0.019,0.026,,mtp03_20220525_124932.bmp
20,0.126,0.017,0.033,0.037,0.089,0.052,0.102,0.226,0.182,0.059,0.004,0.010,0.166,0.055,0.029,0.069,0.051,0.058,0.049,0.035,0.027,0.000,-0.010,0.023,0.042,0.063,0.049,0.043,0.026,0.041,0.033,0.041,0.034,0.034,0.026,0.020,0.046,0.037,0.052,0.017,0.043,0.048,0.011,0.046,0.034,0.010,0.003,-0.004,0.084,0.035,0.038,0.042,0.051,0.070,0.056,0.031,0.015,0.008,0.008,0.001,0.065,0.051,0.049,0.018,0.016,0.032,0.032,0.009,0.010,-0.004,-0.003,-0.008,0.118,0.122,0.068,0.094,0.131,0.074,0.093,0.020,0.014,0.022,0.020,0.003,0.059,0.060,0.059,0.047,0.223,0.095,0.140,0.055,0.049,0.044,0.019,0.028,,mtp03_20220525_130935.bmp
40,0.152,0.016,0.033,0.045,0.089,0.055,0.099,0.230,0.197,0.060,0.005,0.011,0.185,0.046,0.029,0.070,0.049,0.060,0.047,0.033,0.026,-0.001,-0.011,0.020,0.042,0.055,0.048,0.041,0.023,0.040,0.029,0.041,0.032,0.036,0.027,0.023,0.036,0.038,0.050,0.017,0.041,0.047,0.009,0.033,0.033,0.013,0.002,-0.004,0.073,0.034,0.033,0.042,0.049,0.069,0.051,0.026,0.012,0.006,0.003,0.001,0.057,0.050,0.050,0.015,0.010,0.033,0.030,0.009,0.008,-0.006,-0.003,-0.009,0.108,0.102,0.064,0.096,0.122,0.070,0.090,0.013,0.018,0.024,0.018,0.003,0.052,0.060,0.062,0.047,0.223,0.093,0.144,0.054,0.049,0.044,0.018,0.024,,mtp03_20220525_132935.bmp
60,0.146,0.013,0.031,0.041,0.087,0.059,0.103,0.226,0.201,0.062,0.005,0.011,0.173,0.048,0.028,0.069,0.046,0.056,0.045,0.032,0.024,-0.002,-0.011,0.020,0.042,0.053,0.047,0.042,0.020,0.038,0.027,0.038,0.031,0.036,0.026,0.021,0.038,0.036,0.048,0.019,0.035,0.044,0.008,0.030,0.033,0.011,0.003,-0.005,0.049,0.034,0.032,0.041,0.044,0.066,0.049,0.016,0.011,0.005,0.001,0.001,0.053,0.050,0.050,0.012,0.008,0.031,0.028,0.008,0.009,-0.006,-0.005,-0.010,0.106,0.106,0.061,0.092,0.119,0.066,0.088,0.012,0.013,0.023,0.020,0.004,0.052,0.059,0.060,0.046,0.220,0.091,0.144,0.056,0.048,0.045,0.019,0.026,,mtp03_20220525_134934.bmp
80,0.148,0.017,0.034,0.046,0.088,0.065,0.110,0.228,0.203,0.067,0.006,0.014,0.165,0.048,0.027,0.068,0.045,0.054,0.044,0.034,0.024,-0.001,-0.011,0.020,0.042,0.054,0.048,0.041,0.021,0.039,0.031,0.038,0.033,0.037,0.026,0.022,0.035,0.038,0.049,0.019,0.039,0.045,0.009,0.030,0.034,0.012,0.006,-0.004,0.049,0.036,0.033,0.042,0.048,0.066,0.048,0.021,0.013,0.006,0.002,0.003,0.057,0.051,0.053,0.017,0.009,0.030,0.030,0.008,0.011,-0.005,-0.005,-0.009,0.115,0.110,0.063,0.091,0.122,0.066,0.087,0.012,0.014,0.026,0.020,0.003,0.055,0.060,0.062,0.048,0.223,0.092,0.144,0.060,0.051,0.047,0.021,0.026,,mtp03_20220525_140935.bmp
100,0.166,0.018,0.038,0.052,0.094,0.075,0.120,0.244,0.218,0.072,0.009,0.017,0.177,0.050,0.032,0.075,0.048,0.058,0.050,0.037,0.027,0.001,-0.009,0.023,0.048,0.057,0.054,0.047,0.023,0.042,0.034,0.043,0.037,0.041,0.031,0.028,0.039,0.042,0.053,0.023,0.040,0.049,0.012,0.036,0.038,0.016,0.010,-0.001,0.050,0.042,0.039,0.047,0.050,0.072,0.052,0.024,0.013,0.009,0.004,0.007,0.060,0.057,0.057,0.016,0.013,0.036,0.032,0.012,0.012,-0.003,-0.002,-0.006,0.112,0.110,0.069,0.099,0.121,0.067,0.090,0.017,0.018,0.027,0.023,0.006,0.061,0.066,0.070,0.051,0.231,0.097,0.153,0.063,0.053,0.050,0.023,0.030,,mtp03_20220525_142934.bmp
120,0.156,0.021,0.041,0.053,0.100,0.083,0.130,0.249,0.220,0.074,0.011,0.020,0.175,0.050,0.032,0.077,0.048,0.058,0.053,0.040,0.029,0.003,-0.008,0.024,0.049,0.058,0.056,0.047,0.024,0.044,0.035,0.044,0.040,0.042,0.032,0.031,0.041,0.044,0.055,0.030,0.041,0.050,0.012,0.035,0.041,0.019,0.012,0.002,0.053,0.044,0.038,0.048,0.054,0.073,0.053,0.026,0.018,0.009,0.006,0.010,0.064,0.060,0.060,0.019,0.014,0.039,0.034,0.013,0.015,-0.003,-0.002,-0.005,0.117,0.119,0.073,0.099,0.124,0.070,0.092,0.018,0.019,0.030,0.026,0.008,0.066,0.068,0.070,0.052,0.237,0.098,0.155,0.069,0.058,0.056,0.026,0.034,,mtp03_20220525_144934.bmp
140,0.170,0.021,0.047,0.058,0.105,0.091,0.139,0.255,0.225,0.077,0.013,0.023,0.172,0.051,0.033,0.078,0.048,0.059,0.051,0.043,0.029,0.003,-0.007,0.028,0.054,0.060,0.058,0.051,0.026,0.044,0.036,0.044,0.042,0.045,0.033,0.033,0.044,0.045,0.056,0.031,0.042,0.055,0.015,0.036,0.045,0.023,0.014,0.002,0.055,0.048,0.043,0.050,0.058,0.075,0.055,0.028,0.020,0.013,0.007,0.012,0.068,0.062,0.063,0.021,0.016,0.042,0.038,0.015,0.022,-0.002,-0.001,-0.005,0.119,0.125,0.073,0.102,0.125,0.071,0.095,0.020,0.020,0.032,0.028,0.010,0.067,0.071,0.072,0.052,0.240,0.100,0.157,0.071,0.059,0.056,0.028,0.038,,mtp03_20220525_150935.bmp
160,0.186,0.024,0.055,0.062,0.106,0.103,0.148,0.269,0.234,0.081,0.017,0.028,0.183,0.052,0.037,0.086,0.050,0.063,0.056,0.045,0.031,0.004,-0.006,0.029,0.059,0.061,0.064,0.054,0.030,0.048,0.041,0.049,0.044,0.048,0.038,0.038,0.046,0.049,0.064,0.042,0.048,0.055,0.020,0.040,0.046,0.025,0.018,0.004,0.060,0.056,0.047,0.054,0.061,0.078,0.057,0.030,0.020,0.014,0.008,0.015,0.069,0.068,0.065,0.024,0.019,0.048,0.043,0.017,0.034,0.000,0.001,-0.003,0.124,0.123,0.078,0.110,0.123,0.073,0.096,0.024,0.024,0.035,0.029,0.013,0.073,0.076,0.080,0.057,0.246,0.106,0.166,0.078,0.064,0.059,0.031,0.042,,mtp03_20220525_152936.bmp
180,0.189,0.025,0.067,0.068,0.111,0.113,0.143,0.277,0.239,0.083,0.019,0.030,0.182,0.053,0.038,0.087,0.051,0.065,0.055,0.048,0.033,0.006,-0.005,0.032,0.062,0.064,0.069,0.055,0.032,0.051,0.043,0.053,0.046,0.050,0.041,0.039,0.051,0.053,0.067,0.051,0.047,0.056,0.022,0.040,0.051,0.029,0.019,0.006,0.064,0.060,0.049,0.056,0.062,0.079,0.060,0.033,0.021,0.017,0.009,0.018,0.073,0.071,0.068,0.027,0.022,0.054,0.046,0.019,0.043,0.001,0.002,0.000,0.128,0.127,0.083,0.112,0.125,0.076,0.098,0.028,0.026,0.039,0.032,0.015,0.074,0.080,0.081,0.060,0.250,0.109,0.168,0.081,0.065,0.062,0.033,0.046,,mtp03_20220525_154935.bmp
200,0.205,0.026,0.070,0.071,0.112,0.122,0.124,0.284,0.241,0.081,0.021,0.032,0.177,0.053,0.036,0.087,0.048,0.064,0.055,0.048,0.032,0.006,-0.005,0.031,0.064,0.063,0.070,0.058,0.031,0.051,0.041,0.050,0.046,0.048,0.039,0.031,0.049,0.054,0.066,0.048,0.039,0.046,0.023,0.040,0.051,0.031,0.020,0.005,0.065,0.063,0.048,0.056,0.063,0.076,0.059,0.033,0.019,0.016,0.007,0.018,0.075,0.070,0.069,0.027,0.023,0.056,0.049,0.020,0.048,0.000,0.001,-0.002,0.130,0.131,0.082,0.110,0.126,0.076,0.097,0.026,0.026,0.040,0.032,0.014,0.075,0.082,0.084,0.059,0.247,0.109,0.169,0.084,0.065,0.063,0.034,0.045,,mtp03_20220525_160936.bmp
220,0.214,0.031,0.072,0.073,0.115,0.127,0.121,0.289,0.249,0.082,0.020,0.036,0.173,0.055,0.040,0.090,0.050,0.067,0.057,0.051,0.034,0.008,-0.004,0.033,0.069,0.066,0.073,0.059,0.033,0.052,0.044,0.052,0.049,0.049,0.041,0.027,0.053,0.058,0.069,0.067,0.040,0.048,0.027,0.041,0.052,0.035,0.023,0.009,0.069,0.065,0.051,0.057,0.065,0.076,0.063,0.036,0.021,0.019,0.010,0.022,0.077,0.074,0.074,0.029,0.024,0.059,0.057,0.023,0.065,0.002,0.003,0.001,0.139,0.134,0.087,0.117,0.127,0.078,0.101,0.028,0.027,0.041,0.035,0.016,0.080,0.086,0.089,0.061,0.253,0.114,0.172,0.091,0.065,0.066,0.036,0.048,,mtp03_20220525_162934.bmp
240,0.229,0.030,0.082,0.073,0.116,0.137,0.123,0.308,0.257,0.084,0.025,0.038,0.182,0.055,0.041,0.096,0.051,0.071,0.059,0.054,0.036,0.008,-0.001,0.034,0.073,0.068,0.078,0.061,0.035,0.054,0.044,0.054,0.050,0.049,0.046,0.026,0.055,0.060,0.072,0.076,0.034,0.046,0.030,0.042,0.053,0.035,0.024,0.010,0.072,0.071,0.054,0.060,0.067,0.072,0.063,0.038,0.022,0.021,0.010,0.024,0.078,0.076,0.074,0.032,0.026,0.063,0.064,0.025,0.081,0.004,0.005,0.003,0.156,0.132,0.091,0.119,0.125,0.079,0.100,0.030,0.029,0.045,0.037,0.017,0.079,0.089,0.093,0.064,0.247,0.114,0.176,0.095,0.063,0.067,0.038,0.052,,mtp03_20220525_164936.bmp
260,0.219,0.028,0.080,0.070,0.113,0.140,0.124,0.307,0.255,0.084,0.024,0.037,0.176,0.052,0.041,0.094,0.048,0.069,0.055,0.053,0.035,0.007,-0.003,0.033,0.072,0.065,0.076,0.060,0.033,0.050,0.042,0.052,0.047,0.047,0.043,0.021,0.057,0.058,0.069,0.083,0.029,0.042,0.034,0.040,0.051,0.034,0.024,0.009,0.071,0.069,0.051,0.058,0.065,0.067,0.063,0.038,0.018,0.021,0.007,0.023,0.074,0.075,0.072,0.031,0.026,0.059,0.073,0.025,0.094,0.003,0.004,0.003,0.160,0.129,0.089,0.117,0.122,0.074,0.097,0.028,0.029,0.044,0.035,0.016,0.079,0.087,0.094,0.062,0.246,0.114,0.173,0.099,0.062,0.066,0.037,0.049,,mtp03_20220525_170936.bmp
300,0.245,0.036,0.083,0.074,0.117,0.157,0.138,0.328,0.267,0.090,0.029,0.041,0.171,0.052,0.042,0.102,0.048,0.072,0.062,0.062,0.042,0.010,-0.002,0.036,0.074,0.067,0.082,0.061,0.036,0.050,0.040,0.055,0.053,0.048,0.046,0.019,0.059,0.061,0.075,0.104,0.031,0.043,0.046,0.044,0.058,0.043,0.032,0.012,0.075,0.077,0.052,0.063,0.068,0.065,0.066,0.042,0.020,0.024,0.010,0.028,0.075,0.075,0.078,0.035,0.031,0.065,0.105,0.029,0.146,0.008,0.006,0.004,0.176,0.139,0.096,0.121,0.125,0.079,0.103,0.033,0.036,0.050,0.038,0.020,0.080,0.092,0.095,0.067,0.250,0.122,0.181,0.122,0.065,0.073,0.043,0.053,,mtp03_20220525_174935.bmp
