File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210120_101852
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"29,275","28,700","26,798","26,682","26,980","26,761","27,016","27,935","27,680","28,200","27,782","28,171","26,547","25,910","24,925","24,814","24,655","24,786","25,153","25,751","26,433","25,749","26,404","26,143","26,629","24,525","25,386","24,594","24,198","24,320","23,886","24,537","25,014","25,586","25,614","26,592","25,247","23,810","25,561","24,494","24,329","24,163","24,078","24,800","24,631","25,088","25,380","25,529","25,463","23,641","25,159","24,261","24,063","23,953","24,380","24,980","24,765","25,461","25,204","25,731","26,427","24,902","25,247","24,608","24,469","24,306","24,375","25,310","24,969","25,920","25,782","26,159","27,606","25,643","26,400","25,824","25,667","25,375","25,925","25,929","26,512","27,186","27,229","27,439","27,931","27,584","26,700","26,796","28,190","27,773","27,876","27,688","27,912","28,967","28,763","28,767"
20,"29,259","28,749","26,775","26,639","27,059","26,582","26,747","27,780","27,596","28,016","27,639","28,045","26,516","25,867","24,896","24,639","24,488","24,720","24,961","25,522","26,310","25,671","26,218","26,065","26,627","24,463","25,259","24,480","24,073","24,182","23,782","24,522","24,890","25,514","25,484","26,553","25,212","23,737","25,465","24,380","24,386","24,053","23,875","24,680","24,480","25,225","25,322","25,388","25,437","23,549","25,078","24,280","23,839","23,853","24,082","24,929","24,675","25,276","25,165","25,684","26,276","24,727","25,094","24,529","24,241","24,145","24,280","25,237","24,853","25,751","25,769","26,092","27,488","25,557","26,275","25,735","25,545","25,284","25,786","25,875","26,424","27,080","26,998","27,341","27,761","27,441","26,506","26,704","27,898","27,473","27,712","27,678","27,782","28,804","28,498","28,753"
40,"29,139","28,986","26,816","26,763","26,818","26,486","26,824","27,673","27,514","28,127","27,594","27,722","26,598","25,810","24,810","24,629","24,461","24,659","24,994","25,459","26,318","25,667","26,114","26,018","26,775","24,473","25,376","24,457","24,073","24,188","23,731","24,441","24,880","25,475","25,459","26,349","25,306","23,810","25,524","24,416","24,269","24,137","23,902","24,755","24,525","25,180","25,375","25,531","25,471","23,620","25,088","24,151","23,924","23,882","24,608","24,931","24,722","25,343","25,194","25,643","26,447","24,780","25,245","24,539","24,553","24,243","24,386","25,194","24,922","25,818","25,765","26,071","27,412","25,586","26,449","25,900","25,651","25,318","25,945","25,904","26,518","27,088","27,161","27,157","27,816","27,559","26,706","26,592","28,308","27,678","27,869","27,708","27,849","28,955","28,653","28,725"
60,"29,375","29,357","26,910","26,931","26,865","26,480","26,878","27,625","27,504","28,043","27,612","27,957","26,959","26,075","24,775","24,598","24,441","24,627","24,912","25,251","26,286","25,714","26,102","25,992","27,294","24,710","25,380","24,510","24,094","24,098","23,757","24,478","24,869","25,502","25,480","26,339","25,467","23,857","25,537","24,388","24,216","24,125","23,849","24,714","24,522","25,259","25,314","25,351","25,520","23,561","25,031","24,190","23,947","23,941","24,082","24,818","24,575","25,296","25,088","25,582","26,420","24,847","25,210","24,596","24,380","24,135","24,255","25,135","24,857","25,737","25,592","26,008","27,396","25,590","26,375","25,775","25,594","25,312","25,808","25,927","26,343","27,010","27,155","27,116","27,829","27,502","26,625","26,614","28,159","27,549","27,771","27,659","27,796","28,853","28,665","28,845"
80,"30,118","30,557","27,375","27,502","27,053","26,673","27,002","27,939","27,655","28,208","27,786","28,035","27,976","26,537","24,945","24,745","24,627","24,798","25,027","25,482","26,412","25,833","26,116","26,006","28,233","25,184","25,439","24,643","24,229","24,302","23,876","24,545","24,916","25,669","25,549","26,498","25,851","24,294","25,712","24,486","24,284","24,257","23,947","24,757","24,537","25,333","25,373","25,541","25,851","23,588","25,222","24,304","24,104","23,980","24,239","24,820","24,692","25,412","25,255","25,812","26,808","25,031","25,351","24,527","24,473","24,263","24,365","25,206","24,833","25,792","25,771","26,124","27,659","25,698","26,586","26,002","25,759","25,484","25,882","25,980","26,512","27,029","27,237","27,225","27,875","27,633","26,712","26,902","28,418","27,716","27,916","27,871","27,851","28,971","28,751","29,084"
101,"31,037","32,171","27,920","28,267","27,188","26,812","27,110","28,053","27,792","28,349","27,963","28,210","29,318","27,551","24,918","24,861","24,657","24,898","25,178","25,592","26,433","25,945","26,165","26,173","29,937","25,833","25,480","24,576","24,229","24,288","23,812","24,602","24,871","25,716","25,649","26,555","26,341","24,643","25,796","24,545","24,241","24,184","23,939","24,812","24,469","25,373","25,218","25,451","26,412","23,763","25,278","24,367","24,049","24,071","24,033","24,914","24,792","25,463","25,071","25,867","27,235","25,131","25,476","24,541","24,447","24,231","24,341","25,376","24,927","25,757","25,808","26,067","27,776","25,873","26,669","25,953","25,698","25,533","25,908","26,084","26,535","27,222","27,225","27,322","27,820","27,682","26,886","26,990","28,376","27,833","27,943","28,102","27,947","29,218","28,755","29,347"
121,"32,347","34,794","28,522","29,324","27,247","26,796","27,345","28,245","28,039","28,471","28,041","28,380","31,308","28,927","25,025","24,841","24,773","24,767","25,041","25,476","26,404","26,057","26,114","25,986","32,363","26,994","25,402","24,692","24,112","24,198","23,825","24,592","24,957","25,757","25,692","26,571","27,222","25,243","25,724","24,408","23,969","24,051","23,824","24,653","24,345","25,318","25,196","25,337","27,155","23,698","25,149","24,261","24,045","23,980","24,098","24,824","24,727","25,392","25,125","25,818","27,651","25,161","25,243","24,531","24,325","24,173","24,302","25,202","24,939","25,678","25,735","25,955","28,010","25,810","26,578","25,967","25,639","25,504","25,820","26,061","26,578","27,080","27,233","27,163","27,678","27,773","26,861","27,210","28,286","27,678","27,839","27,949","27,980","29,190","28,775","29,453"
141,"34,580","39,665","29,818","30,949","27,643","27,210","27,712","28,553","28,457","28,882","28,451","28,592","34,294","31,269","25,171","25,051","24,918","24,908","25,182","25,463","26,457","26,276","26,253","26,214","36,473","29,243","25,531","24,778","24,145","24,502","23,904","24,653","24,961","25,998","25,871","26,645","29,110","26,363","25,996","24,453","23,871","24,073","23,829","24,647","24,404","25,294","25,306","25,375","28,645","23,829","25,314","24,333","24,082","23,973","23,975","24,845","24,641","25,310","25,084","25,867","28,600","25,449","25,341","24,496","24,473","24,153","24,312","25,255","25,073","25,655","25,684","26,176","28,478","26,039","26,704","26,167","25,745","25,675","25,880","26,239","26,631","27,176","27,327","27,182","27,698","28,031","26,937","27,588","28,425","27,988","27,857","28,165","28,096","29,378","28,951","29,906"
161,"38,280","46,169","31,865","33,600","28,088","27,457","28,351","29,124","29,002","29,341","28,822","28,949","39,406","34,961","25,308","25,069","25,235","25,016","25,290","25,602","26,567","26,486","26,402","26,378","41,969","32,331","25,573","24,986","24,294","24,486","23,880","24,696","24,922","26,416","25,957","26,569","31,806","27,973","26,037","24,480","24,073","24,186","23,712","24,712","24,422","25,404","25,324","25,390","31,273","23,965","25,575","24,543","24,186","24,122","24,063","24,914","24,790","25,508","25,196","26,080","30,267","25,951","25,467","24,608","24,504","24,225","24,431","25,224","25,267","25,690","25,835","26,108","29,280","26,304","26,941","26,447","25,865","25,786","25,984","26,500","26,771","27,167","27,359","27,361","27,678","28,435","27,255","28,339","28,733","28,180","27,916","28,371","28,188","29,686","29,165","30,773"
181,"42,971","50,027","34,873","37,131","28,865","27,865","29,290","29,780","29,649","29,914","29,406","29,594","44,382","40,665","25,782","25,308","25,582","25,194","25,465","25,665","26,480","26,941","26,704","26,449","45,049","37,006","25,676","25,371","24,400","24,496","23,931","24,684","24,963","26,888","26,149","26,727","36,075","30,439","26,314","24,404","23,992","24,265","23,843","24,631","24,524","25,588","25,359","25,357","35,384","24,063","25,780","24,682","24,406","24,294","23,978","24,865","24,737","25,541","25,067","26,169","32,851","26,622","25,424","24,559","24,508","24,192","24,251","25,208","25,569","25,645","25,878","26,161","30,227","26,753","27,324","27,082","25,971","26,139","25,961","26,633","27,037","27,365","27,547","27,747","27,510","28,855","27,571","29,335","28,845","28,502","27,959","28,596","28,355","30,092","29,324","31,933"
