File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210120_101852
MTP,6
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"28,190","27,714","26,649","26,590","27,602","27,008","28,124","27,631","28,637","26,986","26,969","28,257","25,853","26,218","25,075","25,324","25,820","25,831","26,553","25,863","25,635","27,620","26,990","26,182","24,573","24,182","24,133","24,057","23,967","24,249","24,539","24,594","25,794","25,957","27,161","26,547","24,288","23,847","24,355","23,769","23,941","23,410","24,129","24,192","25,265","25,641","26,167","25,173","24,376","23,739","24,308","23,629","24,359","24,145","23,835","24,786","25,016","26,427","25,280","25,575","24,914","23,835","24,402","24,082","24,043","24,310","24,559","24,859","25,180","25,418","26,141","25,471","24,878","24,500","25,702","25,280","24,839","24,914","25,253","25,390","27,075","25,984","26,624","26,298","28,157","26,233","26,492","27,341","27,096","27,347","27,586","27,504","27,949","28,178","27,873","31,420"
20,"27,863","27,563","26,322","26,296","27,375","26,720","27,890","27,551","28,463","26,792","27,045","28,031","25,608","25,982","24,880","25,184","25,533","25,755","26,314","25,702","25,592","27,492","26,931","25,922","24,376","24,106","24,024","23,988","23,739","24,084","24,339","24,433","25,541","25,839","27,004","26,178","24,124","23,600","24,080","23,573","23,596","23,257","24,029","24,116","24,910","25,433","26,182","24,961","24,120","23,612","24,108","23,459","24,176","23,816","23,673","24,533","24,912","26,273","25,114","25,349","24,627","23,661","24,324","23,888","23,965","24,057","24,388","24,804","25,067","25,261","26,010","25,404","24,806","24,435","25,439","25,163","24,829","24,759","25,298","25,351","26,951","25,833","26,445","26,102","27,937","26,004","26,357","27,318","27,024","27,198","27,578","27,429","27,916","27,896","27,702","31,320"
40,"28,067","27,761","26,327","26,402","27,257","26,563","27,769","27,331","28,280","26,724","26,927","27,996","25,769","26,237","24,910","25,188","25,620","25,749","26,127","25,688","25,527","27,424","26,806","25,975","24,567","24,098","24,016","23,927","23,776","24,067","24,296","24,322","25,467","25,904","27,045","26,206","24,212","23,686","24,210","23,578","23,688","23,155","23,824","24,104","24,875","25,500","26,076","24,882","24,249","23,563","24,055","23,414","24,014","23,639","23,561","24,471","24,886","26,210","25,086","25,425","24,808","23,692","24,349","23,875","23,961","24,116","24,251","24,678","24,924","25,175","25,967","25,327","25,008","24,608","25,543","25,110","24,867","24,773","25,151","25,320","26,859","25,808","26,318","26,047","28,075","26,325","26,424","27,310","27,108","27,202","27,543","27,371","27,916","27,878","27,676","31,210"
60,"28,178","28,212","26,404","26,404","27,210","26,598","27,773","27,512","28,196","26,610","26,869","27,847","26,049","26,288","24,990","25,088","25,641","25,696","26,176","25,712","25,504","27,402","26,845","25,849","24,755","24,180","23,931","23,935","23,714","24,082","24,220","24,300","25,535","25,837","26,996","25,988","24,296","23,747","24,094","23,531","23,533","23,188","23,771","24,104","24,782","25,378","25,955","24,912","24,337","23,510","24,022","23,420","24,098","23,643","23,667","24,343","24,916","26,239","25,008","25,375","24,875","23,741","24,300","23,914","23,937","24,133","24,220","24,608","24,853","25,208","25,900","25,284","25,010","24,594","25,559","25,200","24,804","24,741","25,116","25,276","26,890","25,790","26,400","25,965","28,014","26,324","26,445","27,478","27,122","27,222","27,473","27,414","27,798","27,784","27,684","31,406"
80,"28,878","29,478","26,912","26,978","27,563","27,137","28,176","28,092","28,876","27,194","27,484","28,498","26,876","26,906","25,225","25,516","25,798","25,924","26,382","25,827","25,824","27,878","27,367","26,157","25,353","24,578","24,188","24,214","23,955","24,225","24,445","24,571","25,788","26,210","27,351","26,567","24,578","23,978","24,376","23,727","23,792","23,471","23,904","24,286","25,033","25,776","26,204","25,182","24,678","23,676","24,273","23,545","24,190","23,820","23,700","24,484","24,965","26,437","25,180","25,527","25,086","23,794","24,394","24,006","23,961","24,241","24,290","24,737","25,025","25,267","26,057","25,420","25,182","24,604","25,571","25,302","24,878","24,875","25,261","25,341","27,145","26,041","26,512","26,159","27,908","26,306","26,400","27,461","27,108","27,324","27,378","27,461","27,798","28,069","27,710","31,353"
101,"29,488","30,857","27,276","27,329","27,480","27,112","28,257","27,912","28,708","27,155","27,449","28,404","28,024","27,688","25,155","25,494","25,929","25,982","26,380","25,953","25,678","27,829","27,141","26,067","26,218","24,939","24,257","24,280","24,004","24,188","24,510","24,524","25,771","26,286","27,284","26,194","24,884","24,214","24,386","23,618","23,778","23,396","23,841","24,129","24,998","25,871","26,149","24,978","25,071","23,702","24,259","23,616","24,273","23,861","23,855","24,580","24,902","26,384","25,059","25,443","25,380","23,908","24,551","24,043","24,027","24,175","24,296","24,741","24,990","25,263","26,102","25,345","25,675","24,865","25,800","25,447","25,000","24,849","25,269","25,433","27,163","26,063","26,408","26,090","28,139","26,584","26,580","27,710","27,078","27,398","27,476","27,604","27,867","28,186","27,641","31,467"
121,"30,408","32,837","27,637","27,657","27,637","27,196","28,453","28,229","28,806","27,176","27,684","28,549","29,569","28,802","25,225","25,582","25,892","26,059","26,447","25,841","25,837","27,878","27,224","25,963","27,312","25,386","24,371","24,349","24,051","24,345","24,545","24,612","25,767","26,525","27,273","26,255","25,482","24,518","24,555","23,661","23,837","23,518","23,839","24,194","24,963","25,751","26,192","24,924","25,539","23,769","24,380","23,569","24,227","23,831","23,759","24,555","24,988","26,414","25,047","25,525","25,973","23,998","24,565","24,100","23,990","24,247","24,325","24,727","25,175","25,239","25,996","25,278","26,308","25,000","25,806","25,751","25,137","25,037","25,365","25,573","27,347","26,114","26,420","26,333","28,037","26,835","26,686","28,076","27,124","27,647","27,518","27,861","27,955","28,429","27,827","32,020"
141,"31,827","36,410","28,476","28,600","27,882","27,292","28,702","28,518","29,096","27,373","27,953","28,722","32,124","30,441","25,396","25,641","26,018","26,188","26,600","26,024","25,775","28,147","27,435","26,018","28,998","26,273","24,355","24,608","24,133","24,312","24,541","24,582","25,727","26,847","27,398","26,227","26,306","25,069","24,563","23,637","23,798","23,647","23,753","24,176","24,933","25,886","26,147","24,824","26,467","23,882","24,347","23,749","24,276","23,835","23,780","24,571","24,980","26,347","25,082","25,508","26,716","24,325","24,839","24,057","24,029","24,188","24,398","24,804","25,333","25,382","26,216","25,300","27,588","25,308","26,024","26,302","25,282","25,116","25,384","25,880","27,537","26,200","26,467","26,588","28,118","27,386","26,992","28,676","27,237","27,975","27,706","28,171","28,025","28,980","28,004","32,763"
161,"33,965","41,910","29,590","29,722","28,135","27,261","29,155","29,086","29,688","27,727","28,275","28,988","35,739","33,347","25,490","25,692","26,067","26,333","26,692","26,041","25,965","28,549","27,684","26,104","31,276","27,682","24,451","24,976","24,388","24,420","24,745","24,878","26,012","27,406","27,633","26,263","27,622","25,961","24,908","23,769","23,798","23,867","23,924","24,227","24,990","26,116","26,245","24,904","28,110","24,000","24,431","24,059","24,580","24,110","23,876","24,659","25,012","26,496","25,098","25,727","28,398","24,975","25,080","24,278","24,173","24,320","24,453","24,982","25,873","25,514","26,549","25,508","29,553","26,178","26,661","27,331","25,753","25,551","25,906","26,424","28,169","26,608","26,869","27,269","28,584","28,524","27,780","30,094","27,782","28,996","28,186","29,078","28,539","30,235","28,539","34,429"
181,"37,065","46,094","31,524","31,429","28,869","27,853","29,867","30,194","30,649","28,225","29,245","29,500","40,984","37,722","25,643","26,033","26,149","26,667","26,925","26,155","26,041","28,867","28,112","26,075","34,341","29,637","24,492","25,504","24,471","24,449","24,633","25,098","25,955","28,322","27,786","26,261","29,588","27,125","25,014","23,694","23,669","23,929","23,780","24,016","24,878","26,212","26,210","24,855","30,598","24,110","24,435","24,016","24,473","23,945","23,745","24,478","24,869","26,390","25,016","25,702","30,392","25,278","24,984","24,106","23,971","24,073","24,261","24,857","26,259","25,251","26,520","25,171","31,727","26,663","26,704","28,245","25,863","25,720","25,947","26,865","28,420","26,725","26,814","27,594","27,937","29,304","27,875","31,057","27,704","29,437","27,965","28,873","28,469","31,047","28,863","35,884"
201,"42,522","51,345","34,861","34,376","30,188","28,488","31,420","32,076","32,320","29,700","30,737","30,582","45,457","43,120","26,108","26,551","26,708","27,694","27,759","26,598","26,473","29,676","28,927","26,602","38,939","34,010","24,973","26,602","25,012","24,814","25,116","25,876","26,424","30,249","28,308","26,622","33,686","29,559","25,741","23,892","24,067","24,586","23,908","24,204","25,220","26,845","26,735","25,106","34,751","24,549","24,912","24,820","24,908","24,522","24,063","24,800","25,053","26,704","25,051","26,125","34,286","26,871","25,624","24,310","24,155","24,339","24,545","25,024","27,514","25,433","27,157","25,441","35,822","28,263","27,802","30,375","26,767","26,680","26,614","28,482","29,616","27,484","27,441","28,792","28,063","31,778","29,447","33,559","28,673","30,959","28,376","29,433","29,392","32,990","30,029","38,980"
221,"46,280","56,112","39,371","38,206","32,073","29,439","33,598","34,820","34,431","31,412","32,906","31,831","49,957","47,402","26,851","27,420","27,400","29,135","28,608","27,014","26,831","30,778","30,104","27,027","41,478","39,173","25,463","28,747","25,920","25,145","25,422","26,802","26,769","33,022","28,969","26,973","38,210","32,994","26,527","24,084","24,347","25,025","24,041","24,388","25,335","27,692","26,890","25,194","40,273","25,080","25,392","25,543","25,449","24,955","24,371","24,998","25,120","26,908","25,431","26,771","39,645","29,037","26,161","24,594","24,280","24,375","24,737","25,296","29,341","25,588","27,906","25,549","40,755","30,024","29,259","33,996","27,820","28,092","27,637","30,800","31,192","28,190","28,239","30,622","27,976","35,337","31,061","36,837","29,904","32,798","28,465","29,598","30,373","35,641","31,531","42,782"
241,"49,929","58,739","41,529","40,880","34,982","31,184","36,822","38,520","37,273","33,947","35,708","33,590","55,508","52,800","27,833","28,539","28,459","30,949","30,053","27,645","27,553","32,025","31,576","27,665","44,816","42,704","26,410","31,178","27,082","25,596","25,839","28,459","27,345","37,202","29,575","27,394","41,541","36,210","27,657","24,335","24,845","25,763","24,071","24,675","25,616","28,861","27,359","25,549","43,235","26,127","26,159","26,892","26,229","25,873","24,743","25,398","25,216","27,376","25,643","27,627","43,427","31,841","26,969","24,922","24,329","24,561","24,931","25,696","32,288","25,616","28,718","25,802","44,453","32,531","31,457","38,080","29,143","30,133","28,959","34,212","33,171","29,412","29,584","32,973","27,929","39,906","33,578","41,078","31,790","35,553","28,580","29,408","32,020","39,075","33,859","47,980"
261,"54,761","63,967","43,788","44,033","40,090","32,035","41,467","41,376","41,584","37,645","39,267","35,476","58,075","54,733","28,988","30,343","30,104","33,676","32,257","28,286","28,333","33,614","33,635","28,718","49,147","46,180","27,716","34,724","29,114","26,475","26,478","30,882","27,933","40,898","30,427","27,863","44,204","38,692","29,055","24,527","25,241","26,284","24,104","25,112","26,212","30,696","27,833","25,949","47,098","27,412","27,325","28,624","27,347","27,122","25,441","26,014","25,261","27,849","25,853","28,986","47,318","36,063","28,057","25,324","24,673","24,818","25,200","26,265","36,482","25,686","30,084","25,906","48,347","35,482","35,337","41,092","30,920","32,873","30,955","38,094","36,275","30,806","31,522","35,008","28,198","41,669","37,235","43,982","34,106","39,290","28,559","29,063","34,412","41,057","37,018","51,682"
281,"56,684","66,720","47,537","48,376","43,531","32,376","42,922","43,839","44,941","41,686","41,133","38,312","63,967","60,533","29,835","33,494","32,245","37,553","35,933","29,273","29,592","35,718","36,110","30,180","49,573","50,178","29,431","35,769","31,549","27,622","27,357","34,118","28,943","42,925","31,533","28,986","48,961","42,180","31,216","25,182","25,971","26,947","24,373","25,818","27,055","33,524","28,567","26,559","51,282","29,067","29,182","30,831","29,004","28,776","26,445","27,014","25,588","28,851","26,353","30,898","52,008","37,978","29,580","26,194","24,935","25,180","25,641","27,073","39,073","25,978","31,798","26,186","52,255","38,851","40,314","43,137","33,167","37,022","34,184","40,508","40,951","32,755","35,018","38,200","27,990","43,671","40,114","46,088","37,533","41,063","28,516","28,853","37,651","43,204","40,931","54,061"
"301,25","61,220","68,824","49,398","49,633","45,425","33,551","45,357","46,733","47,908","43,812","43,412","39,439","66,888","63,976","30,145","37,643","35,251","42,445","39,584","30,739","30,994","38,741","37,947","31,980","53,673","52,810","31,133","37,180","35,224","28,978","28,400","36,612","29,939","47,376","32,904","30,457","49,824","46,043","33,967","25,708","26,806","27,439","24,480","26,957","28,337","37,720","29,265","27,553","53,080","30,386","31,090","34,059","31,112","31,120","27,651","28,812","25,733","30,014","27,143","33,790","56,147","39,461","31,351","26,924","25,265","25,808","26,065","28,235","40,982","25,988","33,729","26,608","55,108","42,349","41,800","47,269","35,918","39,614","38,029","42,702","43,965","34,863","40,276","38,692","28,169","46,851","42,322","50,080","39,222","42,165","28,624","28,618","39,157","45,504","42,643","58,157"
321,"65,190","72,104","51,496","54,135","49,710","34,120","48,751","49,651","52,880","47,094","46,810","41,331","69,231","66,749","30,310","42,706","38,263","46,147","41,439","32,539","33,178","39,722","39,976","34,406","54,918","57,624","34,218","38,771","36,047","30,416","29,682","38,102","31,318","49,100","34,673","32,661","54,459","46,578","36,080","26,320","27,625","27,963","24,788","28,131","30,173","40,849","30,147","29,096","57,712","32,098","33,996","34,918","33,716","34,537","28,994","30,798","25,859","31,955","28,120","37,124","56,484","42,325","33,592","27,855","25,755","26,612","26,369","29,925","44,467","26,086","36,508","27,102","59,845","46,239","44,373","48,110","36,955","40,563","39,320","46,229","47,112","36,024","45,231","40,988","28,261","47,616","44,998","50,010","40,573","44,590","28,659","28,488","41,469","48,331","44,384","58,876"
341,"68,261","75,894","54,269","56,188","51,906","35,476","50,359","49,724","54,086","51,322","50,100","43,490","72,175","70,104","30,588","47,222","39,786","49,375","43,733","34,896","35,765","40,814","41,094","36,686","55,622","58,622","34,876","40,696","36,578","32,227","31,063","39,255","32,788","52,625","37,094","35,122","57,090","50,576","37,412","27,104","28,618","28,580","25,127","29,786","32,455","44,065","31,051","30,841","59,033","34,210","34,414","36,037","34,661","35,757","30,516","33,908","26,196","34,931","29,496","40,243","60,871","44,902","34,531","28,731","26,225","27,647","26,975","31,914","47,178","26,476","37,241","27,812","61,702","50,310","47,694","52,324","37,590","43,359","40,651","47,133","51,025","37,408","48,694","42,637","28,259","51,392","48,624","53,837","43,896","47,078","28,741","28,557","43,735","47,833","47,712","64,931"
