File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,9
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,34.112,32.594,31.549,31.512,34.410,32.586,33.410,31.184,31.418,29.847,30.912,31.590,32.408,33.622,34.100,32.812,33.688,34.033,32.876,31.580,30.420,28.975,30.480,30.349,36.555,34.669,32.249,32.957,34.888,32.051,34.669,32.086,29.200,30.345,31.016,30.975,32.637,34.237,31.708,31.584,31.757,31.602,30.837,29.282,30.086,30.010,30.224,32.547,32.382,32.210,33.873,31.571,31.547,31.243,30.947,28.935,28.996,30.096,30.351,30.059,32.755,31.955,31.873,32.498,31.769,32.306,31.333,30.241,30.380,29.898,30.247,30.349,32.047,32.039,32.357,33.661,31.304,31.163,30.420,34.482,30.455,29.473,30.827,32.635,32.957,31.784,31.241,32.273,31.139,31.149,31.075,32.573,30.480,29.878,31.249,32.806,,mtp09_20220404_152700.bmp
20,33.945,33.314,31.520,33.647,34.124,32.253,32.718,32.804,32.635,30.173,31.255,32.255,32.645,33.204,34.494,33.308,35.000,34.363,32.708,33.153,30.682,29.696,30.980,30.449,35.741,35.653,34.451,33.684,36.937,39.155,40.106,30.904,30.561,31.861,31.729,31.045,33.900,38.696,35.108,32.392,32.553,31.439,31.769,28.712,29.684,28.890,29.404,30.741,33.398,34.800,33.661,31.631,31.906,31.649,30.584,28.963,30.025,29.924,30.192,30.035,31.412,34.661,31.498,31.429,33.912,30.973,30.435,29.514,29.992,30.308,30.463,29.961,33.065,34.108,31.775,32.992,35.804,32.320,31.322,30.625,32.155,29.459,30.908,30.731,33.422,33.982,32.178,34.049,32.571,31.673,31.118,32.792,30.114,30.110,31.276,32.427,,mtp09_20220404_154703.bmp
40,33.582,33.376,31.537,32.404,33.188,31.704,32.020,32.953,32.400,30.145,30.669,32.398,32.451,33.373,35.224,33.508,35.280,33.345,33.412,31.790,30.614,29.651,31.300,30.282,36.049,34.065,32.198,34.755,34.500,33.616,34.425,31.196,29.171,30.763,30.357,31.392,32.039,31.876,33.939,34.888,31.275,36.335,29.643,31.624,29.680,30.775,29.373,30.151,33.022,34.688,34.873,34.116,32.759,30.637,31.496,30.090,29.535,29.802,29.671,29.892,31.818,33.171,31.904,32.086,31.765,31.129,30.343,30.480,29.473,29.808,30.329,29.965,32.722,32.878,31.645,35.688,31.518,30.516,30.616,30.641,30.341,28.908,30.643,30.524,32.341,31.318,31.159,30.629,31.063,31.041,30.708,32.073,30.114,29.645,31.022,32.361,,mtp09_20220404_160703.bmp
60,33.986,32.580,31.176,32.224,32.920,31.594,31.882,31.376,31.829,29.814,30.751,32.114,33.308,32.927,33.802,32.980,34.820,34.222,33.224,32.492,30.510,29.647,31.508,30.700,35.316,33.427,33.806,36.420,34.704,32.188,33.967,31.194,29.637,30.767,30.394,31.390,31.890,31.600,32.182,32.388,31.900,31.288,33.912,28.812,30.084,30.169,29.524,30.584,35.010,31.531,30.880,32.163,32.351,30.824,30.784,28.978,29.400,29.698,29.988,30.212,31.357,31.578,31.418,35.016,31.280,31.620,30.188,30.533,29.737,30.512,29.810,29.947,32.582,32.020,32.778,32.567,31.588,30.749,30.204,30.508,30.576,29.035,30.769,30.871,32.788,32.204,32.129,31.090,31.163,31.539,31.043,32.733,30.422,29.798,31.516,33.065,,mtp09_20220404_162703.bmp
80,35.363,32.549,31.594,33.084,33.190,31.657,32.012,31.471,31.969,29.998,31.339,32.502,31.871,32.975,34.327,34.198,33.586,35.329,32.549,34.453,30.659,29.943,31.482,31.098,35.802,33.512,32.620,32.633,33.929,33.359,35.078,30.663,29.302,31.216,30.673,31.898,31.657,32.118,32.253,33.208,31.665,31.567,31.945,28.902,30.353,29.251,29.580,30.384,32.220,32.592,32.447,32.024,31.176,30.920,30.222,29.937,29.098,30.178,30.080,30.259,31.563,31.894,32.255,31.512,31.386,31.159,30.541,29.625,29.661,30.124,30.543,30.169,33.035,32.367,32.314,32.006,31.927,30.965,32.041,30.786,30.571,29.529,30.729,31.029,32.839,32.241,31.386,31.616,31.769,30.937,31.082,32.653,30.822,30.220,31.622,33.202,,mtp09_20220404_164703.bmp
100,34.884,32.614,31.339,32.045,33.075,31.706,32.431,31.294,32.863,30.147,31.231,32.425,32.398,33.075,34.296,33.535,33.678,34.035,33.510,31.761,32.316,30.322,31.520,31.098,35.402,34.231,32.535,33.527,33.690,32.892,33.863,31.190,29.437,31.171,30.863,31.667,31.906,31.827,32.125,33.275,31.663,31.541,29.971,29.661,30.049,28.884,29.496,30.753,32.012,32.502,32.716,31.202,31.263,31.014,30.241,29.080,28.967,29.908,29.822,30.182,31.798,32.035,31.612,32.141,31.473,31.239,30.643,30.094,29.596,30.988,30.569,30.671,32.447,32.392,31.867,33.604,32.049,33.553,31.159,30.790,31.616,29.294,31.345,31.233,33.027,31.576,31.214,31.078,31.241,31.451,31.233,32.925,30.537,30.210,32.133,33.167,,mtp09_20220404_170703.bmp
120,34.606,32.653,31.059,31.931,33.025,31.565,32.629,31.341,31.945,30.278,31.257,32.584,31.602,34.045,34.090,35.610,33.227,33.839,33.502,32.086,32.155,30.294,31.190,30.582,34.453,34.553,32.029,32.402,33.810,31.902,33.676,30.922,29.143,31.080,30.712,31.520,31.569,31.943,31.982,31.255,31.431,30.512,30.288,28.816,29.802,28.927,29.216,30.202,32.443,31.816,32.416,30.957,31.929,30.704,30.631,28.971,28.753,29.663,29.965,29.796,31.290,31.773,32.318,32.159,31.547,31.102,30.343,29.067,29.890,30.353,30.310,30.743,32.394,32.180,31.941,32.471,31.484,32.659,30.645,30.688,30.563,28.925,30.506,31.161,33.165,31.876,31.729,31.035,31.051,31.214,30.818,32.739,30.594,30.055,31.392,33.167,,mtp09_20220404_172703.bmp
140,34.718,33.653,32.286,33.751,33.569,32.102,32.810,31.394,31.951,31.718,31.406,32.951,32.473,33.725,34.765,33.155,33.712,34.161,32.343,33.875,30.749,30.306,32.078,30.447,35.733,34.039,32.280,32.698,34.024,32.222,34.025,30.496,29.390,31.155,30.910,31.508,31.959,31.861,31.716,34.573,31.875,31.620,29.553,28.827,29.490,29.204,29.231,30.571,32.610,32.224,31.522,33.276,31.482,30.575,31.292,29.196,30.298,29.906,29.725,29.971,31.835,32.090,32.392,31.763,31.359,31.371,30.353,29.127,30.110,31.076,30.278,30.353,32.690,32.543,32.135,32.618,31.647,31.006,30.376,31.318,30.776,29.241,30.716,31.382,32.398,31.606,31.224,30.853,31.157,30.665,30.924,32.594,30.414,30.031,32.010,32.951,,mtp09_20220404_174704.bmp
160,34.678,32.984,31.361,31.916,33.514,32.141,33.006,32.920,32.069,30.588,31.461,33.167,32.414,33.247,36.312,33.498,34.251,36.739,34.431,33.378,30.531,29.755,31.990,31.218,35.296,33.480,32.310,33.337,33.424,32.712,33.908,30.049,28.888,31.443,30.308,32.112,31.624,31.776,31.478,31.680,32.398,31.337,31.502,28.678,29.345,28.931,29.078,30.484,32.284,31.980,31.322,30.939,31.973,31.941,30.365,29.049,29.953,29.880,30.241,30.127,31.771,33.963,32.018,34.063,31.490,31.565,30.782,29.520,30.225,31.414,30.192,31.218,32.971,32.306,32.702,35.369,31.514,31.178,30.751,30.980,30.810,29.257,30.896,31.602,32.663,31.418,31.175,30.916,30.982,30.627,30.814,32.522,30.688,30.263,31.957,32.553,,mtp09_20220404_180702.bmp
180,35.337,32.892,31.155,32.624,33.298,34.024,32.365,32.114,32.808,31.398,32.545,33.869,32.959,33.655,35.624,33.269,34.173,34.980,32.386,34.320,32.008,29.980,31.894,31.459,35.943,34.310,33.000,33.249,33.667,32.127,35.512,30.161,29.061,30.471,30.141,32.014,32.431,31.945,32.402,31.825,32.686,30.957,30.565,28.698,30.059,28.690,29.653,30.496,32.963,31.702,32.918,31.988,31.033,30.931,30.476,29.275,28.755,30.329,29.565,30.131,32.124,35.971,32.308,33.737,32.684,31.425,30.657,30.061,30.659,32.380,30.122,31.461,33.627,32.639,32.555,35.784,32.024,31.718,31.169,31.267,31.259,29.451,31.667,32.645,33.286,33.404,31.073,32.418,31.802,31.665,31.527,33.494,30.763,30.192,32.588,33.622,,mtp09_20220404_182704.bmp
