File_Type,GStdDev
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,10
Plate-ID,
Cal File Used,cal_white96square_CR1496DG
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,3.020,2.401,2.905,3.139,2.547,3.995,3.176,2.115,2.325,2.813,2.552,7.282,3.295,2.390,2.061,1.918,1.459,3.133,2.467,1.778,2.939,2.661,3.349,3.977,3.308,1.974,1.679,1.910,1.821,1.589,1.464,3.644,2.075,1.955,3.047,3.434,3.220,1.325,2.357,1.995,1.883,1.721,1.214,1.447,3.227,3.413,2.559,4.145,2.357,4.226,1.650,2.122,1.639,2.333,1.791,2.074,2.799,3.444,2.302,4.886,3.757,2.024,1.792,1.799,1.729,1.793,2.182,1.595,1.457,5.438,2.834,5.579,3.943,3.526,2.198,3.526,2.659,2.838,2.346,2.620,2.439,2.416,2.396,4.252,1.991,2.460,2.387,1.559,3.131,4.455,5.135,3.239,1.903,3.135,2.641,4.339,,mtp10_20220404_152700.bmp
20,2.303,3.816,3.437,2.700,4.467,4.912,3.125,2.924,2.445,3.167,3.103,7.313,3.332,3.233,2.398,2.683,2.146,2.715,3.244,3.338,3.367,4.565,4.170,4.007,3.360,2.364,1.713,1.939,2.143,2.187,2.336,4.519,2.894,2.641,3.682,4.605,2.130,2.868,2.854,2.914,2.470,2.766,2.849,2.318,2.021,4.204,3.739,5.665,2.553,2.445,2.573,2.852,2.259,3.030,2.467,2.811,3.050,4.401,4.187,5.411,4.351,2.103,2.376,2.537,2.702,2.912,4.475,2.657,2.550,6.015,3.654,7.124,5.385,2.529,2.548,3.472,3.851,3.566,3.673,3.631,2.068,3.330,3.272,6.586,1.711,2.099,1.695,1.936,3.712,3.359,4.803,5.325,2.970,3.589,3.329,4.149,,mtp10_20220404_154703.bmp
40,2.286,3.457,3.750,3.107,2.188,2.718,4.633,2.854,2.751,2.287,2.894,7.215,3.576,2.763,2.605,2.598,2.334,2.613,3.349,3.530,3.717,5.232,5.045,3.965,3.080,2.182,1.857,2.044,2.291,2.000,2.414,3.321,3.130,3.073,2.772,5.222,1.726,3.520,1.839,1.895,2.668,3.881,1.561,2.704,1.790,1.902,2.632,7.034,1.799,1.771,2.803,2.937,2.630,3.470,3.239,2.984,3.490,4.933,4.457,6.017,3.600,2.167,2.609,2.846,2.875,3.182,3.167,3.172,3.012,5.514,4.007,5.546,5.520,1.919,2.695,2.890,2.456,3.261,2.112,2.242,1.739,1.889,3.627,5.419,1.739,2.402,1.557,1.999,3.198,3.592,3.313,3.609,3.506,2.464,3.704,4.516,,mtp10_20220404_160703.bmp
60,2.330,2.244,2.408,2.421,1.861,2.929,4.457,1.893,3.300,2.124,3.118,7.220,2.621,2.878,2.688,2.940,2.379,2.820,3.931,3.695,4.137,2.326,5.138,4.173,3.083,2.145,1.788,1.948,2.335,2.082,1.897,2.305,3.044,3.140,2.612,5.961,1.806,1.887,1.748,1.938,2.724,1.705,1.602,2.947,1.766,1.734,2.537,7.881,1.869,1.925,1.898,4.826,3.360,5.444,1.951,2.222,2.090,3.143,5.108,4.648,3.742,1.837,2.918,3.226,1.632,3.488,3.931,3.296,3.032,3.998,4.038,4.494,4.221,2.987,1.963,3.397,2.527,2.033,2.297,2.716,1.840,1.926,2.375,5.944,1.821,2.442,1.944,1.925,3.077,4.135,3.143,3.662,3.739,2.327,2.513,5.031,,mtp10_20220404_162703.bmp
80,2.428,2.280,2.560,1.921,2.099,3.206,3.676,1.965,3.688,2.323,2.778,7.226,2.755,2.953,2.628,2.308,2.657,2.765,3.995,2.590,2.531,2.681,3.119,4.423,2.979,2.126,2.091,2.134,2.430,2.128,2.310,2.393,2.081,3.868,2.655,3.779,1.932,1.827,1.940,1.950,2.097,1.824,1.778,1.927,2.057,2.066,2.595,8.520,1.785,2.079,2.046,2.166,1.718,1.943,2.123,2.245,2.283,3.074,5.179,4.760,4.307,1.914,1.973,2.256,1.755,1.884,2.591,2.200,3.322,4.055,3.099,4.969,3.235,3.152,2.051,1.935,2.859,2.198,2.355,2.393,2.109,2.028,2.469,5.192,2.301,2.141,2.034,1.922,3.328,3.961,3.583,3.474,2.173,2.492,2.764,5.130,,mtp10_20220404_164703.bmp
100,2.564,2.348,2.368,2.027,1.956,3.105,3.420,2.064,2.256,2.530,2.287,6.744,2.862,2.221,2.261,2.190,2.302,2.943,2.786,2.661,2.802,2.778,3.037,3.962,3.218,2.075,2.081,2.150,2.503,2.167,2.382,2.369,2.226,2.295,2.798,3.531,1.858,1.777,1.816,1.977,2.023,1.808,1.756,2.035,2.183,2.149,2.684,4.106,1.702,2.061,1.893,2.192,1.755,2.086,1.970,2.445,2.324,2.961,3.242,4.578,3.196,1.771,1.866,1.795,1.725,1.926,2.971,2.067,3.651,4.094,3.138,6.503,3.876,2.190,1.923,1.893,2.736,2.200,2.323,2.645,1.883,2.229,2.667,4.647,1.702,1.888,1.671,1.821,3.294,3.603,3.306,2.869,2.084,2.429,2.758,4.685,,mtp10_20220404_170703.bmp
120,2.625,2.368,2.235,2.052,2.017,2.961,3.250,2.069,2.268,2.379,2.531,7.023,2.790,2.214,2.197,2.354,2.255,2.872,2.867,2.542,2.825,2.556,3.094,4.029,3.056,2.222,2.159,2.202,2.540,2.248,2.389,2.485,2.603,2.226,2.668,3.934,2.140,1.816,1.978,1.886,1.922,1.997,1.944,1.983,2.149,2.186,2.721,4.779,1.684,1.999,2.006,2.348,1.919,2.020,2.192,2.392,2.381,3.190,3.572,4.955,2.920,1.655,1.926,1.919,1.778,1.815,2.107,2.194,2.235,3.947,3.151,6.614,2.864,2.099,1.993,1.954,2.671,2.499,2.493,2.425,1.605,1.926,3.441,3.984,2.763,2.096,1.729,1.876,3.118,3.649,3.163,3.466,2.032,2.388,2.652,4.713,,mtp10_20220404_172703.bmp
140,2.631,2.431,2.481,1.969,2.084,3.228,3.107,2.157,2.325,2.286,2.353,7.071,2.556,2.307,2.152,2.307,2.384,2.942,2.907,2.802,2.734,2.494,3.073,4.176,3.099,2.246,2.141,2.200,2.537,2.405,2.319,2.169,2.446,2.352,2.884,3.689,2.114,1.754,2.053,2.090,2.232,1.886,1.861,1.840,2.316,2.212,3.102,4.885,2.211,2.129,2.125,2.340,1.919,2.032,2.386,2.593,2.290,3.334,3.689,5.062,2.910,1.811,2.190,2.392,1.904,1.827,2.107,2.339,2.133,4.104,2.799,6.072,2.780,2.472,2.005,2.023,2.417,2.052,2.129,2.561,1.715,1.791,3.320,3.965,2.584,2.027,1.787,1.941,3.326,3.549,3.376,2.790,1.989,2.473,2.660,4.829,,mtp10_20220404_174704.bmp
160,2.781,2.360,2.436,2.265,1.959,3.116,2.747,2.256,2.382,2.227,2.513,6.959,2.789,2.198,2.262,2.580,2.504,2.708,2.962,2.967,3.145,3.135,3.058,4.021,3.201,2.228,2.153,2.288,2.582,2.333,2.248,2.587,2.477,2.633,2.741,3.694,2.113,1.829,2.182,2.192,2.292,2.021,2.244,1.974,2.301,2.480,2.755,5.045,2.334,2.183,2.044,2.734,1.996,2.073,2.030,2.684,2.752,3.034,3.419,4.782,3.100,2.078,1.908,2.032,2.264,2.465,2.376,2.102,2.320,4.415,2.921,5.507,2.631,2.434,2.126,2.243,2.500,2.343,2.402,2.535,1.986,2.104,2.719,4.443,2.619,2.100,2.158,1.789,3.301,4.788,2.880,2.729,2.276,2.533,2.674,4.833,,mtp10_20220404_180702.bmp
180,3.136,2.424,2.420,2.048,2.115,3.367,2.557,2.333,2.485,2.374,2.467,6.846,2.837,2.293,2.166,2.605,2.317,3.113,2.956,3.027,3.096,3.089,3.171,4.044,3.224,2.298,2.377,2.331,2.735,2.410,2.259,2.288,2.484,2.854,2.885,4.175,2.239,1.824,2.203,2.093,2.540,2.182,2.565,1.911,2.544,2.523,3.177,5.077,1.863,2.198,1.911,1.863,1.842,2.047,2.595,2.778,2.608,2.846,3.752,4.626,2.765,2.152,2.171,2.313,2.321,2.569,2.447,1.919,2.305,4.076,3.144,5.232,2.647,2.349,2.225,2.374,2.795,2.306,2.278,2.472,2.039,2.049,2.763,4.005,2.781,2.394,2.131,2.185,3.169,4.685,2.529,2.640,2.285,2.657,2.696,4.924,,mtp10_20220404_182704.bmp
