File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,10
Plate-ID,
Cal File Used,cal_white96square_CR1496DG
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,33.114,32.965,35.043,33.949,33.457,36.337,35.408,33.839,33.833,35.063,33.402,45.400,32.045,31.792,30.427,29.612,29.388,31.925,30.635,29.604,31.025,31.506,32.871,32.459,30.233,28.892,28.267,28.967,28.549,28.455,28.851,30.912,30.012,30.388,32.204,31.092,30.124,27.729,29.002,28.837,28.120,28.506,28.857,28.602,31.549,33.837,31.361,32.624,28.947,30.882,28.155,29.096,28.233,28.673,28.996,29.143,30.492,32.551,31.645,34.333,31.108,28.563,28.029,29.098,28.527,29.022,30.351,29.324,29.876,35.547,31.965,34.329,31.629,31.792,29.706,31.547,31.067,35.092,31.100,31.461,31.424,31.469,32.884,35.490,30.088,30.855,30.849,30.776,36.763,36.947,37.816,35.184,31.784,32.486,33.100,36.196,,mtp10_20220404_152700.bmp
20,32.180,34.247,35.498,33.002,35.816,38.010,34.939,35.329,34.276,35.984,34.641,44.986,32.086,32.906,30.718,30.120,29.704,31.618,31.522,30.547,30.967,33.002,33.508,32.525,30.067,29.263,28.094,28.731,28.651,28.708,29.625,31.502,30.416,30.496,33.112,31.992,28.914,28.986,29.629,29.900,28.535,29.659,30.288,29.449,29.812,33.614,33.343,34.704,29.312,30.290,28.869,29.635,28.988,29.635,29.794,30.075,30.484,33.808,33.504,35.727,34.371,28.516,28.512,29.378,29.125,30.582,32.794,30.671,30.288,37.316,33.555,34.367,33.059,30.088,29.614,31.733,32.173,34.998,32.565,32.880,30.422,32.290,33.624,37.249,29.875,30.084,30.218,31.182,37.365,35.371,36.357,38.563,33.794,33.133,34.798,35.143,,mtp10_20220404_154703.bmp
40,32.296,33.949,35.480,33.698,32.855,33.437,36.333,34.929,34.792,33.941,34.682,44.784,32.296,32.547,31.051,30.108,29.935,31.463,31.829,30.959,31.463,33.437,34.445,32.643,29.551,28.876,28.135,28.922,28.692,28.561,29.714,30.439,30.494,30.639,32.376,32.427,28.127,29.694,28.467,28.563,28.835,30.641,28.900,29.776,29.567,30.549,31.263,35.520,28.033,28.514,29.302,29.151,29.341,29.978,30.284,30.198,31.237,34.333,34.082,35.920,33.778,28.461,28.747,29.912,29.431,30.025,30.763,30.700,30.753,37.071,33.400,33.092,32.261,29.622,29.663,31.090,30.941,33.604,30.929,30.957,30.276,30.876,32.273,35.378,29.616,30.665,29.982,31.055,36.629,34.975,35.606,37.610,33.210,31.843,34.137,35.224,,mtp10_20220404_160703.bmp
60,32.586,32.367,34.567,32.875,32.598,33.659,36.163,33.831,35.137,34.075,35.359,44.847,31.492,32.518,31.159,30.765,30.351,31.998,32.547,31.114,31.990,31.767,34.531,32.927,29.902,29.241,28.378,29.149,29.022,28.929,29.592,29.859,30.737,30.831,32.386,33.033,28.294,28.047,28.529,28.910,29.218,28.837,29.212,30.257,29.739,30.429,31.498,37.055,28.271,28.586,27.841,30.637,30.122,31.547,29.020,29.310,29.724,32.210,35.092,34.080,33.063,28.080,29.257,30.257,28.569,30.459,32.265,31.384,31.231,35.590,33.710,32.941,30.784,31.125,28.839,32.765,31.237,32.561,30.859,31.718,30.518,31.171,31.327,32.845,30.010,30.443,30.190,30.733,36.814,35.655,33.296,36.410,33.902,31.873,33.380,35.727,,mtp10_20220404_162703.bmp
80,32.963,32.939,35.165,32.129,32.871,34.265,35.465,34.059,36.049,34.575,34.520,45.692,31.733,32.545,31.500,30.237,30.633,32.394,32.649,30.451,30.961,32.245,33.294,33.275,30.106,29.200,28.651,29.506,29.229,29.278,30.090,30.067,30.512,31.669,32.884,32.014,28.810,28.257,28.849,29.157,28.596,29.104,29.880,29.324,30.400,30.990,31.873,37.220,28.318,29.145,28.125,28.806,28.588,28.498,29.265,29.280,30.216,32.247,35.424,34.063,32.706,28.218,28.435,29.424,28.908,29.129,31.257,30.235,31.549,34.869,32.810,33.341,30.196,30.927,29.018,30.182,31.580,33.088,31.231,31.135,30.914,31.343,31.463,34.225,30.253,30.475,30.496,31.041,37.327,36.053,34.737,36.790,32.378,32.202,33.629,36.163,,mtp10_20220404_164703.bmp
100,33.329,33.380,35.010,32.539,32.939,34.802,35.457,34.525,34.376,35.010,34.529,45.027,31.916,32.029,31.078,30.600,30.578,32.951,31.649,31.016,31.529,32.708,33.582,33.531,30.569,29.506,28.929,29.845,29.482,29.784,30.365,30.253,30.855,30.776,33.576,32.290,29.006,28.516,28.929,29.371,28.906,29.504,29.961,29.629,30.859,31.298,32.392,33.020,28.418,29.341,28.145,29.041,28.716,28.761,29.343,29.725,30.463,32.369,33.437,34.367,32.176,28.373,28.378,29.673,28.971,29.594,31.412,30.400,32.300,35.539,33.359,35.041,30.327,30.602,29.118,30.247,32.159,33.149,31.224,32.304,30.749,31.343,31.718,32.806,30.514,30.522,30.329,30.925,37.435,35.755,35.351,36.565,32.639,32.225,33.663,35.824,,mtp10_20220404_170703.bmp
120,33.841,33.541,35.504,32.894,33.237,34.994,36.033,34.943,34.910,35.204,34.786,46.304,32.153,32.363,31.178,30.925,31.051,33.302,31.982,31.782,32.051,32.892,34.169,33.859,30.727,30.051,29.441,30.359,29.802,30.657,30.845,30.816,31.502,31.278,34.155,33.316,29.524,28.896,29.424,29.508,29.375,29.724,30.571,29.978,31.494,31.739,32.916,34.422,28.576,29.633,28.629,29.306,29.106,28.757,29.976,29.949,31.337,32.700,33.927,35.251,32.118,28.694,28.822,30.080,29.200,29.412,30.653,31.047,31.029,35.137,33.522,35.584,29.131,30.175,29.400,30.508,32.061,34.035,31.471,31.045,30.724,31.327,32.724,31.653,31.443,30.425,30.451,30.978,37.300,36.084,34.400,35.173,32.718,32.231,33.620,35.914,,mtp10_20220404_172703.bmp
140,34.639,34.298,36.682,33.294,33.622,36.067,35.639,35.471,35.445,35.380,35.202,47.427,32.643,32.616,31.925,31.584,31.822,33.437,32.116,32.455,32.612,33.780,34.314,34.661,31.125,30.420,29.943,30.947,30.508,31.480,31.398,31.041,32.094,32.080,35.025,34.237,29.851,29.257,29.747,29.894,30.149,30.037,30.980,30.329,32.649,32.282,33.490,35.365,28.957,29.733,28.975,29.857,29.376,29.069,30.208,30.355,31.541,33.129,34.602,35.973,32.014,29.106,29.145,30.504,29.361,29.951,30.755,31.537,31.292,35.769,33.824,35.227,29.624,30.559,29.712,31.000,32.245,33.653,31.345,31.575,30.422,31.094,33.853,31.814,31.159,30.733,30.545,30.886,37.324,35.712,33.998,34.541,32.786,32.096,33.631,35.990,,mtp10_20220404_174704.bmp
160,35.986,34.194,37.098,33.569,34.084,36.116,35.671,36.394,36.257,35.720,35.480,47.435,32.418,32.735,32.402,32.141,32.098,33.835,32.488,32.910,33.520,34.227,34.794,34.802,31.565,31.308,30.220,31.310,30.696,31.765,31.824,31.139,32.398,32.563,36.390,34.257,30.475,29.669,30.125,30.308,30.620,30.598,31.531,30.588,33.504,32.902,34.104,35.943,29.329,29.996,29.222,30.131,29.614,29.278,30.839,30.620,32.045,33.527,34.924,36.253,32.202,29.500,29.263,30.118,29.906,30.031,30.837,31.988,31.639,36.110,34.375,35.149,29.620,30.949,30.049,31.373,32.612,34.576,31.182,31.845,30.651,31.082,31.918,31.524,31.375,30.692,30.627,31.065,37.439,36.482,33.375,34.812,33.269,32.333,33.576,36.129,,mtp10_20220404_180702.bmp
180,37.659,34.839,37.410,33.651,34.239,36.708,35.910,36.614,36.271,35.837,35.961,47.478,32.857,32.976,32.802,32.298,32.588,34.255,32.665,33.698,34.320,34.310,35.476,35.075,32.076,31.522,30.786,31.524,31.153,32.325,31.978,31.463,33.204,33.437,36.084,34.925,31.125,30.178,30.514,30.376,30.998,30.988,32.541,30.857,34.249,33.706,34.804,35.837,29.155,29.947,29.178,29.653,29.531,29.478,30.765,31.602,32.576,33.441,35.788,36.347,32.176,29.796,29.406,30.729,30.071,30.961,31.149,32.367,32.192,35.984,34.982,35.549,29.865,30.990,30.261,31.910,33.139,34.445,31.222,31.165,30.808,31.422,31.733,31.325,31.761,30.571,30.531,31.014,38.010,36.175,32.445,34.535,33.551,32.586,33.659,36.494,,mtp10_20220404_182704.bmp
