File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,7
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,Ecoli_LB_GP2_Flux
a,0.0146
b,0.9471
c,0.0001
d,2.1939
e,0
f,2.004
GBlank,28.547
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.083,0.052,0.040,0.047,0.063,0.065,0.056,0.038,0.019,0.029,0.032,0.081,0.052,0.046,0.043,0.035,0.067,0.060,0.062,0.067,0.032,0.021,0.035,0.027,0.073,0.063,0.066,0.049,0.091,0.068,0.067,0.079,0.071,0.067,0.032,0.067,0.071,0.052,0.073,0.060,0.111,0.085,0.087,0.070,0.069,0.071,0.072,0.044,0.134,0.062,0.118,0.112,0.059,0.097,0.073,0.048,0.054,0.041,0.022,0.028,0.061,0.079,0.183,0.109,0.052,0.104,0.034,0.017,0.043,0.026,0.049,0.057,0.066,0.067,0.111,0.114,0.046,0.080,0.063,0.052,0.074,0.050,0.056,0.086,0.086,0.094,0.051,0.063,0.041,0.062,0.064,0.059,0.031,0.049,0.090,0.134,,mtp07_20220404_152700.bmp
20,0.080,0.047,0.053,0.041,0.045,0.058,0.067,0.033,0.025,0.026,0.036,0.078,0.057,0.042,0.033,0.037,0.030,0.067,0.066,0.036,0.058,0.037,0.038,0.028,0.088,0.053,0.076,0.051,0.060,0.049,0.061,0.062,0.056,0.072,0.022,0.030,0.062,0.041,0.043,0.065,0.084,0.073,0.074,0.060,0.061,0.065,0.030,0.026,0.137,0.066,0.130,0.126,0.069,0.045,0.084,0.047,0.047,0.096,0.029,0.029,0.058,0.106,0.143,0.074,0.071,0.027,0.020,0.009,0.032,0.026,0.024,0.068,0.091,0.057,0.056,0.051,0.037,0.040,0.049,0.033,0.055,0.057,0.042,0.082,0.093,0.068,0.045,0.044,0.031,0.045,0.092,0.063,0.043,0.036,0.069,0.131,,mtp07_20220404_154703.bmp
40,0.078,0.052,0.052,0.027,0.053,0.057,0.061,0.031,0.039,0.014,0.032,0.109,0.061,0.036,0.038,0.033,0.038,0.046,0.053,0.030,0.027,0.018,0.032,0.028,0.064,0.041,0.052,0.035,0.061,0.047,0.056,0.063,0.050,0.047,0.017,0.025,0.054,0.043,0.045,0.065,0.083,0.068,0.103,0.053,0.064,0.040,0.022,0.021,0.127,0.062,0.112,0.072,0.054,0.042,0.070,0.020,0.024,0.054,0.031,0.031,0.081,0.097,0.124,0.074,0.079,0.031,0.035,0.023,0.046,0.025,0.020,0.055,0.066,0.071,0.061,0.047,0.027,0.040,0.040,0.032,0.045,0.044,0.037,0.075,0.099,0.070,0.055,0.047,0.050,0.042,0.048,0.069,0.031,0.039,0.041,0.139,,mtp07_20220404_160703.bmp
60,0.094,0.062,0.046,0.029,0.042,0.053,0.060,0.039,0.024,0.016,0.032,0.104,0.050,0.036,0.028,0.029,0.029,0.048,0.050,0.033,0.021,0.003,0.028,0.044,0.056,0.047,0.057,0.037,0.065,0.047,0.066,0.049,0.044,0.035,0.012,0.026,0.060,0.025,0.052,0.075,0.075,0.080,0.080,0.050,0.088,0.041,0.024,0.021,0.120,0.057,0.111,0.088,0.058,0.040,0.068,0.027,0.032,0.072,0.010,0.027,0.056,0.090,0.132,0.069,0.028,0.025,0.023,0.001,0.046,0.027,0.030,0.067,0.066,0.091,0.058,0.054,0.030,0.037,0.041,0.028,0.058,0.055,0.045,0.079,0.087,0.073,0.048,0.040,0.033,0.044,0.050,0.059,0.032,0.040,0.046,0.121,,mtp07_20220404_162703.bmp
80,0.092,0.053,0.047,0.031,0.044,0.052,0.055,0.033,0.024,0.013,0.030,0.082,0.055,0.035,0.031,0.035,0.030,0.042,0.038,0.030,0.028,0.014,0.027,0.022,0.058,0.044,0.053,0.036,0.055,0.048,0.061,0.044,0.060,0.041,0.010,0.022,0.055,0.042,0.048,0.058,0.084,0.065,0.077,0.058,0.063,0.047,0.031,0.026,0.122,0.047,0.114,0.083,0.060,0.040,0.057,0.009,0.023,0.062,0.018,0.041,0.058,0.089,0.119,0.067,0.034,0.036,0.019,0.003,0.029,0.024,0.021,0.070,0.055,0.060,0.054,0.047,0.026,0.034,0.042,0.024,0.038,0.050,0.042,0.068,0.088,0.074,0.048,0.052,0.025,0.044,0.037,0.062,0.029,0.057,0.039,0.138,,mtp07_20220404_164703.bmp
100,0.096,0.053,0.045,0.029,0.044,0.048,0.055,0.036,0.023,0.016,0.031,0.086,0.054,0.037,0.032,0.030,0.030,0.042,0.050,0.032,0.049,0.000,0.029,0.026,0.073,0.045,0.054,0.036,0.059,0.053,0.059,0.051,0.050,0.039,0.014,0.023,0.055,0.033,0.048,0.049,0.080,0.068,0.073,0.051,0.060,0.045,0.028,0.024,0.126,0.044,0.118,0.088,0.047,0.038,0.061,0.006,0.022,0.064,0.016,0.044,0.056,0.075,0.120,0.061,0.034,0.026,0.016,0.005,0.038,0.028,0.017,0.058,0.057,0.052,0.053,0.045,0.027,0.039,0.050,0.041,0.038,0.054,0.043,0.066,0.089,0.072,0.053,0.038,0.028,0.040,0.041,0.065,0.027,0.041,0.042,0.123,,mtp07_20220404_170703.bmp
120,0.090,0.068,0.047,0.029,0.038,0.048,0.055,0.036,0.026,0.014,0.028,0.086,0.055,0.033,0.033,0.034,0.036,0.045,0.043,0.034,0.035,-0.002,0.030,0.026,0.059,0.043,0.053,0.034,0.054,0.052,0.054,0.058,0.043,0.033,0.014,0.020,0.056,0.046,0.045,0.049,0.078,0.069,0.074,0.049,0.063,0.037,0.028,0.026,0.122,0.049,0.112,0.089,0.045,0.044,0.054,0.006,0.023,0.046,0.010,0.031,0.060,0.076,0.118,0.058,0.024,0.018,0.014,0.012,0.041,0.023,0.015,0.054,0.056,0.060,0.054,0.049,0.023,0.033,0.042,0.034,0.036,0.052,0.043,0.074,0.087,0.074,0.041,0.036,0.026,0.036,0.040,0.054,0.021,0.047,0.039,0.115,,mtp07_20220404_172703.bmp
140,0.113,0.056,0.045,0.028,0.044,0.046,0.052,0.043,0.029,0.013,0.027,0.083,0.046,0.037,0.033,0.033,0.036,0.045,0.035,0.031,0.030,0.002,0.031,0.025,0.052,0.044,0.056,0.035,0.060,0.046,0.049,0.042,0.036,0.040,0.015,0.026,0.049,0.017,0.054,0.048,0.077,0.066,0.076,0.046,0.062,0.026,0.031,0.019,0.119,0.042,0.113,0.090,0.041,0.039,0.050,0.010,0.026,0.048,0.006,0.036,0.066,0.067,0.118,0.057,0.021,0.015,0.012,-0.011,0.032,0.024,0.018,0.058,0.053,0.055,0.047,0.042,0.024,0.033,0.040,0.023,0.034,0.039,0.043,0.076,0.082,0.077,0.042,0.029,0.023,0.034,0.033,0.055,0.026,0.042,0.033,0.109,,mtp07_20220404_174704.bmp
160,0.099,0.045,0.037,0.030,0.039,0.046,0.043,0.028,0.022,0.009,0.024,0.098,0.049,0.033,0.032,0.030,0.031,0.045,0.039,0.028,0.028,-0.003,0.035,0.028,0.059,0.042,0.053,0.032,0.058,0.050,0.051,0.053,0.046,0.027,0.009,0.018,0.057,0.016,0.038,0.055,0.078,0.057,0.071,0.053,0.064,0.029,0.015,0.022,0.122,0.044,0.104,0.068,0.039,0.026,0.052,0.004,0.020,0.042,0.009,0.041,0.053,0.076,0.118,0.055,0.022,0.018,0.011,-0.005,0.025,0.020,0.016,0.061,0.057,0.055,0.049,0.048,0.025,0.024,0.037,0.022,0.041,0.051,0.042,0.075,0.079,0.081,0.048,0.028,0.025,0.036,0.034,0.055,0.024,0.040,0.041,0.114,,mtp07_20220404_180702.bmp
180,0.112,0.060,0.049,0.028,0.040,0.046,0.052,0.029,0.025,0.008,0.029,0.084,0.052,0.033,0.031,0.031,0.023,0.045,0.032,0.031,0.025,0.006,0.036,0.027,0.054,0.045,0.058,0.020,0.056,0.047,0.047,0.040,0.041,0.031,-0.003,0.019,0.051,0.021,0.033,0.056,0.063,0.058,0.063,0.044,0.056,0.030,0.017,0.024,0.119,0.047,0.115,0.066,0.039,0.024,0.047,0.010,0.020,0.045,0.005,0.032,0.054,0.074,0.116,0.049,0.016,0.007,0.010,-0.014,0.024,0.012,0.009,0.059,0.067,0.055,0.048,0.036,0.020,0.020,0.030,0.021,0.041,0.042,0.036,0.081,0.090,0.058,0.047,0.030,0.029,0.033,0.035,0.054,0.023,0.040,0.038,0.118,,mtp07_20220404_182704.bmp
