File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220404_152700
MTP,10
Plate-ID,
Cal File Used,cal_white96square_CR1496DG
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,Ecoli_LB_GP2_Flux
a,0.0146
b,0.9471
c,0.0001
d,2.1939
e,0
f,2.004
GBlank,28.547
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.064,0.062,0.092,0.076,0.069,0.111,0.097,0.075,0.075,0.092,0.068,0.261,0.049,0.046,0.027,0.016,0.012,0.048,0.030,0.015,0.035,0.042,0.061,0.055,0.024,0.005,-0.005,0.006,0.000,-0.002,0.005,0.034,0.021,0.026,0.052,0.036,0.023,-0.014,0.007,0.005,-0.007,-0.001,0.005,0.001,0.042,0.075,0.040,0.057,0.006,0.033,-0.007,0.008,-0.005,0.002,0.007,0.009,0.028,0.056,0.044,0.082,0.036,0.000,-0.009,0.008,0.000,0.007,0.026,0.012,0.019,0.099,0.048,0.082,0.044,0.046,0.017,0.042,0.036,0.093,0.036,0.041,0.041,0.041,0.061,0.099,0.022,0.033,0.033,0.032,0.117,0.120,0.134,0.094,0.046,0.056,0.064,0.109,,mtp10_20220404_152700.bmp
20,0.051,0.080,0.099,0.063,0.103,0.137,0.090,0.096,0.081,0.106,0.086,0.253,0.050,0.061,0.031,0.023,0.017,0.043,0.042,0.029,0.034,0.063,0.070,0.056,0.022,0.011,-0.008,0.003,0.002,0.003,0.016,0.042,0.027,0.028,0.064,0.049,0.006,0.007,0.016,0.020,0.000,0.016,0.025,0.013,0.018,0.071,0.068,0.087,0.011,0.025,0.005,0.016,0.007,0.016,0.018,0.022,0.028,0.074,0.070,0.102,0.082,-0.001,-0.001,0.012,0.009,0.029,0.060,0.030,0.025,0.126,0.071,0.082,0.064,0.022,0.016,0.045,0.051,0.091,0.057,0.061,0.027,0.053,0.072,0.125,0.019,0.022,0.024,0.037,0.127,0.097,0.111,0.145,0.074,0.065,0.088,0.093,,mtp10_20220404_154703.bmp
40,0.053,0.076,0.098,0.073,0.061,0.069,0.111,0.090,0.088,0.076,0.087,0.250,0.053,0.056,0.036,0.023,0.020,0.041,0.046,0.034,0.041,0.069,0.083,0.058,0.015,0.005,-0.007,0.006,0.002,0.000,0.017,0.027,0.028,0.030,0.054,0.055,-0.007,0.017,-0.001,0.000,0.005,0.030,0.005,0.018,0.015,0.029,0.039,0.099,-0.009,-0.001,0.011,0.009,0.012,0.021,0.025,0.024,0.038,0.082,0.078,0.105,0.074,-0.001,0.003,0.020,0.013,0.021,0.032,0.031,0.031,0.122,0.068,0.064,0.052,0.016,0.016,0.036,0.034,0.071,0.034,0.034,0.025,0.033,0.053,0.097,0.016,0.030,0.021,0.036,0.115,0.091,0.100,0.130,0.066,0.047,0.079,0.095,,mtp10_20220404_160703.bmp
60,0.057,0.054,0.085,0.061,0.057,0.072,0.108,0.075,0.093,0.078,0.097,0.251,0.042,0.056,0.037,0.032,0.026,0.049,0.056,0.036,0.049,0.045,0.085,0.062,0.020,0.010,-0.003,0.009,0.007,0.006,0.015,0.019,0.031,0.033,0.054,0.063,-0.004,-0.009,0.000,0.006,0.010,0.005,0.010,0.025,0.017,0.027,0.042,0.122,-0.005,0.001,-0.012,0.030,0.023,0.042,0.007,0.011,0.017,0.052,0.093,0.078,0.064,-0.008,0.011,0.025,0.000,0.027,0.052,0.040,0.038,0.100,0.073,0.062,0.032,0.037,0.005,0.059,0.038,0.057,0.033,0.045,0.028,0.037,0.039,0.061,0.021,0.027,0.024,0.031,0.118,0.101,0.067,0.112,0.076,0.047,0.068,0.102,,mtp10_20220404_162703.bmp
80,0.062,0.062,0.094,0.051,0.061,0.081,0.098,0.078,0.107,0.085,0.084,0.266,0.045,0.056,0.042,0.024,0.030,0.054,0.058,0.027,0.034,0.052,0.067,0.067,0.022,0.010,0.002,0.014,0.010,0.011,0.022,0.022,0.028,0.044,0.061,0.049,0.004,-0.005,0.005,0.009,0.001,0.008,0.019,0.012,0.027,0.035,0.047,0.124,-0.004,0.009,-0.007,0.004,0.001,-0.001,0.011,0.011,0.024,0.052,0.098,0.078,0.059,-0.006,-0.002,0.013,0.006,0.009,0.038,0.024,0.042,0.089,0.060,0.068,0.024,0.034,0.007,0.024,0.043,0.064,0.038,0.037,0.034,0.040,0.041,0.080,0.025,0.028,0.028,0.035,0.126,0.107,0.088,0.118,0.054,0.052,0.072,0.108,,mtp10_20220404_164703.bmp
100,0.067,0.068,0.091,0.056,0.062,0.088,0.098,0.084,0.082,0.091,0.085,0.254,0.048,0.049,0.036,0.029,0.029,0.062,0.044,0.035,0.042,0.059,0.071,0.070,0.029,0.014,0.006,0.019,0.014,0.018,0.026,0.025,0.033,0.032,0.071,0.053,0.007,-0.001,0.006,0.012,0.006,0.014,0.020,0.016,0.033,0.039,0.054,0.063,-0.002,0.012,-0.007,0.008,0.003,0.003,0.012,0.017,0.027,0.054,0.069,0.082,0.051,-0.003,-0.003,0.016,0.006,0.015,0.041,0.027,0.053,0.099,0.068,0.092,0.026,0.029,0.009,0.024,0.051,0.065,0.038,0.053,0.031,0.040,0.045,0.060,0.028,0.028,0.026,0.034,0.128,0.102,0.096,0.114,0.058,0.052,0.072,0.103,,mtp10_20220404_170703.bmp
120,0.075,0.070,0.099,0.061,0.066,0.091,0.107,0.091,0.090,0.094,0.088,0.278,0.051,0.054,0.037,0.034,0.036,0.067,0.048,0.046,0.049,0.061,0.079,0.075,0.031,0.022,0.013,0.026,0.018,0.030,0.033,0.032,0.042,0.039,0.079,0.067,0.014,0.005,0.013,0.014,0.012,0.017,0.029,0.021,0.042,0.045,0.062,0.083,0.001,0.016,0.001,0.011,0.008,0.003,0.021,0.020,0.040,0.059,0.076,0.095,0.050,0.002,0.004,0.022,0.010,0.013,0.030,0.036,0.035,0.093,0.070,0.100,0.009,0.023,0.013,0.028,0.050,0.077,0.041,0.035,0.031,0.039,0.059,0.044,0.041,0.027,0.027,0.035,0.126,0.107,0.083,0.094,0.059,0.052,0.071,0.105,,mtp10_20220404_172703.bmp
140,0.086,0.081,0.116,0.067,0.072,0.107,0.101,0.098,0.098,0.097,0.094,0.299,0.058,0.057,0.048,0.043,0.046,0.069,0.050,0.055,0.057,0.074,0.081,0.086,0.037,0.027,0.020,0.034,0.028,0.042,0.040,0.035,0.050,0.050,0.092,0.080,0.019,0.011,0.018,0.020,0.023,0.022,0.035,0.026,0.058,0.053,0.070,0.097,0.006,0.017,0.007,0.019,0.012,0.008,0.024,0.026,0.042,0.065,0.086,0.106,0.049,0.008,0.009,0.028,0.012,0.020,0.031,0.042,0.039,0.103,0.074,0.095,0.016,0.029,0.017,0.035,0.052,0.072,0.040,0.043,0.027,0.036,0.075,0.046,0.037,0.031,0.029,0.033,0.126,0.102,0.077,0.085,0.060,0.050,0.072,0.106,,mtp10_20220404_174704.bmp
160,0.106,0.080,0.123,0.071,0.078,0.108,0.101,0.112,0.110,0.102,0.098,0.299,0.055,0.059,0.054,0.051,0.050,0.075,0.056,0.061,0.070,0.080,0.088,0.088,0.043,0.039,0.024,0.039,0.031,0.045,0.046,0.037,0.054,0.057,0.112,0.081,0.028,0.016,0.023,0.025,0.030,0.029,0.042,0.029,0.070,0.061,0.078,0.105,0.012,0.021,0.010,0.023,0.016,0.011,0.033,0.030,0.049,0.070,0.090,0.110,0.052,0.014,0.011,0.023,0.020,0.021,0.033,0.049,0.044,0.108,0.082,0.094,0.016,0.034,0.022,0.040,0.057,0.085,0.037,0.047,0.030,0.036,0.048,0.042,0.040,0.031,0.030,0.036,0.128,0.113,0.068,0.089,0.067,0.053,0.071,0.108,,mtp10_20220404_180702.bmp
180,0.131,0.089,0.127,0.072,0.080,0.117,0.105,0.115,0.110,0.104,0.105,0.300,0.061,0.062,0.060,0.053,0.057,0.081,0.058,0.073,0.081,0.081,0.098,0.092,0.050,0.042,0.032,0.042,0.037,0.053,0.048,0.041,0.066,0.069,0.107,0.090,0.037,0.024,0.028,0.026,0.035,0.035,0.056,0.033,0.080,0.073,0.088,0.104,0.009,0.020,0.009,0.016,0.014,0.014,0.032,0.043,0.057,0.069,0.103,0.111,0.051,0.018,0.013,0.031,0.022,0.034,0.037,0.054,0.051,0.106,0.091,0.099,0.019,0.035,0.025,0.047,0.065,0.083,0.038,0.037,0.032,0.041,0.045,0.039,0.045,0.029,0.028,0.035,0.137,0.109,0.055,0.085,0.071,0.057,0.072,0.113,,mtp10_20220404_182704.bmp
