File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210122_103346
MTP,7
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,"27,776","26,714","28,427","27,696","29,682","30,808","27,061","28,437","31,225","30,443","27,794","28,545","25,984","25,639","30,292","27,925","29,208","25,080","28,351","30,071","33,049","28,363","29,163","32,251","24,535","24,904","23,961","23,665","24,131","28,086","25,173","26,798","26,833","28,192","27,888","27,014","31,694","28,224","28,953","30,549","28,749","30,176","26,065","27,982","27,076","36,231","32,641","34,902","25,322","26,055","26,000","23,884","23,875","24,786","24,278","25,139","24,845","26,808","25,569","26,275","24,880","25,143","26,755","25,176","26,959","24,796","28,482","31,351","29,251","27,220","27,710","28,857","29,075","38,306","30,094","34,847","35,016","28,124","29,324","27,510","31,008","26,576","26,986","26,982","37,700","28,357","27,041","26,184","28,561","31,506","27,443","30,251","27,975","28,075","28,324","28,167"
"20,25","27,816","26,775","28,851","26,902","29,514","31,455","27,012","28,767","32,086","30,647","27,910","28,747","25,725","25,639","31,351","28,375","30,004","25,249","26,002","31,455","34,965","28,661","29,475","33,341","24,308","25,073","24,016","23,667","23,735","28,361","24,867","27,098","26,839","28,959","28,220","26,590","32,710","28,645","26,661","29,869","29,398","30,671","26,186","28,898","25,537","38,214","34,743","36,796","25,329","25,955","26,290","24,031","23,847","24,547","24,135","24,369","24,647","27,147","25,582","26,100","24,788","25,014","27,231","25,345","27,284","24,375","26,712","34,429","30,286","27,347","27,969","29,206","28,912","40,925","30,606","35,857","34,459","27,833","27,516","27,927","29,571","26,586","26,969","26,637","38,271","28,610","27,251","26,108","28,855","31,839","27,382","30,594","27,741","27,820","28,033","27,716"
40,"28,137","26,584","28,639","26,006","29,829","30,337","25,604","27,692","32,453","29,555","27,912","28,822","24,804","25,675","31,531","26,055","30,039","25,073","25,982","31,800","35,657","28,716","29,392","33,088","24,084","24,861","24,049","23,608","23,733","28,690","24,627","26,002","26,722","27,331","28,263","26,610","32,871","28,292","26,455","30,049","29,578","28,535","25,712","28,365","25,188","38,941","34,045","36,051","25,012","25,549","26,196","23,704","24,163","24,051","24,073","24,129","24,535","27,161","25,349","26,073","24,592","24,814","27,329","25,471","27,043","24,308","25,763","30,300","29,898","27,204","27,678","29,204","28,394","40,127","29,871","35,473","35,731","26,733","27,492","27,816","28,300","26,361","26,918","26,606","37,692","28,580","27,314","26,025","28,580","32,120","27,108","30,455","27,608","27,675","27,951","27,541"
60,"28,402","26,769","28,769","26,147","29,398","30,296","25,745","27,739","32,443","27,924","28,055","28,959","25,127","25,973","32,018","26,310","30,237","25,118","26,275","32,514","35,378","28,210","29,627","33,390","24,263","25,186","24,155","23,804","23,829","29,175","24,714","26,220","26,790","27,557","28,584","26,735","33,137","28,798","26,602","29,794","28,839","29,218","25,406","27,824","25,112","35,676","35,004","35,851","25,324","25,902","26,402","23,839","23,788","24,167","24,065","24,135","24,561","27,465","25,398","26,186","24,731","24,933","27,471","25,649","27,408","24,412","26,129","30,298","30,245","27,473","27,778","29,769","28,947","40,447","30,551","35,659","36,027","26,959","27,884","28,090","28,531","26,380","27,241","26,841","38,465","28,867","27,400","26,171","28,739","32,661","27,451","30,424","27,643","27,788","28,004","27,582"
80,"27,890","26,741","28,876","26,171","28,931","30,563","25,569","27,600","32,516","28,073","27,922","28,829","24,941","25,733","32,275","26,220","27,386","24,990","24,641","31,610","35,210","27,951","29,343","33,300","24,145","24,894","24,033","23,618","23,737","29,165","24,667","26,245","26,788","27,553","28,449","26,575","32,747","28,539","26,588","29,498","28,622","29,104","25,278","27,653","24,867","30,898","34,643","35,682","25,204","25,808","26,276","23,731","23,665","24,180","23,855","24,078","24,429","26,814","25,231","25,957","24,573","24,904","27,424","25,324","27,249","24,306","25,961","30,237","30,141","27,398","27,675","29,461","28,616","40,051","30,218","32,982","35,210","26,200","27,714","28,084","28,508","26,251","27,216","26,816","38,020","28,753","27,490","26,069","28,767","31,061","27,327","29,775","27,643","27,655","27,935","27,478"
100,"28,173","27,116","28,725","26,606","33,024","30,582","25,975","27,841","32,567","28,290","28,149","28,986","25,210","26,069","33,053","26,778","27,945","25,249","25,069","32,112","35,214","28,096","29,647","33,551","24,410","25,267","24,292","23,747","23,982","29,371","24,831","25,925","25,857","28,045","28,833","27,041","33,218","29,190","26,831","29,859","29,471","29,916","25,478","28,106","25,135","31,390","35,488","35,951","25,635","26,329","26,582","23,918","23,643","24,337","24,051","24,220","24,671","25,645","25,396","26,184","24,927","25,296","26,835","25,494","27,675","24,582","26,304","30,986","30,837","28,147","28,255","29,294","29,876","39,882","31,263","33,065","35,239","26,427","28,429","27,553","29,024","26,580","27,767","27,124","38,873","29,076","27,814","26,490","28,908","31,112","27,559","30,075","27,971","28,012","28,276","27,749"
120,"28,367","27,267","29,255","26,855","33,049","31,349","26,192","28,159","33,078","28,343","28,473","29,196","25,263","26,188","32,865","26,400","28,233","25,214","25,186","32,057","35,716","28,298","29,767","33,767","24,633","25,249","24,290","23,810","24,065","29,320","24,945","25,994","25,976","28,049","28,931","27,335","33,192","28,761","26,737","29,614","29,008","29,059","25,412","28,037","25,325","31,461","35,414","35,933","25,696","26,025","26,386","23,873","23,751","24,214","24,276","24,222","24,839","25,763","25,590","26,267","24,837","25,414","26,986","25,712","27,733","24,520","26,108","30,325","30,400","27,708","28,161","29,308","29,857","40,310","30,708","32,618","35,459","26,773","28,116","27,841","29,202","26,831","28,124","27,949","38,225","29,476","28,080","26,853","29,182","31,463","27,839","30,484","28,584","28,186","28,520","28,057"
"140,25","28,714","27,406","29,294","27,339","33,745","31,778","26,757","28,500","33,286","28,588","28,529","29,327","25,404","26,551","33,178","26,757","28,288","25,343","25,433","31,873","35,606","28,431","29,918","33,635","25,027","25,427","24,463","23,933","24,312","29,394","24,929","26,604","26,106","28,345","29,173","27,802","33,159","28,967","26,867","29,565","29,259","27,953","25,459","27,908","25,598","31,514","35,480","35,900","26,071","26,227","26,608","23,998","23,702","24,304","24,437","24,398","25,045","25,973","25,724","26,375","25,110","25,724","27,176","25,814","28,016","24,635","26,298","30,390","30,488","28,049","28,443","29,333","30,639","39,702","31,222","32,561","35,476","27,069","28,351","28,267","29,431","27,253","28,839","28,557","38,478","29,788","28,469","27,247","29,443","31,475","28,359","30,722","29,290","28,696","28,863","28,280"
160,"29,139","27,918","29,643","27,935","34,714","32,535","27,257","29,027","33,655","29,214","28,804","29,384","25,539","27,055","33,210","26,853","28,512","25,484","25,931","31,896","35,753","28,816","30,220","33,769","25,551","25,765","24,765","24,090","24,645","29,514","25,116","27,104","26,300","28,767","29,429","28,402","33,061","29,200","26,957","29,465","29,363","27,837","25,490","28,116","25,851","31,814","35,500","35,710","26,469","26,553","26,531","24,092","23,800","24,559","24,796","24,627","25,496","26,173","25,904","26,598","25,478","26,255","27,567","25,796","28,422","24,863","26,349","30,280","30,794","28,241","28,869","29,545","31,596","39,327","31,641","32,894","35,649","27,749","28,639","28,975","29,965","27,694","29,939","29,804","38,488","30,373","29,080","28,065","29,627","32,094","28,969","31,249","30,316","29,225","29,384","28,837"
"180,25","29,698","28,549","29,827","28,727","34,694","33,333","28,129","29,904","34,167","29,827","29,176","29,578","25,818","27,812","33,543","27,649","28,910","25,796","26,598","31,875","35,557","29,137","30,520","33,682","26,443","26,253","25,129","24,318","25,088","29,576","25,455","27,925","26,608","29,486","29,749","29,241","33,018","29,559","27,282","29,416","29,820","27,871","25,663","28,353","26,467","32,200","35,573","35,743","27,129","27,043","26,908","24,276","23,875","24,896","25,290","24,908","26,043","26,469","26,357","26,694","26,020","26,778","28,008","25,725","29,057","25,182","26,678","30,257","31,245","28,616","29,339","29,969","33,490","38,675","32,535","33,092","35,708","28,539","29,314","29,851","30,580","28,478","31,410","31,522","38,973","31,024","29,986","29,249","29,957","32,212","29,896","31,855","31,843","30,059","30,253","29,561"
