File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220613_133326
MTP,1
Plate-ID,
Cal File Used,cal_white96square_CR1496DG
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,66.606,81.675,34.722,32.612,30.859,29.937,31.476,36.488,34.092,30.320,38.224,36.012,33.055,29.649,32.039,32.310,31.998,32.561,33.124,36.255,36.118,36.769,33.975,30.018,28.022,32.575,29.637,32.661,31.231,30.276,30.837,31.016,42.390,34.137,33.049,30.163,27.745,29.100,31.125,30.343,29.639,29.518,30.082,31.812,30.657,30.880,31.498,29.643,30.294,30.043,30.761,30.029,30.914,30.302,29.724,31.414,30.582,31.865,32.743,30.296,28.108,33.482,30.325,32.245,29.402,29.155,30.820,30.424,30.724,32.294,33.637,31.280,29.853,30.078,31.663,32.533,31.153,31.657,32.194,31.578,34.059,31.773,34.239,30.641,32.557,31.947,34.867,32.886,31.331,31.876,34.157,31.243,33.347,32.839,33.925,31.761,,mtp01_20220613_133326.bmp
20,71.339,84.369,35.288,31.712,31.676,31.045,30.863,35.761,33.296,30.824,38.500,36.853,33.469,30.112,31.875,31.994,33.120,32.700,33.041,35.425,35.349,36.114,34.667,29.898,27.722,32.494,29.516,32.359,30.282,31.259,31.339,31.186,43.031,33.716,35.461,29.112,27.047,31.194,31.135,29.320,29.735,28.810,30.118,30.998,29.492,31.731,31.127,29.308,29.720,31.153,29.496,32.198,30.400,29.192,29.069,30.135,29.869,32.367,33.465,29.608,27.659,29.520,31.159,31.384,27.982,28.300,30.033,30.088,30.482,32.204,31.359,30.212,28.135,29.243,30.400,31.498,30.053,30.651,31.284,31.314,33.561,33.090,33.678,30.139,34.175,30.720,33.120,32.141,30.635,33.061,32.851,30.729,33.112,31.575,32.731,32.420,,mtp01_20220613_135328.bmp
40,73.596,86.108,34.414,31.480,32.210,30.727,31.298,36.722,33.890,30.592,38.963,37.663,33.851,29.845,31.853,31.559,31.476,32.925,33.355,35.727,37.012,36.253,34.541,29.792,28.245,32.471,30.602,31.541,30.265,31.625,30.051,30.922,44.045,35.229,36.075,29.290,27.082,30.125,31.198,28.810,29.996,29.594,29.592,31.008,29.753,32.069,31.498,29.606,30.459,29.408,29.786,30.882,29.747,29.269,30.267,30.927,31.531,33.661,34.675,28.892,27.667,29.778,30.484,32.494,28.771,30.396,30.178,29.310,30.627,33.382,32.459,30.627,29.233,29.549,30.237,32.375,30.365,30.959,32.724,31.927,32.924,32.129,32.031,30.825,33.580,31.255,34.243,33.767,30.939,31.955,33.535,31.233,32.543,32.557,32.871,32.488,,mtp01_20220613_141327.bmp
60,73.551,85.094,34.680,31.876,32.051,30.880,31.404,35.396,33.143,30.114,39.780,38.176,34.400,29.788,32.929,31.465,32.053,32.690,33.386,36.092,36.876,37.422,35.249,30.004,28.133,32.945,29.994,32.045,30.143,32.006,29.720,31.206,45.502,34.008,34.125,30.008,27.612,30.331,30.218,29.406,30.269,30.237,29.925,32.620,30.286,32.443,32.006,29.118,28.057,30.486,30.110,30.306,29.939,29.757,30.225,30.678,30.853,32.925,33.857,29.133,27.449,30.037,30.143,32.431,28.873,29.004,31.418,29.653,30.853,32.575,32.184,29.925,28.957,29.873,30.327,32.049,30.804,30.831,31.871,32.014,33.194,31.682,32.637,30.441,33.359,31.318,34.292,33.027,31.173,31.939,34.329,31.763,32.984,32.604,33.239,32.388,,mtp01_20220613_143329.bmp
80,74.880,86.192,34.106,32.308,32.133,31.155,31.410,33.488,34.167,30.324,40.653,39.573,35.920,30.025,31.955,31.796,32.616,33.108,34.269,36.569,37.027,36.925,36.237,30.749,28.245,34.255,30.559,33.159,30.896,32.661,30.657,32.067,45.978,34.765,33.871,30.829,27.733,31.206,30.796,30.814,30.904,30.788,30.688,33.220,31.402,32.949,32.171,29.873,28.831,30.345,31.390,31.165,30.180,30.741,30.765,31.620,31.202,33.451,34.812,29.208,28.516,30.308,30.796,31.931,29.482,29.625,31.620,30.378,31.724,34.351,33.531,30.610,29.422,30.314,30.888,33.076,31.537,31.651,32.943,32.063,34.586,31.802,32.459,31.282,33.873,31.937,35.665,33.598,31.994,32.573,34.576,32.541,33.753,32.859,34.049,32.935,,mtp01_20220613_145329.bmp
100,75.667,86.763,35.527,32.949,31.971,31.461,31.112,33.278,35.106,30.331,41.953,40.727,36.410,30.265,33.141,32.535,33.557,34.069,34.959,37.376,37.684,37.765,36.863,31.520,29.171,35.586,31.978,34.382,32.037,33.949,31.671,33.116,45.865,35.376,34.024,32.065,29.047,31.963,31.643,31.463,32.282,30.645,31.978,34.382,31.945,33.847,33.241,31.037,29.776,31.478,32.251,31.780,31.204,31.600,31.675,33.106,32.178,33.602,35.592,30.112,29.016,30.596,31.853,33.522,30.625,30.888,32.361,31.514,32.729,35.176,34.002,31.488,30.612,30.959,31.824,34.269,33.135,32.855,33.653,33.214,34.935,32.937,33.592,32.429,33.625,33.220,36.578,34.724,32.935,33.802,35.692,33.824,34.814,33.349,35.125,33.373,,mtp01_20220613_151329.bmp
120,75.829,88.271,36.686,33.186,32.100,31.502,31.259,33.806,35.520,30.531,43.053,41.857,37.100,30.506,33.584,33.308,34.955,35.463,36.275,38.514,39.073,38.845,38.184,32.471,30.482,36.904,32.510,35.802,33.943,35.743,33.047,34.371,47.378,37.135,34.929,33.306,29.537,32.784,33.180,32.741,33.106,31.422,32.798,35.416,33.229,35.012,34.680,32.206,30.555,32.812,33.496,32.969,32.792,32.671,33.108,34.298,33.410,34.506,36.753,31.110,30.051,30.876,32.614,34.773,32.367,31.753,33.339,33.257,33.416,36.171,35.439,32.694,31.894,32.110,32.973,35.394,34.063,33.735,35.206,34.039,36.437,33.912,34.580,33.949,34.675,34.355,38.008,35.816,33.986,35.078,36.759,35.153,36.359,34.843,36.218,34.147,,mtp01_20220613_153328.bmp
140,75.314,87.531,38.153,33.776,32.025,31.369,31.176,33.278,36.598,30.424,43.692,43.257,38.035,30.112,34.292,34.459,36.086,36.355,37.292,39.392,40.182,39.618,39.602,33.404,31.390,38.447,33.508,37.624,35.369,36.822,34.424,35.359,48.135,38.257,35.265,34.637,30.735,33.835,34.202,34.333,34.586,32.614,33.910,36.729,34.551,36.069,35.439,33.596,31.918,33.624,35.073,34.402,34.398,34.243,34.125,35.933,34.714,35.355,36.780,32.322,30.945,30.582,33.967,35.688,33.186,33.265,34.961,34.443,35.284,37.716,36.496,33.767,33.190,33.233,34.120,36.831,35.255,34.918,36.563,35.337,37.884,34.867,35.269,34.867,33.773,35.561,39.308,37.222,34.935,36.537,37.784,36.418,37.778,35.902,37.382,34.788,,mtp01_20220613_155328.bmp
160,75.571,88.298,39.957,34.976,32.055,31.535,31.216,33.051,38.145,30.451,44.716,44.927,39.541,30.471,35.555,36.088,37.884,37.910,38.757,40.749,41.792,41.057,40.741,34.902,32.794,39.890,35.561,39.580,36.771,38.876,36.296,37.127,49.951,40.084,36.520,36.047,32.037,35.116,35.622,35.641,36.343,33.861,35.435,38.671,35.924,37.375,36.976,35.135,33.165,35.208,36.725,35.531,35.998,36.020,35.949,37.678,36.053,37.239,38.202,33.667,32.320,30.908,35.324,37.153,35.255,34.741,36.478,36.131,36.265,39.159,37.898,35.063,34.606,34.859,35.557,38.922,37.380,36.704,38.504,37.196,39.929,36.351,36.269,36.312,34.208,36.359,41.069,38.665,36.090,38.127,39.265,37.757,39.216,37.622,38.908,35.824,,mtp01_20220613_161329.bmp
180,76.422,89.520,41.594,36.255,32.216,31.729,31.255,33.178,39.539,30.504,45.939,47.065,41.022,30.600,37.157,38.143,39.557,39.571,40.243,42.400,43.561,42.602,42.586,36.398,34.155,41.559,36.814,41.475,38.363,40.002,38.192,39.255,51.269,41.141,37.837,37.051,33.598,36.698,37.480,37.400,38.380,35.655,36.984,40.155,37.659,38.778,38.818,36.288,34.688,36.945,38.094,37.443,37.855,37.496,37.396,39.459,37.988,38.892,38.727,35.167,33.608,31.304,37.300,38.982,37.184,36.408,38.559,37.631,37.718,40.778,39.337,36.163,36.310,36.478,36.753,40.824,39.178,37.724,40.133,39.063,41.514,38.024,37.871,37.625,33.871,37.802,42.535,40.308,37.316,39.943,40.437,38.951,40.682,39.102,39.953,37.080,,mtp01_20220613_163329.bmp
