File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220613_133326
MTP,10
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,36.910,34.704,44.804,33.775,36.080,33.978,34.998,34.667,33.931,33.039,34.494,36.869,36.735,34.971,35.335,35.410,35.188,39.720,41.206,34.984,32.639,34.337,34.753,33.559,33.967,34.788,33.555,34.039,37.569,34.682,31.982,35.731,36.251,34.863,34.920,33.090,32.467,32.416,33.376,33.267,31.696,31.643,34.414,31.731,35.916,32.622,34.018,32.816,33.667,37.020,35.463,36.145,31.184,32.333,50.531,29.665,34.422,35.300,34.661,37.784,33.622,35.522,34.055,34.278,33.708,32.135,34.541,31.786,32.220,33.718,33.202,40.582,48.616,37.878,34.337,35.394,35.920,44.161,31.024,31.431,31.312,31.159,30.955,31.545,34.308,32.929,33.512,31.027,33.535,36.904,31.796,30.586,30.504,37.859,36.545,33.190,,mtp10_20220613_133326.bmp
20,36.610,35.202,46.898,32.588,33.224,31.588,36.124,32.412,33.800,34.594,35.443,36.959,36.041,34.610,37.261,33.394,34.216,37.182,41.284,36.816,31.151,34.604,32.376,33.520,33.802,36.722,34.488,34.125,34.288,34.198,33.131,34.480,36.351,35.616,33.618,32.839,33.445,32.963,33.196,32.675,33.624,31.729,32.190,32.604,33.925,31.639,33.925,32.839,35.090,37.582,34.016,34.518,30.949,31.427,57.104,32.461,36.212,35.892,34.141,39.194,36.916,34.657,33.359,34.465,33.457,32.959,33.055,32.118,32.314,33.522,32.598,34.604,50.914,40.165,32.976,35.741,35.706,42.973,32.851,31.543,33.716,31.598,30.549,32.927,36.076,33.539,34.065,32.192,33.351,38.918,30.382,31.214,30.400,38.253,37.708,34.929,,mtp10_20220613_135328.bmp
40,36.961,35.094,48.331,33.037,33.410,32.002,36.635,35.014,34.180,33.406,34.412,37.263,35.998,35.773,35.304,33.625,35.647,35.527,41.714,35.680,34.106,35.135,31.865,33.637,33.871,34.445,33.033,33.237,32.449,35.449,32.002,34.647,36.816,38.404,33.167,33.867,34.667,32.916,33.851,32.920,33.175,31.916,33.227,32.196,36.014,33.069,34.345,33.200,33.788,39.110,34.241,34.633,31.071,30.610,56.325,30.912,35.251,33.129,34.604,37.453,35.512,34.484,33.527,33.388,33.643,31.898,34.080,31.947,32.857,32.271,32.906,34.680,48.890,38.784,33.184,35.212,35.731,45.482,31.543,29.959,33.045,30.586,30.167,34.412,34.975,32.943,32.251,30.018,33.143,38.851,30.182,31.953,31.298,35.716,37.337,35.016,,mtp10_20220613_141327.bmp
60,36.484,34.094,48.657,33.273,33.575,31.455,35.357,32.655,35.386,34.020,34.553,37.214,35.804,33.284,32.896,33.037,35.531,35.512,41.161,37.892,32.629,33.496,31.775,34.482,33.290,33.531,32.139,32.769,31.673,34.169,31.939,33.659,36.806,34.302,33.486,32.914,32.773,31.867,34.302,32.900,32.008,31.825,33.037,31.212,34.484,31.892,34.116,32.582,33.894,38.284,33.888,34.712,31.018,30.280,58.727,29.537,35.018,33.947,34.978,36.314,33.945,33.445,32.925,32.882,33.345,31.386,34.031,31.873,32.806,32.139,31.504,34.010,48.767,38.510,33.051,35.165,35.745,45.129,31.445,30.055,31.625,30.141,29.276,35.453,35.173,32.398,32.280,30.041,32.361,38.275,29.861,31.747,30.749,35.071,36.539,32.808,,mtp10_20220613_143329.bmp
80,37.143,34.645,49.386,34.304,34.324,31.741,35.800,35.184,35.837,33.584,35.067,37.569,35.873,34.010,33.192,33.808,34.849,35.763,42.129,38.298,35.584,33.861,32.231,34.494,33.757,33.802,32.116,32.931,31.798,34.667,32.251,34.224,37.818,37.810,34.463,33.347,33.041,32.145,34.282,33.135,32.151,32.286,32.851,31.394,34.908,32.898,34.969,33.157,34.284,40.353,33.929,35.588,31.627,30.984,58.196,29.692,35.222,33.622,35.306,36.669,34.029,33.696,34.196,33.643,33.949,32.025,34.294,31.773,33.065,32.604,31.622,34.622,49.218,39.476,33.375,35.912,36.680,46.061,31.855,30.286,31.978,30.165,29.484,32.320,34.965,32.551,31.996,29.943,32.604,37.251,29.806,31.624,30.165,34.282,36.361,32.278,,mtp10_20220613_145329.bmp
100,37.416,35.255,49.949,34.688,35.116,31.778,36.067,35.400,36.582,34.004,35.716,38.020,35.892,34.210,33.451,34.684,35.582,36.518,43.869,40.025,36.106,34.067,32.551,34.953,33.594,34.304,32.437,33.386,31.725,34.496,33.125,34.022,38.480,38.092,34.476,34.155,33.771,32.457,35.069,34.131,32.029,32.137,33.725,31.373,35.347,33.257,35.075,33.369,34.824,38.661,34.496,35.853,32.243,31.463,59.765,29.502,35.698,33.037,34.604,36.963,34.082,34.865,33.269,34.361,33.980,32.139,34.569,32.353,33.012,32.680,32.137,34.786,50.355,40.165,33.835,35.829,37.033,46.649,31.329,30.178,31.586,29.978,29.818,31.469,35.149,32.747,32.565,29.694,32.433,38.420,29.678,31.422,30.037,33.802,36.376,32.386,,mtp10_20220613_151329.bmp
120,37.792,36.069,49.669,35.516,36.037,31.625,36.749,34.588,37.531,34.478,36.188,38.033,36.337,34.737,33.886,35.586,36.431,37.257,45.512,42.096,37.314,34.608,33.322,35.263,33.716,34.559,32.673,34.429,31.647,34.412,34.316,34.473,39.533,38.533,36.341,34.204,34.722,32.839,36.594,35.610,32.571,31.837,34.475,31.353,36.088,33.325,34.894,34.008,35.555,39.659,34.855,36.541,32.912,32.139,59.520,29.553,36.471,33.416,35.300,37.243,34.459,35.596,34.067,35.453,34.829,32.441,34.949,32.971,33.718,33.188,32.533,35.120,53.167,41.541,34.141,36.449,37.745,46.520,31.433,30.398,32.112,29.888,29.343,31.908,35.276,32.914,32.467,29.931,32.406,37.843,29.859,30.975,30.218,33.537,36.241,32.506,,mtp10_20220613_153328.bmp
140,38.359,36.845,50.273,37.024,37.251,31.494,37.600,33.937,39.096,35.282,37.125,38.694,36.463,35.555,34.645,36.963,37.622,38.237,46.625,43.351,38.763,35.204,34.112,36.139,33.925,35.192,32.863,35.457,32.065,35.643,35.576,34.957,40.318,36.006,36.322,35.008,35.845,33.386,37.592,36.871,33.286,31.998,35.424,32.159,37.133,33.873,35.498,34.698,36.429,40.133,35.643,37.280,33.671,32.875,60.678,29.635,36.698,33.135,35.863,37.575,35.047,36.620,34.673,36.314,34.780,33.106,34.804,33.341,33.878,33.533,32.812,35.547,51.688,42.676,34.663,37.049,38.649,47.522,31.359,29.884,31.247,29.869,29.290,31.675,35.088,32.545,31.998,29.602,32.096,37.902,29.643,30.690,30.031,33.325,36.037,32.225,,mtp10_20220613_155328.bmp
160,39.094,38.049,51.431,38.065,38.727,31.555,38.798,33.410,40.410,36.124,38.137,39.265,36.949,36.569,35.541,38.612,39.345,39.853,48.327,45.624,39.608,36.265,35.308,37.078,34.518,35.643,33.508,37.041,32.394,36.824,37.084,35.843,41.700,37.190,37.369,35.918,37.388,34.186,39.543,38.753,34.192,32.878,36.171,32.645,38.808,34.449,36.055,35.676,37.800,40.418,36.833,38.388,34.916,34.065,62.171,29.849,37.965,33.394,36.933,38.086,35.851,38.284,35.684,37.629,35.467,34.075,36.125,34.614,34.555,34.035,33.459,36.159,53.576,44.376,35.471,38.220,39.543,48.520,31.349,29.976,31.382,29.900,29.212,31.227,35.178,32.588,31.763,29.686,32.082,39.241,29.606,30.380,29.961,33.159,36.116,32.063,,mtp10_20220613_161329.bmp
180,40.375,39.704,51.739,39.208,40.351,31.775,40.351,33.357,42.212,37.369,39.520,40.290,37.804,37.947,37.055,40.412,41.106,41.696,49.914,47.780,41.208,37.637,36.688,38.590,35.359,36.888,34.461,39.043,33.039,37.786,38.880,36.910,42.829,38.665,38.961,37.294,39.247,35.451,41.188,41.135,35.737,33.457,37.765,33.871,40.033,35.461,37.116,36.988,39.514,41.094,38.606,40.198,36.494,35.906,63.808,30.365,38.765,34.412,38.406,39.229,37.214,40.120,37.222,39.288,36.710,35.308,36.796,35.761,35.635,35.190,34.663,37.004,55.367,46.218,36.822,39.720,40.784,49.606,31.071,30.427,31.576,30.076,29.202,31.378,35.343,32.627,31.943,29.827,32.188,37.245,29.710,30.271,30.155,33.367,36.290,32.202,,mtp10_20220613_163329.bmp
