File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220322_104651
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,36.006,34.545,33.355,31.388,31.429,30.780,30.573,30.353,29.845,28.318,29.978,28.712,35.345,34.620,36.504,37.906,31.498,35.229,38.114,33.324,32.549,32.388,32.759,29.110,36.763,39.265,38.861,36.171,35.173,34.967,30.184,30.386,33.167,30.129,28.573,28.843,33.106,35.469,34.210,32.351,32.278,32.731,30.451,29.616,31.075,28.351,27.269,28.667,32.165,38.400,40.294,33.653,35.233,31.869,29.898,30.849,30.367,30.288,30.380,29.757,33.302,32.673,35.971,32.694,34.627,30.410,30.871,31.382,31.545,30.237,28.614,29.571,32.612,35.843,33.459,32.122,30.669,31.029,29.518,30.120,31.522,28.922,29.057,28.410,32.208,32.520,31.657,31.345,31.904,32.949,33.049,31.567,33.124,29.298,32.180,28.792,,mtp01_20220322_104651.bmp
20,34.175,32.416,34.008,30.529,30.984,30.929,30.345,29.469,29.292,27.963,29.627,27.694,34.114,33.347,37.329,39.790,32.359,34.269,38.102,33.692,31.055,31.071,32.708,29.449,37.194,38.600,39.055,34.386,33.575,34.082,30.522,29.453,32.014,29.778,27.775,28.363,32.655,36.529,33.135,31.712,33.361,30.573,29.247,29.771,30.218,27.351,26.259,28.006,31.369,36.129,38.288,33.692,33.998,31.224,29.906,29.661,30.149,29.363,30.247,28.820,32.541,32.855,34.310,32.137,31.825,30.467,29.706,31.469,31.325,29.233,28.014,28.606,31.998,32.025,31.684,32.175,30.688,30.394,29.610,29.624,31.008,28.516,28.147,27.898,31.171,31.741,31.176,31.112,31.565,31.829,32.545,31.502,32.451,28.825,30.851,27.878,,mtp01_20220322_110653.bmp
40,33.875,31.886,31.441,30.016,30.453,30.657,30.278,29.571,29.308,28.278,29.453,27.633,34.694,34.020,38.067,41.733,31.296,35.122,34.457,34.210,30.482,31.220,32.353,29.825,34.727,36.161,40.304,31.500,31.769,31.696,29.031,29.118,31.508,28.969,27.492,28.324,34.339,33.080,31.196,31.294,33.471,28.171,29.265,29.882,29.694,27.388,26.112,28.186,32.273,36.318,35.312,32.284,32.900,28.522,29.820,27.224,29.659,28.745,30.010,28.765,32.945,32.927,33.596,31.178,30.555,30.490,29.308,32.082,31.233,28.776,27.647,28.325,31.535,31.708,31.396,30.927,30.376,29.686,28.675,29.520,30.529,28.275,27.986,27.525,30.767,31.935,31.235,30.557,31.298,31.353,30.696,30.359,31.310,28.490,30.265,28.171,,mtp01_20220322_112654.bmp
60,34.114,32.145,31.290,29.504,29.582,30.363,30.725,29.804,29.088,27.949,29.537,27.639,34.486,33.982,39.104,41.880,31.616,36.188,34.800,33.680,30.871,30.876,30.312,29.951,35.424,35.706,37.098,31.414,32.810,31.388,29.222,29.480,32.127,29.210,27.884,28.720,32.551,33.267,31.425,31.431,33.563,28.188,29.198,30.476,29.625,27.500,26.231,28.157,32.584,35.410,34.153,32.504,32.994,28.308,29.804,27.318,29.767,28.569,30.388,27.463,33.045,33.271,33.898,31.139,31.000,30.851,29.422,30.135,31.447,29.047,27.965,28.425,31.671,31.098,31.333,31.339,30.492,29.720,28.849,29.580,30.259,28.459,27.924,27.755,30.696,31.718,31.184,30.920,30.584,31.227,31.118,30.659,31.635,28.720,29.569,28.224,,mtp01_20220322_114654.bmp
80,33.775,32.427,31.133,29.337,29.563,29.845,30.118,29.592,29.224,28.016,29.478,27.696,33.557,33.163,38.067,41.792,31.684,34.522,30.976,31.831,30.516,30.361,29.733,29.763,35.616,34.875,36.435,31.427,32.212,30.482,28.112,29.369,31.769,28.916,27.624,28.445,33.163,33.006,31.253,31.549,33.959,28.504,29.159,29.810,29.429,27.382,26.116,28.282,31.239,35.112,33.629,31.947,30.273,28.325,29.776,27.261,29.780,28.312,29.757,27.457,33.004,33.369,33.582,30.933,30.667,30.073,29.600,30.120,31.365,28.892,27.825,28.506,31.653,30.961,31.386,31.045,30.388,29.537,28.808,29.731,30.610,28.525,28.067,27.863,31.057,31.904,31.312,30.753,30.690,31.602,31.210,30.233,31.729,28.455,29.006,28.271,,mtp01_20220322_120654.bmp
100,33.300,32.816,31.392,29.522,30.298,29.594,30.371,29.227,29.039,28.071,29.461,27.749,33.357,33.375,38.222,41.763,31.106,34.427,31.231,31.845,30.573,30.590,30.059,29.612,35.537,36.133,35.984,31.437,32.398,29.975,27.967,29.816,32.006,28.510,27.218,28.614,32.402,32.561,30.912,31.622,33.767,27.971,29.171,30.482,28.931,27.351,26.057,28.171,31.098,35.282,33.876,32.282,29.971,28.267,29.831,27.265,29.792,28.176,29.900,27.435,31.000,33.367,33.408,31.080,29.888,30.057,29.541,30.724,31.576,28.712,27.794,28.514,31.578,30.763,31.302,30.784,30.231,29.339,28.496,29.412,30.292,28.147,27.876,27.449,30.645,31.708,31.055,29.539,29.629,31.206,30.727,30.371,29.396,28.351,28.684,27.994,,mtp01_20220322_122654.bmp
120,33.429,32.622,31.624,29.625,30.361,29.910,30.278,29.586,29.265,28.071,29.522,27.922,33.775,33.673,39.039,42.116,31.578,34.539,30.963,30.784,30.245,30.780,30.210,29.990,35.406,36.529,36.131,31.829,32.618,30.398,28.127,29.557,32.298,28.651,27.484,28.849,32.569,32.880,31.175,31.875,34.088,27.896,29.516,30.004,29.304,27.475,26.204,28.512,31.247,35.786,34.061,31.522,30.018,28.339,29.794,27.386,29.875,28.408,30.290,27.490,31.257,33.786,33.875,31.382,29.224,30.292,29.635,30.867,31.900,29.100,27.951,28.792,31.620,30.914,31.224,31.108,30.471,29.606,28.675,29.704,30.475,28.390,28.125,27.702,31.206,31.769,31.078,29.767,29.684,31.455,30.935,30.586,29.769,28.465,28.884,28.129,,mtp01_20220322_124655.bmp
140,33.202,32.178,31.118,29.563,30.033,29.671,30.216,29.475,29.151,28.190,29.563,27.886,33.625,32.816,38.986,42.247,31.047,34.218,30.980,30.716,30.145,30.465,29.853,29.763,35.071,35.835,35.516,31.508,32.045,30.131,28.116,29.310,30.225,28.557,27.310,28.686,32.325,32.971,31.171,31.782,33.847,27.984,29.559,29.388,29.120,27.525,26.176,27.704,31.375,34.661,34.031,31.355,29.857,28.376,29.000,27.480,29.804,28.296,29.984,27.608,31.241,33.624,33.367,31.173,29.304,30.155,27.706,30.459,31.488,27.435,27.782,28.616,31.639,30.759,31.310,31.045,30.476,29.541,28.710,29.696,30.565,28.241,28.135,27.935,30.945,32.190,31.227,29.741,29.867,31.331,30.286,30.404,29.749,28.531,28.998,28.259,,mtp01_20220322_130654.bmp
160,33.282,32.429,31.131,29.551,30.165,29.653,30.169,29.451,29.233,28.153,29.510,27.843,33.676,32.925,38.282,40.725,31.265,34.427,30.939,30.765,30.222,30.469,30.004,29.724,35.080,35.782,35.135,31.794,32.076,30.139,27.947,29.451,30.245,28.498,27.386,28.751,32.637,32.878,31.145,31.794,33.941,27.990,29.486,29.335,29.127,27.761,26.204,27.555,31.308,34.802,34.220,31.159,29.925,28.508,29.041,27.449,29.878,28.518,29.892,27.559,31.112,33.822,33.290,31.173,29.196,30.143,27.704,30.537,31.602,27.427,27.782,28.767,31.833,31.020,31.512,31.165,30.667,29.749,28.692,29.780,30.631,28.325,28.224,27.988,31.014,31.922,31.273,29.918,29.778,31.451,30.398,30.429,29.767,28.490,29.031,28.302,,mtp01_20220322_132654.bmp
180,33.190,30.690,30.837,29.727,30.029,29.716,30.263,29.463,29.167,28.216,29.543,27.757,33.331,32.778,38.347,40.102,30.924,34.151,30.671,30.641,30.257,30.525,30.018,29.808,34.853,35.278,34.822,31.773,32.088,30.296,27.953,29.498,30.184,28.525,27.502,28.818,32.461,32.555,31.031,31.669,33.829,27.906,29.269,29.257,29.251,27.602,26.084,27.639,31.165,34.769,33.776,30.990,29.796,28.447,29.167,27.453,29.757,28.473,30.098,27.424,31.343,33.633,33.341,30.918,29.075,29.939,27.551,30.382,31.482,27.335,28.035,28.710,31.700,30.714,31.525,31.041,30.402,29.665,28.639,29.673,30.306,28.418,28.084,27.743,31.047,31.639,30.869,29.688,29.637,31.390,30.176,30.467,29.531,28.453,28.927,28.106,,mtp01_20220322_134653.bmp
