File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220322_104651
MTP,9
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,38.218,34.016,32.988,33.682,32.969,32.537,33.878,33.935,31.927,32.137,32.982,32.965,34.951,33.965,33.151,33.059,33.178,31.735,32.588,33.833,31.625,31.245,33.718,35.102,36.098,36.694,37.239,34.406,32.425,34.865,35.669,35.961,33.061,32.198,31.818,32.643,34.525,35.627,37.239,39.367,36.057,34.527,33.529,32.518,32.647,32.490,30.967,34.184,34.469,35.975,33.339,33.775,35.463,32.814,33.892,31.394,33.571,31.071,31.255,34.147,34.931,43.592,33.749,38.518,35.659,35.163,34.359,32.288,33.500,31.929,32.731,34.922,38.824,34.459,39.845,35.516,35.412,32.182,33.922,34.820,34.076,31.531,35.469,33.600,35.769,36.800,32.639,31.641,31.920,32.096,31.108,32.869,33.341,32.373,33.643,33.790,,mtp09_20220322_104651.bmp
20,36.429,33.380,31.927,32.627,31.596,31.296,32.269,31.765,31.247,30.282,31.708,31.720,32.739,32.465,32.835,31.447,31.388,30.704,30.400,32.041,30.161,29.694,32.141,33.284,33.641,34.967,34.961,32.122,30.451,32.027,33.104,34.439,31.945,30.096,30.676,31.555,32.686,32.882,35.225,35.486,33.163,33.208,33.033,30.214,30.776,30.910,30.282,34.302,33.816,35.494,32.671,32.773,33.810,31.675,31.729,30.322,32.035,30.592,31.224,33.302,32.520,41.508,32.753,32.547,32.276,32.816,32.478,30.876,31.804,31.175,31.025,34.418,37.557,33.178,39.173,33.620,33.182,30.929,32.510,33.290,32.447,30.518,32.792,32.280,35.818,36.055,31.920,31.349,30.869,31.255,30.139,31.735,32.257,32.092,31.845,33.616,,mtp09_20220322_110653.bmp
40,36.331,33.388,32.035,32.676,31.661,31.122,32.539,31.825,31.163,30.439,31.857,31.514,32.959,32.320,32.876,30.745,31.312,30.647,30.522,32.039,30.027,29.725,32.182,33.027,33.286,34.857,34.712,31.920,30.580,31.924,33.171,34.475,32.069,30.169,30.504,31.253,32.110,32.676,34.157,35.794,33.443,33.055,32.927,29.986,30.851,30.859,30.186,33.929,33.453,36.127,32.325,32.663,33.435,31.651,31.741,30.151,32.427,30.447,30.043,33.020,32.616,41.180,32.720,31.990,32.163,32.578,32.292,30.914,31.612,30.984,30.975,34.137,37.386,33.108,38.935,33.182,33.286,30.733,32.253,32.859,32.155,30.447,32.575,31.941,35.463,35.535,31.582,31.235,30.659,31.071,30.106,31.704,32.173,32.122,31.718,33.184,,mtp09_20220322_112654.bmp
60,37.088,33.990,32.500,32.843,32.137,31.441,32.561,31.927,31.353,30.520,31.931,31.678,32.694,32.473,33.114,30.978,31.300,30.839,30.851,32.055,30.149,29.808,32.371,33.557,33.696,35.173,35.108,32.206,30.804,32.010,33.457,35.092,32.073,30.173,30.635,31.343,32.171,32.880,34.492,36.410,33.188,33.443,33.078,30.120,30.406,30.871,30.302,34.720,33.627,35.916,32.424,32.986,33.408,31.802,31.761,30.520,33.033,30.533,30.149,33.445,32.580,41.300,32.892,32.149,32.763,32.637,32.398,31.125,31.871,31.222,31.151,34.600,37.198,33.471,39.175,33.224,33.461,30.837,32.647,33.161,32.249,30.561,32.916,31.896,35.490,35.478,31.890,31.412,30.751,31.745,30.353,31.794,32.639,32.700,31.924,33.318,,mtp09_20220322_114654.bmp
80,36.659,34.014,32.763,33.063,32.114,31.584,32.627,31.841,31.439,30.659,31.906,31.945,32.957,32.310,33.212,31.110,31.439,31.055,31.018,32.188,30.071,29.912,32.476,33.690,33.590,35.080,35.278,32.006,30.551,32.100,33.629,34.696,32.141,30.175,30.635,31.390,32.214,32.831,34.273,36.004,33.314,33.437,33.259,30.184,30.625,31.035,30.412,34.888,33.635,36.463,32.382,33.022,33.404,31.845,31.788,29.747,32.302,30.831,30.112,33.427,32.702,41.418,32.927,32.114,32.196,31.949,32.159,31.343,32.076,31.214,31.298,34.486,37.149,33.308,39.110,33.220,33.629,30.808,32.618,32.957,32.355,30.708,33.149,31.998,34.667,35.318,31.786,31.388,30.863,31.757,30.302,31.841,32.625,32.867,31.857,33.222,,mtp09_20220322_120654.bmp
100,36.775,33.951,32.402,33.029,32.104,31.455,32.475,31.702,31.224,30.533,32.076,31.882,32.749,32.378,33.357,30.408,31.312,30.916,30.841,32.031,30.143,29.878,32.567,34.233,33.725,35.312,35.139,31.986,30.476,32.049,33.108,34.867,32.210,30.033,30.731,31.637,32.302,31.741,34.257,35.790,33.324,33.508,33.027,29.910,30.590,30.765,30.271,35.224,33.718,36.680,32.220,32.933,33.486,31.635,31.900,29.655,32.473,30.678,30.224,33.582,32.735,42.869,32.816,31.990,31.894,32.161,32.161,31.210,31.976,31.120,31.296,35.102,37.341,33.267,39.682,32.998,33.714,30.765,32.706,33.082,32.253,30.667,33.239,32.349,34.965,35.729,31.863,31.537,30.824,31.467,30.167,31.941,32.522,32.959,32.071,33.502,,mtp09_20220322_122654.bmp
120,36.935,34.229,33.029,33.371,32.543,31.992,33.047,32.227,31.678,31.029,32.510,32.339,33.294,32.618,33.861,30.731,31.686,31.202,31.382,32.390,30.525,30.253,32.975,34.967,33.959,35.502,35.482,32.196,30.818,32.357,33.555,35.249,32.375,30.453,30.937,32.014,32.516,31.967,34.575,35.508,33.655,33.275,32.986,30.367,31.080,31.208,30.622,35.627,34.031,37.233,32.606,33.290,33.884,31.712,32.204,29.959,33.090,31.071,30.553,34.122,33.108,44.008,33.247,32.349,32.476,32.353,32.486,31.492,32.451,31.541,31.604,34.967,37.090,33.522,40.547,33.304,33.151,30.904,32.855,33.306,32.435,31.108,33.580,32.643,34.843,35.688,31.937,31.639,30.959,31.822,30.392,32.135,32.814,33.424,32.302,33.859,,mtp09_20220322_124655.bmp
140,37.369,34.604,33.478,33.645,32.510,32.106,33.353,32.363,31.812,31.055,32.586,32.637,33.216,32.773,33.129,30.837,31.967,31.304,31.718,32.488,30.643,30.476,33.243,35.522,34.251,35.661,35.953,32.200,31.000,32.380,33.551,35.773,32.586,30.710,30.998,32.310,32.631,32.031,34.680,35.745,33.690,33.473,32.584,30.449,31.182,31.229,30.604,36.149,34.188,37.641,32.686,33.676,33.918,32.106,32.300,30.155,30.559,31.288,30.757,34.437,33.618,45.255,33.184,32.625,32.557,32.514,32.520,31.763,32.665,31.627,31.847,35.502,37.176,33.669,40.476,33.382,33.059,31.018,33.020,33.424,32.765,31.275,33.876,33.045,34.849,35.939,32.037,31.665,31.092,32.037,30.627,32.537,33.020,33.104,32.520,34.159,,mtp09_20220322_130654.bmp
160,38.169,34.894,33.755,33.924,32.647,32.161,33.569,32.571,31.845,31.371,32.931,33.084,33.404,33.029,33.518,31.108,32.129,31.461,32.124,32.682,30.861,30.618,33.529,36.390,34.455,36.141,36.259,32.476,31.092,32.616,33.833,35.929,32.920,30.875,31.300,32.810,33.094,32.288,34.861,36.086,34.102,33.129,32.957,30.788,31.467,31.271,31.014,36.882,34.533,37.937,32.557,33.847,34.173,32.253,32.610,30.363,30.865,31.598,31.186,35.169,34.222,48.367,33.404,32.947,32.782,32.692,32.657,32.176,32.706,31.751,32.135,35.722,37.631,33.682,41.427,33.416,33.302,31.371,33.143,33.790,32.949,31.661,34.233,33.612,35.037,36.649,32.322,31.898,31.284,32.222,30.788,32.898,33.684,32.098,33.104,34.841,,mtp09_20220322_132654.bmp
180,37.945,34.584,33.824,33.771,32.867,32.194,33.582,32.418,31.994,31.376,32.998,33.125,33.251,32.806,33.455,30.957,31.963,31.445,32.171,32.698,30.625,30.765,33.465,36.480,34.425,35.969,35.953,32.237,31.051,32.437,33.610,35.847,32.724,30.767,31.114,32.700,32.900,32.000,34.931,35.088,33.947,33.110,33.176,30.716,31.402,31.218,30.694,37.029,34.476,37.551,32.382,33.845,33.996,32.137,32.712,30.392,30.788,31.459,30.925,35.482,34.231,48.131,33.220,32.537,32.608,32.439,32.398,32.037,32.824,31.531,32.061,35.649,37.175,33.420,41.286,33.161,33.151,30.986,33.073,33.484,32.735,31.476,34.265,33.525,34.710,36.235,32.080,31.751,31.247,32.155,30.700,32.904,33.635,32.098,32.916,34.773,,mtp09_20220322_134653.bmp
