File_Type,GValue
File_Version,3
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220330_150837
MTP,1
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,38.453,34.808,32.271,30.851,30.751,32.225,31.818,31.739,31.314,31.310,32.345,30.502,34.922,34.255,35.418,32.873,32.386,32.920,32.676,33.096,32.420,30.873,30.633,31.375,34.945,34.416,32.267,31.478,36.145,31.343,30.208,29.214,31.210,30.435,30.851,32.437,34.992,33.429,34.375,32.220,30.616,31.865,30.918,29.355,30.996,31.925,28.222,31.206,36.237,33.771,33.161,32.075,38.722,30.567,29.118,28.890,29.908,29.575,28.396,30.980,34.620,32.820,33.078,31.906,31.312,29.843,29.363,28.871,30.065,29.202,29.114,35.500,34.543,33.649,32.629,34.718,36.310,33.225,30.039,30.849,32.527,29.884,31.957,39.129,35.524,35.394,34.667,33.129,33.786,33.298,32.592,33.312,31.888,32.106,33.612,31.367,,mtp01_20220330_150837.bmp
20,38.178,34.504,32.090,31.051,30.573,32.582,31.488,31.371,31.018,30.869,32.200,30.286,34.165,33.114,33.414,33.275,31.851,32.445,32.075,32.122,31.378,30.359,30.149,30.653,34.576,34.643,31.471,31.173,36.622,30.622,29.551,28.929,30.606,30.076,30.198,30.567,34.431,33.141,34.269,32.049,30.227,31.086,30.351,28.737,31.067,31.829,27.582,30.576,34.014,33.661,33.086,32.018,37.933,30.035,29.033,28.912,29.775,29.778,28.194,30.639,34.808,31.533,32.682,31.641,30.267,30.196,29.139,28.667,29.865,29.229,29.006,35.529,34.447,33.325,32.114,34.445,36.022,31.618,29.692,30.241,32.071,29.384,31.645,37.745,34.743,35.186,34.086,32.682,34.024,33.116,32.837,33.078,31.237,32.088,32.910,31.176,,mtp01_20220330_152841.bmp
40,38.208,34.524,32.276,31.320,30.824,32.365,31.910,31.604,31.125,30.590,32.247,30.382,34.380,33.349,33.729,33.749,31.894,32.690,32.418,31.920,31.259,30.445,30.386,30.751,34.306,34.127,31.629,31.378,36.298,31.008,29.686,29.116,31.002,30.196,30.684,30.898,33.784,33.220,34.394,32.051,30.461,31.480,30.398,28.904,31.267,32.035,27.727,30.775,33.900,32.494,33.200,32.151,38.292,30.190,28.914,29.063,29.873,29.757,28.200,30.667,34.996,31.802,33.108,31.914,30.433,30.229,29.255,28.745,30.086,29.310,29.124,35.878,34.659,33.155,32.198,34.069,36.320,31.927,29.759,30.475,32.216,29.747,31.567,38.622,34.814,34.980,34.224,32.714,33.994,33.233,32.551,33.290,31.124,32.031,33.025,31.316,,mtp01_20220330_154842.bmp
60,38.065,34.414,32.225,31.314,31.076,32.318,31.680,31.414,31.012,30.478,32.141,30.273,34.429,33.229,33.841,33.678,31.798,32.610,32.355,31.975,31.141,30.353,30.214,30.545,33.959,33.700,31.518,31.171,35.518,31.049,29.488,28.947,30.998,30.125,30.663,30.675,33.608,32.904,34.480,31.818,30.369,31.151,30.396,28.912,31.416,31.612,27.755,30.569,33.896,32.165,33.325,32.088,37.804,30.047,28.676,29.027,29.845,29.657,28.290,30.547,34.345,31.684,32.751,31.745,30.327,30.273,29.306,28.627,30.155,29.241,29.212,35.725,34.543,32.827,32.029,33.704,36.371,31.875,29.714,30.296,31.998,29.602,31.716,38.594,34.776,34.835,34.039,32.612,33.818,33.071,32.512,33.341,30.978,32.022,32.933,31.178,,mtp01_20220330_160842.bmp
80,38.508,34.763,32.651,31.620,31.751,32.827,32.753,31.908,31.561,31.292,32.504,30.827,34.996,33.982,34.418,34.143,32.249,33.302,32.990,32.220,31.776,30.931,30.786,30.904,34.925,34.398,32.192,31.727,35.837,31.661,30.059,29.290,31.573,30.825,31.447,31.533,34.365,33.400,35.243,32.506,30.837,31.614,30.961,29.369,32.043,32.055,28.175,31.402,34.733,32.700,33.765,32.512,38.576,30.449,29.271,29.618,30.035,30.243,28.694,31.173,34.751,32.098,33.410,32.194,30.927,30.855,29.802,29.045,30.635,30.063,29.900,36.422,35.157,33.441,32.771,34.469,37.298,32.410,30.212,30.896,32.649,30.512,32.406,39.951,35.006,35.435,34.643,33.149,34.302,33.663,32.900,33.996,31.620,32.559,33.520,31.424,,mtp01_20220330_162842.bmp
100,39.273,35.725,33.325,32.163,32.412,33.708,33.388,32.139,31.818,32.159,33.202,31.573,36.035,34.912,35.190,34.541,32.782,33.902,33.573,32.875,32.347,31.188,31.204,31.580,35.922,35.182,32.816,32.396,36.590,32.337,30.445,29.618,31.978,31.243,31.690,32.467,35.263,33.939,35.878,33.118,31.190,32.110,31.325,29.904,32.773,32.690,28.737,32.269,35.457,33.129,34.263,32.816,39.096,31.286,29.455,30.206,30.708,30.829,29.235,31.518,35.184,32.563,33.776,32.398,31.355,31.108,30.065,29.394,30.996,30.337,30.212,37.335,35.602,34.335,33.567,34.857,37.929,32.939,30.396,31.655,33.420,31.108,33.243,41.473,35.039,36.347,34.900,33.733,34.686,34.278,33.173,34.537,31.784,32.843,34.261,31.275,,mtp01_20220330_164841.bmp
120,40.225,36.510,34.180,32.827,33.555,34.908,34.500,32.804,32.184,33.404,33.863,32.359,37.188,36.116,36.018,34.967,33.596,34.353,34.602,33.694,32.684,31.645,31.757,31.986,36.814,35.525,33.573,33.116,36.824,33.000,30.888,29.931,32.565,31.649,32.182,33.967,36.288,34.404,36.639,34.071,31.551,32.849,31.657,30.525,33.776,33.214,29.194,33.053,36.631,33.608,34.749,33.286,39.447,32.180,29.775,30.943,31.010,31.525,29.600,32.455,35.841,33.488,34.255,32.818,31.598,31.263,30.490,29.612,31.382,30.686,30.800,38.259,36.257,35.445,34.439,35.735,38.969,33.698,30.692,32.461,34.557,31.439,34.631,42.896,34.975,37.294,35.490,34.010,34.875,34.769,33.261,35.076,32.059,33.325,34.992,31.271,,mtp01_20220330_170842.bmp
140,41.437,37.596,35.025,33.445,35.037,36.453,35.771,33.063,32.469,35.369,34.722,33.369,38.584,37.518,37.055,35.492,34.873,35.029,35.767,34.222,33.371,32.200,32.327,32.461,38.171,36.359,34.631,34.361,37.171,33.775,31.318,30.465,33.314,32.186,33.153,35.678,37.722,35.043,37.465,35.022,31.859,33.371,32.229,31.261,35.227,33.778,29.663,34.406,38.292,34.437,35.355,33.804,40.104,33.576,30.035,31.990,31.433,32.361,30.339,33.367,36.912,35.176,34.771,33.016,32.110,31.839,30.914,30.120,31.949,31.443,31.192,39.608,37.210,36.937,36.037,36.769,39.996,34.582,31.002,33.522,36.004,32.047,36.653,45.004,34.941,38.661,36.194,34.739,35.227,35.400,33.376,35.647,32.475,33.965,35.731,31.129,,mtp01_20220330_172841.bmp
160,43.433,39.092,35.898,34.214,37.241,38.743,37.320,33.773,32.629,37.937,35.704,34.329,40.125,39.508,38.018,35.851,36.208,35.545,37.318,34.867,33.961,32.631,33.033,33.337,39.627,37.088,35.696,35.437,37.398,34.294,31.780,30.673,33.578,32.975,33.592,37.904,39.324,35.312,38.673,35.941,31.761,33.871,32.610,32.067,37.439,34.212,30.045,36.525,40.184,35.284,35.798,34.249,40.451,35.216,30.624,33.271,31.882,33.549,31.118,34.767,38.067,36.978,34.939,33.257,32.284,32.029,31.161,30.496,32.633,31.731,31.661,41.480,38.575,38.835,37.686,37.943,41.273,35.214,31.325,34.649,37.822,32.641,39.571,47.578,34.655,40.420,36.939,35.241,35.196,35.796,33.335,36.120,32.829,34.478,37.100,30.988,,mtp01_20220330_174842.bmp
180,46.690,41.378,37.157,35.698,41.027,42.349,39.733,35.114,33.190,42.273,37.549,36.163,42.408,42.839,39.792,36.522,38.724,36.653,39.867,36.153,35.165,33.239,34.073,34.557,41.422,38.529,37.063,37.900,38.349,35.135,32.520,31.239,34.302,34.300,34.382,41.804,41.863,36.243,40.063,37.296,32.163,34.735,33.347,33.435,40.969,35.331,30.724,39.994,43.575,37.135,36.904,35.300,41.441,38.078,31.298,35.753,32.408,35.625,32.586,37.294,40.718,40.651,35.871,34.061,32.904,32.800,31.771,31.400,33.778,32.410,32.688,44.469,40.541,42.447,41.139,40.039,43.039,36.329,32.092,36.573,40.986,33.604,43.886,51.759,34.941,43.549,38.210,36.171,35.845,36.973,33.725,36.863,33.808,35.678,39.280,31.206,,mtp01_20220330_180841.bmp
