File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220330_150837
MTP,10
Plate-ID,
Cal File Used,cal_white96square_CR1496DG
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,31.776,34.216,35.378,34.047,36.592,32.627,36.969,35.629,33.463,31.886,32.465,31.518,32.390,41.390,36.480,38.106,34.504,34.318,34.898,33.016,36.590,34.165,33.857,34.847,36.790,37.310,37.045,37.367,38.386,35.800,32.712,38.157,35.602,34.894,33.365,34.096,31.035,44.584,44.702,43.298,44.533,40.871,35.106,37.020,35.916,32.380,36.588,35.782,33.857,39.704,42.920,35.041,40.418,39.694,38.159,37.735,38.204,40.229,36.194,38.841,32.755,37.286,35.720,32.335,34.637,38.959,37.659,33.896,36.149,39.522,33.359,38.488,31.149,31.422,36.959,34.933,40.694,33.145,38.967,37.439,30.631,36.673,36.237,31.100,29.218,31.739,31.547,36.712,36.061,32.788,33.643,32.329,32.304,34.335,33.251,33.998,,mtp10_20220330_150837.bmp
20,30.002,34.224,36.108,31.551,35.629,32.522,31.959,33.929,31.765,32.565,31.529,29.722,32.341,42.575,37.312,39.482,32.433,35.327,38.094,32.057,39.316,32.147,33.720,31.484,36.596,40.163,36.192,38.229,39.831,36.316,34.116,36.929,35.751,34.992,33.869,33.004,30.392,44.284,44.398,44.573,45.341,40.947,34.445,41.971,35.494,30.637,33.110,37.294,34.845,38.441,37.378,33.496,39.876,37.447,39.075,40.545,38.041,39.292,36.012,39.710,33.543,39.157,37.249,30.182,30.743,40.608,39.788,36.767,38.525,37.863,33.186,39.908,28.965,30.780,31.110,37.731,41.792,33.992,43.169,38.178,31.412,39.429,39.663,30.533,29.727,31.255,31.918,35.063,35.776,33.467,32.049,32.925,32.814,34.347,33.225,34.276,,mtp10_20220330_152841.bmp
40,30.516,31.251,34.788,30.994,35.959,31.561,31.859,33.573,30.984,30.680,31.380,30.180,31.437,34.696,34.949,36.914,32.127,33.312,39.065,32.359,33.825,32.373,33.473,31.929,37.151,36.645,32.788,37.124,31.639,31.718,35.267,38.106,34.933,33.784,34.745,31.588,30.122,42.084,44.292,37.729,39.427,36.933,35.578,43.496,36.690,31.016,32.543,32.631,33.263,33.588,35.194,34.647,38.061,40.682,31.329,40.202,37.551,37.537,35.557,38.016,30.318,38.363,33.163,29.741,30.367,37.757,34.567,33.102,35.890,33.786,34.271,37.406,29.025,30.461,30.325,34.963,37.084,33.241,41.931,31.775,31.645,41.335,40.392,28.492,30.280,31.090,32.312,35.188,36.237,33.941,32.204,33.102,33.006,34.955,33.835,34.765,,mtp10_20220330_154842.bmp
60,30.333,31.104,32.416,31.657,33.002,32.429,32.316,33.406,31.457,30.880,31.257,30.004,31.484,35.775,33.839,37.422,31.076,33.437,37.553,32.427,34.688,32.198,32.335,30.255,34.131,35.557,31.714,35.337,31.643,31.286,35.676,37.949,33.529,32.402,33.257,29.769,29.318,37.476,36.082,31.969,34.004,36.414,35.373,40.853,36.251,30.929,32.584,30.455,29.947,33.741,34.865,33.884,31.612,32.971,31.686,40.886,32.669,35.488,35.584,35.267,28.690,30.990,33.569,29.204,29.686,37.665,32.927,33.431,32.331,33.975,32.400,30.333,29.059,30.425,30.029,31.512,33.059,33.200,39.845,31.551,31.773,33.616,36.759,27.957,30.473,31.084,32.112,34.857,36.031,33.622,32.016,32.802,32.853,34.900,33.484,34.578,,mtp10_20220330_160842.bmp
80,30.624,31.712,33.520,32.316,33.627,32.816,33.039,31.957,32.220,30.961,31.182,30.361,31.847,33.759,32.076,35.788,31.845,33.973,38.825,32.576,35.563,30.820,31.871,30.533,33.573,36.304,33.053,35.143,29.763,31.980,34.216,36.398,33.447,32.504,33.643,29.265,29.392,37.675,36.802,33.606,34.841,37.724,30.884,42.818,32.025,31.229,33.043,29.482,31.057,35.329,35.816,33.178,31.022,30.890,31.831,39.118,33.176,34.298,36.390,33.498,29.276,30.778,33.384,29.808,29.625,32.275,32.639,34.398,32.188,33.325,32.498,29.490,29.765,30.869,30.582,31.378,32.773,33.741,33.182,32.786,30.557,33.163,37.610,28.096,31.227,31.086,32.355,34.998,36.202,34.106,32.151,33.378,32.880,35.069,33.569,34.263,,mtp10_20220330_162842.bmp
100,29.788,31.663,32.022,33.114,33.780,33.024,33.561,32.300,33.692,31.233,31.882,30.820,32.204,34.327,32.412,36.235,32.392,34.686,38.927,33.210,37.163,31.476,32.094,31.288,34.247,37.680,33.645,34.941,29.935,33.182,34.539,38.857,32.653,33.076,35.010,29.696,30.063,38.849,37.327,34.876,35.512,35.447,31.478,43.912,32.127,31.469,33.533,30.392,29.263,36.276,32.402,33.992,31.818,30.488,32.127,40.818,33.998,34.902,34.137,34.731,29.876,30.361,32.184,30.475,30.004,33.010,33.192,34.971,31.886,33.669,33.153,29.525,30.767,31.237,30.951,31.661,33.300,33.263,29.214,32.300,30.286,33.169,39.700,28.857,32.045,31.529,32.392,34.847,36.347,34.247,32.261,33.294,32.957,35.059,33.753,34.690,,mtp10_20220330_164841.bmp
120,30.402,32.735,32.978,34.808,34.925,33.706,34.555,31.410,35.729,31.576,32.259,30.873,33.355,35.086,33.102,36.069,33.141,35.720,40.686,34.118,39.576,31.463,33.139,32.057,33.924,37.653,34.227,35.057,30.041,34.494,35.373,36.312,33.557,35.655,37.118,30.498,30.937,39.329,38.618,34.710,36.371,36.045,32.275,43.529,33.114,31.773,33.765,31.533,29.300,35.096,32.831,34.620,32.398,31.100,32.894,34.449,34.778,34.316,34.720,33.275,30.482,31.175,32.727,31.118,29.592,31.075,33.292,36.110,32.318,34.151,34.747,30.212,31.445,31.471,31.157,32.214,33.557,33.794,29.473,33.882,30.182,33.424,39.559,28.594,31.982,31.278,32.220,34.612,35.784,33.745,31.978,32.890,32.827,34.939,33.641,34.235,,mtp10_20220330_170842.bmp
140,31.114,34.402,34.947,37.222,36.431,35.325,35.618,31.269,39.076,32.500,33.831,31.782,34.500,36.996,35.237,37.461,34.573,36.549,43.355,34.945,43.725,32.690,35.122,33.782,34.653,39.027,35.255,36.384,30.518,37.075,39.020,36.906,34.227,39.471,40.549,31.510,31.565,40.361,39.414,37.235,34.804,37.369,32.949,44.902,33.282,32.680,34.027,34.357,29.353,36.357,34.004,35.047,33.069,31.614,33.604,35.049,36.218,35.633,36.337,34.794,31.435,32.680,33.863,32.035,30.696,31.625,34.245,37.804,33.239,35.625,36.288,30.390,33.027,32.261,31.512,32.706,34.725,35.480,29.139,32.404,30.175,33.608,41.188,27.998,32.839,31.192,32.088,34.422,35.671,33.625,32.116,32.849,32.667,34.637,33.398,33.982,,mtp10_20220330_172841.bmp
160,31.696,36.449,35.659,39.778,37.720,36.812,36.794,31.824,43.298,33.163,33.980,32.165,35.547,38.378,36.808,39.410,35.763,39.082,46.551,35.059,47.829,33.386,37.275,35.269,35.418,39.700,35.916,36.465,30.559,39.776,39.110,37.461,35.908,45.384,44.608,33.182,32.904,40.578,41.629,40.827,34.953,38.304,33.780,45.182,33.339,33.510,31.482,36.904,29.518,37.769,35.075,35.761,34.341,32.306,34.484,35.153,36.486,35.086,37.590,35.414,31.663,34.822,34.420,33.176,31.363,31.861,34.988,38.753,34.363,36.210,38.637,31.394,34.902,32.714,31.878,33.245,35.788,36.663,29.641,34.375,30.249,33.088,39.941,28.510,33.314,30.947,32.002,34.284,35.325,33.649,32.092,32.982,32.731,34.586,33.476,34.341,,mtp10_20220330_174842.bmp
180,33.282,40.243,39.171,44.482,41.245,41.182,39.416,32.886,48.339,34.796,35.425,33.522,38.663,42.669,39.571,42.057,39.124,43.386,51.673,36.014,54.106,35.371,41.192,38.022,35.898,40.504,37.624,37.975,31.569,45.388,44.320,38.976,39.149,52.969,52.710,35.431,35.396,41.896,43.169,46.818,36.396,40.439,34.757,45.990,34.139,35.280,31.865,42.586,29.849,40.329,37.098,34.633,35.990,33.441,36.118,34.837,38.141,36.625,40.435,37.445,32.957,38.775,36.335,35.210,33.196,32.835,36.967,41.257,35.690,37.763,43.159,32.690,37.847,34.059,32.367,34.449,37.637,40.061,30.114,33.847,30.618,33.622,40.514,27.975,34.275,30.927,31.976,34.124,35.322,33.533,31.743,32.659,32.596,34.329,33.196,34.306,,mtp10_20220330_180841.bmp
200,34.886,45.024,42.720,49.273,44.998,46.265,41.978,33.875,54.547,37.125,36.690,35.492,42.210,46.729,44.031,46.120,43.578,48.782,55.735,36.425,58.629,37.441,47.051,41.045,36.876,41.400,38.659,38.845,32.459,51.125,47.343,40.684,43.592,59.024,57.665,38.600,38.551,43.284,46.420,53.347,37.412,43.612,35.212,45.784,34.557,37.539,31.763,47.347,29.596,44.396,39.186,35.347,37.227,34.598,37.753,35.369,38.439,38.475,44.157,40.235,34.184,43.831,38.127,37.878,34.953,33.720,38.704,43.790,37.204,39.104,48.965,34.327,41.518,35.296,32.673,34.802,39.527,43.925,30.175,33.941,30.606,33.492,40.084,28.151,34.975,30.833,31.953,34.278,35.176,33.429,31.912,32.657,32.537,34.651,33.318,34.041,,mtp10_20220330_182841.bmp
220,37.694,51.088,47.014,52.339,51.173,52.290,45.822,35.500,58.639,40.002,38.080,38.600,47.353,53.341,48.880,51.135,49.745,53.175,59.263,36.804,64.943,40.455,54.110,44.059,38.524,42.020,41.733,41.469,33.765,56.588,53.629,41.741,50.143,64.392,64.827,43.249,43.559,45.814,50.084,58.057,39.059,48.620,35.945,45.788,35.284,41.025,31.890,52.400,29.655,50.104,42.396,36.225,39.155,36.192,40.565,35.365,39.245,41.261,48.898,43.437,36.025,49.741,41.363,42.037,37.686,35.098,41.522,47.318,38.851,40.614,53.647,36.459,45.839,37.733,33.165,35.729,43.051,48.833,29.525,34.820,30.533,34.039,41.084,28.271,36.290,30.961,32.100,34.382,35.147,33.480,32.186,33.116,32.682,34.475,33.339,33.943,,mtp10_20220330_184843.bmp
240,40.349,54.267,52.375,56.078,54.243,55.647,49.125,37.224,61.616,43.029,39.010,41.161,51.908,57.382,53.912,55.410,54.522,58.296,63.173,37.098,71.908,45.063,58.198,47.155,39.929,43.375,43.294,43.947,35.737,62.531,59.039,43.896,55.392,67.425,72.541,48.608,47.841,47.761,54.031,60.884,41.116,52.875,36.259,46.567,35.451,45.576,31.637,56.625,29.533,54.292,46.004,37.249,40.404,37.884,43.637,35.643,39.455,44.657,53.761,46.663,38.237,54.359,44.714,46.629,41.414,36.055,43.373,50.378,40.869,41.973,58.096,39.088,48.853,40.484,33.386,36.639,47.333,52.731,29.735,34.876,30.373,33.724,41.257,28.212,37.496,30.812,31.837,34.208,35.137,33.522,31.933,33.076,32.555,34.353,33.300,34.069,,mtp10_20220330_190842.bmp
260,43.916,58.945,55.204,62.298,58.241,61.822,52.151,39.976,64.924,46.918,40.186,45.284,55.982,64.202,59.425,60.061,59.998,64.963,67.782,37.553,78.241,51.263,63.798,49.880,42.547,44.559,46.100,47.220,39.018,69.445,64.159,45.329,61.496,68.335,78.586,53.296,52.959,50.376,56.784,62.978,44.006,55.973,37.159,48.100,36.425,51.057,31.973,60.712,29.367,58.075,49.892,38.533,42.571,40.471,48.063,35.724,40.478,49.788,57.649,50.239,41.202,57.406,47.745,51.012,46.751,38.145,47.373,53.043,44.510,44.271,62.796,41.827,50.253,44.404,33.863,37.851,51.257,56.908,29.533,35.094,30.729,33.949,41.273,28.371,39.182,31.022,32.118,34.392,35.429,33.673,32.535,32.914,32.708,34.604,33.673,34.210,,mtp10_20220330_192841.bmp
280,46.914,65.910,57.716,69.525,64.684,69.637,55.227,42.500,67.582,51.482,40.620,49.651,60.976,71.378,64.973,63.606,65.382,71.092,72.335,38.210,82.061,55.145,70.892,52.173,46.163,46.357,49.141,51.304,43.720,75.845,69.606,46.784,67.739,68.718,82.665,56.159,56.725,53.882,57.863,64.837,48.216,57.498,38.478,50.727,37.743,56.398,31.945,63.888,29.363,59.912,53.514,40.027,44.508,43.886,52.645,35.380,41.927,54.606,59.904,52.522,44.406,58.829,50.939,54.427,51.025,40.220,50.625,54.559,47.914,46.857,67.510,44.990,50.886,49.165,34.880,39.120,55.410,60.173,29.704,35.067,30.335,34.318,41.759,28.276,41.353,31.194,32.165,34.553,35.392,33.396,32.300,32.725,32.931,34.696,33.341,34.124,,mtp10_20220330_194842.bmp
300,48.737,72.435,60.639,76.394,70.182,74.659,58.031,46.037,70.053,53.894,41.206,52.404,66.294,76.392,70.427,66.422,70.053,74.973,75.304,39.029,87.027,58.692,76.375,54.237,48.994,48.182,51.265,54.245,48.796,78.345,73.980,48.545,73.869,69.078,87.943,58.080,60.208,55.320,58.331,66.698,51.776,58.310,40.092,53.678,38.890,60.861,31.804,66.429,29.367,60.851,54.582,42.384,46.869,47.390,56.029,35.871,43.069,59.249,61.227,54.176,47.084,59.759,52.975,56.347,55.606,43.476,52.710,54.765,52.057,49.502,71.402,48.024,51.035,53.231,35.786,40.878,58.186,62.361,29.894,35.235,30.480,33.990,41.349,28.414,43.241,31.149,32.127,34.763,35.506,33.373,32.425,32.798,32.882,34.524,33.361,34.145,,mtp10_20220330_200842.bmp
