File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220627_103947
MTP,10
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,25.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,41.622,37.184,37.259,37.808,38.192,41.065,36.949,37.657,41.739,36.571,37.480,43.367,38.449,36.406,40.884,38.114,39.822,42.847,41.608,38.300,40.255,34.857,36.451,35.916,36.778,36.278,36.988,38.427,39.269,39.257,38.902,36.898,35.576,34.300,35.724,36.776,37.563,35.990,36.047,37.775,36.029,36.765,35.239,36.190,34.345,39.963,35.008,37.282,39.051,36.149,37.273,37.002,36.386,36.886,42.329,34.220,35.296,33.625,34.676,36.116,38.537,38.620,36.625,38.486,39.525,43.049,43.173,33.716,37.537,34.453,35.890,37.816,37.169,36.596,37.863,39.176,37.131,37.833,38.296,35.794,33.876,32.220,32.837,34.229,36.482,37.518,35.167,34.890,35.859,35.506,34.914,34.220,38.857,31.833,34.486,34.871,,mtp10_20220627_103947.bmp
20.75,41.549,37.724,36.900,38.457,37.275,36.735,36.486,38.149,42.986,37.663,39.120,40.480,38.506,38.163,40.402,37.527,39.661,42.165,40.863,38.212,39.376,35.233,37.253,35.692,36.784,35.918,37.065,37.727,40.178,39.010,39.539,36.708,35.727,34.806,35.541,36.547,37.475,35.569,36.018,37.661,35.071,38.031,35.190,35.596,34.898,34.924,34.163,35.322,38.871,35.765,37.231,37.167,35.747,38.267,40.347,33.402,35.657,33.306,34.625,35.924,37.890,38.514,36.492,37.839,39.308,42.939,44.829,33.133,34.278,34.204,35.420,36.771,36.945,36.137,37.625,39.024,37.553,38.225,38.347,36.073,35.814,32.241,32.639,34.135,36.163,37.212,35.584,33.916,36.351,34.104,36.237,33.673,36.833,32.120,35.624,35.769,,mtp10_20220627_110025.bmp
40.75,41.827,38.392,36.988,38.371,36.724,36.449,36.914,37.620,43.982,39.202,39.504,40.412,38.778,38.029,39.412,37.571,39.857,42.702,41.888,39.788,39.380,35.671,37.890,35.861,36.818,35.990,36.335,37.865,41.718,39.204,39.622,36.537,36.880,35.031,36.565,36.478,37.980,35.527,35.953,38.018,34.969,36.700,34.976,35.478,35.400,34.431,35.004,35.310,38.567,35.716,37.816,37.312,35.692,36.427,40.265,33.861,36.375,33.890,34.727,35.633,37.853,38.239,36.214,37.147,39.176,42.106,43.292,34.075,35.678,33.720,35.710,35.876,37.053,36.249,37.475,39.131,37.745,36.833,40.294,36.135,34.122,31.984,32.733,34.555,36.465,37.467,35.229,34.204,35.898,33.998,34.876,33.753,35.447,31.865,34.008,35.425,,mtp10_20220627_112025.bmp
60.75,42.439,40.471,37.976,39.271,37.655,36.559,37.369,38.127,44.796,40.035,40.271,40.504,39.212,39.194,39.978,38.394,41.271,42.684,43.510,41.747,40.512,36.590,39.133,36.622,37.394,36.682,37.418,38.533,42.739,39.390,39.637,37.084,36.984,35.976,36.524,37.435,38.961,35.786,37.176,38.522,35.096,36.422,35.745,35.816,35.257,34.722,34.916,35.831,39.108,35.994,38.561,37.563,36.184,37.265,41.033,34.057,35.849,33.704,35.057,36.469,38.200,38.757,37.029,36.820,39.796,42.576,43.818,34.384,35.910,34.100,35.824,36.073,38.139,36.994,37.969,39.947,37.565,37.963,38.800,36.608,34.206,32.431,32.933,33.847,36.925,37.469,35.494,34.463,37.312,34.471,35.449,34.247,35.969,32.149,34.233,35.647,,mtp10_20220627_114025.bmp
80.75,43.567,43.041,37.539,40.259,38.504,36.571,36.665,38.004,46.327,40.990,41.361,41.637,39.916,40.359,39.743,39.547,42.722,43.682,44.906,44.086,42.139,37.759,40.308,37.600,38.349,37.359,37.706,39.792,43.702,39.839,40.751,38.127,39.457,36.794,37.308,38.214,40.408,36.108,38.571,39.951,35.916,36.933,36.084,36.522,36.827,35.337,36.008,36.598,40.006,36.422,39.751,38.273,36.851,39.553,41.586,33.839,36.453,34.175,35.812,36.576,38.924,39.827,37.355,38.933,40.988,43.249,44.131,34.702,36.086,34.637,36.184,36.127,39.000,38.186,38.563,40.733,38.237,38.155,38.806,37.018,34.541,32.559,33.188,34.067,36.390,37.747,35.755,34.210,36.108,34.657,35.204,34.488,35.596,32.375,34.596,36.227,,mtp10_20220627_120025.bmp
100.75,44.531,45.014,37.941,41.376,40.337,36.282,37.214,38.143,48.251,42.327,42.224,43.016,41.029,42.271,40.465,41.296,44.569,45.175,47.667,47.616,44.371,38.975,41.690,39.243,39.278,38.751,37.949,41.322,44.753,41.035,42.298,38.884,40.376,37.506,38.296,38.680,42.473,37.178,40.345,41.957,36.982,36.616,37.504,36.845,38.343,36.429,36.853,37.831,41.096,36.980,41.290,39.353,38.155,39.845,42.894,34.451,37.296,35.063,36.565,37.382,40.143,41.225,38.335,40.182,40.490,43.665,44.514,35.473,36.592,35.067,36.912,37.241,40.676,39.782,39.355,41.743,38.798,39.935,39.371,36.853,34.427,32.600,32.853,34.343,36.839,38.125,35.976,34.263,36.371,34.873,35.235,34.667,35.735,32.502,34.722,35.939,,mtp10_20220627_122025.bmp
120.75,46.198,46.882,38.731,43.031,42.765,36.267,36.743,38.176,50.798,43.631,43.980,44.104,42.171,44.231,41.559,43.529,46.957,47.275,50.937,50.504,47.059,40.584,43.680,41.088,40.894,40.408,38.557,43.420,45.888,42.441,44.551,40.086,42.473,38.594,40.051,40.143,45.196,38.316,42.865,44.890,38.445,37.086,38.980,37.812,39.890,37.422,38.469,39.578,42.802,37.878,43.031,41.384,39.533,40.920,44.818,34.561,38.492,35.484,38.020,38.555,41.935,43.702,39.678,42.010,41.733,45.096,45.375,36.776,37.357,35.547,38.012,38.261,42.882,41.967,40.771,43.386,40.069,41.143,38.635,36.824,34.480,32.388,32.900,34.176,36.453,38.735,35.890,34.076,36.096,35.020,34.994,34.308,35.755,32.178,34.659,35.757,,mtp10_20220627_124026.bmp
140.75,47.975,48.829,39.016,44.986,44.992,35.925,37.120,38.176,52.616,45.812,45.947,45.588,43.302,47.324,43.125,45.822,49.345,49.759,53.733,53.159,49.624,42.622,45.522,43.000,43.175,42.598,39.482,45.761,47.235,44.512,46.941,41.543,44.531,39.988,41.824,42.106,48.057,40.553,46.024,47.810,40.024,37.786,40.937,39.600,42.676,38.927,40.288,41.994,44.996,39.173,45.837,43.639,41.724,42.780,46.667,35.429,39.712,36.535,39.931,40.296,43.904,46.678,41.867,45.433,43.329,47.073,46.725,38.720,38.624,37.302,39.104,39.655,45.190,44.559,42.431,45.675,41.498,43.096,39.041,36.918,34.067,32.263,32.861,33.982,36.480,39.984,35.898,34.141,36.143,35.004,35.139,34.365,35.308,32.129,34.637,35.875,,mtp10_20220627_130026.bmp
160.75,50.402,52.651,40.149,47.510,47.827,36.257,36.476,38.241,55.284,47.698,49.398,47.992,44.343,51.606,45.216,48.747,52.216,52.820,57.375,56.702,53.092,45.337,48.033,44.920,45.998,45.431,41.037,48.067,48.488,47.082,50.210,43.827,46.555,42.020,44.084,44.494,51.647,42.649,49.349,52.186,42.306,38.808,43.773,41.175,46.339,41.276,42.818,44.582,47.910,41.039,48.853,46.802,44.157,44.945,49.486,36.775,41.596,37.618,42.163,42.065,46.780,50.312,44.376,48.943,45.514,48.671,48.433,41.027,40.227,38.910,40.686,41.945,48.102,47.598,44.786,48.590,43.414,45.245,39.151,37.020,34.294,32.392,32.747,34.698,36.502,42.176,35.902,34.502,36.212,35.212,35.306,34.375,35.337,32.661,34.933,36.235,,mtp10_20220627_132027.bmp
180.75,53.276,53.957,40.824,49.682,50.224,36.000,36.376,38.075,57.237,49.473,50.888,49.382,44.912,55.504,46.755,51.227,54.871,54.567,59.906,59.108,55.494,47.073,49.424,47.516,48.049,47.851,42.614,50.227,49.837,49.388,53.069,45.247,48.835,43.175,46.167,46.729,54.737,44.300,52.406,55.578,44.522,39.175,46.200,42.982,49.431,43.251,45.302,46.704,50.090,42.457,51.161,48.825,46.643,46.675,51.780,38.310,43.137,39.094,44.292,44.667,49.331,53.771,47.151,51.329,47.390,50.633,50.222,43.492,41.271,40.371,42.616,44.031,50.518,50.398,46.920,50.796,45.712,47.239,38.802,36.696,33.890,32.345,32.529,34.037,36.437,46.153,35.973,34.037,36.275,35.339,35.210,34.733,35.341,32.355,34.927,35.939,,mtp10_20220627_134026.bmp
