File_Type,GValue
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220323_160408
MTP,4
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,25.748,26.248,25.946,25.389,26.404,26.070,26.207,25.847,24.850,26.013,26.268,25.777,25.191,26.290,24.602,24.930,24.204,24.376,24.739,24.876,24.404,25.061,25.204,24.188,23.866,24.844,24.576,23.901,23.347,23.844,24.277,23.879,23.793,25.255,24.869,23.080,22.557,22.901,23.707,23.939,23.675,23.280,23.414,24.465,23.917,24.414,24.669,23.252,23.545,23.570,24.822,24.191,23.618,23.675,23.424,23.010,23.220,24.653,24.933,24.143,22.780,23.720,23.283,23.761,23.624,23.615,23.736,23.439,24.166,24.895,25.067,22.796,23.783,24.245,24.070,23.879,24.672,24.182,24.140,24.981,24.809,25.255,26.029,23.841,24.627,25.427,25.143,24.822,25.532,25.825,26.242,25.987,25.646,26.497,27.347,26.306,,mtp04_20220323_160408.bmp
20,25.436,25.449,24.968,24.780,25.229,25.395,25.204,25.354,24.745,25.309,25.503,25.032,23.500,24.968,24.041,24.057,23.360,23.707,24.197,24.016,23.860,24.475,24.739,23.287,22.557,23.777,23.261,22.863,22.748,22.994,23.197,22.838,23.357,24.666,24.038,22.538,21.965,22.293,22.869,22.914,22.420,22.904,23.452,23.271,22.965,23.774,24.143,22.640,22.083,22.564,23.838,23.363,22.783,23.229,23.226,22.748,22.576,24.115,24.994,23.255,22.073,22.729,22.793,22.748,22.497,22.831,23.108,22.697,23.334,24.252,24.041,22.589,23.159,24.280,23.519,23.519,23.882,23.599,23.290,24.535,23.621,25.025,25.032,23.239,24.513,25.519,25.099,24.312,24.860,25.366,25.290,25.548,25.363,25.838,26.624,24.971,,mtp04_20220323_162410.bmp
40,24.653,25.325,24.752,24.822,25.446,25.166,25.197,25.325,24.475,25.583,25.764,25.226,23.685,24.471,24.264,24.080,23.182,23.825,24.172,24.197,23.732,24.755,24.554,23.420,22.908,23.201,23.487,22.936,22.812,23.016,23.354,23.000,23.522,24.796,24.242,22.682,22.127,22.471,23.067,23.118,22.592,22.777,22.866,23.592,23.035,23.841,24.178,22.369,22.127,22.822,23.780,23.532,22.962,23.127,23.010,22.892,22.831,24.280,25.258,22.510,22.331,22.952,22.889,22.755,22.650,22.901,23.354,22.889,23.382,24.427,24.360,22.471,22.873,24.041,23.831,23.583,24.140,23.627,23.503,24.666,23.927,25.366,25.191,23.344,23.790,24.494,25.408,23.955,24.490,24.347,25.618,25.879,24.646,25.599,27.105,25.318,,mtp04_20220323_164411.bmp
60,25.328,26.331,25.131,25.175,25.650,25.780,25.975,25.924,24.879,26.137,26.261,25.634,24.516,25.443,24.701,24.930,23.771,24.583,24.876,24.774,24.392,25.446,25.083,24.258,22.506,23.748,23.694,23.446,23.303,23.408,23.446,23.780,24.045,25.303,24.777,23.309,22.755,23.061,23.720,23.857,23.201,23.414,23.280,24.089,23.729,24.420,24.768,22.818,22.783,23.459,24.290,24.064,23.611,23.777,23.793,23.347,23.287,24.312,26.086,22.978,22.860,23.624,23.605,23.309,22.952,23.605,23.818,23.376,23.984,24.908,24.857,23.013,23.608,23.567,24.389,24.000,24.831,24.354,24.204,24.841,24.675,26.239,25.280,23.997,24.417,25.150,25.010,24.449,24.812,24.955,26.306,26.223,25.207,25.885,28.436,25.971,,mtp04_20220323_170410.bmp
80,24.914,26.424,25.392,25.369,25.134,26.315,26.108,26.363,25.188,26.134,25.755,25.468,22.672,25.252,23.774,24.309,24.102,24.656,24.417,23.911,24.102,24.755,25.115,23.350,22.494,23.990,23.051,23.325,23.083,23.672,23.573,23.869,24.271,25.583,24.006,22.806,22.503,22.949,23.226,23.850,23.175,23.707,23.045,24.207,23.634,24.140,24.108,22.987,22.777,22.869,23.806,23.643,23.592,23.513,23.653,23.605,22.946,23.666,24.717,22.414,22.427,22.618,23.264,22.389,22.780,23.726,23.640,23.328,23.780,24.449,23.908,22.414,23.035,22.860,24.414,23.468,25.019,24.070,23.646,23.697,24.354,25.682,24.850,23.783,23.968,24.927,24.280,23.812,23.634,24.408,25.309,24.860,24.299,25.666,27.242,25.417,,mtp04_20220323_172411.bmp
100,22.761,25.096,24.411,24.306,23.328,25.099,24.513,25.022,23.895,24.885,24.637,24.433,21.318,23.172,23.115,22.057,22.277,22.602,22.825,22.201,22.704,23.207,23.838,21.707,21.061,22.895,21.882,22.213,21.987,22.325,22.162,22.067,22.892,24.137,23.054,21.529,21.236,21.599,21.933,22.089,21.866,22.150,22.054,22.255,22.328,22.643,22.946,21.978,21.293,21.264,22.615,21.939,22.201,21.965,21.987,22.248,22.185,22.551,23.678,21.239,21.503,21.468,22.000,21.401,21.592,21.911,22.169,21.732,22.908,23.108,22.818,21.602,21.111,21.933,22.096,22.417,23.325,22.685,22.315,22.191,22.847,24.067,23.717,22.557,23.178,23.500,23.306,22.908,22.697,23.223,23.331,23.054,23.306,24.392,26.481,23.255,,mtp04_20220323_174410.bmp
120,22.417,24.522,23.968,23.653,22.949,24.038,23.809,24.379,23.443,24.424,24.446,24.045,20.857,22.796,23.201,21.895,21.911,22.201,22.739,22.096,22.510,23.239,23.436,21.576,20.815,22.299,21.904,21.885,21.777,22.000,21.825,21.704,22.551,23.322,22.876,21.083,21.073,21.363,21.828,21.920,21.618,21.943,21.717,21.522,22.239,22.697,22.806,21.538,20.857,21.169,22.194,21.755,22.041,21.920,21.720,21.869,22.105,22.640,23.634,21.124,21.462,21.382,21.924,21.513,21.678,21.844,22.197,21.615,22.764,22.981,22.952,21.417,21.045,22.137,22.102,22.201,22.860,22.420,22.341,22.226,22.662,23.825,23.529,22.083,22.803,23.271,22.771,22.745,22.602,23.137,23.382,22.818,23.197,24.207,24.879,23.051,,mtp04_20220323_180411.bmp
140,21.933,24.131,23.500,23.404,22.822,23.631,23.732,23.914,23.207,24.121,24.159,23.806,20.650,22.662,22.997,21.838,21.732,22.092,22.583,21.885,22.503,23.242,23.245,21.522,20.650,22.115,21.917,21.857,21.685,21.901,21.704,21.484,22.382,23.220,22.729,20.885,21.010,21.455,21.854,21.834,21.519,21.857,21.793,21.576,22.013,22.583,22.615,21.242,20.799,21.172,22.283,21.589,22.156,21.860,21.599,21.860,21.952,22.443,23.586,20.927,21.111,21.328,21.914,21.347,21.707,21.755,22.242,21.510,22.376,22.850,22.793,21.312,21.016,21.793,21.978,22.080,22.729,22.487,22.338,22.067,22.516,23.618,23.465,21.869,22.621,23.268,22.618,22.548,22.455,22.946,23.561,22.729,23.111,23.904,24.596,22.898,,mtp04_20220323_182410.bmp
160,22.064,23.682,23.363,23.188,22.971,23.736,23.602,23.914,23.191,24.156,24.236,23.774,20.564,22.481,23.025,21.876,21.803,22.124,22.561,21.933,22.357,23.589,23.334,21.494,20.650,22.121,21.889,21.697,21.599,21.764,21.729,21.446,22.404,23.318,22.774,20.997,20.924,21.322,21.777,22.016,21.561,21.882,21.873,21.586,22.051,22.538,22.748,21.159,20.576,21.048,22.003,21.682,21.984,21.834,21.812,21.783,22.064,22.433,23.640,20.946,21.029,21.226,21.745,21.561,21.516,22.083,22.111,21.510,22.369,22.882,22.866,21.264,20.927,21.790,21.895,22.213,22.309,22.261,22.325,21.975,22.471,23.755,23.634,21.828,22.389,23.041,22.551,22.545,22.580,22.908,23.226,22.682,22.975,23.955,24.640,22.783,,mtp04_20220323_184412.bmp
180,21.962,23.723,23.459,23.245,22.793,23.583,23.694,23.873,23.159,24.124,24.350,23.723,20.710,22.459,23.032,21.975,21.672,22.022,22.576,22.019,22.290,23.022,23.226,21.529,20.694,22.153,21.898,21.761,21.691,21.882,21.838,21.468,22.248,23.127,22.761,20.863,20.889,21.392,21.764,21.904,21.602,21.850,21.764,21.573,21.952,22.525,22.589,21.131,20.717,21.054,21.646,21.640,22.115,21.936,21.987,21.815,22.306,22.522,23.768,21.019,21.217,21.443,21.745,21.417,21.627,21.885,22.156,21.529,22.468,22.943,22.729,21.207,20.962,21.838,21.949,22.360,22.376,22.389,22.341,22.089,22.506,23.691,23.525,21.812,22.236,23.076,22.478,22.468,22.392,22.904,23.197,22.688,22.841,23.879,24.599,22.799,,mtp04_20220323_190411.bmp
