File_Type,GStdDev
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220323_160408
MTP,5
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,0.943,1.116,1.338,1.003,1.214,0.879,1.171,0.882,0.991,0.955,0.986,1.156,1.278,2.348,0.780,0.953,1.008,1.193,0.945,0.759,0.947,0.825,0.882,0.989,1.455,0.717,0.729,0.717,0.958,1.279,2.965,0.759,0.841,0.836,0.850,0.879,0.624,0.884,0.913,0.796,0.927,1.074,0.848,0.766,0.726,0.758,1.647,0.720,0.699,0.755,0.762,0.649,0.904,1.051,0.806,0.757,0.801,0.723,0.722,0.694,0.649,0.987,0.746,1.049,0.748,0.834,0.806,0.711,0.778,0.771,0.802,0.681,0.734,1.008,0.719,0.779,0.852,0.901,0.764,0.999,0.650,0.839,0.919,0.766,1.074,0.917,0.748,0.860,1.360,0.811,0.836,0.920,0.718,0.762,1.528,1.030,,mtp05_20220323_160408.bmp
20,0.977,0.994,1.410,0.943,1.071,0.874,0.877,0.815,0.901,0.935,0.941,1.017,1.145,2.631,0.720,0.963,0.877,1.141,0.962,0.736,0.798,0.736,0.839,0.677,1.258,0.778,0.917,0.790,0.950,1.222,2.895,0.721,0.686,0.787,0.722,0.817,0.565,0.789,0.905,0.797,1.122,1.013,0.763,0.719,0.655,0.699,1.446,0.768,0.660,0.769,0.737,0.741,1.002,1.040,0.792,0.767,0.732,0.720,0.821,0.732,0.738,0.949,0.810,1.007,0.757,0.834,0.876,0.803,0.677,0.767,0.735,0.529,0.798,0.869,0.742,0.840,0.740,0.757,0.719,0.940,0.775,0.756,0.933,0.666,1.553,0.699,0.814,0.772,1.310,0.749,0.938,0.915,0.804,0.686,1.028,0.881,,mtp05_20220323_162410.bmp
40,0.863,1.031,1.284,0.968,1.074,0.816,0.922,0.844,0.963,0.857,0.825,1.098,1.021,2.581,0.776,0.901,1.000,0.991,0.966,0.752,0.877,0.782,0.761,0.838,1.300,0.757,0.897,0.773,1.026,1.219,2.834,0.755,0.742,0.780,0.785,0.935,0.669,0.868,1.027,0.856,1.010,1.018,0.864,0.829,0.665,0.799,1.210,0.848,0.671,0.710,0.815,0.747,0.765,1.095,0.734,0.753,0.732,0.695,0.789,0.720,0.721,1.033,0.783,1.028,0.730,0.866,0.778,0.793,0.642,0.758,0.741,0.500,0.782,0.832,0.769,0.807,0.771,0.739,0.762,0.821,0.744,0.830,0.847,0.782,1.140,0.746,0.748,0.730,1.363,0.693,0.728,0.940,0.838,0.748,1.123,1.024,,mtp05_20220323_164411.bmp
60,0.958,1.034,1.217,1.162,1.157,0.922,1.042,0.846,1.076,0.871,0.938,1.169,1.062,2.766,0.869,0.898,0.905,1.069,0.794,0.948,1.108,0.927,0.944,0.889,1.317,0.748,0.912,0.797,0.973,1.270,3.362,0.690,0.853,0.847,0.881,0.829,0.628,0.867,1.003,0.820,1.054,1.024,0.858,0.735,0.706,0.762,1.043,0.766,1.446,0.749,0.767,0.604,0.826,1.093,0.824,0.790,0.785,0.787,0.766,0.728,0.619,0.852,0.802,1.031,0.739,0.778,0.740,0.794,0.780,0.919,0.726,0.618,0.757,0.789,0.663,0.763,0.811,0.706,0.743,0.915,0.734,0.655,0.852,0.775,1.098,0.709,0.723,0.706,1.328,0.722,0.813,0.872,0.856,0.817,1.022,1.019,,mtp05_20220323_170410.bmp
80,1.099,1.032,1.277,1.044,1.061,0.873,0.992,0.792,1.005,0.981,0.871,1.061,1.117,2.635,0.805,0.849,0.903,1.183,0.808,0.823,0.852,0.780,0.962,1.009,1.196,0.667,0.826,0.769,1.020,1.435,3.341,0.756,0.754,0.850,0.847,0.747,0.529,0.760,1.015,0.800,1.071,1.025,0.913,0.830,0.708,0.708,1.098,0.769,1.355,0.756,0.807,0.700,0.790,1.127,0.704,0.819,0.841,0.662,0.711,0.685,0.745,0.766,0.694,0.996,0.747,0.760,0.681,0.742,0.876,0.781,0.649,0.677,0.748,0.705,0.719,0.802,0.691,0.662,0.725,0.854,0.698,0.695,0.943,0.751,1.044,0.771,0.782,0.737,1.201,0.761,0.852,0.964,0.825,0.727,1.106,1.007,,mtp05_20220323_172411.bmp
100,1.130,1.115,1.232,0.915,1.040,0.762,0.977,0.828,1.043,0.893,0.802,1.031,1.141,3.011,0.834,0.897,0.907,1.002,0.916,0.643,0.810,0.719,0.775,0.786,1.204,0.668,0.762,0.812,0.857,1.075,3.196,0.719,0.641,0.823,0.812,0.665,0.682,0.895,1.046,0.697,1.142,0.947,0.785,0.753,0.742,0.762,1.096,0.717,0.878,0.727,0.882,0.693,0.775,1.074,0.736,0.753,0.829,0.651,0.722,0.668,0.738,0.921,0.565,1.026,0.768,0.782,0.703,0.726,0.683,0.730,0.626,0.561,0.745,0.754,0.756,0.724,0.711,0.529,0.742,0.876,0.726,0.722,0.772,0.778,1.138,0.661,0.730,0.766,1.335,0.769,0.929,0.860,0.734,0.742,0.989,0.940,,mtp05_20220323_174410.bmp
120,1.212,1.003,1.136,1.003,0.991,0.813,0.969,0.827,0.977,1.008,0.862,0.883,0.948,2.593,0.770,0.953,0.947,0.934,0.869,0.650,0.783,0.768,0.873,0.839,1.438,0.692,0.727,0.658,0.889,1.213,2.985,0.747,0.796,0.891,0.809,0.690,0.537,0.768,0.877,0.740,1.067,0.923,0.868,0.724,0.681,0.673,1.110,0.813,1.216,0.729,0.718,0.711,0.766,1.011,0.703,0.797,0.843,0.701,0.737,0.683,0.675,0.734,0.649,1.057,0.734,0.765,0.745,0.681,0.744,0.781,0.697,0.499,0.721,0.690,0.712,0.772,0.739,0.592,0.733,0.978,0.781,0.738,0.892,0.823,1.101,0.762,0.697,0.724,1.342,0.781,0.859,0.949,0.748,0.822,1.064,0.955,,mtp05_20220323_180411.bmp
140,1.463,1.040,1.199,1.038,0.984,0.768,0.963,0.877,0.977,0.920,0.767,1.074,1.010,2.693,0.829,0.942,0.904,0.903,0.866,0.680,0.884,0.752,0.795,0.980,1.247,0.680,0.779,0.730,0.978,1.237,2.952,0.773,0.703,0.757,0.720,0.712,0.692,0.617,1.012,0.804,0.999,1.026,0.847,0.698,0.667,0.699,1.020,0.741,0.912,0.708,0.791,0.751,0.777,1.135,0.757,0.679,0.791,0.689,0.644,0.614,0.724,0.761,0.649,0.890,0.696,0.812,0.788,0.751,0.779,0.650,0.620,0.497,0.720,0.751,0.676,0.783,0.698,0.629,0.790,0.887,0.754,0.713,0.868,0.806,1.017,0.702,0.744,0.717,1.288,0.809,0.959,0.835,0.807,0.733,1.047,0.892,,mtp05_20220323_182410.bmp
160,1.588,0.961,1.058,1.029,1.023,0.739,0.983,0.702,0.882,1.060,0.783,1.133,1.047,2.659,0.832,0.962,0.988,0.807,0.785,0.620,0.877,0.831,0.878,1.059,1.317,0.758,0.813,0.713,0.967,1.242,2.998,0.734,0.713,0.802,0.791,0.626,0.612,0.725,1.087,0.714,0.991,0.969,0.663,0.683,0.698,0.624,1.318,0.784,0.703,0.763,0.719,0.659,0.849,1.159,0.710,0.713,0.785,0.740,0.699,0.666,0.590,0.716,0.650,0.944,0.746,0.786,0.771,0.767,0.705,0.816,0.663,0.610,0.758,0.710,0.673,0.705,0.671,0.566,0.800,0.882,0.708,0.761,0.927,0.729,1.046,0.687,0.751,0.742,1.382,0.798,0.993,1.023,0.853,0.863,1.046,0.950,,mtp05_20220323_184412.bmp
180,1.711,1.033,1.024,0.903,0.963,0.882,0.919,0.711,0.859,0.976,0.881,0.792,1.031,2.808,0.744,0.960,1.004,0.836,0.856,0.685,0.814,0.738,0.930,0.935,1.296,0.740,0.785,0.666,0.976,1.208,3.093,0.766,0.706,0.802,0.861,0.704,0.659,0.748,0.821,0.661,1.085,0.937,0.838,0.740,0.556,0.704,1.173,0.729,0.696,0.690,0.712,0.705,0.809,1.067,0.693,0.715,0.740,0.797,0.686,0.650,0.607,0.628,0.627,0.916,0.641,0.786,0.797,0.784,0.705,0.752,0.593,0.549,0.691,0.713,0.580,0.798,0.617,0.689,0.784,0.913,0.759,0.762,0.909,0.716,1.133,0.673,0.717,0.708,1.238,0.775,0.911,0.837,0.763,0.782,1.035,0.947,,mtp05_20220323_190411.bmp
