File_Type,OD
File_Version,3
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20220323_160408
MTP,8
Plate-ID,
Cal File Used,cal_white96square
Well_Distance_X_MM,9
Well_Distance_Y_MM,9
Well_Shape,Square
Spot_Shape,Rectangle
Rectangle_Spot_Size_X_MM,3.0
Rectangle_Spot_Size_Y_MM,3.0
Deviation_From_Center_X_MM,0.0
Deviation_From_Center_Y_MM,0.0
Deviation_From_Perfect_Parallelness_DEG,0.0
Geometric_Correction_MM,0.50
Ignore_Top_G_Pixel_Percent,50.0
Ignore_Bottom_G_Pixel_Percent,10.0
OD_Profile,GP1_LB_Flux
a,0.0158
b,0.9854
c,0
d,2.3337
e,0
f,2.0044
GBlank,26.717
ShutterTime,5.0
Capture Shutter Time,5.0

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,,Input_Image
0,-0.013,0.051,0.111,0.087,0.163,0.056,0.115,0.187,0.139,0.063,0.037,0.045,0.101,0.077,0.036,0.076,0.080,0.124,0.143,0.076,0.094,0.075,0.067,0.093,0.028,0.074,0.036,0.026,0.042,0.077,0.081,0.092,0.087,0.100,0.081,0.055,0.014,0.040,0.047,0.038,0.078,0.097,0.061,0.110,0.092,0.057,0.072,0.041,-0.003,0.019,0.016,0.050,0.106,0.104,0.123,0.108,0.079,0.085,0.059,0.033,0.035,0.044,0.138,0.034,0.052,0.107,0.066,0.042,0.055,0.049,0.069,0.006,0.147,0.118,0.088,0.113,0.202,0.117,0.122,0.032,0.070,0.125,0.088,0.011,0.043,0.066,0.068,0.097,0.190,0.102,0.107,0.051,0.084,0.084,0.052,0.067,,mtp08_20220323_160408.bmp
20,-0.022,0.048,0.134,0.068,0.159,0.053,0.115,0.219,0.124,0.052,0.032,0.043,0.116,0.061,0.044,0.104,0.067,0.117,0.151,0.082,0.089,0.070,0.055,0.090,0.007,0.058,0.054,0.040,0.044,0.064,0.066,0.095,0.105,0.095,0.090,0.060,0.013,0.036,0.043,0.040,0.059,0.098,0.050,0.098,0.095,0.048,0.064,0.049,-0.010,0.008,0.008,0.049,0.103,0.101,0.123,0.097,0.094,0.061,0.048,0.036,0.038,0.033,0.107,0.018,0.050,0.106,0.075,0.044,0.067,0.036,0.067,0.000,0.140,0.136,0.087,0.103,0.173,0.112,0.138,0.059,0.067,0.123,0.098,0.008,0.045,0.061,0.083,0.099,0.195,0.103,0.098,0.050,0.070,0.074,0.046,0.063,,mtp08_20220323_162410.bmp
40,-0.025,0.048,0.106,0.070,0.170,0.041,0.090,0.186,0.123,0.059,0.031,0.039,0.082,0.062,0.051,0.070,0.078,0.121,0.137,0.072,0.101,0.067,0.056,0.091,0.022,0.066,0.054,0.015,0.034,0.059,0.063,0.081,0.093,0.090,0.076,0.056,0.006,0.032,0.041,0.032,0.072,0.074,0.048,0.094,0.078,0.047,0.065,0.032,-0.010,0.010,0.011,0.048,0.118,0.101,0.098,0.086,0.064,0.071,0.048,0.025,0.025,0.035,0.116,0.024,0.037,0.088,0.062,0.040,0.059,0.039,0.047,-0.002,0.134,0.132,0.084,0.095,0.189,0.109,0.141,0.033,0.074,0.103,0.088,0.011,0.041,0.054,0.065,0.073,0.188,0.091,0.100,0.056,0.068,0.087,0.049,0.054,,mtp08_20220323_164411.bmp
60,-0.024,0.046,0.111,0.073,0.174,0.046,0.106,0.194,0.123,0.057,0.035,0.042,0.088,0.062,0.029,0.076,0.076,0.129,0.121,0.073,0.096,0.066,0.056,0.089,0.011,0.066,0.051,0.025,0.037,0.065,0.066,0.088,0.110,0.098,0.074,0.050,0.004,0.036,0.048,0.042,0.060,0.087,0.055,0.095,0.088,0.048,0.065,0.029,-0.012,0.020,0.012,0.044,0.099,0.087,0.093,0.089,0.066,0.056,0.050,0.020,0.024,0.036,0.118,0.020,0.040,0.092,0.068,0.042,0.062,0.040,0.050,0.004,0.143,0.130,0.082,0.100,0.184,0.132,0.132,0.039,0.076,0.138,0.089,0.014,0.047,0.070,0.069,0.074,0.192,0.100,0.111,0.061,0.076,0.077,0.050,0.061,,mtp08_20220323_170410.bmp
80,-0.024,0.023,0.075,0.044,0.154,0.041,0.087,0.170,0.100,0.039,0.025,0.038,0.073,0.039,0.007,0.071,0.059,0.105,0.097,0.055,0.089,0.053,0.042,0.073,-0.005,0.046,0.023,0.010,0.023,0.051,0.055,0.066,0.078,0.081,0.061,0.049,-0.014,0.022,0.036,0.019,0.039,0.074,0.039,0.082,0.068,0.040,0.049,0.015,-0.018,-0.003,0.000,0.029,0.081,0.065,0.079,0.072,0.049,0.048,0.032,0.005,0.007,0.019,0.088,0.008,0.025,0.068,0.055,0.021,0.043,0.027,0.036,-0.012,0.119,0.099,0.062,0.072,0.197,0.098,0.120,0.013,0.058,0.088,0.072,-0.002,0.032,0.047,0.050,0.064,0.183,0.091,0.088,0.047,0.064,0.066,0.037,0.050,,mtp08_20220323_172411.bmp
100,-0.028,0.011,0.067,0.043,0.150,0.033,0.080,0.167,0.093,0.030,0.027,0.039,0.068,0.036,-0.001,0.061,0.049,0.094,0.095,0.052,0.090,0.043,0.039,0.070,-0.017,0.041,0.018,-0.002,0.020,0.035,0.056,0.058,0.079,0.076,0.054,0.076,-0.024,0.017,0.027,0.014,0.034,0.060,0.033,0.069,0.056,0.037,0.055,0.007,-0.029,-0.009,-0.006,0.030,0.072,0.054,0.077,0.070,0.043,0.044,0.027,-0.006,0.003,0.008,0.085,-0.005,0.017,0.066,0.047,0.011,0.036,0.019,0.039,-0.018,0.109,0.109,0.052,0.062,0.177,0.098,0.110,0.008,0.045,0.087,0.062,-0.008,0.020,0.041,0.041,0.052,0.172,0.078,0.076,0.040,0.052,0.058,0.036,0.052,,mtp08_20220323_174410.bmp
120,-0.024,0.008,0.069,0.040,0.149,0.031,0.080,0.170,0.092,0.029,0.027,0.040,0.069,0.037,-0.001,0.060,0.041,0.097,0.086,0.050,0.080,0.043,0.035,0.066,-0.017,0.040,0.020,-0.006,0.018,0.037,0.050,0.056,0.070,0.072,0.055,0.093,-0.024,0.011,0.024,0.012,0.030,0.061,0.030,0.070,0.051,0.029,0.044,0.004,-0.028,-0.013,-0.011,0.023,0.068,0.049,0.076,0.065,0.042,0.042,0.027,-0.006,-0.004,0.009,0.086,-0.002,0.018,0.068,0.049,0.015,0.032,0.015,0.035,-0.022,0.107,0.089,0.054,0.062,0.170,0.101,0.105,0.005,0.040,0.088,0.063,-0.005,0.024,0.038,0.046,0.057,0.170,0.075,0.085,0.037,0.054,0.059,0.033,0.052,,mtp08_20220323_180411.bmp
140,-0.027,0.008,0.067,0.038,0.146,0.027,0.074,0.167,0.088,0.031,0.025,0.042,0.066,0.035,-0.004,0.054,0.040,0.091,0.078,0.044,0.080,0.043,0.035,0.066,-0.019,0.038,0.011,-0.006,0.018,0.033,0.049,0.057,0.070,0.067,0.050,0.128,-0.025,0.011,0.020,0.009,0.029,0.065,0.028,0.067,0.051,0.031,0.040,0.010,-0.027,-0.013,-0.012,0.016,0.065,0.046,0.070,0.059,0.041,0.043,0.024,-0.005,-0.003,0.005,0.085,-0.009,0.016,0.065,0.051,0.001,0.033,0.015,0.039,-0.026,0.108,0.092,0.054,0.060,0.168,0.090,0.107,0.002,0.038,0.080,0.059,-0.005,0.020,0.029,0.040,0.046,0.171,0.071,0.072,0.037,0.052,0.054,0.030,0.047,,mtp08_20220323_182410.bmp
160,-0.027,0.005,0.065,0.037,0.142,0.023,0.072,0.164,0.084,0.030,0.024,0.039,0.062,0.035,-0.003,0.054,0.038,0.090,0.077,0.043,0.075,0.038,0.032,0.062,-0.022,0.035,0.007,-0.008,0.011,0.029,0.043,0.056,0.065,0.069,0.047,0.196,-0.027,0.010,0.020,0.003,0.026,0.062,0.026,0.065,0.049,0.026,0.036,0.005,-0.029,-0.015,-0.015,0.016,0.065,0.041,0.068,0.059,0.039,0.038,0.021,-0.006,-0.002,0.004,0.081,-0.009,0.017,0.059,0.044,0.004,0.029,0.009,0.030,-0.029,0.107,0.086,0.049,0.059,0.162,0.093,0.095,0.000,0.034,0.076,0.058,-0.010,0.022,0.031,0.043,0.044,0.169,0.072,0.071,0.029,0.050,0.057,0.029,0.047,,mtp08_20220323_184412.bmp
180,-0.028,0.003,0.066,0.035,0.138,0.022,0.072,0.169,0.089,0.028,0.024,0.039,0.065,0.035,-0.009,0.054,0.033,0.088,0.074,0.040,0.075,0.039,0.032,0.060,-0.022,0.029,0.006,-0.010,0.005,0.024,0.041,0.052,0.059,0.064,0.048,0.234,-0.027,0.006,0.017,0.002,0.024,0.069,0.025,0.064,0.048,0.026,0.037,0.000,-0.030,-0.015,-0.016,0.013,0.057,0.041,0.068,0.059,0.036,0.037,0.020,-0.008,-0.010,0.001,0.081,-0.009,0.014,0.062,0.048,0.004,0.027,0.012,0.030,-0.030,0.099,0.082,0.050,0.056,0.156,0.088,0.091,-0.002,0.037,0.087,0.059,-0.015,0.024,0.029,0.046,0.046,0.167,0.071,0.073,0.028,0.049,0.053,0.028,0.047,,mtp08_20220323_190411.bmp
